...1,es_score,brier_score,location,target_date,X24A_50_CI,X24B_50_CI,X24C_50_CI,X24D_50_CI,X24E_50_CI,X24G_50_CI,other_50_CI,X24A_95_CI,X24B_95_CI,X24C_95_CI,X24D_95_CI,X24E_95_CI,X24G_95_CI,other_95_CI
91,NA,NA,AR,2024-06-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
92,NA,NA,AR,2024-06-23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
93,NA,NA,AR,2024-06-24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
94,NA,NA,AR,2024-06-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
95,NA,NA,AR,2024-06-26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
96,NA,NA,AR,2024-06-27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
97,NA,NA,AR,2024-06-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
98,NA,NA,AR,2024-06-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
99,NA,NA,AR,2024-06-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100,NA,NA,AR,2024-07-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
101,NA,NA,AR,2024-07-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
102,NA,NA,AR,2024-07-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
103,NA,NA,AR,2024-07-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
104,NA,NA,AR,2024-07-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
105,NA,NA,AR,2024-07-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
106,NA,NA,AR,2024-07-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
107,0.544653608589908,0.3550922738904845,AR,2024-07-08,0,1,1,1,1,1,1,0,1,0,1,1,1,1
108,0.622046078097678,0.297267396851456,AR,2024-07-09,1,0,1,1,1,1,1,1,1,1,1,1,1,1
109,0.622241168852915,0.298224536241341,AR,2024-07-10,1,0,1,1,1,1,1,1,1,1,1,1,1,1
110,NA,NA,AR,2024-07-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
111,NA,NA,AR,2024-07-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
112,NA,NA,AR,2024-07-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
113,NA,NA,AR,2024-07-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
114,NA,NA,AR,2024-07-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
115,NA,NA,AR,2024-07-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
116,0.433050209910188,0.4075120447280565,AR,2024-07-17,1,1,1,1,1,1,1,1,1,1,1,1,1,1
117,NA,NA,AR,2024-07-18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
118,0.642024814485542,0.4631406523497935,AR,2024-07-19,1,1,1,1,1,0,1,1,0,1,1,1,0,1
119,NA,NA,AR,2024-07-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
120,NA,NA,AR,2024-07-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
121,1.41350853169813,0.386941726576994,AR,2024-07-22,1,0,1,1,1,1,1,0,0,0,1,1,0,1
122,0.459332605262639,0.402027119214825,AR,2024-07-23,1,1,1,1,1,1,1,1,1,1,1,1,1,1
123,1.39249399912623,0.3818778052138105,AR,2024-07-24,1,0,1,1,1,1,1,1,1,0,1,1,0,1
124,NA,NA,AR,2024-07-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
125,0.697980606473335,0.3405839729537765,AR,2024-07-26,1,0,1,1,1,1,1,1,1,1,1,1,1,1
126,NA,NA,AR,2024-07-27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
127,1.42432042869052,0.346983510476065,AZ,2024-06-16,1,1,1,1,1,1,1,1,0,0,1,1,0,1
128,3.35719359012039,0.358426589129922,AZ,2024-06-17,0,1,0,1,1,1,1,0,0,0,0,0,0,0
129,2.12141131981233,0.371603344516544,AZ,2024-06-18,1,1,1,1,1,1,1,0,0,0,1,0,0,0
130,1.3298513611465,0.328578867636082,AZ,2024-06-19,1,1,1,1,1,1,1,0,0,1,1,1,0,1
131,1.57167897787851,0.372017183598167,AZ,2024-06-20,1,0,1,1,1,1,1,0,0,0,1,1,0,1
132,0.856899018934217,0.319466994890834,AZ,2024-06-21,1,1,1,1,1,1,1,0,0,1,1,1,0,1
133,0.399389884433029,0.300136975638254,AZ,2024-06-22,1,1,1,1,1,1,1,1,0,0,1,1,1,1
134,1.24027205755195,0.327405039627578,AZ,2024-06-23,1,1,1,1,1,1,1,0,1,0,1,1,1,1
135,0.950934033293497,0.3635757768349895,AZ,2024-06-24,1,1,1,1,1,1,1,0,0,0,1,0,0,1
