...1,es_score,brier_score,location,target_date,X23F_50_CI,X24A_50_CI,recombinant_50_CI,other_50_CI,X23F_95_CI,X24A_95_CI,recombinant_95_CI,other_95_CI
181,0.825168026530069,0.0095707575531248,CA,2024-01-19,1,1,1,1,1,1,1,1
182,0.933596630406066,0.0768942912301185,CA,2024-01-20,1,1,0,1,0,0,0,1
183,1.30945254482833,0.251792861606334,CA,2024-01-21,1,0,1,0,1,0,1,0
184,0.911625619526173,0.0712709809652905,CA,2024-01-22,1,1,0,1,0,0,0,0
185,0.699519477645396,0.00565136731703195,CA,2024-01-23,1,1,1,1,1,0,1,0
186,0.709898426868019,0.086625407282151,CA,2024-01-24,1,1,1,0,1,1,1,1
187,2.92618199455491,0.1530297563148725,CA,2024-01-25,0,0,0,0,0,0,0,0
188,2.60333740363389,0.1269740109146685,CA,2024-01-26,1,0,0,0,0,0,0,0
189,0.770678651767258,0.00329574486746611,CA,2024-01-27,1,1,1,1,0,0,1,1
190,0.911268150877705,0.0474384358809176,CA,2024-01-28,1,1,0,1,1,0,0,0
191,3.18037010404483,0.088010562388083,CA,2024-01-29,1,0,0,0,0,0,0,0
192,1.12625960826627,0.0620226685274495,CA,2024-01-30,1,1,0,1,0,0,0,1
193,3.06670779166696,0.085871815765274,CA,2024-01-31,0,0,0,1,0,0,0,1
194,7.96118497664694,0.1102608522648395,CA,2024-02-01,0,0,0,0,0,0,0,0
195,6.91653384164387,0.1166284418749285,CA,2024-02-02,1,0,0,0,0,0,0,0
196,0.7734219915837,0.04360295242023875,CA,2024-02-03,1,1,1,1,0,0,1,1
197,0.735297827501748,0.036403628731183,CA,2024-02-04,1,1,1,0,0,0,1,1
198,1.91880587027166,0.0661003371074485,CA,2024-02-05,1,0,0,1,0,0,0,0
199,6.16694006418969,0.1007552012219245,CA,2024-02-06,0,0,0,0,0,0,0,0
200,4.45142573229028,0.086684031371101,CA,2024-02-07,0,0,0,0,0,0,0,0
201,1.25458843767632,0.03374869689894805,CA,2024-02-08,1,1,1,0,1,0,1,0
202,7.93833102275593,0.120043680247651,CA,2024-02-09,1,0,0,0,0,0,0,0
203,5.41325948213065,0.149388575501897,CA,2024-02-10,0,0,0,0,1,0,0,0
204,0.00707112508178316,4.08332449382575e-4,CA,2024-02-11,1,1,1,1,1,1,1,1
205,5.16654131699332,0.1113437549246175,CA,2024-02-12,1,0,0,0,1,0,0,0
206,4.60853520772274,0.0907722133716445,CA,2024-02-13,1,0,0,0,1,0,0,0
207,2.18944533470229,0.0389275961209953,CA,2024-02-14,1,0,0,1,1,0,0,0
208,7.27577743605285,0.1204147577400985,CA,2024-02-15,0,0,0,0,0,0,0,0
209,1.92933162870609,0.03800760187562715,CA,2024-02-16,1,0,0,1,0,1,0,1
210,1.0011892328477,0.03411008694057455,CA,2024-02-17,1,1,0,1,1,1,0,0
211,NA,NA,CO,2024-01-07,NA,NA,NA,NA,NA,NA,NA,NA
212,1.93542812671648,0.673417009559895,CO,2024-01-08,0,0,1,1,0,1,1,0
213,0.0511127186312132,0.0385002686640468,CO,2024-01-09,1,1,1,1,1,0,1,0
214,0.987637226132483,0.70283126275974,CO,2024-01-10,0,0,1,1,0,0,1,1
215,0.261238163497001,0.0307385026156622,CO,2024-01-11,1,1,1,1,1,1,1,1
216,0.859809287953622,0.389602437833117,CO,2024-01-12,1,1,1,0,1,0,1,0
217,0.0310237584278991,0.02437925436979195,CO,2024-01-13,1,1,1,1,1,1,1,1
218,NA,NA,CO,2024-01-14,NA,NA,NA,NA,NA,NA,NA,NA
219,0.0269209551826051,0.019218304104388,CO,2024-01-15,1,1,1,1,1,1,1,1
220,0.0221166171589356,0.01702725389621395,CO,2024-01-16,1,1,1,1,1,1,1,1
221,0.0664386968774751,0.015066092501747501,CO,2024-01-17,1,1,1,1,1,1,1,1
222,0.114491932884587,0.01331408044561235,CO,2024-01-18,1,1,1,1,1,1,1,1
223,0.0564594471885419,0.011751780892393201,CO,2024-01-19,1,1,1,1,1,1,1,1
224,NA,NA,CO,2024-01-20,NA,NA,NA,NA,NA,NA,NA,NA
225,NA,NA,CO,2024-01-21,NA,NA,NA,NA,NA,NA,NA,NA
226,0.176122862045384,0.00802853990305465,CO,2024-01-22,1,1,1,1,0,0,1,1
227,0.0331265366111348,0.00705694282923075,CO,2024-01-23,1,1,1,1,1,1,1,1
228,NA,NA,CO,2024-01-24,NA,NA,NA,NA,NA,NA,NA,NA
229,NA,NA,CO,2024-01-25,NA,NA,NA,NA,NA,NA,NA,NA
