...1,es_score,brier_score,location,target_date,X22B_50_CI,X22E_50_CI,X22F_50_CI,X23A_50_CI,X23C_50_CI,X23D_50_CI,other_50_CI,X22B_95_CI,X22E_95_CI,X22F_95_CI,X23A_95_CI,X23C_95_CI,X23D_95_CI,other_95_CI
211,0.638978848651494,0.050384985528406,CO,2023-02-05,1,1,1,1,1,1,1,1,1,0,0,1,1,1
212,0.856498609013898,0.1922794936926245,CO,2023-02-06,0,1,1,1,1,1,1,0,1,1,0,1,1,1
213,0.767848343614206,0.191212712499252,CO,2023-02-07,1,1,1,1,1,1,1,1,0,1,0,1,1,1
214,1.77745378796994,0.2706213113390795,CO,2023-02-08,1,1,1,0,0,1,1,1,0,1,1,0,1,1
215,0.043634456319827,0.0294499476070193,CO,2023-02-09,1,1,1,1,1,1,1,1,0,1,0,1,1,1
216,0.309808247263905,0.139429338652358,CO,2023-02-10,1,1,1,1,1,1,1,1,1,1,1,1,1,1
217,0.433223180274137,0.198385817104029,CO,2023-02-11,1,1,1,1,1,1,1,1,0,1,0,1,1,1
218,0.293763748702233,0.01926720158280635,CO,2023-02-12,1,1,1,1,1,1,1,1,1,1,1,1,1,1
219,1.39090021764011,0.1867221069967,CO,2023-02-13,0,1,0,1,1,1,1,0,1,0,0,0,1,1
220,0.332822978328371,0.099114431265163,CO,2023-02-14,1,1,1,1,1,1,1,1,1,1,1,1,1,1
221,0.410508281239152,0.1423227820420995,CO,2023-02-15,1,1,1,1,1,1,1,1,0,1,0,1,1,1
222,0.785130906403386,0.1090638820226315,CO,2023-02-16,1,1,1,1,0,1,1,1,1,1,0,0,1,1
223,1.12369539637475,0.1981795767375905,CO,2023-02-17,0,1,1,1,1,1,1,0,0,1,0,1,1,1
224,0.399301636366397,0.1109228338429415,CO,2023-02-18,1,1,1,1,1,1,1,1,0,1,0,1,1,1
225,0.731213962302519,0.2160486154809535,CO,2023-02-19,1,1,1,1,1,1,1,1,1,1,1,1,1,1
226,1.06729037654817,0.1473447490263405,CO,2023-02-20,1,0,1,1,1,1,1,1,0,1,0,1,1,1
227,0.362662979616995,0.0587701179637925,CO,2023-02-21,1,1,1,1,1,1,1,1,0,1,0,1,1,1
228,0.988074629569395,0.1578700271281485,CO,2023-02-22,1,1,0,1,1,1,1,1,1,0,0,1,1,1
229,0.142936513326301,0.003668533747928155,CO,2023-02-23,1,1,1,1,1,1,1,1,1,0,0,1,1,1
230,0.235629591810411,0.003139168636626335,CO,2023-02-24,1,1,1,1,1,1,1,1,1,1,1,1,1,1
231,0.055287741196721,0.00268487299960971,CO,2023-02-25,1,1,1,1,1,1,1,1,1,1,1,1,1,1
232,0.0469233724555091,0.002295349595238845,CO,2023-02-26,1,1,1,1,1,1,1,1,0,1,0,1,1,1
233,0.440437114937422,0.062812061079061,CO,2023-02-27,1,1,1,1,1,1,1,1,1,1,0,1,0,1
234,2.23523987845479,0.1657358814503455,CO,2023-02-28,1,0,0,0,1,1,1,1,0,0,0,1,0,1
235,0.389960902126898,0.00143148834506074,CO,2023-03-01,1,1,1,1,1,1,1,1,0,1,0,0,1,1
236,0.0909571335941432,0.001222468768061225,CO,2023-03-02,1,1,1,1,1,1,1,1,1,1,1,1,1,1
