...1,es_score,brier_score,location,target_date,X21L_50_CI,X22D_50_CI,X22E_50_CI,X22F_50_CI,X23A_50_CI,X23C_50_CI,other_50_CI,X22B_50_CI,X21L_95_CI,X22D_95_CI,X22E_95_CI,X22F_95_CI,X23A_95_CI,X23C_95_CI,other_95_CI,X22B_95_CI
24,2.25028982985913,0.2652141909820135,AK,2023-01-17,1,1,0,1,0,1,1,1,1,1,0,1,0,1,1,1
25,2.22816219409453,0.28756365745814,AK,2023-01-18,1,1,0,1,0,1,1,0,1,0,0,1,0,1,1,0
26,0.467319814338131,0.258089603819251,AK,2023-01-19,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1
27,2.40649611792061,0.252800277208152,AK,2023-01-20,1,1,0,1,0,1,1,1,1,1,0,0,0,1,1,1
28,NA,NA,AK,2023-01-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29,0.199225647158062,0.2531420262905295,AK,2023-01-22,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
30,1.02396282928033,0.307753009736674,AK,2023-01-23,1,1,0,1,0,1,1,1,1,1,0,1,0,1,1,1
31,3.27932994546542,0.3576484141317445,AK,2023-01-24,1,0,0,1,0,1,1,1,1,0,0,1,0,1,1,1
32,2.45937175683447,0.3983129819436725,AK,2023-01-25,1,1,1,1,0,1,0,1,1,1,0,1,0,0,0,0
33,5.05299927236871,0.3440658355656975,AK,2023-01-26,1,1,0,1,0,1,1,1,1,1,0,1,0,1,1,1
34,0.881244005114349,0.3228758801585715,AK,2023-01-27,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,0
35,0.571816266904001,0.409136646635136,AK,2023-01-28,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
36,0.834329353602656,0.3268250416473845,AK,2023-01-29,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1
37,2.20125911628252,0.451664405918525,AK,2023-01-30,1,1,0,1,0,1,1,1,1,1,0,1,0,1,1,1
38,0.742593545783838,0.259085198072907,AK,2023-01-31,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
39,0.395703026432006,0.089156591019691,AK,2023-02-01,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
40,0.723121694113184,0.22545326963185,AK,2023-02-02,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1
41,0.987964973296862,0.3629282382242925,AK,2023-02-03,1,1,1,0,1,1,1,1,1,1,0,0,0,1,1,1
42,2.24874563036801,0.346300634197158,AK,2023-02-04,1,1,0,1,0,1,1,1,1,1,0,1,0,1,1,1
43,NA,NA,AL,2022-12-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44,1.03783413614374,0.2796714543874385,AL,2022-12-26,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,0
45,1.20077860141337,0.219067703170323,AL,2022-12-27,1,1,1,1,0,1,1,1,1,1,0,1,0,1,1,1
46,1.99547550360982,0.3686779534966155,AL,2022-12-28,1,1,0,0,1,1,1,0,1,0,1,0,0,1,1,0
47,2.2366963713279,0.2998122790344785,AL,2022-12-29,1,1,1,0,1,1,0,1,1,1,0,0,1,1,0,0
48,1.78588911905496,0.3916857360503355,AL,2022-12-30,1,1,0,1,1,1,1,0,1,1,0,1,0,1,1,0
49,NA,NA,AL,2022-12-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,NA,NA,AL,2023-01-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51,1.56166999284849,0.230960278109016,AL,2023-01-02,1,1,1,1,0,1,1,1,1,0,0,1,0,1,1,0
52,2.52918583236878,0.2521444600855735,AL,2023-01-03,1,1,1,1,0,0,1,0,1,0,1,1,0,1,1,0
53,1.79580913473471,0.3493715019864085,AL,2023-01-04,1,1,0,0,1,1,1,1,1,0,0,0,0,1,1,1
54,0.915926348784242,0.2325265129899885,AL,2023-01-05,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0
55,1.66212594255274,0.398461240754042,AL,2023-01-06,1,0,1,1,1,1,1,1,1,0,0,1,1,1,1,1
56,2.30173076192866,0.44856453419315,AL,2023-01-07,1,1,0,1,1,0,0,0,1,1,0,0,0,1,0,0
57,1.51267329233912,0.695860893700995,AL,2023-01-08,1,1,0,1,1,0,1,0,1,1,0,1,1,0,1,0
58,1.020406547158,0.2984568057207235,AL,2023-01-09,1,1,1,1,1,0,1,1,1,0,0,1,0,0,1,0
59,1.00784312638778,0.2414624446658725,AL,2023-01-10,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0
60,0.31404448444607,0.275295650317216,AL,2023-01-11,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1
61,0.918118875949143,0.4142510798663705,AL,2023-01-12,1,1,1,1,1,0,1,1,1,1,0,1,1,0,1,1
62,NA,NA,AL,2023-01-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
63,NA,NA,AL,2023-01-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
64,NA,NA,AL,2023-01-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
65,NA,NA,AL,2023-01-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
66,NA,NA,AL,2023-01-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
67,1.9743787040892,0.31325795439837,AL,2023-01-18,1,1,0,0,0,1,1,1,1,1,0,0,0,1,1,1
68,0.351819352504707,0.2365075464277335,AL,2023-01-19,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1
69,0.365040085567104,0.253258058411515,AL,2023-01-20,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
70,NA,NA,AL,2023-01-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
71,NA,NA,AL,2023-01-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
72,0.421423521652123,0.307753009736674,AL,2023-01-23,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
73,0.461917278412994,0.3271540606185405,AL,2023-01-24,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1
74,0.246969714562971,0.1712149438721165,AL,2023-01-25,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
75,0.981573217292152,0.440061690996694,AL,2023-01-26,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,0
76,0.378620892627888,0.241652026815638,AL,2023-01-27,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1
77,1.0482707416216,0.743516168175255,AL,2023-01-28,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,1
78,NA,NA,AL,2023-01-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
79,0.783343347910955,0.108835780084998,AL,2023-01-30,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1
80,0.146189179170126,0.098627949707328,AL,2023-01-31,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
81,NA,NA,AL,2023-02-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
82,0.993568216970106,0.362248389007031,AL,2023-02-02,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,0
83,NA,NA,AL,2023-02-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
84,0.0959944406482226,0.064936291902519,AL,2023-02-04,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1
85,0.750065985594589,0.2227978875720145,AR,2022-12-25,1,0,1,1,1,1,1,1,1,0,0,0,0,1,1,1
86,3.21767686071608,0.118429538065276,AR,2022-12-26,1,1,0,1,0,1,1,1,1,0,0,1,0,1,1,0
87,1.13778581793444,0.312876199861804,AR,2022-12-27,1,1,1,1,1,1,1,0,1,1,0,1,0,1,1,0
88,1.31137895770457,0.292823321221699,AR,2022-12-28,1,1,1,1,1,1,1,0,1,0,0,1,1,1,1,0
89,6.79259914643849,0.4271317383103,AR,2022-12-29,1,1,0,1,0,1,1,0,1,1,0,1,0,1,1,0
90,1.12707145072824,0.203943567817705,AR,2022-12-30,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,0
91,0.996947832814008,0.317080078239919,AR,2022-12-31,1,0,1,1,1,1,1,1,1,0,1,0,0,1,1,0
92,0.100349977978845,0.0701545808785,AR,2023-01-01,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1
93,1.40476609422776,0.1487481949223835,AR,2023-01-02,1,1,0,1,0,1,1,1,0,1,0,1,0,1,1,0
94,3.59998048934932,0.2559334140798755,AR,2023-01-03,1,1,1,1,0,1,1,0,1,0,0,0,0,0,1,0
95,5.75944054803904,0.230253569737029,AR,2023-01-04,1,1,0,1,0,1,0,0,1,1,0,0,0,1,0,0
96,3.98244124117619,0.3425985181204045,AR,2023-01-05,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0
97,1.88933853432886,0.3190342396024135,AR,2023-01-06,1,0,1,1,0,1,1,1,1,0,1,1,0,1,1,1
98,1.0663155304323,0.2154917771819965,AR,2023-01-07,1,1,1,1,1,1,1,0,1,1,0,1,0,1,1,0
99,1.45826227349568,0.106313811732741,AR,2023-01-08,1,1,0,1,0,1,1,1,1,1,0,1,0,1,1,1
100,2.72795862628093,0.3223773423569215,AR,2023-01-09,1,1,1,1,1,1,0,0,1,1,0,0,0,1,0,0
101,4.94251781415828,0.24828752323819,AR,2023-01-10,1,1,0,1,0,1,1,1,1,0,0,0,0,1,1,0
102,3.99434181757559,0.2623821364857165,AR,2023-01-11,1,1,0,1,0,1,0,0,1,0,0,1,0,0,0,0
103,3.52550241002875,0.3161201101263745,AR,2023-01-12,1,0,1,1,0,1,0,1,1,0,0,0,0,0,0,1
104,2.06038676635459,0.299699890534659,AR,2023-01-13,1,1,1,1,0,0,1,1,1,0,0,1,0,0,1,1
105,1.37798651987466,0.510801175582305,AR,2023-01-14,1,1,1,0,1,1,1,0,1,1,0,0,0,1,1,0
106,1.10128785340681,0.512922414674855,AR,2023-01-15,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1
107,1.83928495829895,0.3896537895615985,AR,2023-01-16,1,1,0,1,1,1,1,0,1,1,0,1,0,1,1,0
108,3.68118482511399,0.2772628445836705,AR,2023-01-17,1,1,0,1,0,1,1,0,1,1,0,0,0,1,1,0
109,2.48265087604004,0.318031487449166,AR,2023-01-18,1,1,1,1,0,1,1,0,1,1,0,1,0,1,1,0
110,1.39323081475072,0.30163659489883,AR,2023-01-19,1,1,1,1,0,1,1,0,1,1,1,1,0,1,1,0
111,2.45287215731083,0.403782992605174,AR,2023-01-20,0,1,1,1,0,0,1,1,0,1,0,1,0,0,1,1
112,0.327003510731818,0.2340013541430305,AR,2023-01-21,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1
113,0.494762999863008,0.2650715877667725,AR,2023-01-22,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1
114,9.67776279254952,0.345914109943691,AR,2023-01-23,1,1,0,1,0,1,1,0,1,1,0,0,0,0,1,0
115,0.919900629015387,0.256535485745313,AR,2023-01-24,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1
116,3.41553460195168,0.349698675474877,AR,2023-01-25,1,0,0,1,0,1,1,0,1,1,0,1,0,0,1,0
117,5.51565585754414,0.3474914876232935,AR,2023-01-26,1,1,0,1,0,0,1,1,1,1,0,1,0,0,1,0
118,2.29909212852185,0.318381803955486,AR,2023-01-27,1,1,0,1,0,1,1,1,1,1,0,1,0,1,1,1
119,0.567915201217526,0.409136646635136,AR,2023-01-28,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1
120,0.297333179732802,0.275067534805885,AR,2023-01-29,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1
121,12.1156045063168,0.469553496722542,AR,2023-01-30,1,1,0,1,0,1,1,0,1,0,0,0,0,1,1,0
122,0.330879663162782,0.2858280728005035,AR,2023-01-31,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
123,1.69492758557907,0.398711896488124,AR,2023-02-01,1,1,1,1,0,1,0,0,1,1,0,1,1,1,0,0
124,1.08562960344007,0.3705051413934,AR,2023-02-02,1,1,0,1,0,1,1,1,1,1,0,1,0,1,1,1
125,2.53580579341951,0.381826470320135,AR,2023-02-03,1,1,0,1,0,1,1,1,1,1,0,1,0,1,1,1
126,0.780539947605391,0.557323890918135,AR,2023-02-04,1,1,0,1,1,1,1,1,1,1,0,1,0,1,1,1
127,0.082037326565586,0.0587032456137965,AZ,2022-12-25,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
128,3.04805884336602,0.2436616903047485,AZ,2022-12-26,1,1,1,0,0,1,1,1,1,1,0,0,0,1,0,0
129,6.43700623678734,0.2085853894997645,AZ,2022-12-27,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0
130,3.21248752142575,0.293466357165986,AZ,2022-12-28,1,1,1,0,1,1,1,0,1,0,0,0,0,0,1,0
131,2.74027198936379,0.2913019381682905,AZ,2022-12-29,0,1,1,1,1,1,1,0,0,1,0,0,0,1,1,0
132,2.64227813109158,0.271386210792565,AZ,2022-12-30,1,0,1,0,0,1,1,1,1,0,0,0,0,0,1,0
133,1.06628889320743,0.240107266538005,AZ,2022-12-31,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1
134,1.08914369530765,0.0701545808785,AZ,2023-01-01,1,1,0,1,1,1,1,1,1,1,0,1,0,0,1,1
135,6.04933412010644,0.279794524782711,AZ,2023-01-02,0,1,1,0,0,1,1,0,0,1,0,0,0,0,1,0
136,5.07127181711894,0.2577610834923755,AZ,2023-01-03,1,0,1,1,0,1,0,0,1,0,0,1,0,0,0,0
137,2.24916751294024,0.2438468692699805,AZ,2023-01-04,1,1,1,1,0,1,1,1,1,0,0,0,0,1,1,1
138,3.3120314541513,0.2561827379690885,AZ,2023-01-05,1,1,1,0,0,1,1,0,1,1,0,0,0,1,1,0
139,5.67668018952055,0.2253200646387215,AZ,2023-01-06,1,1,0,0,0,1,1,0,1,1,0,0,0,1,1,0
140,1.29971066363,0.1961164400235855,AZ,2023-01-07,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,0
141,1.35296814429593,0.2632148164098125,AZ,2023-01-08,1,1,1,1,1,1,1,0,1,0,0,1,0,1,1,0
142,5.44093562125253,0.314333971771194,AZ,2023-01-09,1,1,1,0,0,1,1,0,1,0,0,0,0,1,1,0
143,4.56871205623443,0.2383510695948785,AZ,2023-01-10,1,1,0,1,0,1,0,1,1,0,0,0,0,1,0,0
144,3.99642385349354,0.3146215909678125,AZ,2023-01-11,1,0,1,0,0,1,1,0,0,0,0,1,0,0,1,0
145,1.0961117557996,0.3191247532844385,AZ,2023-01-12,1,0,1,1,1,1,1,1,0,0,0,1,0,0,1,1
146,1.1184201006195,0.3469836170726845,AZ,2023-01-13,1,1,1,0,1,1,1,1,1,0,1,1,0,1,1,0
147,0.940075643486,0.3234225441279865,AZ,2023-01-14,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1
148,1.73011828409474,0.330140543248618,AZ,2023-01-15,1,1,1,0,1,1,1,1,1,0,0,0,1,1,1,1
149,7.12485691404936,0.350902354738691,AZ,2023-01-16,1,0,1,0,0,1,1,0,1,0,0,0,0,0,1,0
150,2.64527090431692,0.283681717682424,AZ,2023-01-17,1,1,0,1,0,1,1,1,1,1,0,0,0,1,0,1
151,1.3858335859414601,0.336518291658755,AZ,2023-01-18,1,0,1,1,1,1,1,1,1,0,0,0,0,1,1,0
152,3.1754119896016,0.340902826883773,AZ,2023-01-19,1,1,0,0,1,1,1,1,1,1,0,0,0,1,1,1
153,0.887796832042731,0.2521488193418285,AZ,2023-01-20,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1
154,0.48752673666533,0.248699942616202,AZ,2023-01-21,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
155,0.314746422790647,0.217353341861802,AZ,2023-01-22,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
156,3.54263171660458,0.317959573503523,AZ,2023-01-23,1,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0
157,3.68018566814055,0.41718228249417,AZ,2023-01-24,1,1,1,0,0,1,0,0,1,1,0,0,0,0,0,0
158,1.5650439152493,0.3325184151447815,AZ,2023-01-25,1,1,1,0,1,1,1,1,1,1,0,0,0,1,1,1
159,2.82697177811097,0.373395142068314,AZ,2023-01-26,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1
160,1.2316379399977,0.3159537570444495,AZ,2023-01-27,1,1,1,0,1,1,1,0,1,1,1,0,0,1,1,0
161,1.05816509447222,0.3611695296985405,AZ,2023-01-28,1,1,1,0,1,1,1,1,1,1,0,0,0,1,1,1
162,3.37607846150887,0.3788280141912915,AZ,2023-01-29,1,1,0,1,0,1,1,0,1,1,0,1,0,1,1,0
163,2.14664241531257,0.2627907454717105,AZ,2023-01-30,1,1,1,0,1,1,1,0,1,1,0,0,0,1,1,0
164,4.90799590713184,0.247852213445344,AZ,2023-01-31,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,1
165,11.0509262590294,0.3796470056212375,AZ,2023-02-01,1,1,1,0,0,1,1,0,1,1,0,0,0,1,1,0
166,1.83918971646566,0.1734795378787245,AZ,2023-02-02,1,1,0,0,0,1,1,1,1,1,0,0,0,1,1,1
167,2.12612190145666,0.306379835204092,AZ,2023-02-03,1,1,1,1,0,0,1,0,1,1,0,1,1,0,1,0
168,0.645277548310047,0.2618913315087665,AZ,2023-02-04,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1
169,0.478762420542992,0.0587032456137965,CA,2022-12-25,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1
170,30.5442271259882,0.233861588463064,CA,2022-12-26,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
171,36.5156657839212,0.2295179338995495,CA,2022-12-27,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
172,36.3382428368456,0.2201372045070925,CA,2022-12-28,1,1,0,1,0,1,1,1,0,1,0,0,0,1,0,0
173,23.0575443751313,0.23352995035635,CA,2022-12-29,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
174,35.7704062352774,0.260116617935632,CA,2022-12-30,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0
175,11.1443592752695,0.276015790422041,CA,2022-12-31,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0
176,1.14616291302438,0.1981854175112855,CA,2023-01-01,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0
177,43.2073972171621,0.23774406084837,CA,2023-01-02,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0
178,25.16072629118,0.3000697011305865,CA,2023-01-03,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0
179,15.3873768550386,0.2669948808407805,CA,2023-01-04,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
180,16.7498240743553,0.267107890095361,CA,2023-01-05,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0
181,8.29372521615294,0.281275335429976,CA,2023-01-06,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0
182,16.6610019729629,0.2749163791532665,CA,2023-01-07,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
183,7.18996176688342,0.2668138323757615,CA,2023-01-08,0,0,1,0,0,0,1,1,1,0,0,0,0,0,1,0
184,30.480808557807,0.2595083459801335,CA,2023-01-09,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
185,17.3901570608251,0.3050296836926105,CA,2023-01-10,1,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0
186,22.7377891426249,0.321922938994273,CA,2023-01-11,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
187,26.351080254445,0.2931888127229565,CA,2023-01-12,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0
188,18.0762980300691,0.3113993218964835,CA,2023-01-13,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
189,15.1206588988285,0.301172390464543,CA,2023-01-14,1,1,0,1,0,1,1,0,1,0,0,0,0,0,1,0
190,15.513511661691,0.3328488248083315,CA,2023-01-15,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
191,16.7099385242879,0.3186000547950615,CA,2023-01-16,1,0,1,0,0,1,1,0,1,0,0,0,0,0,1,0
192,21.0821993084018,0.324507136573757,CA,2023-01-17,1,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0
193,16.9379708971195,0.3099756978711755,CA,2023-01-18,1,1,0,1,0,1,0,0,1,0,0,0,0,0,1,0
194,5.77144892390483,0.350587483279221,CA,2023-01-19,0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0
195,12.6163586124191,0.3240685819656045,CA,2023-01-20,1,0,0,1,0,1,1,0,1,0,0,1,0,0,1,0
196,30.0084159028502,0.3048746337656235,CA,2023-01-21,0,0,0,1,0,1,1,0,0,0,0,1,0,0,1,0
197,16.8484503081939,0.328125559710373,CA,2023-01-22,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
198,24.0018000776715,0.3311922357411475,CA,2023-01-23,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
199,21.5373052137223,0.29955622848728,CA,2023-01-24,1,1,0,1,0,1,1,1,1,0,0,0,0,0,1,0
200,22.0026325694263,0.343656983872758,CA,2023-01-25,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0
201,16.0219077192095,0.321426429669178,CA,2023-01-26,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
202,16.3650962570671,0.350884104971034,CA,2023-01-27,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0
203,11.0193726649899,0.3211500970918575,CA,2023-01-28,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0
204,6.72846087378234,0.3143304172138015,CA,2023-01-29,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0
205,14.1292708099725,0.338118942074212,CA,2023-01-30,0,1,0,1,0,0,1,1,0,0,0,0,0,0,1,0
206,8.56890798617492,0.311034708434219,CA,2023-01-31,1,1,0,1,0,0,0,1,1,0,0,1,0,0,0,0
207,11.0190348734181,0.29960972846566303,CA,2023-02-01,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,1
208,19.5044108261777,0.3150840074823685,CA,2023-02-02,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0
209,8.90144747901924,0.2819169773932715,CA,2023-02-03,1,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0
210,15.4843119581875,0.3111200630280995,CA,2023-02-04,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
211,NA,NA,CO,2022-12-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
212,0.985754707528373,0.3699221570914485,CO,2022-12-26,1,0,1,1,1,1,1,1,1,0,0,1,0,1,1,1
213,0.76709014949501,0.223848481385612,CO,2022-12-27,1,0,1,1,1,1,1,1,1,0,0,1,1,1,1,1
214,0.495299736079864,0.061168846899957,CO,2022-12-28,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
215,1.57107215004913,0.372000001798897,CO,2022-12-29,1,0,1,1,1,1,1,0,1,0,1,1,0,1,1,1
216,6.83359019974679,0.4358088109544805,CO,2022-12-30,1,1,0,1,0,1,1,0,1,1,1,1,0,0,1,0
217,0.828755047564398,0.288910988728237,CO,2022-12-31,1,1,1,1,1,0,1,1,1,1,0,1,1,0,1,1
218,NA,NA,CO,2023-01-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
219,1.15288896232543,0.1863945617462735,CO,2023-01-02,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1
220,3.12261259018881,0.3124718985190825,CO,2023-01-03,1,1,1,1,0,1,0,0,1,1,0,1,0,1,0,0
221,1.5021674772395,0.391510915691989,CO,2023-01-04,1,1,1,0,1,0,1,1,1,1,1,1,0,0,1,1
222,0.831199148091745,0.2598998193918,CO,2023-01-05,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0
223,0.676675054489037,0.0928571941803645,CO,2023-01-06,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1
224,0.852407609931023,0.4007485830508755,CO,2023-01-07,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,0
