...1,es_score,brier_score,location,target_date,X21L_50_CI,X22D_50_CI,X22E_50_CI,X22F_50_CI,X23A_50_CI,X23C_50_CI,recombinant_50_CI,other_50_CI,X22B_50_CI,X21L_95_CI,X22D_95_CI,X22E_95_CI,X22F_95_CI,X23A_95_CI,X23C_95_CI,recombinant_95_CI,other_95_CI,X22B_95_CI
21,0.933046248740975,0.360986946913135,AK,2022-12-31,1,0,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1
22,0.861561282055916,0.398837852916663,AK,2023-01-01,1,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1
23,0.878649829957614,0.2371984322667015,AK,2023-01-02,1,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1
24,0.897374282082456,0.2315841307383385,AK,2023-01-03,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1
25,1.65680201185475,0.224822808008918,AK,2023-01-04,1,0,1,1,0,1,1,1,1,1,0,0,1,0,1,1,1,1
26,0.65403977153263,0.0924371373044195,AK,2023-01-05,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
27,0.886404795332725,0.3055227175389305,AK,2023-01-06,1,0,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1
28,0.365687782572774,0.2853518163528865,AK,2023-01-07,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1
29,0.161263847201089,0.11738096642724451,AK,2023-01-08,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1
30,0.81654651396509,0.3030638687540635,AK,2023-01-09,1,0,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1
31,0.976677494068218,0.1823536013919935,AK,2023-01-10,1,1,0,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1
32,1.69466024524446,0.334393922404429,AK,2023-01-11,1,0,1,1,0,1,1,1,0,1,0,1,1,0,1,1,1,0
33,1.44545552545562,0.1627203353218475,AK,2023-01-12,1,1,0,1,0,1,1,1,1,1,1,0,0,0,1,1,1,1
34,0.525590730784158,0.231591010488399,AK,2023-01-13,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1
35,0.261590533187543,0.190922832904502,AK,2023-01-14,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1
36,0.266308137499495,0.2064126435837925,AK,2023-01-15,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1
37,0.66659283616474,0.237734915548108,AK,2023-01-16,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
38,2.48129871624807,0.2802935458806475,AK,2023-01-17,1,1,0,1,0,1,1,1,1,1,1,0,0,0,1,1,1,0
39,2.50675523960268,0.312731408371198,AK,2023-01-18,1,1,0,1,0,1,1,1,0,1,1,1,1,0,1,1,1,0
40,0.403131356929228,0.2435836506775945,AK,2023-01-19,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1
41,2.69125172032482,0.277313140554767,AK,2023-01-20,1,1,0,1,0,1,1,1,1,1,1,0,1,0,1,1,1,1
42,NA,NA,AK,2023-01-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43,1.62687840686511,0.52126489796391,AL,2022-12-11,1,0,0,1,1,1,1,0,1,1,0,0,1,1,1,1,0,1
44,1.33793779531954,0.429248060538072,AL,2022-12-12,1,0,0,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1
45,0.0882551993365882,0.0621779851992695,AL,2022-12-13,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
46,1.10348988881922,0.3328889404163105,AL,2022-12-14,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,0
47,1.5532348802908,0.296779518762704,AL,2022-12-15,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,1,1,0
48,0.839842696752725,0.2881762025022795,AL,2022-12-16,1,1,1,1,1,0,1,1,1,1,1,0,1,1,0,1,1,1
49,0.238975772795969,0.0532708694571955,AL,2022-12-17,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0
50,0.237840507060308,0.051839741760985,AL,2022-12-18,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0
51,0.474628384420388,0.200844073416315,AL,2022-12-19,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
52,1.57366615581955,0.228850058861682,AL,2022-12-20,1,0,1,1,1,1,1,0,1,1,0,0,0,1,0,1,0,0
53,2.49910086493526,0.434466803858121,AL,2022-12-21,1,1,0,1,0,0,1,1,1,1,1,0,1,0,0,1,1,0
54,NA,NA,AL,2022-12-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
55,NA,NA,AL,2022-12-23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
56,0.0679745000482476,0.0500420952280545,AL,2022-12-24,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
57,NA,NA,AL,2022-12-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
58,1.26525146681966,0.282995219372411,AL,2022-12-26,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,0,0
59,1.25475872339987,0.2202321411266775,AL,2022-12-27,1,1,1,1,0,1,1,1,1,1,1,1,0,0,1,1,1,1
60,2.1679971205421,0.3749254489691195,AL,2022-12-28,1,1,0,0,1,1,1,1,0,1,1,1,0,0,1,1,1,1
61,2.34059843727337,0.3018967629505825,AL,2022-12-29,1,1,1,0,1,1,0,1,1,1,1,0,0,0,1,0,1,0
62,1.91193458772962,0.3970395034894895,AL,2022-12-30,1,1,0,1,1,1,1,1,0,1,1,0,1,0,1,1,1,0
63,NA,NA,AL,2022-12-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
64,NA,NA,AL,2023-01-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
65,1.76090822526352,0.2335267767570655,AL,2023-01-02,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,1,1,1
66,2.79892703085371,0.2599949086082335,AL,2023-01-03,1,1,1,1,0,0,1,1,0,1,1,0,1,0,0,1,1,0
67,1.83869567325649,0.3490920842264525,AL,2023-01-04,1,1,0,0,1,1,1,1,1,1,1,0,0,0,1,1,1,0
68,0.791735091427707,0.228338125126201,AL,2023-01-05,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,0
69,1.73886099370298,0.4083088995479495,AL,2023-01-06,1,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1
70,2.46052508044207,0.455764486283109,AL,2023-01-07,1,1,0,1,1,0,0,1,0,1,1,0,0,0,0,0,1,0
71,1.56879424326753,0.710534177002905,AL,2023-01-08,1,1,0,1,1,0,1,1,0,1,1,0,1,0,0,1,1,0
72,1.15265304521058,0.302807477261917,AL,2023-01-09,1,1,1,1,1,0,1,1,1,1,1,0,1,0,0,1,1,0
73,1.11489156144423,0.2473046310549725,AL,2023-01-10,1,1,1,1,1,1,1,1,0,1,1,0,1,0,1,1,1,0
74,0.2800137110621,0.26633907024434,AL,2023-01-11,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1
75,0.939946330982704,0.412144041573267,AL,2023-01-12,1,1,1,1,1,0,1,1,1,1,1,0,1,1,0,1,1,1
76,NA,NA,AL,2023-01-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
77,NA,NA,AL,2023-01-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
78,NA,NA,AL,2023-01-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
79,NA,NA,AL,2023-01-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
80,NA,NA,AL,2023-01-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
81,2.12797296901234,0.34555708246669,AL,2023-01-18,1,1,0,0,0,1,1,1,1,1,1,0,0,0,0,1,1,1
82,0.372729871816704,0.2770674301728775,AL,2023-01-19,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1
83,0.386342554167186,0.296685544680339,AL,2023-01-20,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1
84,NA,NA,AL,2023-01-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
85,1.5627765262967,0.3376818314353995,AR,2022-12-11,1,1,0,1,1,1,1,1,0,1,0,0,1,1,1,1,1,0
86,9.14317222791008,0.3626718149576065,AR,2022-12-12,1,0,0,1,0,1,1,1,0,1,0,0,1,0,1,0,0,0
87,2.51440351901621,0.3167020189786835,AR,2022-12-13,1,0,0,1,1,1,0,0,0,1,1,0,1,0,1,0,0,0
88,5.68678476543133,0.3108788683883105,AR,2022-12-14,1,0,0,1,1,1,1,1,0,1,0,0,0,0,1,1,1,0
89,1.0591601662716,0.1682888507496255,AR,2022-12-15,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,0
90,4.08893563352244,0.487729672130618,AR,2022-12-16,1,0,0,1,1,1,0,1,0,1,0,0,0,1,1,0,1,0
91,0.74984449242454,0.262950513150518,AR,2022-12-17,1,1,1,0,1,1,1,1,1,1,1,0,0,1,1,1,1,1
92,0.76372677411768,0.2632558808819885,AR,2022-12-18,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0
93,2.29824173653761,0.239048066784462,AR,2022-12-19,1,1,1,1,1,1,1,1,0,0,1,0,0,1,1,1,1,0
94,4.49277083227795,0.3412313407087875,AR,2022-12-20,1,0,0,1,0,0,1,1,0,1,0,0,0,0,0,1,1,0
95,1.75428452947131,0.2413341404797725,AR,2022-12-21,1,0,1,1,1,1,1,0,1,1,1,0,0,0,0,1,1,1
96,1.91476819679133,0.3158665329148395,AR,2022-12-22,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,1,1,0
97,2.33950005965194,0.425875457583775,AR,2022-12-23,1,1,0,1,1,1,1,1,0,1,1,0,0,1,1,1,1,0
98,1.32837764712038,0.0500420952280545,AR,2022-12-24,1,1,0,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1
99,0.759735074300843,0.22228784687177,AR,2022-12-25,1,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1
100,3.04637101097114,0.116007048904003,AR,2022-12-26,1,1,0,1,0,1,1,1,1,1,1,0,0,0,1,1,1,0
101,1.28914279103538,0.3195604031574205,AR,2022-12-27,1,1,1,1,1,1,1,1,0,1,1,0,1,0,1,1,1,0
102,1.51855834015419,0.3008024091362505,AR,2022-12-28,1,0,1,1,1,1,1,1,0,1,0,0,1,0,1,1,1,0
103,7.27858561448149,0.4445799964171545,AR,2022-12-29,1,1,0,1,0,1,1,1,0,1,1,0,1,0,1,1,1,0
104,0.96674099483076,0.2020499110538115,AR,2022-12-30,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1
105,1.09414712131669,0.32540363211039,AR,2022-12-31,1,0,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1
106,0.0948891478776296,0.0694997008690535,AR,2023-01-01,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
107,1.45696833529605,0.1527378307941075,AR,2023-01-02,1,1,0,1,0,1,1,1,1,1,0,0,1,1,1,1,1,1
108,4.08402366184266,0.262825522821423,AR,2023-01-03,1,1,1,1,0,1,1,1,0,1,0,0,0,0,1,1,1,0
109,6.44279056098699,0.2361191320416985,AR,2023-01-04,1,1,0,0,0,1,1,0,0,1,0,0,0,0,1,1,0,0
110,4.27888429239385,0.3484019231247045,AR,2023-01-05,1,1,1,1,0,0,1,0,1,1,0,0,1,0,1,1,0,1
111,2.06152918723611,0.3293202372137535,AR,2023-01-06,1,0,1,1,0,1,1,1,1,1,0,1,0,0,1,1,1,0
112,1.16606268490348,0.2267907400296065,AR,2023-01-07,1,1,1,1,0,1,1,1,0,1,1,0,0,0,1,1,1,0
113,1.49924371279802,0.11738096642724451,AR,2023-01-08,1,1,0,1,0,1,1,1,1,1,1,0,1,0,1,1,1,1
114,3.06675260384932,0.325888097104305,AR,2023-01-09,1,1,1,1,1,1,1,0,0,1,0,0,0,0,1,1,0,0
115,5.5304933450761,0.258179313982547,AR,2023-01-10,1,1,0,1,0,1,1,1,0,1,1,0,0,0,1,1,1,0
116,4.47184055200289,0.2725169078546725,AR,2023-01-11,1,1,0,1,0,1,1,0,0,1,1,0,0,0,1,1,0,0
117,3.98005135068907,0.3278135121064965,AR,2023-01-12,1,0,1,1,0,1,1,0,1,1,0,0,1,0,1,1,0,1
118,2.24263321453214,0.3133623977770815,AR,2023-01-13,1,1,1,1,0,0,1,1,1,1,1,0,1,0,0,1,1,1
119,1.44192097252268,0.52716801200186,AR,2023-01-14,1,1,1,0,0,1,1,1,0,1,1,1,0,0,1,1,1,0
120,1.09683310614111,0.496244418036382,AR,2023-01-15,1,1,0,0,1,1,1,1,1,1,1,0,0,0,1,1,1,1
121,1.84188345337541,0.3856612310183085,AR,2023-01-16,1,1,0,1,1,1,1,1,0,1,1,1,1,0,1,1,1,0
122,4.20241003446485,0.2939628684681555,AR,2023-01-17,1,1,0,1,0,1,1,1,0,1,1,0,1,0,1,1,1,0
123,2.84171183070601,0.3375286634740175,AR,2023-01-18,1,1,0,1,0,1,1,1,0,1,1,0,1,0,1,1,1,0
124,1.62941841745437,0.318767502953287,AR,2023-01-19,1,1,1,1,0,1,1,1,0,1,0,0,0,0,1,1,1,0
125,2.65884824440023,0.437923062504548,AR,2023-01-20,0,1,0,1,0,0,1,1,1,0,1,1,1,0,0,1,1,1
126,0.297187151226463,0.192895643407065,AR,2023-01-21,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1
127,2.75979823937516,0.213427764217385,AZ,2022-12-11,1,1,0,1,0,0,1,1,1,1,0,0,1,0,0,1,0,0
128,5.94031687657587,0.293798866796594,AZ,2022-12-12,0,1,0,0,0,1,1,1,0,0,0,0,1,0,1,1,1,0
129,5.95804430799348,0.280164573993227,AZ,2022-12-13,0,0,0,1,0,1,1,1,0,0,0,0,0,0,1,1,0,0
130,3.05339017797875,0.2399700102428085,AZ,2022-12-14,1,0,1,1,0,1,1,1,0,0,0,0,0,0,0,1,1,0
131,3.36862238491138,0.2634323238252985,AZ,2022-12-15,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,0,1,0
132,2.47043264399351,0.2381781092690615,AZ,2022-12-16,0,1,1,1,0,1,1,1,0,0,0,1,0,0,1,1,0,0
133,2.57533091994624,0.304406523394539,AZ,2022-12-17,1,0,0,1,1,1,1,1,1,0,0,0,0,1,1,1,1,0
134,1.9550980797033,0.2188778001869345,AZ,2022-12-18,0,1,1,1,0,1,1,1,0,0,0,0,0,1,1,1,1,0
135,6.89058501682232,0.247411287790915,AZ,2022-12-19,1,1,1,1,0,1,1,1,0,0,0,0,0,0,1,1,0,0
136,5.96666421919319,0.3028488306136075,AZ,2022-12-20,1,1,0,1,1,1,1,1,0,1,0,0,0,0,0,1,0,0
137,5.17691176887544,0.2928677236051625,AZ,2022-12-21,1,1,0,1,1,1,1,1,0,1,0,0,0,0,1,1,0,0
138,1.43452843064659,0.1982778106495815,AZ,2022-12-22,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,0
139,2.0093687744485,0.2478166742665155,AZ,2022-12-23,1,1,1,0,0,1,0,1,1,1,1,0,0,0,1,0,1,0
140,0.859576025760244,0.23830784035521,AZ,2022-12-24,1,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0
141,0.0729061738636466,0.050952755818121,AZ,2022-12-25,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
142,3.70709172838282,0.246189005628656,AZ,2022-12-26,1,1,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0
143,7.26400482566864,0.210521968510393,AZ,2022-12-27,1,1,0,1,0,1,1,1,0,0,0,0,0,0,0,1,0,0
144,3.87770965610385,0.2989413299120455,AZ,2022-12-28,1,1,0,0,1,1,1,1,0,0,0,0,1,0,1,1,1,0
145,3.21416273951007,0.2967139907160335,AZ,2022-12-29,0,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,0
146,2.80519708617497,0.272951811917925,AZ,2022-12-30,1,0,1,0,0,1,1,1,1,1,0,1,0,0,1,1,1,0
147,1.15929937671374,0.241992203166921,AZ,2022-12-31,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,1,1
148,1.06222344017793,0.0694997008690535,AZ,2023-01-01,1,1,0,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1
149,7.43861349741829,0.2840955314863175,AZ,2023-01-02,0,1,1,0,0,1,1,1,0,0,1,0,0,0,1,1,1,0
150,6.08180193923532,0.26259814121635,AZ,2023-01-03,1,0,1,1,0,1,1,0,0,0,0,0,0,0,1,1,0,0
151,2.69028322163837,0.2470449311315005,AZ,2023-01-04,1,1,1,1,0,1,1,1,0,1,0,0,1,1,0,1,1,0
152,3.77881368033392,0.2628753143279305,AZ,2023-01-05,1,1,1,0,0,1,1,1,0,1,0,1,0,0,1,1,1,0
153,6.13702581903619,0.2338446782627335,AZ,2023-01-06,1,1,0,0,0,1,1,1,0,1,1,0,0,0,0,1,1,0
154,1.4124040547979,0.207034454286044,AZ,2023-01-07,1,1,1,1,0,1,1,1,0,1,1,0,0,0,0,1,1,0
155,1.55193002106579,0.268806399226246,AZ,2023-01-08,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,0
156,6.39132756051734,0.31804543447035,AZ,2023-01-09,1,1,1,0,0,1,1,1,0,1,0,0,0,0,0,1,1,0
157,5.09624889979188,0.247808441585736,AZ,2023-01-10,1,1,0,1,0,1,0,1,1,1,1,0,0,0,0,0,1,0
158,4.69839423786445,0.324800003146229,AZ,2023-01-11,1,0,1,0,0,1,1,1,0,1,0,0,0,0,0,1,1,0
159,1.15347089844895,0.319245055005583,AZ,2023-01-12,1,0,1,1,1,1,1,1,0,1,0,1,1,0,1,1,1,0
160,1.15752620084823,0.346854868585582,AZ,2023-01-13,1,1,1,0,1,1,1,1,0,1,1,0,0,0,1,1,1,1
161,0.886017343072056,0.3183832573700555,AZ,2023-01-14,1,1,1,0,1,1,1,1,1,1,1,0,0,1,1,1,1,1
162,1.81572394222196,0.3303827731896745,AZ,2023-01-15,1,1,1,0,1,1,1,1,1,1,0,0,0,0,0,1,1,0
163,8.21715907638687,0.3653854731644825,AZ,2023-01-16,1,0,1,0,0,1,1,1,0,1,0,1,0,0,0,1,1,0
164,3.42095349393471,0.2932665008305715,AZ,2023-01-17,1,1,0,1,0,1,1,1,1,1,0,0,1,0,0,1,1,1
165,1.64229052332889,0.3429438195568395,AZ,2023-01-18,1,0,1,1,0,1,1,1,0,1,0,0,0,1,1,1,1,0
166,3.13940859742755,0.3386346760458185,AZ,2023-01-19,1,1,0,0,1,1,1,1,1,1,1,0,0,0,1,1,1,1
167,0.75307710666406,0.249744719299146,AZ,2023-01-20,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1
168,0.411210816731233,0.2425232444592895,AZ,2023-01-21,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1
169,10.9761625037179,0.2425233087430685,CA,2022-12-11,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
170,14.7878646634748,0.229585670661238,CA,2022-12-12,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,1,0,0
171,8.70462553417445,0.2440049074105385,CA,2022-12-13,0,0,1,0,0,1,1,0,1,0,0,0,0,0,1,1,0,0
172,16.0658319362081,0.2787835694652145,CA,2022-12-14,0,0,0,1,1,1,1,1,0,1,0,0,0,0,0,1,0,0
173,11.2673083209223,0.224905464793434,CA,2022-12-15,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0
174,5.76515699392154,0.233674298341946,CA,2022-12-16,1,1,1,1,0,1,0,1,1,1,0,1,0,0,0,0,1,0
175,14.0636065344429,0.253887338349635,CA,2022-12-17,1,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0
176,13.8554549703158,0.1991632767080805,CA,2022-12-18,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
177,16.1554484365595,0.2223966560426045,CA,2022-12-19,1,0,1,1,0,0,1,1,0,0,0,0,0,0,1,0,1,0
178,18.6561670453406,0.1792757326074685,CA,2022-12-20,1,1,0,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0
179,11.0261990838226,0.2219655066360375,CA,2022-12-21,0,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0
180,28.4434741450712,0.2464286263957495,CA,2022-12-22,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0
181,38.4958866863321,0.2186171272717195,CA,2022-12-23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
182,11.9979521166831,0.242382282131424,CA,2022-12-24,0,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,1,0
183,0.413499709354703,0.050952755818121,CA,2022-12-25,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1
184,33.3909169214564,0.2346347498686205,CA,2022-12-26,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
185,43.0555789909114,0.2312761491991325,CA,2022-12-27,0,0,1,1,0,1,1,1,0,0,0,0,0,0,1,1,0,0
186,39.4918339811182,0.2210903136523915,CA,2022-12-28,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
187,27.8305730294095,0.2352135403670785,CA,2022-12-29,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0
188,43.7198741857165,0.2637303275203515,CA,2022-12-30,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
189,13.925425421056,0.279727212441798,CA,2022-12-31,1,0,0,1,0,1,1,1,0,0,0,0,0,0,1,1,0,1
190,1.05505419281334,0.196866117963295,CA,2023-01-01,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1,1,1
191,49.0248211111103,0.24209747378512,CA,2023-01-02,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
192,31.7897482379625,0.304236081198646,CA,2023-01-03,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0
193,19.0536506611497,0.2705050557179965,CA,2023-01-04,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
194,21.0868685309748,0.270712753762237,CA,2023-01-05,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
195,12.8648451584826,0.283816512135461,CA,2023-01-06,0,1,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0
196,19.3014500870345,0.281626005699002,CA,2023-01-07,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
197,10.0368735075314,0.269739422372591,CA,2023-01-08,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0
198,36.0482522357852,0.2659918669732695,CA,2023-01-09,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
199,23.728714521161,0.309607653071361,CA,2023-01-10,1,0,1,0,0,0,1,1,0,1,0,0,0,0,0,1,1,0
200,28.7133884089087,0.326910182977967,CA,2023-01-11,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
201,32.1986511923743,0.3014552125414535,CA,2023-01-12,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0
202,23.413237678454,0.318762716654182,CA,2023-01-13,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
203,19.1058856010818,0.3101758557419465,CA,2023-01-14,1,0,0,1,0,1,1,1,0,0,0,0,0,0,1,1,1,0
204,19.8292165791836,0.3401530761091895,CA,2023-01-15,0,1,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0
205,22.5544068868981,0.3257515363815555,CA,2023-01-16,1,0,1,0,0,1,1,1,0,1,0,0,0,0,0,1,1,0
206,26.6706377582095,0.3340360314085885,CA,2023-01-17,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0
207,20.6906362355151,0.3233180507138745,CA,2023-01-18,1,1,0,1,0,1,1,0,0,1,0,0,0,0,0,1,0,0
208,7.03774730766589,0.361148284643414,CA,2023-01-19,0,1,1,1,0,1,1,0,0,0,1,0,0,0,0,1,0,0
209,16.0224047830975,0.335867530520739,CA,2023-01-20,1,0,0,1,0,1,1,1,0,0,0,0,0,0,1,1,0,0
