...1,es_score,brier_score,location,target_date,X21K_50_CI,X21L_50_CI,X22E_50_CI,X22F_50_CI,X23B_50_CI,X23D_50_CI,X23E_50_CI,other_50_CI,X23A_50_CI,X21K_95_CI,X21L_95_CI,X22E_95_CI,X22F_95_CI,X23B_95_CI,X23D_95_CI,X23E_95_CI,other_95_CI,X23A_95_CI
155,1.62555461260098,0.2057148190519105,AZ,2023-04-30,1,1,1,1,0,0,1,1,1,1,1,1,1,0,0,0,1,0
156,4.17877992694184,0.1207191636276275,AZ,2023-05-01,1,1,1,0,0,0,1,1,0,1,1,1,0,0,0,0,1,0
157,4.75093750895593,0.214924649892744,AZ,2023-05-02,1,1,1,1,0,0,1,0,1,1,1,1,1,0,0,0,0,0
158,5.06823336206306,0.165363068930396,AZ,2023-05-03,1,1,1,1,0,1,1,1,0,1,1,1,1,0,0,1,1,0
159,2.97846766725961,0.11542912078414,AZ,2023-05-04,1,1,1,1,1,0,1,1,0,1,1,1,1,0,0,1,1,0
160,1.58219268957508,0.254358950244157,AZ,2023-05-05,1,1,1,0,0,1,1,1,1,1,1,1,0,0,0,1,1,0
161,2.02271499096684,0.092873542930678,AZ,2023-05-06,1,1,1,1,0,1,1,1,0,1,1,1,1,1,0,1,1,0
162,2.42754669459981,0.297784899447023,AZ,2023-05-07,1,1,0,0,0,1,0,1,1,1,1,0,0,0,0,0,1,0
163,6.24032558754056,0.3018871460357595,AZ,2023-05-08,1,1,1,0,0,0,1,0,1,1,1,1,1,0,0,1,0,0
164,11.6685854226032,0.1637293384846605,AZ,2023-05-09,1,1,1,1,0,0,1,0,0,1,1,1,1,0,0,0,0,0
165,8.37132965161159,0.1990424504491495,AZ,2023-05-10,1,1,1,0,0,1,1,1,0,1,1,1,0,0,0,0,1,0
166,0.521571267266971,0.1325987789862745,AZ,2023-05-11,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0
167,2.17199336874732,0.221477269728728,AZ,2023-05-12,1,1,1,0,0,1,1,1,0,1,1,1,0,0,1,1,1,1
168,NA,NA,AZ,2023-05-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
169,4.44117083853729,0.168918701590766,CA,2023-04-02,1,1,1,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0
170,6.27384197629178,0.15815828283213,CA,2023-04-03,1,1,1,0,1,1,1,0,0,1,1,1,0,0,1,0,0,0
171,2.00150203559779,0.081189054154757,CA,2023-04-04,1,1,1,1,1,0,1,0,1,1,1,1,1,0,0,1,0,0
172,6.31898197690719,0.164547935319708,CA,2023-04-05,1,1,1,0,1,0,1,0,0,1,1,1,0,0,0,1,0,0
173,9.31123348688725,0.2052132756752125,CA,2023-04-06,1,1,1,0,1,0,1,0,0,1,1,0,0,1,0,1,0,0
174,3.27754434723219,0.1453899892863595,CA,2023-04-07,1,1,1,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0
175,3.3263542037649,0.1321129024092995,CA,2023-04-08,1,1,1,1,0,0,1,1,1,1,1,0,1,0,1,0,1,0
176,0.571702925724049,0.068771844063445,CA,2023-04-09,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0
177,9.56074879417999,0.19209007161298,CA,2023-04-10,1,1,0,1,1,0,1,0,0,1,1,0,1,0,0,0,0,0
178,2.7898171083051,0.1064079228619185,CA,2023-04-11,1,1,1,1,0,1,1,1,1,1,1,1,0,0,0,1,1,1
179,8.5934610477438,0.213826820329065,CA,2023-04-12,1,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0
180,2.28803271959689,0.1437971256031895,CA,2023-04-13,1,1,1,0,1,1,1,0,1,1,1,1,0,0,0,0,1,0
181,5.14608927804319,0.0779480308060335,CA,2023-04-14,1,1,1,1,0,0,1,1,0,1,1,0,1,0,0,0,1,0
182,3.6092938244626,0.1487216015238585,CA,2023-04-15,1,1,0,0,1,0,1,0,1,1,1,0,0,1,0,1,0,1
183,2.66583520356303,0.147464246669688,CA,2023-04-16,1,1,1,0,0,0,1,0,1,1,1,1,1,0,0,0,0,1
184,3.15591865472282,0.147462246432457,CA,2023-04-17,1,1,1,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0
185,2.67788200286207,0.128233237796556,CA,2023-04-18,1,1,1,1,0,1,1,0,1,1,1,1,1,0,0,1,0,0
186,3.53679798979644,0.213119859665655,CA,2023-04-19,1,1,1,1,1,1,0,0,0,1,1,0,1,0,0,0,0,0
187,2.64348697719297,0.206495910096912,CA,2023-04-20,1,1,0,0,1,1,0,1,0,1,1,0,0,1,0,0,1,0
188,5.46105762269623,0.080487125632055,CA,2023-04-21,1,1,1,0,0,0,1,1,0,1,1,1,0,0,0,1,1,0
189,5.44414847992766,0.320439454197237,CA,2023-04-22,1,1,0,1,1,1,0,0,0,1,1,0,1,1,0,0,0,0
190,1.62087367640458,0.262808451372269,CA,2023-04-23,1,1,1,1,0,1,1,1,1,1,1,1,0,0,1,1,1,0
191,2.36158526305445,0.1590648313765805,CA,2023-04-24,1,1,1,1,1,0,1,0,1,1,1,1,1,0,0,1,0,1
192,6.67911327119505,0.2428594243076975,CA,2023-04-25,1,1,1,0,0,1,0,0,0,1,1,1,0,0,0,1,0,0
193,7.91561421793583,0.146132972722551,CA,2023-04-26,1,1,1,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0
194,4.51346311432802,0.171195457447451,CA,2023-04-27,1,1,1,0,0,1,1,1,0,1,1,1,0,0,0,0,1,0
195,3.94993938746287,0.181510316837821,CA,2023-04-28,1,1,0,0,0,0,1,1,0,1,1,0,0,0,0,0,1,0
196,4.56713937959896,0.277732562027296,CA,2023-04-29,1,1,0,0,1,1,0,0,0,1,1,1,0,0,0,0,0,0
197,4.62140238665021,0.196197203964991,CA,2023-04-30,1,1,1,0,0,1,1,0,0,1,1,1,0,0,0,0,0,0
198,4.73257186913556,0.2487998700647565,CA,2023-05-01,1,1,1,0,0,0,1,1,1,1,1,1,0,0,0,0,1,0
199,5.53267441750644,0.276504502655416,CA,2023-05-02,1,1,1,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0
200,6.04487398615591,0.199987161063032,CA,2023-05-03,1,1,1,0,0,0,1,1,0,1,1,1,0,0,0,0,1,0
201,2.36290505756394,0.2359515015589755,CA,2023-05-04,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,0,1,0
