...1,es_score,brier_score,location,target_date,X21L_50_CI,X22A_50_CI,X22D_50_CI,X22E_50_CI,other_50_CI,X22B_50_CI,X21L_95_CI,X22A_95_CI,X22D_95_CI,X22E_95_CI,other_95_CI,X22B_95_CI
28,NA,NA,AK,2022-10-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29,NA,NA,AK,2022-10-09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30,1.12848104168205,0.2812552158499215,AK,2022-10-10,1,1,0,1,1,1,1,1,0,0,1,1
31,0.0707110598716517,0.04796177299604685,AK,2022-10-11,1,1,1,1,1,1,1,1,1,1,1,1
32,NA,NA,AK,2022-10-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33,NA,NA,AK,2022-10-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34,NA,NA,AK,2022-10-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
35,NA,NA,AK,2022-10-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36,NA,NA,AK,2022-10-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37,NA,NA,AK,2022-10-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38,0.506187770582644,0.1207405471672745,AK,2022-10-18,1,1,1,1,1,1,1,1,1,1,1,1
39,0.21592890066617,0.1370640079827085,AK,2022-10-19,1,1,1,1,1,1,1,1,1,1,1,1
40,NA,NA,AK,2022-10-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41,NA,NA,AK,2022-10-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42,NA,NA,AK,2022-10-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43,0.483076007949711,0.16869834311084,AL,2022-09-11,1,1,1,1,1,1,1,0,1,1,1,0
44,1.00399232628541,0.1863055791142885,AL,2022-09-12,1,0,1,1,1,1,1,1,1,1,1,1
45,0.326193014212466,0.083080487912017,AL,2022-09-13,1,1,1,1,1,1,1,1,1,0,1,0
46,1.13850785054147,0.208506099693845,AL,2022-09-14,1,0,1,1,1,0,1,0,1,0,1,1
47,0.456725494123041,0.0113656198810747,AL,2022-09-15,1,1,1,1,1,1,1,0,1,1,1,0
48,0.596263350748499,0.208812434407678,AL,2022-09-16,1,1,1,1,1,1,1,1,1,1,1,1
49,0.61157256222036,0.208942200115159,AL,2022-09-17,1,1,1,1,1,1,1,0,1,1,1,0
50,0.016333459508552,0.0113223685046045,AL,2022-09-18,1,1,1,1,1,1,1,1,1,1,1,1
51,0.75104281460515,0.2750805149535055,AL,2022-09-19,1,0,1,1,1,1,1,0,1,1,1,0
52,0.190267732277653,0.01144180356995685,AL,2022-09-20,1,1,1,1,1,1,1,1,1,1,1,1
53,0.387631544895366,0.1245487888759745,AL,2022-09-21,1,1,1,1,1,1,1,0,1,1,1,0
54,0.513368199125285,0.169812788822312,AL,2022-09-22,1,1,1,1,1,1,1,0,1,1,1,0
55,2.38928094133651,0.30807978762496,AL,2022-09-23,1,0,1,1,1,0,1,0,1,1,1,0
56,0.122957774100897,0.0122068700563173,AL,2022-09-24,1,1,1,1,1,1,1,1,1,1,1,1
57,0.611435043594761,0.209380401184653,AL,2022-09-25,1,1,1,1,1,1,1,0,1,1,1,0
58,0.625440438153075,0.209374692058877,AL,2022-09-26,1,1,1,1,1,1,1,0,1,1,1,0
59,0.739524007614922,0.274657501135913,AL,2022-09-27,1,0,1,1,1,1,1,1,1,1,1,1
60,0.330440597076047,0.0141234367231678,AL,2022-09-28,1,1,1,1,1,1,1,0,1,0,1,0
61,0.73554979670282306,0.274204107090127,AL,2022-09-29,1,0,1,1,1,1,1,0,1,1,1,0
62,0.0752154079864335,0.0157971612615149,AL,2022-09-30,1,1,1,1,1,1,1,1,1,1,1,1
63,1.57764047109117,0.325054481009583,AL,2022-10-01,1,0,1,1,1,0,1,0,1,1,1,0
64,0.19000476825027,0.01819582361190165,AL,2022-10-02,1,1,1,1,1,1,1,0,1,1,1,0
65,0.0284026267272059,0.0197500216173869,AL,2022-10-03,1,1,1,1,1,1,1,1,1,1,1,1
66,NA,NA,AL,2022-10-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
67,0.12017707140189,0.0237858881125337,AL,2022-10-05,1,1,1,1,1,1,1,1,1,1,1,1
68,NA,NA,AL,2022-10-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
69,NA,NA,AL,2022-10-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
70,0.171244665289513,0.03303138741551895,AL,2022-10-08,1,1,1,1,1,1,1,1,1,1,1,1
71,0.346980222211224,0.03725584123427775,AL,2022-10-09,1,1,1,1,1,1,1,0,1,1,1,0
72,0.203739056375079,0.0421988915320872,AL,2022-10-10,1,1,1,1,1,1,1,1,1,1,1,1
73,0.430240279797748,0.04796177299604685,AL,2022-10-11,1,1,1,1,1,1,1,1,1,0,1,0
74,1.18554502488655,0.350313231611379,AL,2022-10-12,1,1,1,1,1,0,1,1,1,0,1,0
75,0.91388753576971,0.194739172819122,AL,2022-10-13,1,0,1,1,1,1,1,1,1,0,1,0
76,0.869023264304116,0.07128165222517,AL,2022-10-14,1,1,1,1,1,0,1,0,1,1,1,0
77,0.126147835516759,0.081454456355885,AL,2022-10-15,1,1,1,1,1,1,1,1,1,1,1,1
78,1.21551181021856,0.219047722932698,AL,2022-10-16,1,1,0,0,1,1,1,1,0,1,1,0
79,0.900765974410266,0.410838309097114,AL,2022-10-17,1,1,0,1,1,1,1,1,0,0,1,1
80,0.189699849423253,0.1207405471672745,AL,2022-10-18,1,1,1,1,1,1,1,1,1,0,1,0
81,0.572607144356134,0.1370640079827085,AL,2022-10-19,1,1,1,1,1,1,1,1,1,0,1,0
82,0.242629507280717,0.1551062144743285,AL,2022-10-20,1,1,1,1,1,1,1,1,1,0,1,0
83,0.274681554583763,0.174890765196973,AL,2022-10-21,1,1,1,1,1,1,1,1,1,1,1,1
84,0.304401153601154,0.1964092713834805,AL,2022-10-22,1,1,1,1,1,1,1,1,1,1,1,1
85,0.496378125704744,0.064049197054839,AR,2022-09-11,1,1,1,1,1,1,1,1,1,1,1,1
86,2.89749069700807,0.1564231518025935,AR,2022-09-12,1,0,1,1,1,0,1,0,0,1,1,0
87,0.964381245926823,0.1042937990923035,AR,2022-09-13,1,1,1,1,0,1,1,1,0,1,0,1
88,1.95213397107928,0.04980722861690985,AR,2022-09-14,1,0,1,1,0,0,1,0,1,1,0,0
89,1.05064078195141,0.142899746664324,AR,2022-09-15,1,0,1,1,1,1,1,1,1,1,1,1
90,1.00557793141603,0.134425561260889,AR,2022-09-16,1,1,1,1,0,1,1,0,1,1,0,1
91,1.07264359907218,0.305329305014387,AR,2022-09-17,0,1,1,1,1,1,0,1,1,1,1,0
92,1.050923529369,0.1870850869438305,AR,2022-09-18,1,0,1,1,1,1,1,0,1,0,1,0
93,1.2676255664994,0.11707585714237,AR,2022-09-19,1,1,1,1,0,1,1,0,1,1,0,0
94,0.667904331626236,0.080237815798225,AR,2022-09-20,1,1,1,1,1,1,1,0,1,1,1,0
95,1.7023455625654,0.119209724738071,AR,2022-09-21,0,1,1,1,1,1,0,0,1,1,1,1
96,0.562772887160434,0.064417490375961,AR,2022-09-22,1,1,1,1,1,1,1,0,1,1,1,0
97,0.612963827511884,0.2093643081160725,AR,2022-09-23,1,1,1,1,1,1,1,1,1,1,1,1
98,0.0178041284707544,0.0122068700563173,AR,2022-09-24,1,1,1,1,1,1,1,1,1,1,1,1
99,0.0653565784058329,0.0125500379238852,AR,2022-09-25,1,1,1,1,1,1,1,1,1,1,1,1
100,1.45034916198313,0.0639223501331215,AR,2022-09-26,0,0,1,1,1,1,0,1,1,0,1,0
101,0.654905872234596,0.0694571207166665,AR,2022-09-27,1,1,1,1,1,1,1,0,1,0,1,0
102,0.856671082562544,0.096329580417739,AR,2022-09-28,1,1,1,1,1,1,1,1,0,1,1,0
103,1.46892058092182,0.0148837571914423,AR,2022-09-29,1,1,1,1,1,0,1,1,0,1,1,0
104,1.30767712741535,0.2370712616431835,AR,2022-09-30,1,0,1,1,1,1,1,0,1,1,1,0
105,0.0806195762965712,0.0168906051549127,AR,2022-10-01,1,1,1,1,1,1,1,1,0,1,1,0
106,0.414284767517741,0.01819582361190165,AR,2022-10-02,1,1,1,1,1,1,1,1,1,1,1,1
107,1.68234031125973,0.1827102192426255,AR,2022-10-03,1,0,1,1,1,1,1,0,1,1,1,0
108,0.576179509739444,0.1878155156115215,AR,2022-10-04,1,1,1,1,1,1,1,0,1,0,1,0
109,3.64129677709291,0.0237858881125337,AR,2022-10-05,1,0,1,0,1,0,1,0,1,0,1,0
110,0.543436155478347,0.02637584862151305,AR,2022-10-06,1,1,1,1,1,1,1,1,1,1,1,1
111,1.93753946192685,0.195508382435192,AR,2022-10-07,1,1,1,0,0,1,1,0,1,0,0,1
112,0.708983899909513,0.1534784765508395,AR,2022-10-08,1,1,1,1,1,1,1,0,1,0,1,1
113,0.340681783326119,0.03725584123427775,AR,2022-10-09,1,1,1,1,1,1,1,1,1,1,1,1
114,1.23642883466916,0.0421988915320872,AR,2022-10-10,1,1,1,1,1,0,1,1,0,1,1,0
115,2.90948780849865,0.124539073303358,AR,2022-10-11,1,1,1,0,1,0,1,0,0,0,1,0
116,0.844476526432121,0.189853611263393,AR,2022-10-12,1,0,1,1,1,1,1,0,1,0,1,0
117,1.05593796400804,0.172680504709636,AR,2022-10-13,1,1,1,0,1,1,1,0,0,0,1,0
118,0.860552061543676,0.2328976638973255,AR,2022-10-14,1,0,1,1,1,1,1,1,1,1,1,1
119,0.83940094589202,0.2914957563044265,AR,2022-10-15,1,0,1,1,1,1,1,0,1,0,1,1
120,0.985170062935481,0.246210775479063,AR,2022-10-16,1,0,1,1,1,1,1,0,1,1,1,0
121,1.80673540315983,0.26076195135233,AR,2022-10-17,1,0,1,0,1,1,1,0,1,0,1,0
122,3.59351491225545,0.1741956471799435,AR,2022-10-18,1,1,1,0,1,0,1,1,0,0,1,0
123,0.907795650989701,0.4145839551279225,AR,2022-10-19,1,0,1,1,1,1,1,0,1,1,1,0
124,1.29463897805761,0.288645829656707,AR,2022-10-20,1,0,1,0,1,1,1,0,1,0,1,0
125,1.51773280568636,0.53137741200271,AR,2022-10-21,0,1,0,0,1,1,0,1,0,0,1,0
126,1.28868864239198,0.1964092713834805,AR,2022-10-22,1,1,1,0,1,0,1,1,1,0,1,0
127,0.557849573743741,0.060778911240589,AZ,2022-09-11,1,1,1,1,1,1,1,1,1,1,1,1
128,1.43174518364515,0.1038739292294825,AZ,2022-09-12,1,1,0,1,1,1,1,0,0,1,1,0
129,0.842101502520608,0.1093244659296195,AZ,2022-09-13,1,1,1,0,1,1,1,0,1,0,1,0
130,2.24956148339566,0.196913224591124,AZ,2022-09-14,1,0,1,1,1,0,1,0,1,1,1,0
131,0.558035211260526,0.116592921307674,AZ,2022-09-15,1,1,1,1,1,1,1,0,1,1,1,0
132,1.08003198584133,0.0113259240122854,AZ,2022-09-16,1,1,1,1,1,0,1,0,1,1,1,0
133,0.77884066172375,0.1219756443608265,AZ,2022-09-17,1,1,1,0,1,1,1,0,1,0,1,0
134,0.928590816478811,0.090154010359214,AZ,2022-09-18,1,1,1,0,1,1,1,0,1,0,1,1
135,1.13737934031353,0.1274112506307525,AZ,2022-09-19,1,1,1,1,1,1,1,1,0,0,1,1
136,1.09276051120738,0.068867447031477,AZ,2022-09-20,1,1,1,0,1,1,1,0,0,0,1,0
137,2.2564790338262,0.19456114477246,AZ,2022-09-21,1,0,1,1,1,0,1,0,0,0,1,0
138,0.698227759435193,0.105363013785366,AZ,2022-09-22,1,1,1,1,1,1,1,0,0,0,1,0
139,2.0543890609681,0.0119333490982977,AZ,2022-09-23,1,0,1,1,1,0,1,0,1,0,1,0
140,0.380408429149325,0.0122068700563173,AZ,2022-09-24,1,1,1,1,1,1,1,0,1,0,1,0
141,0.710026213435534,0.0954259803494715,AZ,2022-09-25,1,1,1,1,1,1,1,1,1,1,1,1
142,2.21590616580542,0.0840992805989825,AZ,2022-09-26,1,1,1,1,0,0,1,0,1,0,0,0
143,2.44328601091221,0.1055609935533305,AZ,2022-09-27,1,0,0,0,1,1,1,0,0,0,1,0
144,0.959850186442361,0.114166986238646,AZ,2022-09-28,1,1,1,1,1,1,1,1,0,1,1,0
145,1.20100712840906,0.151917678318963,AZ,2022-09-29,0,1,1,1,1,1,0,0,0,1,1,0
146,1.11905866363335,0.0157971612615149,AZ,2022-09-30,1,1,1,1,1,0,1,0,1,0,1,0
147,0.884693625649431,0.0719198687003895,AZ,2022-10-01,1,1,1,1,1,1,1,0,0,1,1,0
148,2.39963969343274,0.2745862929876175,AZ,2022-10-02,1,1,1,0,1,0,1,0,0,0,1,0
149,1.4010779216541,0.170477378102237,AZ,2022-10-03,1,1,1,1,1,1,1,0,0,1,1,0
150,1.37632481862375,0.179753402351388,AZ,2022-10-04,1,0,1,1,1,1,1,0,0,1,1,1
151,2.08401319598059,0.0888108041096505,AZ,2022-10-05,1,1,1,0,1,0,1,0,1,0,1,0
152,1.50006392534265,0.1189104043006985,AZ,2022-10-06,1,1,1,0,1,1,1,0,1,0,1,0
153,1.27314641840159,0.1368347215318835,AZ,2022-10-07,1,1,1,1,1,1,1,0,0,1,1,0
154,1.68295754335013,0.309843158235495,AZ,2022-10-08,1,0,1,1,1,0,1,0,1,1,1,0
155,0.483376251956946,0.128188463674283,AZ,2022-10-09,1,1,1,1,1,1,1,1,0,0,1,1
156,3.68409650337639,0.1568445649879475,AZ,2022-10-10,1,0,1,1,0,0,1,0,1,1,0,0
157,2.84486334147453,0.0910365044189095,AZ,2022-10-11,1,1,1,0,1,0,1,0,1,0,1,0
158,1.08328161471641,0.185196726372041,AZ,2022-10-12,1,1,1,1,1,1,1,0,0,0,1,0
159,0.956618086208952,0.2095758704375705,AZ,2022-10-13,1,1,1,1,1,1,1,1,1,0,1,0
160,1.34928424615408,0.1782838753945845,AZ,2022-10-14,1,1,1,1,1,1,1,0,0,0,1,0
161,1.73639263114505,0.1255564696390055,AZ,2022-10-15,1,1,1,0,1,0,1,1,1,1,1,1
162,1.32968806615066,0.165845237164967,AZ,2022-10-16,1,1,1,1,1,0,1,1,1,0,1,0
163,11.9493077426394,0.155752596419536,AZ,2022-10-17,1,1,0,0,1,0,1,0,0,0,1,0
164,2.28968328621055,0.219613070773295,AZ,2022-10-18,1,1,1,1,1,0,1,0,0,0,1,0
165,1.68974921126393,0.2599780322228375,AZ,2022-10-19,1,1,1,1,0,1,1,0,0,0,0,0
166,1.79691695840209,0.2452928194428535,AZ,2022-10-20,1,1,1,1,1,1,1,0,1,1,1,0
167,3.68388549641345,0.200936413254853,AZ,2022-10-21,1,1,1,0,1,0,1,1,0,0,1,0
168,0.211779268590453,0.255733534516617,AZ,2022-10-22,1,1,1,1,1,1,1,1,1,0,1,0
169,2.01213795426998,0.104067811373713,CA,2022-09-11,1,1,1,1,0,1,1,0,0,1,1,0
170,19.7448455233489,0.079215044884138,CA,2022-09-12,0,0,1,1,0,0,0,0,1,0,0,0
171,5.18395813935487,0.0914645672315175,CA,2022-09-13,1,0,1,1,1,0,1,0,0,0,1,0
172,3.30615995737629,0.090018970168878,CA,2022-09-14,0,0,0,1,0,1,0,1,0,1,0,1
173,2.39578123429191,0.0926306245126395,CA,2022-09-15,0,1,1,1,1,1,0,0,0,1,1,0
174,8.04107047035136,0.082161766968304,CA,2022-09-16,0,0,0,0,1,0,0,0,0,0,1,0
175,4.51848130018004,0.107172811671936,CA,2022-09-17,0,1,0,0,1,1,0,0,0,0,1,0
176,9.36613197814113,0.0940437904974925,CA,2022-09-18,0,0,0,1,1,0,0,0,0,0,1,0
177,9.30660004518602,0.0875461238859285,CA,2022-09-19,0,0,0,1,0,0,0,0,0,0,0,0
178,5.13962152825099,0.0715504726204475,CA,2022-09-20,1,1,1,0,1,0,1,0,0,0,1,0
179,2.15703859939613,0.1140305546398335,CA,2022-09-21,0,1,1,1,1,1,0,1,0,0,1,0
180,4.22990585633499,0.078952613728054,CA,2022-09-22,1,0,1,1,0,0,1,0,0,0,0,0
181,10.0388073134272,0.0725998420968355,CA,2022-09-23,0,0,1,0,1,0,0,0,0,0,1,0
182,4.41822044854066,0.119293874763567,CA,2022-09-24,0,0,0,1,1,1,0,0,0,0,1,1
183,2.59131997661821,0.1158949347944445,CA,2022-09-25,0,1,1,0,1,1,0,0,1,0,1,0
184,14.2242426771973,0.092859306818437,CA,2022-09-26,0,0,0,0,0,0,0,0,1,0,0,0
185,2.91091580203493,0.1274439500290495,CA,2022-09-27,0,1,1,1,0,1,0,0,1,0,0,0
186,3.16917287413044,0.096369349751744,CA,2022-09-28,1,1,1,0,1,0,1,1,0,0,1,0
187,3.68184505994363,0.122351582161248,CA,2022-09-29,1,0,0,1,1,1,1,0,0,1,1,0
188,5.42155185619312,0.1505651608699415,CA,2022-09-30,0,0,0,0,1,1,0,1,0,0,1,1
189,4.84502496530607,0.1213067778941095,CA,2022-10-01,0,1,1,0,0,0,0,0,0,0,0,0
190,3.0842905798638802,0.143220547183446,CA,2022-10-02,0,1,1,1,1,1,0,0,1,0,1,0
191,10.9737861569079,0.133776142359619,CA,2022-10-03,0,0,1,0,0,0,0,0,1,0,0,0
192,6.32518699225274,0.1378067080416655,CA,2022-10-04,0,0,0,0,0,1,0,0,0,0,0,1
193,6.98801530662613,0.137561171982935,CA,2022-10-05,0,0,1,0,1,0,0,0,0,0,1,0
194,6.50075003611402,0.171065240277743,CA,2022-10-06,0,0,1,0,1,1,0,0,0,0,1,0
195,4.7975257823569,0.162691568358161,CA,2022-10-07,0,1,1,0,0,1,0,0,0,1,0,0
196,5.39396293673777,0.1489850405463615,CA,2022-10-08,0,1,1,0,1,0,0,1,0,0,1,0
197,7.32310840676651,0.160027707660825,CA,2022-10-09,0,1,0,0,1,0,0,0,0,0,1,0
198,21.4995368439685,0.1428145603728565,CA,2022-10-10,0,1,0,0,0,0,0,0,0,0,0,0
199,6.50729214776359,0.186496757192796,CA,2022-10-11,0,1,1,0,0,0,0,0,0,0,0,0
200,10.3271720444197,0.2091562773357925,CA,2022-10-12,0,0,1,0,1,1,0,0,0,0,1,0
201,21.0970836426421,0.214476543170501,CA,2022-10-13,0,0,0,0,1,0,0,0,0,0,1,0
202,15.3813911330991,0.2062519270608845,CA,2022-10-14,0,0,0,0,0,0,0,0,1,0,0,0
203,17.2400376535382,0.199254142419484,CA,2022-10-15,0,1,0,0,0,0,0,0,0,0,0,0
204,10.6969786061123,0.206180589724123,CA,2022-10-16,0,1,0,0,0,0,0,1,0,0,0,0
205,30.3575366596649,0.2283254960836175,CA,2022-10-17,0,0,0,0,0,0,0,0,0,0,0,0
206,15.9841474597327,0.260415323968453,CA,2022-10-18,0,0,0,0,1,0,0,0,0,0,1,0
207,27.8526834267016,0.270657418052821,CA,2022-10-19,0,0,0,0,0,0,0,0,0,0,0,0
208,23.7199600346019,0.2551854999482585,CA,2022-10-20,0,0,1,0,1,0,0,0,0,0,1,0
209,22.6865925475639,0.240317469795973,CA,2022-10-21,0,1,1,0,0,0,0,0,0,0,0,0
210,16.4115493552423,0.26635200388381,CA,2022-10-22,0,0,0,0,0,0,0,0,0,0,0,0
211,1.32977341597223,0.2880532240073735,CO,2022-09-11,1,1,0,1,1,0,1,0,1,1,1,0
212,1.03810710879019,0.142631262274119,CO,2022-09-12,1,1,1,1,1,1,1,0,1,1,1,0
213,0.309529513742453,0.098985331010732,CO,2022-09-13,1,1,1,1,1,1,1,0,1,1,1,0
214,1.10982379273712,0.0849889004804525,CO,2022-09-14,1,1,1,1,0,1,1,0,0,1,0,0
215,0.678124563135685,0.0113656198810747,CO,2022-09-15,1,1,1,1,1,1,1,0,1,0,1,0
216,1.42213004708383,0.0113259240122854,CO,2022-09-16,1,0,1,1,1,0,1,0,1,0,1,0
217,0.340337708261914,0.083176605768306,CO,2022-09-17,1,1,1,1,1,1,1,0,1,1,1,0
218,0.601856489510697,0.209055426748734,CO,2022-09-18,1,1,1,1,1,1,1,0,1,1,0,1
219,1.29274945411501,0.04432924111799695,CO,2022-09-19,1,1,1,1,1,0,1,1,1,1,1,1
220,2.03561109477142,0.2180091526384425,CO,2022-09-20,1,1,1,0,1,0,1,1,1,0,1,0
221,1.01283975402357,0.164040010913066,CO,2022-09-21,1,1,1,1,1,1,1,0,1,1,1,0
222,0.960907931625425,0.169812788822312,CO,2022-09-22,1,0,1,1,1,1,1,0,1,1,1,0
223,0.924078656697982,0.0772556196566375,CO,2022-09-23,1,1,1,1,1,1,1,0,0,1,1,0
224,0.73081359452329,0.2751020057134995,CO,2022-09-24,1,0,1,1,1,1,1,0,1,1,1,0
225,0.463588590395425,0.1437702800977305,CO,2022-09-25,1,1,1,1,1,1,1,1,1,1,1,1
226,0.59386934427325,0.114039630634759,CO,2022-09-26,1,1,1,1,1,1,1,1,1,1,1,1
227,0.993067728262981,0.01349338060232635,CO,2022-09-27,1,1,1,1,1,0,1,0,0,1,1,0
228,1.50386015220487,0.0141234367231678,CO,2022-09-28,1,1,1,1,1,0,1,1,1,0,1,0
229,1.33886687914832,0.053781809676245,CO,2022-09-29,1,1,1,1,1,0,1,0,1,0,1,0
230,0.46792244575264,0.126434211452349,CO,2022-09-30,1,1,1,1,1,1,1,0,1,0,1,1
231,0.2722407418554,0.0168906051549127,CO,2022-10-01,1,1,1,1,1,1,1,1,0,1,1,0
232,0.283168054652241,0.01819582361190165,CO,2022-10-02,1,1,1,1,1,1,1,1,1,1,1,1
233,0.931274682340643,0.078248554098242,CO,2022-10-03,1,1,1,1,1,1,1,1,1,1,1,1
234,0.470718953007752,0.02159659987599685,CO,2022-10-04,1,1,1,1,1,1,1,1,1,1,1,1
235,0.734108567086369,0.1068732807755165,CO,2022-10-05,1,1,1,1,1,1,1,1,0,0,1,0
236,0.721505018672397,0.1189104043006985,CO,2022-10-06,1,1,1,1,1,1,1,0,0,0,1,0
237,1.05278938992273,0.2724026905211875,CO,2022-10-07,1,1,0,1,1,1,1,1,0,1,1,0
238,0.669347534651723,0.2137020211184995,CO,2022-10-08,1,0,1,1,1,1,1,0,1,1,1,0
239,1.25135927457143,0.48693398274651,CO,2022-10-09,1,0,1,1,1,0,1,1,1,0,1,0
240,1.57621065206018,0.238836031206521,CO,2022-10-10,1,0,1,1,1,1,1,0,1,0,1,0
241,2.29121537985002,0.2600184999038055,CO,2022-10-11,1,0,0,0,1,1,1,1,0,1,1,0
242,1.21889240830473,0.1550599576393355,CO,2022-10-12,1,1,0,0,1,1,1,1,0,1,1,0
243,0.672468650767934,0.2504223465170905,CO,2022-10-13,1,1,1,1,1,1,1,0,0,1,1,1
244,1.25339311108182,0.253712358284211,CO,2022-10-14,0,1,1,1,1,1,0,0,0,0,1,0
245,0.576150289969113,0.2578625094883665,CO,2022-10-15,1,1,1,1,1,1,1,1,1,1,1,1
246,1.54672537873024,0.20316167290097,CO,2022-10-16,0,1,1,0,1,1,0,1,1,0,1,0
247,3.07695575058842,0.1060841738138815,CO,2022-10-17,1,1,1,0,1,0,1,1,1,0,1,0
248,1.95923091552875,0.2154362750955715,CO,2022-10-18,1,1,1,0,1,0,1,1,0,0,1,1
249,1.13483578134573,0.2098492394411685,CO,2022-10-19,1,1,1,1,1,1,1,1,1,0,1,0
250,1.98303216998142,0.3181403331764975,CO,2022-10-20,1,1,0,0,1,1,1,0,0,0,1,0
251,0.843402790919452,0.3470123646625795,CO,2022-10-21,1,1,0,1,1,1,1,1,0,0,1,1
252,0.366869200007627,0.235958780138905,CO,2022-10-22,1,1,1,1,1,1,1,1,0,0,1,1
253,3.58762433862814,0.1782119018432035,CT,2022-09-11,1,0,1,1,1,0,1,0,1,1,1,0
254,5.31382934438447,0.1964455858227255,CT,2022-09-12,1,0,1,1,1,0,1,0,0,0,1,0
255,5.45432872429619,0.25702106121284,CT,2022-09-13,1,0,1,1,1,0,1,0,0,1,1,0
256,1.40137118253461,0.165684214063767,CT,2022-09-14,1,1,1,0,1,0,1,0,1,0,1,0
257,1.66413347372396,0.132890586490148,CT,2022-09-15,1,1,0,1,1,1,1,0,0,0,1,0
258,10.5012840830488,0.2132402722775795,CT,2022-09-16,1,0,1,1,1,0,1,0,0,0,1,0
259,1.71055709989695,0.1452415787060095,CT,2022-09-17,1,0,1,1,1,0,1,0,1,1,1,0
