...1,es_score,brier_score,location,target_date,X22F_50_CI,X23A_50_CI,X23C_50_CI,X23D_50_CI,other_50_CI,X22E_50_CI,X22F_95_CI,X23A_95_CI,X23C_95_CI,X23D_95_CI,other_95_CI,X22E_95_CI
111,1.03406871289495,0.1884020535473435,AR,2023-03-17,1,0,1,1,1,0,1,0,1,1,1,0
112,1.25656753420592,0.4706063152051895,AR,2023-03-18,1,0,1,1,1,0,1,0,1,1,1,0
113,NA,NA,AR,2023-03-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
114,0.0112636205146869,9.46548980059085e-4,AR,2023-03-20,1,1,1,1,1,1,1,1,1,1,1,1
115,0.131882133414503,8.8007177685563e-4,AR,2023-03-21,1,1,1,1,1,1,1,1,1,1,1,1
116,0.433592841207484,8.209394491617e-4,AR,2023-03-22,1,1,1,1,1,1,1,0,1,0,1,0
117,0.00355683647534479,7.68363443405805e-4,AR,2023-03-23,1,1,1,1,1,1,1,1,1,1,1,1
118,0.00363834633671443,7.2164341477396e-4,AR,2023-03-24,1,1,1,1,1,1,1,1,1,1,1,1
119,NA,NA,AR,2023-03-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
120,1.31654469607878,0.483919220856846,AR,2023-03-26,1,0,0,1,1,1,1,1,0,1,1,0
121,9.6285316438064e-4,6.1074230520522e-4,AR,2023-03-27,1,1,1,1,1,1,1,1,1,1,1,1
122,2.49859800739739,0.320589016191199,AR,2023-03-28,1,0,1,1,1,0,1,0,1,1,1,0
123,0.115059088251159,5.5640616286169e-4,AR,2023-03-29,1,1,1,1,1,1,1,0,1,0,1,0
124,0.00290284661583032,5.33953600264695e-4,AR,2023-03-30,1,1,1,1,1,1,1,1,1,1,1,1
125,NA,NA,AR,2023-03-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
126,NA,NA,AR,2023-04-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
127,3.51094983866825,0.292548535954508,AZ,2023-02-19,0,0,0,1,0,1,0,0,0,1,0,0
128,4.33666636422203,0.169859169010454,AZ,2023-02-20,1,0,1,1,0,0,1,0,1,0,0,0
129,1.11551257339396,0.157868903738033,AZ,2023-02-21,1,1,1,1,1,0,1,0,1,1,1,0
130,2.30473691529135,0.2589687465871445,AZ,2023-02-22,0,0,1,1,1,0,0,0,1,0,1,0
131,0.342825398714286,0.0903928177955315,AZ,2023-02-23,1,1,1,1,1,1,1,1,1,1,1,1
132,1.02291881102266,0.1785171979502645,AZ,2023-02-24,1,1,1,1,0,1,1,0,1,1,0,0
133,1.64282038090943,0.30421520057297,AZ,2023-02-25,0,0,1,1,0,1,0,0,1,1,0,1
134,1.94466967654617,0.1574208961868125,AZ,2023-02-26,1,0,1,1,0,1,1,0,1,0,0,1
135,3.54812113272165,0.1038260996232445,AZ,2023-02-27,0,1,1,1,0,0,0,0,1,1,0,0
136,0.838047255275794,0.0782978238276165,AZ,2023-02-28,0,1,1,1,1,1,0,1,1,1,0,1
137,3.91020661006556,0.194808173422724,AZ,2023-03-01,0,0,0,1,0,1,0,0,0,0,0,0
138,2.36872365845742,0.2161919767610545,AZ,2023-03-02,0,0,0,0,1,1,0,0,0,0,1,1
139,3.91261787306982,0.40579989904868,AZ,2023-03-03,0,0,1,1,1,1,0,0,1,1,1,1
140,5.35014599049476,0.4526316546190795,AZ,2023-03-04,0,0,1,1,0,0,0,0,1,1,0,0
141,0.797184016659012,0.075921295809498,AZ,2023-03-05,0,1,1,1,1,1,1,0,1,1,1,0
142,3.18989764482978,0.118527825247205,AZ,2023-03-06,0,0,1,1,0,1,0,0,1,1,0,1
143,0.82626162240263,0.0551601119133465,AZ,2023-03-07,0,1,1,1,1,1,0,0,1,1,1,1
144,0.938680927737895,0.2273912437054775,AZ,2023-03-08,1,0,1,1,1,0,0,1,1,1,1,0
145,0.0723616096812735,0.00251597089529707,AZ,2023-03-09,1,1,1,1,1,1,1,1,1,1,1,1
146,0.0448692802493119,0.00227770245288356,AZ,2023-03-10,1,1,1,1,1,1,1,1,1,1,1,1
147,1.79763749809814,0.184742929934022,AZ,2023-03-11,1,0,1,1,1,0,1,0,1,1,1,0
148,0.812201463042245,0.073236947678298,AZ,2023-03-12,1,1,1,0,1,1,1,1,1,0,1,0
149,4.93866785825697,0.157846057940153,AZ,2023-03-13,1,0,0,1,0,0,1,0,0,1,0,1
150,0.91683939231925,0.080664454697355,AZ,2023-03-14,0,1,1,1,1,1,0,0,1,1,1,1
151,1.75984912295215,0.119097662115383,AZ,2023-03-15,0,0,1,0,1,1,0,0,1,0,1,0
152,0.153497670998684,0.001305407180154135,AZ,2023-03-16,1,1,1,1,1,1,1,1,1,1,1,1
153,2.20873336222801,0.635132673406865,AZ,2023-03-17,0,0,1,0,1,1,0,0,1,0,1,1
154,2.57365640589229,0.627106687111665,AZ,2023-03-18,1,0,1,1,1,0,1,0,1,1,1,0
155,3.22543014207597,0.181976911063515,AZ,2023-03-19,0,0,0,1,1,0,0,0,0,1,1,0
156,3.43560030306603,0.0936551688819225,AZ,2023-03-20,1,0,1,1,1,0,1,0,1,0,1,0
157,2.40236639734188,0.179635311812599,AZ,2023-03-21,0,0,1,0,1,0,0,0,1,0,1,0
158,1.46065584700316,0.101459386815983,AZ,2023-03-22,0,0,1,1,1,1,0,0,1,1,1,1
159,0.975365944160624,0.1196805452676085,AZ,2023-03-23,1,0,1,1,1,0,1,0,1,1,1,0
160,0.0296060663886518,7.2164341477396e-4,AZ,2023-03-24,1,1,1,1,1,1,1,1,1,1,1,1
161,8.1215456687173e-4,6.80157530130245e-4,AZ,2023-03-25,1,1,1,1,1,1,1,1,1,1,1,1
162,1.59800525909971,0.1075518082217545,AZ,2023-03-26,0,0,1,1,1,0,0,0,1,0,1,0
163,3.67247991726161,0.1176843879063725,AZ,2023-03-27,1,0,1,0,0,0,1,0,1,0,0,0
164,1.34688560851566,0.0456964122986685,AZ,2023-03-28,0,1,1,1,0,1,0,0,1,0,0,1
165,0.099565304099969,5.5640616286169e-4,AZ,2023-03-29,1,1,1,1,1,1,1,1,1,1,1,1
166,2.78186484691047,0.2414309737130915,AZ,2023-03-30,1,0,0,0,1,0,1,0,1,0,1,0
167,0.00285700617251343,5.14227086281505e-4,AZ,2023-03-31,1,1,1,1,1,1,1,1,1,1,1,1
168,1.27233775327246,0.3221835426691305,AZ,2023-04-01,1,0,1,1,1,0,1,0,1,1,1,0
169,2.24850602053576,0.1655456026053825,CA,2023-02-19,0,1,1,1,1,1,0,0,0,1,1,0
