...1,es_score,brier_score,location,target_date,X23A_50_CI,X23B_50_CI,X23D_50_CI,X23E_50_CI,X23G_50_CI,X23H_50_CI,X23I_50_CI,X24A_50_CI,other_50_CI,X23F_50_CI,X23A_95_CI,X23B_95_CI,X23D_95_CI,X23E_95_CI,X23G_95_CI,X23H_95_CI,X23I_95_CI,X24A_95_CI,other_95_CI,X23F_95_CI
55,NA,NA,AL,2023-10-27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
56,NA,NA,AL,2023-10-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
57,NA,NA,AL,2023-10-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
58,0.843022222060847,0.599551964696375,AL,2023-10-30,1,1,1,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1
59,0.230686176746243,0.1630580042681885,AL,2023-10-31,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
60,0.226954717696573,0.162867934576768,AL,2023-11-01,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0
61,NA,NA,AL,2023-11-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
62,0.520121523062821,0.3229420906674595,AL,2023-11-03,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
63,NA,NA,AL,2023-11-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
64,NA,NA,AL,2023-11-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
65,0.235402112317618,0.168781400232841,AL,2023-11-06,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0
66,NA,NA,AL,2023-11-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
67,NA,NA,AL,2023-11-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
68,0.246659563426297,0.181112276270321,AL,2023-11-09,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0
69,NA,NA,AL,2023-11-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
70,NA,NA,AL,2023-11-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
71,NA,NA,AL,2023-11-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
72,0.280462647559419,0.215358271215407,AL,2023-11-13,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0
73,NA,NA,AL,2023-11-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
74,NA,NA,AL,2023-11-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
75,NA,NA,AL,2023-11-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
76,NA,NA,AL,2023-11-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
77,NA,NA,AL,2023-11-18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
78,NA,NA,AL,2023-11-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
79,NA,NA,AL,2023-11-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
80,0.890790792344759,0.641504460887525,AL,2023-11-21,1,1,1,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1
81,NA,NA,AL,2023-11-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
82,NA,NA,AL,2023-11-23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
83,NA,NA,AL,2023-11-24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
84,NA,NA,AL,2023-11-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
85,NA,NA,AR,2023-10-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
86,4.4976026253616,0.453766880683619,AR,2023-10-16,1,0,1,1,1,1,1,1,1,0,1,0,0,0,1,1,1,1,1,0
87,0.683594617950868,0.4879314122704655,AR,2023-10-17,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0
88,NA,NA,AR,2023-10-18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
89,2.91331128939637,0.441440739110639,AR,2023-10-19,1,0,1,1,1,1,1,1,1,0,1,0,0,1,1,1,1,0,1,0
90,0.636466304504749,0.444431237718837,AR,2023-10-20,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0
91,0.632838521445966,0.4474082083641565,AR,2023-10-21,1,0,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1
92,NA,NA,AR,2023-10-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
93,3.46517437525077,0.528754373432095,AR,2023-10-23,1,0,1,1,0,1,1,1,1,0,1,0,0,1,0,0,1,1,1,0
94,0.243622256907611,0.171278539358543,AR,2023-10-24,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0
95,1.13511536220907,0.54961968779418,AR,2023-10-25,1,1,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0
96,NA,NA,AR,2023-10-26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
97,0.494247885073681,0.3156282852707645,AR,2023-10-27,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
98,NA,NA,AR,2023-10-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
99,NA,NA,AR,2023-10-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100,0.72626755047388,0.51268056435795,AR,2023-10-30,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0
101,NA,NA,AR,2023-10-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
102,0.853726927748114,0.594217241645045,AR,2023-11-01,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,0,1,1
103,NA,NA,AR,2023-11-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
104,0.738842977899862,0.51805840013636,AR,2023-11-03,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0
105,NA,NA,AR,2023-11-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
106,NA,NA,AR,2023-11-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
107,1.61410558971882,0.345496492243757,AR,2023-11-06,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,0,0
108,0.741858448940224,0.52238291343952,AR,2023-11-07,1,1,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1
109,0.700771316462476,0.493590416230747,AR,2023-11-08,1,0,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1
110,NA,NA,AR,2023-11-09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
111,NA,NA,AR,2023-11-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
112,NA,NA,AR,2023-11-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
113,NA,NA,AR,2023-11-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
114,NA,NA,AR,2023-11-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
115,NA,NA,AR,2023-11-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
116,0.313229975805251,0.2429281590497195,AR,2023-11-15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
117,NA,NA,AR,2023-11-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
118,NA,NA,AR,2023-11-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
119,NA,NA,AR,2023-11-18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
120,NA,NA,AR,2023-11-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
121,0.445521140924849,0.3474680095971625,AR,2023-11-20,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0
122,0.672113310639374,0.3838649919491085,AR,2023-11-21,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0
123,NA,NA,AR,2023-11-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
124,NA,NA,AR,2023-11-23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
125,NA,NA,AR,2023-11-24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
126,NA,NA,AR,2023-11-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
127,2.05244819974001,0.415984311743325,AZ,2023-10-15,1,1,1,1,0,1,1,1,1,0,1,0,0,1,1,1,1,1,1,0
128,2.54065919356581,0.342481393465995,AZ,2023-10-16,1,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0
129,3.45201894828717,0.3498454866825565,AZ,2023-10-17,0,1,0,1,1,0,1,1,1,1,0,0,0,0,1,0,1,1,0,0
130,3.35345192513018,0.3259145349200745,AZ,2023-10-18,0,0,1,1,1,1,1,1,1,0,0,1,0,0,1,0,1,1,0,0
131,3.2252183479244,0.422706005942602,AZ,2023-10-19,1,0,0,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,0,0
132,1.57832112751863,0.3303380741004955,AZ,2023-10-20,0,0,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1
133,1.68998683173172,0.316799905199086,AZ,2023-10-21,1,1,1,0,1,1,1,1,1,1,0,0,0,0,0,0,1,1,0,0
134,2.32841796920882,0.333998587802124,AZ,2023-10-22,0,1,0,1,1,1,1,1,1,1,0,0,0,1,1,0,1,1,0,0
135,5.04547053114392,0.384006334402961,AZ,2023-10-23,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0
136,2.69078735143332,0.2962587349870325,AZ,2023-10-24,1,0,0,1,1,1,1,1,1,0,0,0,0,1,1,0,1,1,0,0
137,1.12599382214106,0.323086300345735,AZ,2023-10-25,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,0,1
138,0.233597703047617,0.1679935188759925,AZ,2023-10-26,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0
139,1.58327067292505,0.3454368986778755,AZ,2023-10-27,1,0,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,1,1,0
140,1.88931015576414,0.4582821964216345,AZ,2023-10-28,1,1,1,1,0,0,1,1,1,1,1,1,0,0,0,0,1,0,1,0
141,1.91521532486128,0.329820558852658,AZ,2023-10-29,1,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,1
142,2.85322009172363,0.3674981771006135,AZ,2023-10-30,1,1,1,0,0,0,1,1,1,1,1,0,1,0,0,1,1,0,1,0
143,2.22536450224533,0.3623588026720955,AZ,2023-10-31,0,1,0,1,1,1,1,1,1,1,0,0,0,1,0,0,1,1,1,0
144,1.44942878729816,0.331615746816137,AZ,2023-11-01,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,0
145,2.42535820729013,0.353039788096347,AZ,2023-11-02,0,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,1,0,0,0
146,1.85750128501672,0.399860129101521,AZ,2023-11-03,0,1,1,1,1,1,1,1,0,1,0,1,1,0,1,0,1,1,0,0
147,0.873151412919438,0.3866178600003695,AZ,2023-11-04,1,1,1,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,0
148,3.16021090405983,0.381254284373177,AZ,2023-11-05,0,1,1,1,1,1,0,0,1,1,0,0,0,0,1,1,0,0,0,0
149,4.52606150694717,0.3579592945631635,AZ,2023-11-06,0,0,1,1,1,0,1,0,1,1,0,0,0,1,0,1,1,0,0,0
150,2.04089711626581,0.322461607992493,AZ,2023-11-07,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,0
151,3.02331431210373,0.387548556479919,AZ,2023-11-08,0,1,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1
152,0.982558016388453,0.3453048434597585,AZ,2023-11-09,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,1,0
153,1.84303653900838,0.4002908053313035,AZ,2023-11-10,0,0,1,1,1,1,1,1,1,1,0,0,0,1,1,1,0,0,1,0
154,1.87330654225212,0.373430958418852,AZ,2023-11-11,1,1,0,1,1,1,1,0,1,1,1,0,0,1,0,0,1,0,1,1
155,7.66421583834844,0.3585082819152085,AZ,2023-11-12,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
156,7.55661485920368,0.350049741895597,AZ,2023-11-13,0,1,1,1,1,1,1,0,1,0,0,0,1,1,1,0,1,0,1,0
157,3.9045346827659,0.405884724029909,AZ,2023-11-14,0,1,0,1,1,0,1,0,1,1,0,1,0,0,0,0,0,0,1,0
158,3.80836012561207,0.354566720149644,AZ,2023-11-15,0,1,1,1,1,1,1,0,1,0,0,0,1,0,1,0,1,0,0,0
159,1.89068041677098,0.2597503268316785,AZ,2023-11-16,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,0,1,0
160,0.760075329851073,0.539715016635465,AZ,2023-11-17,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
161,1.64734249771707,0.49161647913511,AZ,2023-11-18,1,0,0,1,1,1,1,0,1,1,1,0,0,1,1,1,1,0,1,1
162,6.03483996502301,0.4826825718153765,AZ,2023-11-19,0,0,0,1,1,1,1,0,1,1,0,0,0,0,1,0,1,0,1,0
163,5.98948709527759,0.367562775576127,AZ,2023-11-20,0,0,1,1,1,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0
164,8.3915593869233,0.4952348445775325,AZ,2023-11-21,0,0,0,1,1,1,1,0,1,0,0,0,0,0,1,1,1,0,1,0
165,3.35032592270267,0.532095065230525,AZ,2023-11-22,1,1,0,1,1,1,1,0,1,1,1,1,0,1,1,0,1,0,1,0
166,0.715233659503566,0.3949033054043335,AZ,2023-11-23,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,0,1,0
167,4.51277033840543,0.550407414670845,AZ,2023-11-24,1,0,1,1,1,1,1,0,1,0,1,0,1,1,1,1,0,0,1,0
168,4.17650829966849,0.53060072333523,AZ,2023-11-25,1,1,1,0,0,1,1,0,1,0,1,1,1,0,0,1,1,0,1,0
169,1.8290636467057,0.41540032594302,CA,2023-10-15,1,0,1,1,1,1,1,1,0,1,1,0,0,1,1,1,1,1,0,0
170,4.03528070214876,0.3545996858631595,CA,2023-10-16,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,0,0
171,1.88171070761541,0.352068091536598,CA,2023-10-17,0,1,1,1,1,1,0,1,1,1,0,0,1,1,0,0,0,1,0,0
172,5.56367658252529,0.4105940171416235,CA,2023-10-18,0,0,0,1,1,1,1,1,0,1,0,0,0,0,0,1,0,1,0,0
173,2.21415548717935,0.380832281281015,CA,2023-10-19,1,0,1,0,1,1,1,1,0,1,1,0,0,1,1,0,1,1,0,0
174,1.49367055993303,0.3957253524994805,CA,2023-10-20,0,1,1,1,1,1,0,1,1,1,0,0,0,0,1,1,0,1,1,0
175,0.639291945616783,0.4474082083641565,CA,2023-10-21,1,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1
176,0.641535101916297,0.37454935852455,CA,2023-10-22,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1
177,2.60801628417321,0.351299600249149,CA,2023-10-23,0,1,0,1,1,1,1,1,1,1,0,0,0,0,0,1,1,0,0,0
178,1.65872099461575,0.330884769578884,CA,2023-10-24,1,1,1,1,1,1,0,1,1,1,0,1,1,0,1,0,0,1,1,0
179,2.37489257051984,0.4251113697320535,CA,2023-10-25,0,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,1,1,0,1
180,4.0434684448383,0.371306934307344,CA,2023-10-26,0,1,0,1,1,1,1,1,0,1,0,0,0,1,0,0,1,0,0,0
181,2.04062431939433,0.4099304263276225,CA,2023-10-27,1,0,1,1,0,1,1,1,1,1,1,0,0,1,0,0,1,1,1,0
182,1.53609206705634,0.409466226152633,CA,2023-10-28,0,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,1,1,1,1
183,1.45429206193106,0.164342960793887,CA,2023-10-29,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,0
184,3.62757200886395,0.4457898507456545,CA,2023-10-30,0,1,0,0,1,1,1,1,0,0,0,1,0,0,0,0,1,1,0,0
185,1.39725572691353,0.3389891710248055,CA,2023-10-31,0,1,0,1,1,1,1,1,1,1,0,0,1,0,0,0,1,0,1,0
186,2.11093318518075,0.4739911610952585,CA,2023-11-01,0,1,1,0,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,0
