...1,es_score,brier_score,location,target_date,X21L_50_CI,X22A_50_CI,X22D_50_CI,X22E_50_CI,X22F_50_CI,X23A_50_CI,other_50_CI,X22B_50_CI,X21L_95_CI,X22A_95_CI,X22D_95_CI,X22E_95_CI,X22F_95_CI,X23A_95_CI,other_95_CI,X22B_95_CI
28,NA,NA,AK,2022-12-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29,NA,NA,AK,2022-12-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30,0.0646378187150799,0.04674837132909865,AK,2022-12-12,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
31,0.0616785061266243,0.046535903148614,AK,2022-12-13,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
32,NA,NA,AK,2022-12-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33,0.0622775952760397,0.04769557812474005,AK,2022-12-15,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0
34,1.61862229936371,0.727627425172045,AK,2022-12-16,1,0,1,0,1,1,1,0,1,0,1,0,1,1,1,0
35,NA,NA,AK,2022-12-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36,NA,NA,AK,2022-12-18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37,0.994984376687643,0.699273856253795,AK,2022-12-19,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0
38,NA,NA,AK,2022-12-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39,0.998537772107367,0.70131571544623,AK,2022-12-21,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0
40,NA,NA,AK,2022-12-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41,NA,NA,AK,2022-12-23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42,NA,NA,AK,2022-12-24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43,0.227938204956437,0.2568314414493875,AL,2022-11-13,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0
44,0.885042397563103,0.2606656206596645,AL,2022-11-14,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1
45,NA,NA,AL,2022-11-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
46,0.400989007450412,0.2567966628744935,AL,2022-11-16,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0
47,0.767124135583927,0.3460820018513095,AL,2022-11-17,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,0
48,1.23497760840081,0.203406354124472,AL,2022-11-18,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0
49,NA,NA,AL,2022-11-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,NA,NA,AL,2022-11-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51,0.946820932166372,0.43570150429083,AL,2022-11-21,1,1,1,1,1,1,0,1,1,0,0,0,1,1,0,1
52,0.864707105755081,0.41368720856846247,AL,2022-11-22,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,0
53,0.203129391105191,0.144154512966746,AL,2022-11-23,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0
54,NA,NA,AL,2022-11-24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
55,0.885151086743953,0.412232375524107,AL,2022-11-25,1,1,0,1,1,1,1,1,1,1,0,0,1,1,1,1
56,NA,NA,AL,2022-11-26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
57,NA,NA,AL,2022-11-27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
58,0.536586331201231,0.1770114394442645,AL,2022-11-28,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0
59,1.08375973800089,0.3656849607003535,AL,2022-11-29,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0
60,0.731199090134852,0.2508850927726415,AL,2022-11-30,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0
61,1.38041870120754,0.307250948243595,AL,2022-12-01,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0
62,0.934233303850282,0.3122182393836425,AL,2022-12-02,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0
63,NA,NA,AL,2022-12-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
64,1.33552628779271,0.2854436474843765,AL,2022-12-04,1,1,1,1,1,1,1,0,1,0,1,0,0,1,1,1
65,1.63789406679634,0.3269801533784,AL,2022-12-05,1,1,1,1,1,1,1,0,1,1,0,0,1,1,1,0
66,1.48568883014806,0.3619233133659905,AL,2022-12-06,1,1,0,0,1,1,1,1,1,1,1,0,0,1,1,0
67,0.435001245766483,0.2425705566358145,AL,2022-12-07,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,0
68,1.83427342511302,0.340871206188272,AL,2022-12-08,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0
69,0.713722114718833,0.2179854893992175,AL,2022-12-09,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
70,0.637549222571956,0.13454381760457,AL,2022-12-10,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0
71,1.84528966138531,0.553950061844165,AL,2022-12-11,1,0,0,0,1,1,1,1,1,0,0,0,1,1,1,0
72,1.55175774493753,0.4473643485192165,AL,2022-12-12,1,1,0,0,0,1,1,1,1,1,0,0,0,0,1,0
73,0.0655180959454525,0.046535903148614,AL,2022-12-13,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1
74,1.4105354439123,0.363800624762123,AL,2022-12-14,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0
75,2.01951755173022,0.321335756542266,AL,2022-12-15,1,1,1,1,1,1,1,0,1,1,0,1,1,0,1,0
76,0.868350122086998,0.290417220662208,AL,2022-12-16,1,1,1,1,1,1,0,1,1,1,1,0,1,0,0,0
77,0.219802189490274,0.051212521923104,AL,2022-12-17,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
78,0.231499052001818,0.0539733438033885,AL,2022-12-18,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1
79,0.67326747473092,0.2179275996713795,AL,2022-12-19,1,1,1,1,1,1,1,0,1,1,1,0,1,0,1,1
80,2.22181901617336,0.2410175230627345,AL,2022-12-20,1,0,0,1,1,0,1,1,1,0,0,1,1,0,1,1
81,2.1804115906809,0.4102325485938065,AL,2022-12-21,1,1,1,0,1,1,0,1,1,1,1,0,0,1,0,1
82,NA,NA,AL,2022-12-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
83,NA,NA,AL,2022-12-23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
84,0.121980035005345,0.088525857525713,AL,2022-12-24,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1
85,NA,NA,AR,2022-11-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
86,1.54434720125907,0.3347723141500425,AR,2022-11-14,1,0,1,1,1,1,1,1,1,0,0,0,1,1,1,0
87,0.75198531992469,0.3863161876860945,AR,2022-11-15,1,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1
88,0.40397371019875,0.2825404080864075,AR,2022-11-16,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0
89,2.11658863763844,0.267091161543521,AR,2022-11-17,1,1,1,1,1,1,1,0,1,0,1,0,0,1,1,0
90,1.89710750008758,0.399808808354372,AR,2022-11-18,1,0,1,0,1,1,1,0,1,0,0,0,1,1,1,0
91,1.12249368535727,0.51563006492356,AR,2022-11-19,1,1,1,0,1,1,0,1,1,1,1,0,1,1,0,1
92,0.325923582259599,0.234655275592745,AR,2022-11-20,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0
93,4.43439865185876,0.356450783303146,AR,2022-11-21,1,1,1,0,1,1,1,0,1,0,0,0,1,1,1,0
94,1.85002788093005,0.236814670703909,AR,2022-11-22,1,1,1,0,1,1,1,0,1,1,0,0,1,1,1,0
95,1.16309274478519,0.32330058645869,AR,2022-11-23,1,1,1,1,1,1,0,1,1,1,1,0,0,1,0,0
96,0.974327247252556,0.422268964645071,AR,2022-11-24,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0
97,1.6011549505354,0.1246484675876565,AR,2022-11-25,1,1,1,0,1,1,1,0,1,1,0,0,1,1,1,1
98,2.08658744488435,0.70645845982242,AR,2022-11-26,1,1,0,0,1,0,0,1,1,1,0,0,1,0,0,1
99,0.973312146236875,0.4253822004157025,AR,2022-11-27,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,0
100,9.15297717942921,0.3724376643510365,AR,2022-11-28,1,1,1,0,1,1,1,0,0,0,0,0,1,1,1,0
101,5.08730083652753,0.3656849607003535,AR,2022-11-29,1,1,1,0,1,1,1,0,1,1,0,0,0,1,1,0
102,1.84526895790161,0.3163069735844165,AR,2022-11-30,1,0,1,1,1,1,1,1,0,0,0,0,1,1,1,0
103,4.12810028650797,0.375719223022691,AR,2022-12-01,1,1,1,0,1,1,1,0,1,1,0,0,0,1,1,0
104,0.946074033393603,0.1984111561572425,AR,2022-12-02,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0
105,1.07349306571511,0.450577943806785,AR,2022-12-03,1,1,0,0,1,1,1,1,1,1,0,1,1,0,1,1
106,0.527570862879069,0.322116564257538,AR,2022-12-04,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
107,5.12464005434219,0.397958150705975,AR,2022-12-05,1,1,0,0,1,1,1,0,1,1,0,0,1,1,1,0
108,5.06771738657254,0.376289059649235,AR,2022-12-06,1,0,0,0,1,1,1,1,1,0,0,0,0,0,1,0
109,3.91157570153355,0.311600762960654,AR,2022-12-07,1,1,1,0,1,1,1,0,1,1,0,0,1,1,1,0
110,5.8454060758622,0.417365910436025,AR,2022-12-08,1,1,0,0,1,1,1,0,1,1,0,0,1,0,1,0
111,1.44485564793158,0.2637295057668005,AR,2022-12-09,1,1,0,1,1,1,1,1,1,1,0,0,0,0,1,1
112,1.08559355975328,0.289178110956488,AR,2022-12-10,1,1,1,1,1,1,1,0,1,1,1,0,0,1,1,0
113,0.817632514439758,0.2657843592196075,AR,2022-12-11,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,0
114,11.1680381379271,0.3810022435410945,AR,2022-12-12,1,1,0,0,0,0,1,0,1,1,0,0,0,0,1,0
115,2.80069294409958,0.304012313298158,AR,2022-12-13,1,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0
116,8.41246697037334,0.328483895166234,AR,2022-12-14,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0
117,1.10624736748674,0.1694741910875995,AR,2022-12-15,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0
118,4.70121002953154,0.51794101909876,AR,2022-12-16,1,1,0,0,1,1,0,0,1,1,0,0,0,0,0,0
119,0.881304606197769,0.270102936219538,AR,2022-12-17,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1
120,1.00312228558213,0.2763541697026655,AR,2022-12-18,1,1,0,1,1,1,1,1,1,1,0,1,1,0,1,0
121,3.5620142068182,0.2485835122668105,AR,2022-12-19,1,1,1,1,1,1,1,0,1,1,0,0,1,0,1,0
122,5.83497326338636,0.360284931022125,AR,2022-12-20,1,1,0,0,1,0,0,0,1,1,0,0,1,0,0,0
123,3.56433611885952,0.2550823998120755,AR,2022-12-21,1,1,0,1,1,0,0,0,1,1,0,0,0,0,0,0
124,2.34022241872724,0.342418847315265,AR,2022-12-22,1,1,1,1,1,1,1,0,1,1,1,0,1,0,1,0
125,2.58257995275541,0.45283554314318353,AR,2022-12-23,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0
126,1.8773843755708,0.088525857525713,AR,2022-12-24,1,1,1,0,1,0,1,1,1,1,1,0,1,0,1,0
127,4.15875528269716,0.3191251083531225,AZ,2022-11-13,1,1,1,0,1,1,0,0,0,0,0,0,0,1,0,0
128,3.67799880379864,0.2797289377268205,AZ,2022-11-14,1,1,1,0,0,1,1,1,1,0,0,0,0,1,1,0
129,3.39039110209466,0.2831274961456045,AZ,2022-11-15,1,0,1,1,1,1,1,0,0,0,0,0,0,0,1,0
130,1.91972061770777,0.298203563498289,AZ,2022-11-16,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,0
131,6.96264197131088,0.285245445974874,AZ,2022-11-17,1,0,0,1,1,1,1,0,1,0,0,0,0,1,1,0
132,3.828288659232,0.283851151794135,AZ,2022-11-18,1,0,0,1,1,1,1,0,1,0,0,1,0,1,1,0
133,2.16125560588672,0.244562118240804,AZ,2022-11-19,1,1,1,0,1,1,1,1,1,0,0,0,1,1,1,1
134,4.22431939305298,0.300143319198381,AZ,2022-11-20,1,0,1,0,1,1,1,0,1,0,0,0,0,1,1,0
135,4.73787678236974,0.273266163964951,AZ,2022-11-21,1,0,1,1,0,1,1,0,0,0,0,0,0,1,1,0
136,21.8412660706528,0.3207742328661805,AZ,2022-11-22,1,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0
137,13.5667533018901,0.298056720398281,AZ,2022-11-23,1,0,1,0,0,1,1,0,1,0,0,0,0,1,1,0
138,3.76413695864204,0.3647078061655315,AZ,2022-11-24,0,1,0,0,1,1,1,0,0,1,1,0,0,1,1,0
139,6.99037098097442,0.276066406847898,AZ,2022-11-25,1,0,1,0,1,1,1,0,0,0,0,0,0,1,1,0
140,8.03843291446799,0.3138991565539105,AZ,2022-11-26,0,1,1,0,1,1,0,0,0,0,0,0,0,1,0,0
141,7.18987521588659,0.281180189590336,AZ,2022-11-27,1,0,1,0,1,1,1,0,1,0,0,0,0,1,1,0
142,6.28958466779446,0.27108028437881,AZ,2022-11-28,1,0,1,1,1,0,1,0,0,1,0,0,0,1,1,0
143,12.8590528239203,0.321060973942413,AZ,2022-11-29,0,1,1,0,1,1,1,0,1,0,1,0,0,0,1,0
144,8.8689939286074,0.303999704158479,AZ,2022-11-30,1,1,1,0,1,1,1,0,1,0,1,0,1,1,1,0
145,15.8223407885019,0.364117606783205,AZ,2022-12-01,1,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0
146,12.2720649721079,0.3477911844708475,AZ,2022-12-02,1,1,0,0,1,1,0,0,1,0,0,0,1,0,0,0
147,2.34425451613195,0.2763032679964615,AZ,2022-12-03,0,1,0,1,1,1,1,1,0,1,0,0,1,1,1,1
148,7.3570938127549,0.307817150049726,AZ,2022-12-04,1,1,0,0,1,1,1,0,1,1,0,0,1,0,1,0
149,22.8579079801097,0.331204338120502,AZ,2022-12-05,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0
150,7.31443770767515,0.295116281621684,AZ,2022-12-06,1,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0
151,10.2137983015685,0.2704747790237385,AZ,2022-12-07,0,1,1,0,1,0,1,0,0,0,0,0,0,1,1,0
152,2.01876532986501,0.238080827991895,AZ,2022-12-08,1,1,0,1,1,0,0,1,1,1,0,0,0,0,0,0
153,5.95586134790822,0.2795038826574035,AZ,2022-12-09,1,0,1,0,0,1,1,0,1,1,0,1,0,1,1,0
154,3.72314595110924,0.3092610533168615,AZ,2022-12-10,1,1,0,0,0,0,1,0,1,1,0,0,0,0,1,1
155,2.97047409774073,0.213738145268129,AZ,2022-12-11,1,1,1,1,1,0,0,1,1,1,0,0,0,0,0,0
156,9.99828397234527,0.3055171481190195,AZ,2022-12-12,0,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0
157,10.5933536579611,0.292366628105185,AZ,2022-12-13,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0
158,6.52899699854066,0.247754359924517,AZ,2022-12-14,1,1,0,1,1,0,1,0,1,1,0,0,0,0,1,0
159,6.78530071031376,0.2727239409060775,AZ,2022-12-15,1,1,0,0,1,0,1,0,1,1,0,0,0,0,1,0
160,4.23555693932038,0.2480287103332555,AZ,2022-12-16,0,1,1,1,1,0,1,0,0,1,1,0,1,0,1,0
161,3.65828701715892,0.3176943527312405,AZ,2022-12-17,1,1,0,0,1,0,1,0,1,1,0,0,0,0,1,0
162,3.56706438976899,0.23168274497488,AZ,2022-12-18,0,1,1,1,1,0,1,0,0,1,1,0,0,0,1,0
163,13.9677514313502,0.2626393862627975,AZ,2022-12-19,0,1,0,1,1,0,1,0,0,0,0,1,1,0,1,0
164,7.86751684625427,0.3270823110375765,AZ,2022-12-20,1,1,1,0,1,0,1,0,1,1,0,0,0,0,1,0
165,5.17370785035223,0.2819156773894365,AZ,2022-12-21,1,1,1,1,1,0,1,0,1,1,1,0,0,0,1,0
166,2.2275436536956,0.212568186960348,AZ,2022-12-22,1,1,1,1,1,0,1,1,1,1,0,0,1,0,1,1
167,3.48190674137129,0.268726461121426,AZ,2022-12-23,1,1,1,1,1,0,0,0,1,1,1,0,0,0,0,0
168,1.3895211628827,0.2671030405855605,AZ,2022-12-24,1,1,0,1,1,0,1,1,1,1,1,1,0,1,1,0
169,5.50614991864342,0.30781518271138,CA,2022-11-13,0,0,0,1,1,1,0,1,0,0,0,0,1,1,1,0
170,19.1430081537052,0.31444567208475,CA,2022-11-14,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0
171,8.68999597683575,0.3101513010845865,CA,2022-11-15,0,0,0,1,0,1,0,1,0,0,0,0,0,1,1,0
172,7.62011417224581,0.312163353138521,CA,2022-11-16,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0
173,6.99261138977502,0.3063225371718005,CA,2022-11-17,1,0,1,1,1,1,0,1,0,0,0,0,0,1,0,1
174,13.5289986129351,0.3025229037406525,CA,2022-11-18,0,0,1,0,1,1,1,0,0,0,0,0,0,1,1,0
175,14.2600748697836,0.3070713072399585,CA,2022-11-19,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
176,7.4713384591586,0.2855357058635705,CA,2022-11-20,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0
177,11.9891940930793,0.3114012559964575,CA,2022-11-21,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0
178,8.37249420784473,0.2919831833466595,CA,2022-11-22,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0
179,8.39378581064673,0.296199732960784,CA,2022-11-23,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
180,1.08819045564873,0.267570436339124,CA,2022-11-24,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,0
181,16.9781893195371,0.275224161045972,CA,2022-11-25,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
182,9.36325798268555,0.271335585440503,CA,2022-11-26,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0
183,27.217171680344,0.3006852341003865,CA,2022-11-27,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
184,12.0385499717152,0.2731719631578145,CA,2022-11-28,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
185,10.1374865967527,0.269004449417826,CA,2022-11-29,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0
186,9.0648589989792,0.2610986297158165,CA,2022-11-30,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1
187,12.1749350851692,0.2684113603390205,CA,2022-12-01,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
188,41.1498835638888,0.2919895957617065,CA,2022-12-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
189,43.1084625676156,0.2907842773924445,CA,2022-12-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
190,17.8670925787428,0.2758873857504205,CA,2022-12-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
191,37.1424697400223,0.261590586891061,CA,2022-12-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
192,10.372643800418,0.245494551290445,CA,2022-12-06,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
193,39.3814622269976,0.2656381631404785,CA,2022-12-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
194,22.3965611707124,0.2368928132016425,CA,2022-12-08,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0
195,15.8499070191142,0.220565190716738,CA,2022-12-09,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
196,55.1538432901098,0.28122224996342,CA,2022-12-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
197,33.3009796557958,0.248560057101934,CA,2022-12-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
198,21.5146327975254,0.2316496495114815,CA,2022-12-12,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
199,28.7616269326589,0.248429730677629,CA,2022-12-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200,36.2953132826655,0.2866235073464555,CA,2022-12-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201,29.1555264498831,0.2288706337980965,CA,2022-12-15,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
202,19.8138493112692,0.239688926400328,CA,2022-12-16,0,1,0,1,1,0,0,0,1,0,0,0,1,0,0,0
203,27.4179854261768,0.2654864192652335,CA,2022-12-17,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
204,28.949022290014,0.2082141303034425,CA,2022-12-18,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0
205,40.4380697455837,0.232779764073425,CA,2022-12-19,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
206,32.9874110875759,0.190312860905198,CA,2022-12-20,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
207,38.6308916598207,0.233942568774561,CA,2022-12-21,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
208,67.0122884211163,0.26190777557086,CA,2022-12-22,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
209,96.5977221899556,0.238501442297197,CA,2022-12-23,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
210,32.2339953797528,0.260845556929782,CA,2022-12-24,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
211,1.05279768128535,0.3277059494049875,CO,2022-11-13,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,0
212,2.41695760737687,0.3035815447400755,CO,2022-11-14,1,0,1,1,1,1,1,1,0,0,0,0,0,1,1,0
213,2.20705657347275,0.3332919748488235,CO,2022-11-15,0,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1
214,1.46206842026567,0.316624559983271,CO,2022-11-16,1,0,1,1,1,1,0,1,1,1,1,0,0,1,0,0
215,1.66193050740822,0.2557538947651325,CO,2022-11-17,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0
216,3.25363256985721,0.315231677213786,CO,2022-11-18,1,1,1,0,1,1,1,0,1,0,1,0,0,1,1,0
217,0.963367207869483,0.237339395477827,CO,2022-11-19,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,0
218,1.56076677244977,0.1779452513149365,CO,2022-11-20,1,1,1,0,1,1,1,0,0,0,1,0,1,1,1,1
219,1.75221276241904,0.29598890517709,CO,2022-11-21,1,1,1,1,1,1,1,0,1,0,0,0,0,1,1,0
220,1.03794953168483,0.289734557782258,CO,2022-11-22,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0
221,7.32354942285675,0.1853654930633015,CO,2022-11-23,1,1,0,0,1,1,1,0,1,1,1,0,1,1,1,0
222,0.180414759561305,0.134098484370624,CO,2022-11-24,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
