...1,es_score,brier_score,location,target_date,X22F_50_CI,X23A_50_CI,X23B_50_CI,X23D_50_CI,X23E_50_CI,X23H_50_CI,X24A_50_CI,recombinant_50_CI,other_50_CI,X23F_50_CI,X22F_95_CI,X23A_95_CI,X23B_95_CI,X23D_95_CI,X23E_95_CI,X23H_95_CI,X24A_95_CI,recombinant_95_CI,other_95_CI,X23F_95_CI
17,NA,NA,AK,2023-11-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,NA,NA,AK,2023-11-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,0.771715622664857,0.53814306637035,AK,2023-11-30,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0
20,NA,NA,AK,2023-12-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21,NA,NA,AK,2023-12-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22,NA,NA,AK,2023-12-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23,NA,NA,AK,2023-12-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,NA,NA,AK,2023-12-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25,0.387098621039765,0.2706909030435885,AK,2023-12-06,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0
26,NA,NA,AK,2023-12-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27,NA,NA,AK,2023-12-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,NA,NA,AK,2023-12-09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29,NA,NA,AK,2023-12-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30,NA,NA,AK,2023-12-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31,NA,NA,AK,2023-12-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,NA,NA,AK,2023-12-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33,NA,NA,AK,2023-12-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34,NA,NA,AK,2023-12-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
35,NA,NA,AK,2023-12-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36,NA,NA,AK,2023-12-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37,NA,NA,AK,2023-12-18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38,NA,NA,AK,2023-12-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39,NA,NA,AK,2023-12-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40,0.106067487848105,0.0773322915879745,AK,2023-12-21,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
41,NA,NA,AK,2023-12-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42,NA,NA,AK,2023-12-23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43,NA,NA,AL,2023-11-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44,0.217488056963333,0.154321798593761,AL,2023-11-13,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
45,NA,NA,AL,2023-11-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
46,NA,NA,AL,2023-11-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
47,NA,NA,AL,2023-11-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
48,NA,NA,AL,2023-11-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
49,NA,NA,AL,2023-11-18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,NA,NA,AL,2023-11-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51,NA,NA,AL,2023-11-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
52,0.857931823137423,0.609732096014615,AL,2023-11-21,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0
53,NA,NA,AL,2023-11-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
54,NA,NA,AL,2023-11-23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
55,NA,NA,AL,2023-11-24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
56,NA,NA,AL,2023-11-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
57,NA,NA,AL,2023-11-26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
58,0.264101172421459,0.18736509846742,AL,2023-11-27,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0
59,NA,NA,AL,2023-11-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
60,NA,NA,AL,2023-11-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
61,NA,NA,AL,2023-11-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
62,0.30058354069656,0.216063749694544,AL,2023-12-01,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
63,NA,NA,AL,2023-12-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
64,0.778198971607055,0.549711340489705,AL,2023-12-03,1,1,0,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1
65,NA,NA,AL,2023-12-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
66,NA,NA,AL,2023-12-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
67,NA,NA,AL,2023-12-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
68,0.804651539274873,0.571401370074565,AL,2023-12-07,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1
69,NA,NA,AL,2023-12-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
70,NA,NA,AL,2023-12-09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
71,NA,NA,AL,2023-12-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
72,0.488515877769065,0.3480246489179025,AL,2023-12-11,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0
73,NA,NA,AL,2023-12-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
74,NA,NA,AL,2023-12-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
75,NA,NA,AL,2023-12-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
76,1.18538384254247,0.552571719002225,AL,2023-12-15,0,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,0,1,1,1
77,NA,NA,AL,2023-12-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
78,NA,NA,AL,2023-12-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
79,0.99778205877871,0.70560351144776,AL,2023-12-18,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0
80,NA,NA,AL,2023-12-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
81,NA,NA,AL,2023-12-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
82,NA,NA,AL,2023-12-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
83,NA,NA,AL,2023-12-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
84,NA,NA,AL,2023-12-23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
85,NA,NA,AR,2023-11-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
86,NA,NA,AR,2023-11-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
87,NA,NA,AR,2023-11-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
88,0.213965717659387,0.154891829338822,AR,2023-11-15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
89,NA,NA,AR,2023-11-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
90,NA,NA,AR,2023-11-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
91,NA,NA,AR,2023-11-18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
92,NA,NA,AR,2023-11-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
93,0.221257275526988,0.1611418170404245,AR,2023-11-20,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
94,0.765522352199204,0.3967764974927695,AR,2023-11-21,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1
95,NA,NA,AR,2023-11-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
96,NA,NA,AR,2023-11-23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
97,NA,NA,AR,2023-11-24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
98,NA,NA,AR,2023-11-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
99,NA,NA,AR,2023-11-26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100,0.750834844270544,0.52939474163595,AR,2023-11-27,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0
101,1.02110593353788,0.446083028324252,AR,2023-11-28,1,1,1,0,1,1,1,1,0,1,1,1,1,0,1,1,0,1,0,0
102,1.56791071044819,0.5349689985126,AR,2023-11-29,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,0
103,NA,NA,AR,2023-11-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
104,0.528194552605412,0.3721591962847765,AR,2023-12-01,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1
105,NA,NA,AR,2023-12-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
106,NA,NA,AR,2023-12-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
107,NA,NA,AR,2023-12-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
108,0.361855828197973,0.257950572468437,AR,2023-12-05,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0
109,NA,NA,AR,2023-12-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
110,1.60558521201043,0.55705352848419,AR,2023-12-07,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,0
111,NA,NA,AR,2023-12-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
112,NA,NA,AR,2023-12-09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
113,0.452807522714615,0.3308165998831375,AR,2023-12-10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
114,NA,NA,AR,2023-12-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
115,0.741589270930314,0.386719506421725,AR,2023-12-12,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,0,1,1,1,1
116,0.841316227932409,0.59470134715246,AR,2023-12-13,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,1,1,1
117,2.34327339157225,0.402194755786756,AR,2023-12-14,1,1,1,0,1,1,0,1,1,0,1,1,0,0,1,1,0,1,0,0
118,0.196143176092868,0.1437342690296045,AR,2023-12-15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
119,NA,NA,AR,2023-12-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
120,NA,NA,AR,2023-12-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
121,2.58492746963376,0.644778036075895,AR,2023-12-18,0,1,0,1,1,1,0,1,1,1,0,1,0,1,1,0,0,1,1,0
122,1.88800647052667,0.567701144298695,AR,2023-12-19,1,1,0,1,1,1,0,1,1,0,1,1,0,1,1,1,0,1,1,1
123,NA,NA,AR,2023-12-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
124,2.82770710392773,0.59205463037342,AR,2023-12-21,1,1,1,0,1,1,0,1,1,0,1,1,1,0,1,0,0,1,0,0
125,1.66822479648849,0.57137134014544,AR,2023-12-22,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,0,1,1,0
126,NA,NA,AR,2023-12-23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
127,4.21725128012549,0.329782109690616,AZ,2023-11-12,1,0,0,1,1,0,0,1,0,1,1,0,1,0,0,1,0,0,0,0
128,3.56953541139112,0.3156624759942335,AZ,2023-11-13,1,1,1,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0
129,2.9509684791878,0.3807479605284505,AZ,2023-11-14,1,0,1,1,1,1,1,1,1,1,1,0,1,0,1,0,0,1,1,0
130,1.85039603822646,0.312519035980781,AZ,2023-11-15,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,1,0,0
131,1.41355816047013,0.1555426475762065,AZ,2023-11-16,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,0,1,1,1,0
132,0.722659212866018,0.508421249975285,AZ,2023-11-17,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0
133,1.35484424974116,0.4294259625736985,AZ,2023-11-18,1,1,0,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,0,1
134,2.75460140271172,0.4010155020622005,AZ,2023-11-19,1,1,1,0,1,1,0,1,1,1,1,0,0,0,1,1,0,1,0,1
135,3.39734342825618,0.300468419799319,AZ,2023-11-20,1,1,0,1,1,1,0,1,1,0,1,0,0,1,1,0,0,1,1,1
136,2.95849010190326,0.3887930530804345,AZ,2023-11-21,1,0,0,1,1,1,0,1,1,1,1,0,0,1,0,0,0,1,0,0
137,1.90693361076459,0.4003990283918265,AZ,2023-11-22,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,0
138,0.80425304152703,0.403538173333501,AZ,2023-11-23,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,0,0,1,1,0
139,2.52794800275313,0.3476885876019205,AZ,2023-11-24,1,1,0,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,0,0
140,1.81125335731867,0.3825421748803935,AZ,2023-11-25,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1
141,3.09364798554511,0.443343204896919,AZ,2023-11-26,0,1,0,1,1,1,1,1,1,0,0,1,0,0,0,0,0,1,0,0
142,3.00329481263851,0.3381551174108825,AZ,2023-11-27,1,1,1,0,1,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0
143,4.05647060209431,0.353266027882774,AZ,2023-11-28,1,0,0,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0
144,4.09114815715221,0.360991127841061,AZ,2023-11-29,1,0,1,1,1,1,0,1,1,0,1,0,1,1,0,0,0,1,1,0
145,0.97332321745424,0.3746490800618945,AZ,2023-11-30,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1
146,1.35185504203386,0.360522707758693,AZ,2023-12-01,1,1,1,1,1,1,0,1,0,1,1,0,1,1,1,1,0,1,0,0
147,1.14765163919554,0.315442024712752,AZ,2023-12-02,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,1,0,0
148,4.16963168868386,0.352040224025997,AZ,2023-12-03,1,1,1,0,0,1,0,1,1,0,1,0,1,0,0,1,0,1,1,0
149,2.59935782882075,0.3694002079194865,AZ,2023-12-04,1,1,1,1,1,0,0,1,1,1,1,0,0,0,0,1,0,1,1,0
150,7.11082506280024,0.337393617502288,AZ,2023-12-05,1,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0
151,5.07971435050271,0.4321678764200205,AZ,2023-12-06,1,0,0,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,1,0
152,2.70094402724204,0.338601407270216,AZ,2023-12-07,1,1,1,1,1,1,0,1,1,0,1,1,0,0,1,1,0,1,0,0
153,1.19721479105554,0.392020941766468,AZ,2023-12-08,1,1,0,1,1,1,0,1,1,1,1,1,0,1,1,0,1,1,1,1
154,1.6529741132401,0.314444945529646,AZ,2023-12-09,1,1,1,1,1,1,0,1,1,0,1,0,1,1,1,1,1,1,1,0
155,1.34473618521746,0.520649252498945,AZ,2023-12-10,1,1,1,0,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0,0
156,3.51432157094632,0.4480236900210185,AZ,2023-12-11,1,0,0,1,0,1,0,1,1,1,1,0,0,1,0,1,0,1,0,0
157,5.72215524003275,0.55760590661391,AZ,2023-12-12,1,0,0,0,1,0,0,0,1,1,1,0,0,0,1,1,0,0,0,0
158,6.28272339801291,0.512892813280015,AZ,2023-12-13,0,0,0,0,1,1,0,1,1,1,0,0,0,0,1,0,0,1,1,1
159,3.65909437258754,0.5145244103055,AZ,2023-12-14,0,1,1,0,1,1,0,1,1,0,0,1,0,0,1,0,0,1,1,0
160,2.11217058322749,0.456403635983982,AZ,2023-12-15,0,1,0,1,1,1,0,1,1,0,0,1,0,0,1,1,0,0,1,0
161,1.75746465686494,0.382520064934294,AZ,2023-12-16,1,1,0,1,1,1,0,1,0,1,1,1,0,0,1,0,0,1,0,1
162,3.76796850645536,0.378548504281648,AZ,2023-12-17,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,0,0,1,1,1
163,13.546680765225,0.482497364303885,AZ,2023-12-18,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0
164,2.59791139992956,0.3569493291348725,AZ,2023-12-19,1,0,1,0,1,0,0,1,1,1,0,0,1,0,1,0,0,0,1,0
165,1.58369735676271,0.3668870198268425,AZ,2023-12-20,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,0
166,4.34092371223862,0.51439544754356,AZ,2023-12-21,1,1,0,1,1,0,0,1,1,0,1,1,1,1,1,0,0,1,1,0
167,1.84270075707678,0.4522744858613965,AZ,2023-12-22,1,1,1,1,1,1,0,1,0,1,0,1,1,1,1,0,0,1,0,1
168,2.66159599891842,0.51520498694918,AZ,2023-12-23,1,1,0,1,1,1,0,1,1,0,1,1,0,1,1,0,0,1,1,0
169,1.45915725116919,0.244492945747074,CA,2023-11-12,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,0,1,1,0
170,3.61111346860757,0.3719055707864385,CA,2023-11-13,0,1,0,0,1,1,0,1,1,1,0,0,0,0,1,0,0,0,1,0
171,3.03292595910286,0.3098943378512385,CA,2023-11-14,1,0,1,1,1,1,0,1,1,0,0,0,0,1,0,0,1,1,0,0
172,2.51224077243915,0.317777667496556,CA,2023-11-15,1,1,1,0,1,1,1,1,0,0,1,1,0,0,1,0,1,0,0,0
173,1.87601491900212,0.350581108430823,CA,2023-11-16,1,1,1,1,1,1,0,1,1,1,0,0,0,1,1,0,0,1,0,0
174,1.80152893084423,0.382223827611093,CA,2023-11-17,1,1,0,1,1,1,1,1,0,1,1,1,0,0,0,1,0,1,0,0
175,1.200969944659,0.352797734404084,CA,2023-11-18,1,0,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1
176,0.623761974763265,0.3497913000763935,CA,2023-11-19,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1
177,2.91236618952232,0.3017845352851785,CA,2023-11-20,0,1,1,1,1,0,1,1,1,0,0,1,0,0,0,0,0,1,0,0
178,1.94103345951321,0.348654448147173,CA,2023-11-21,0,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,1,1,0
179,2.3336897361966,0.316026966967732,CA,2023-11-22,0,1,1,0,1,1,1,1,1,0,0,1,0,0,1,0,0,1,1,0
180,0.964589925488766,0.4330103712744975,CA,2023-11-23,1,1,1,1,0,1,1,1,1,1,1,1,0,0,0,0,0,1,1,0
181,1.6631099863756,0.348557443136014,CA,2023-11-24,1,1,1,1,0,1,1,1,1,1,1,0,1,0,0,0,0,0,1,1
182,2.02884683958445,0.3230869700180865,CA,2023-11-25,1,1,1,1,1,0,1,1,1,1,0,0,0,1,1,1,1,1,0,0
183,1.39257450097914,0.2725421799266725,CA,2023-11-26,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,0,1,1,0
184,2.54773235510561,0.3730304981214345,CA,2023-11-27,1,0,1,1,1,1,1,0,1,1,0,1,0,1,1,0,0,0,0,0
185,4.01625711777193,0.35915787361558,CA,2023-11-28,1,1,1,1,1,0,0,1,0,0,1,0,1,0,1,0,0,1,0,0
