"","es_score","brier_score","location","target_date","X22A_50_CI","X22D_50_CI","X22E_50_CI","X22F_50_CI","X23A_50_CI","other_50_CI","X22B_50_CI","X22A_95_CI","X22D_95_CI","X22E_95_CI","X22F_95_CI","X23A_95_CI","other_95_CI","X22B_95_CI"
"68",1.84662115548956,0.625738775277859,"AL",2022-12-15,1,1,1,1,1,1,0,1,0,0,0,0,1,0
"69",0.856651226230816,0.579141062226886,"AL",2022-12-16,1,1,1,1,1,0,1,1,1,1,1,1,0,0
"70",0.238444860887247,0.10277685302447,"AL",2022-12-17,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"71",0.247113287525426,0.1055372806779,"AL",2022-12-18,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"72",0.628172407297619,0.423812034917966,"AL",2022-12-19,1,1,1,1,1,1,1,1,1,0,1,1,1,0
"73",2.10346124564102,0.472493736764205,"AL",2022-12-20,0,0,1,1,0,1,1,0,0,0,0,0,1,1
"74",2.18948864038243,0.833383209841922,"AL",2022-12-21,1,1,0,1,1,0,1,1,1,0,1,0,0,1
"75",NA,NA,"AL",2022-12-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76",NA,NA,"AL",2022-12-23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77",0.11061303893975,0.151748807443332,"AL",2022-12-24,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"78",NA,NA,"AL",2022-12-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"79",2.014581539373,0.588731616856742,"AL",2022-12-26,1,0,1,1,0,1,0,1,1,0,1,0,1,0
"80",2.53289728104391,0.499239170016912,"AL",2022-12-27,1,0,1,1,0,1,1,1,0,0,0,0,1,1
"81",2.28460499124209,0.752616875326257,"AL",2022-12-28,1,1,1,0,0,1,0,1,1,0,0,0,1,0
"82",3.4215503957319,0.639604403327897,"AL",2022-12-29,1,1,1,0,0,0,1,1,0,0,0,0,0,0
"83",1.54993136420842,0.745661058158968,"AL",2022-12-30,1,1,1,1,1,1,0,1,1,0,1,0,1,0
"84",NA,NA,"AL",2022-12-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"85",0.36166363316886,0.4782776495088,"AR",2022-11-20,1,1,1,1,1,1,1,0,1,0,1,1,1,1
"86",4.05714442734018,0.67922787921072,"AR",2022-11-21,1,1,0,1,1,1,0,0,0,0,1,1,1,0
"87",2.07324765338244,0.495332218354236,"AR",2022-11-22,1,1,0,1,1,1,0,0,1,0,1,1,1,0
"88",1.199722937911,0.650124559264198,"AR",2022-11-23,1,1,1,1,1,0,1,0,1,0,0,1,0,1
"89",0.924955101082365,0.828576046663185,"AR",2022-11-24,1,1,1,1,1,0,1,1,1,0,1,1,0,0
"90",1.77548953161444,0.285214684848397,"AR",2022-11-25,1,1,0,1,1,1,0,1,1,0,1,1,1,0
"91",2.03820415498348,1.39124857954057,"AR",2022-11-26,1,0,0,1,0,0,1,1,0,1,1,0,0,0
"92",0.903992355372192,0.832485968913178,"AR",2022-11-27,0,1,1,1,1,1,1,0,1,0,1,1,1,1
"93",8.38301851082734,0.711492556096962,"AR",2022-11-28,1,1,0,1,1,1,0,1,0,0,0,1,1,0
"94",4.63247394563247,0.695962409058313,"AR",2022-11-29,1,1,0,1,1,1,0,1,1,0,1,1,1,0
"95",1.65457284136264,0.623386861427324,"AR",2022-11-30,0,1,1,1,1,1,1,0,0,0,0,1,1,0
"96",3.57904445554819,0.726973498641074,"AR",2022-12-01,1,1,0,1,1,1,0,0,1,0,1,1,1,0
"97",1.07827672160368,0.40652181976059,"AR",2022-12-02,1,1,1,1,1,1,1,1,1,0,1,1,1,0
"98",1.0137740368255,0.875610630414867,"AR",2022-12-03,1,0,1,1,1,1,1,1,1,0,1,1,1,0
"99",0.466904853374067,0.62137733707481,"AR",2022-12-04,1,1,1,1,1,1,1,1,1,0,1,1,1,0
"100",4.59422108178636,0.768338284429533,"AR",2022-12-05,1,0,0,1,1,1,0,0,0,0,0,1,1,0
"101",4.65072723144992,0.742583953264288,"AR",2022-12-06,0,0,0,1,1,1,1,0,0,0,1,0,1,1
"102",3.37513138629735,0.606227158400386,"AR",2022-12-07,1,1,0,1,1,1,0,1,0,0,1,0,1,0
"103",5.3107325083908,0.811600902361466,"AR",2022-12-08,1,0,0,1,1,1,0,1,0,0,1,1,1,0
"104",1.3229796083771,0.522602788826257,"AR",2022-12-09,1,0,1,1,1,1,1,1,0,0,1,1,1,0
"105",0.983835155750062,0.562663642034611,"AR",2022-12-10,1,1,1,1,1,1,0,1,0,0,1,1,1,1
"106",0.757328235622097,0.52565744487911,"AR",2022-12-11,1,0,1,1,1,1,1,1,0,0,1,1,1,0
"107",10.1390117871141,0.744364829626329,"AR",2022-12-12,1,0,0,0,0,1,0,0,0,0,0,0,1,0
"108",2.40616946862058,0.59813098758711,"AR",2022-12-13,0,0,0,1,1,1,0,0,0,0,1,0,1,1
"109",7.46418271224013,0.644221465352312,"AR",2022-12-14,1,0,0,0,0,1,0,0,0,0,0,0,0,0
"110",1.13029014096082,0.337070139658209,"AR",2022-12-15,1,1,1,1,1,1,1,1,0,0,0,1,1,0
"111",4.48040133876998,1.01480470417211,"AR",2022-12-16,1,0,0,1,1,0,0,1,0,0,1,0,0,0
"112",0.822580818766818,0.53319233968405,"AR",2022-12-17,1,1,1,1,1,1,1,1,1,0,0,1,1,0
"113",0.931002291287595,0.542917501893855,"AR",2022-12-18,1,0,1,1,1,1,1,1,0,1,1,1,1,0
"114",3.16686409590188,0.489723865579008,"AR",2022-12-19,1,1,1,1,1,1,0,1,1,0,1,0,1,0
"115",5.45342592156728,0.706869659217137,"AR",2022-12-20,1,0,0,1,0,0,0,0,0,0,1,0,0,0
"116",3.16163066034361,0.499627498072786,"AR",2022-12-21,1,0,1,1,0,0,0,1,0,0,1,0,0,0
"117",2.21786282667677,0.666163342818092,"AR",2022-12-22,1,1,1,1,1,1,0,1,1,0,1,0,1,0
"118",2.48890327407997,0.886052249056508,"AR",2022-12-23,1,1,0,1,1,1,0,1,1,0,0,1,1,0
"119",1.84316640724416,0.151748807443332,"AR",2022-12-24,1,1,0,1,0,1,1,1,1,0,0,1,1,1
"120",0.956170149387025,0.48551805816996,"AR",2022-12-25,1,0,1,1,1,1,1,1,0,1,1,0,1,1
"121",5.49900640456716,0.302031873700838,"AR",2022-12-26,1,1,0,1,0,1,0,1,1,0,1,0,1,0
"122",1.43481121827123,0.64849022672232,"AR",2022-12-27,1,1,1,1,1,1,0,1,1,0,1,1,1,0
"123",2.20652019551267,0.66219331061819,"AR",2022-12-28,1,0,1,1,0,1,0,1,0,0,1,0,1,0
"124",7.84501239334912,0.929726870160308,"AR",2022-12-29,1,0,0,1,0,1,0,1,0,0,1,0,1,0
