...1,es_score,brier_score,location,target_date,X22A_50_CI,X22D_50_CI,X22E_50_CI,X22F_50_CI,X23A_50_CI,X23C_50_CI,other_50_CI,X22B_50_CI,X22A_95_CI,X22D_95_CI,X22E_95_CI,X22F_95_CI,X23A_95_CI,X23C_95_CI,other_95_CI,X22B_95_CI
19,0.360750857102655,0.2411855578558245,AK,2023-01-19,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1
20,3.08486386194264,0.2874526220495365,AK,2023-01-20,1,1,0,1,0,1,1,1,1,1,0,1,0,1,1,1
21,NA,NA,AK,2023-01-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22,0.227853221260735,0.260795051739651,AK,2023-01-22,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1
23,1.20410227180821,0.37667423620875,AK,2023-01-23,1,1,0,1,0,1,1,1,1,1,0,1,0,1,1,1
24,4.00217013675984,0.407027038427273,AK,2023-01-24,1,0,0,1,0,1,1,1,1,1,0,1,0,1,1,1
25,2.91114348223056,0.4270512968639805,AK,2023-01-25,1,1,0,1,0,1,0,1,1,1,0,1,0,1,0,1
26,5.84862393238199,0.4072528818313125,AK,2023-01-26,1,1,0,1,0,1,1,1,1,1,0,1,0,0,1,1
27,1.01566520293576,0.331207689243552,AK,2023-01-27,1,1,1,1,1,1,1,0,1,1,0,1,0,1,1,0
28,0.69090181699178,0.489542281259896,AK,2023-01-28,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
29,1.09615676280538,0.368852866336537,AK,2023-01-29,1,1,0,1,0,1,1,1,1,1,0,1,0,1,1,1
30,2.49697038348984,0.53469033595195,AK,2023-01-30,1,1,0,1,0,1,1,1,1,1,0,1,0,1,1,1
31,1.11325784783546,0.276032267578302,AK,2023-01-31,1,1,0,1,1,1,1,1,1,1,0,1,0,1,1,1
32,0.250112962415899,0.0581216642661105,AK,2023-02-01,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1
33,1.17701005552113,0.234402273963237,AK,2023-02-02,1,1,0,1,1,1,1,1,1,1,0,0,0,1,1,1
34,1.12655309404767,0.378226277268411,AK,2023-02-03,1,1,1,0,0,1,1,1,1,1,0,0,0,1,1,1
35,2.86907366289155,0.3837545819495465,AK,2023-02-04,1,1,0,1,0,1,1,1,1,1,0,1,0,1,1,1
36,0.328088624676969,0.0354507371213476,AK,2023-02-05,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1
37,1.14341068450569,0.0775263399425205,AK,2023-02-06,1,1,1,1,0,1,1,1,1,1,0,1,0,0,1,1
38,1.04553287919992,0.274433245511532,AK,2023-02-07,1,1,1,1,1,0,1,1,1,1,1,1,0,0,1,1
39,1.55460157003178,0.2997979831436055,AK,2023-02-08,1,1,1,0,0,1,1,1,1,1,0,0,0,1,1,1
40,0.769057973638679,0.3771333100077995,AK,2023-02-09,1,1,0,1,1,1,1,1,1,1,0,0,1,1,1,1
41,0.637476746987808,0.0182850984863216,AK,2023-02-10,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1
42,0.34570891722433,0.1407958662751265,AK,2023-02-11,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1
43,NA,NA,AL,2023-01-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44,1.9267462891574,0.2347047524836555,AL,2023-01-02,1,1,1,1,0,1,1,1,1,1,0,0,0,1,0,0
45,2.72784349463702,0.257507071011419,AL,2023-01-03,1,1,1,1,0,0,1,0,1,1,0,1,0,0,1,0
46,1.56675519737955,0.343548107074759,AL,2023-01-04,1,1,1,0,1,1,1,1,1,0,1,0,0,1,1,0
47,0.882715139955537,0.231501542770713,AL,2023-01-05,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1
48,1.6704965677853,0.4005662450980955,AL,2023-01-06,1,0,1,1,1,1,1,1,1,0,0,1,1,1,1,1
49,2.19846589242214,0.4422257609819315,AL,2023-01-07,1,1,0,1,1,0,0,0,1,0,0,1,1,0,0,0
50,1.47311263779082,0.67867536953772,AL,2023-01-08,1,1,0,1,1,0,1,0,1,1,1,1,0,0,1,0
51,1.09710032805972,0.301488719097422,AL,2023-01-09,1,1,1,1,1,0,1,1,1,0,0,0,0,0,1,0
52,1.2614556108136,0.2501658139798815,AL,2023-01-10,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0
53,0.258107170761425,0.2658881580738825,AL,2023-01-11,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
54,0.863811811152099,0.404124393990056,AL,2023-01-12,1,1,1,1,1,0,1,1,1,1,0,1,1,0,1,1
55,NA,NA,AL,2023-01-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
56,NA,NA,AL,2023-01-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
57,NA,NA,AL,2023-01-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
58,NA,NA,AL,2023-01-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
59,NA,NA,AL,2023-01-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
60,2.27429639449386,0.354978141594454,AL,2023-01-18,1,1,0,0,0,1,1,1,1,1,0,0,0,1,1,1
61,0.419780247913632,0.292859743016865,AL,2023-01-19,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1
62,0.427131952267671,0.312901373412933,AL,2023-01-20,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
63,NA,NA,AL,2023-01-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
64,NA,NA,AL,2023-01-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
65,0.536401502583015,0.37667423620875,AL,2023-01-23,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
66,0.550100027699404,0.398851283670588,AL,2023-01-24,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1
67,0.178656665841392,0.1253350938221125,AL,2023-01-25,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1
68,0.957378797502671,0.426233617033499,AL,2023-01-26,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,0
69,0.468451636285483,0.247939751369221,AL,2023-01-27,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1
70,1.07789449939952,0.762661085228855,AL,2023-01-28,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,1
71,NA,NA,AL,2023-01-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
72,0.571611598382547,0.073381227518344,AL,2023-01-30,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
73,0.0886301073721779,0.065389582336248,AL,2023-01-31,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
74,NA,NA,AL,2023-02-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
75,1.12418951170189,0.376165175008792,AL,2023-02-02,1,1,1,1,0,1,1,0,1,0,0,1,0,1,1,0
76,NA,NA,AL,2023-02-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
77,0.0565032481874264,0.04024536989363475,AL,2023-02-04,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1
78,0.929234335515962,0.66112783974479,AL,2023-02-05,1,1,0,1,0,1,1,1,1,1,0,1,0,1,1,1
79,0.662042498332577,0.355693245271331,AL,2023-02-06,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1
80,0.990276530493641,0.69863383025635,AL,2023-02-07,1,1,0,1,0,1,1,1,1,1,0,1,0,1,1,1
81,0.347602423647777,0.0239522039237196,AL,2023-02-08,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1
82,1.21247868466194,0.85517021564481,AL,2023-02-09,1,1,1,1,0,0,1,1,1,1,0,1,1,0,1,1
83,0.0243717362507046,0.0182850984863216,AL,2023-02-10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
84,NA,NA,AL,2023-02-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
85,0.113843456261403,0.083126169251397,AR,2023-01-01,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1
86,1.59664082421052,0.158486212954925,AR,2023-01-02,1,1,0,1,0,1,1,1,1,1,0,1,0,0,1,0
87,3.88878073843707,0.2598981664956135,AR,2023-01-03,1,1,1,1,0,1,1,0,1,1,0,0,0,0,1,0
88,6.71131301923385,0.23672976788803551,AR,2023-01-04,1,1,0,0,0,1,1,0,1,1,0,0,0,0,0,0
89,4.09987838189157,0.3451839776082125,AR,2023-01-05,0,1,1,1,0,1,1,1,0,0,0,1,0,0,1,0
90,1.98552289885058,0.3251650232352155,AR,2023-01-06,1,0,1,1,0,1,1,1,1,0,0,1,0,0,1,0
91,1.20473755300633,0.2292528871028135,AR,2023-01-07,1,1,1,1,0,1,1,0,1,1,0,1,0,1,1,1
92,1.6853049496648,0.1303067505283375,AR,2023-01-08,1,1,0,1,0,1,1,1,1,1,0,0,0,1,1,1
93,2.69818569871632,0.322213845823441,AR,2023-01-09,0,1,1,1,1,1,1,0,0,0,0,0,0,1,1,0
94,6.29062794913926,0.261824583230503,AR,2023-01-10,1,1,0,1,0,1,1,1,1,1,0,1,0,1,1,1
95,5.00008715670042,0.275972740342984,AR,2023-01-11,0,1,0,1,0,1,1,0,0,1,0,1,0,1,1,0
96,4.22405344608206,0.3290508909270805,AR,2023-01-12,0,0,1,1,0,1,1,1,0,0,0,0,0,1,1,0
97,2.3661179163697,0.315875351244695,AR,2023-01-13,1,1,1,1,0,0,1,1,1,0,0,0,0,0,1,1
98,1.3991709571731,0.51675692980208,AR,2023-01-14,1,1,1,0,0,1,1,0,1,1,0,1,1,1,1,0
99,1.02173698686262,0.48126076351567,AR,2023-01-15,1,1,1,0,1,1,1,1,1,1,1,0,0,1,1,1
100,1.64593401784898,0.3776561248974955,AR,2023-01-16,1,1,1,1,1,1,1,0,1,1,0,1,0,1,1,0
101,4.83897761347304,0.2993117019700715,AR,2023-01-17,1,1,0,1,0,1,1,0,1,1,0,1,0,0,1,0
102,3.1207406943852,0.3414193485377565,AR,2023-01-18,1,1,0,1,0,1,1,0,1,1,0,1,0,1,1,0
103,1.81158881549701,0.3233909258800035,AR,2023-01-19,1,1,0,1,0,1,1,0,1,1,1,0,1,1,1,0
104,2.8277729010814,0.443921823717868,AR,2023-01-20,1,1,0,1,0,0,0,1,1,1,0,1,0,0,0,1
105,0.260170691055025,0.1821483238484375,AR,2023-01-21,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1
106,0.656841693948563,0.2921615704757855,AR,2023-01-22,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
107,11.5932654255568,0.391600183573666,AR,2023-01-23,1,1,0,1,0,1,1,0,1,0,0,1,0,0,1,0
108,1.42459810098293,0.268559957359978,AR,2023-01-24,1,1,0,1,1,1,1,1,1,1,0,0,0,0,1,1
109,4.49802017809639,0.381083792485554,AR,2023-01-25,1,0,0,1,0,1,1,0,1,0,0,1,0,1,1,0
110,6.73968187816244,0.3939043052967965,AR,2023-01-26,1,1,0,1,0,0,1,1,1,1,0,1,0,0,1,0
111,2.92924927366244,0.36256671644024,AR,2023-01-27,1,1,0,1,0,1,1,1,1,1,0,1,1,0,1,1
112,0.708330584937124,0.489542281259896,AR,2023-01-28,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1
113,0.392117943534969,0.2971731621833135,AR,2023-01-29,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1
114,13.0488737770165,0.4870438658518965,AR,2023-01-30,1,1,1,1,0,1,1,0,1,1,0,0,0,1,1,0
115,0.46696851060032,0.311139381785311,AR,2023-01-31,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
116,2.02290558786358,0.4172095108972435,AR,2023-02-01,1,1,1,1,0,1,0,0,1,1,0,1,0,1,0,0
117,1.3764782763207,0.4172676231118165,AR,2023-02-02,1,1,0,1,0,1,1,1,1,1,0,1,0,1,1,1
118,3.04143929849998,0.429223178565808,AR,2023-02-03,1,1,0,1,0,1,1,1,1,1,0,1,0,1,1,1
119,0.905341197375926,0.64138649099148,AR,2023-02-04,1,1,0,1,0,1,1,1,1,1,0,1,0,1,1,1
120,0.0518386486021214,0.0354507371213476,AR,2023-02-05,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
121,2.13550915031035,0.2957445016430635,AR,2023-02-06,1,1,1,1,0,1,1,0,1,1,0,1,0,1,1,0
122,3.2878104088813,0.501058550248395,AR,2023-02-07,1,0,1,1,0,0,1,0,1,0,1,1,0,0,1,0
123,3.42702601361955,0.605429710130485,AR,2023-02-08,1,1,0,1,0,1,1,0,1,1,0,1,0,1,1,0
124,2.65861905818288,0.448371116834456,AR,2023-02-09,1,1,0,1,0,1,1,1,1,1,0,1,0,1,1,1
125,9.18254151482527,0.592272077235625,AR,2023-02-10,1,1,0,1,0,1,1,0,1,1,0,1,0,1,1,0
126,NA,NA,AR,2023-02-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
127,1.22366809616762,0.083126169251397,AZ,2023-01-01,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
128,6.47556752525304,0.2810740690676815,AZ,2023-01-02,1,1,1,0,0,1,1,0,1,0,0,0,0,1,0,0
129,5.97058225497716,0.261584375633845,AZ,2023-01-03,1,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0
130,2.92834066054387,0.2479267336659745,AZ,2023-01-04,1,1,0,1,0,1,1,1,1,1,0,0,0,1,1,1
131,3.86494414659161,0.2627956597586295,AZ,2023-01-05,1,1,0,0,0,1,1,0,1,1,0,0,0,1,1,0
132,6.50680297486492,0.2366968793279175,AZ,2023-01-06,1,1,0,0,0,1,1,0,1,0,0,0,0,0,1,1
133,1.49402049495055,0.2112368719730775,AZ,2023-01-07,1,1,0,1,0,1,1,1,1,0,0,1,0,1,1,0
134,1.55242782870883,0.268623071676241,AZ,2023-01-08,1,1,1,1,1,1,1,0,1,1,0,1,0,1,1,0
135,5.88796345831249,0.3161620706150965,AZ,2023-01-09,1,1,1,0,0,1,1,0,0,0,0,0,0,1,1,0
136,5.85187876226685,0.2523887643174045,AZ,2023-01-10,1,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0
137,4.82183438174147,0.3241765767065775,AZ,2023-01-11,1,0,1,0,0,1,1,0,1,1,0,0,0,1,1,0
138,0.989007007374609,0.316893125809068,AZ,2023-01-12,1,0,1,1,1,1,1,1,1,0,0,0,0,1,1,0
139,1.01458079243438,0.3431372523750545,AZ,2023-01-13,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,0
140,0.807660136606462,0.3161535102350665,AZ,2023-01-14,1,1,1,0,1,1,1,1,1,0,0,0,0,1,1,1
141,1.58234494910644,0.328576232095106,AZ,2023-01-15,1,1,1,0,1,1,1,1,1,0,1,0,0,1,1,0
142,8.80575967226737,0.365704178021678,AZ,2023-01-16,1,0,0,0,0,1,1,0,1,0,0,0,0,1,1,0
143,4.31845847772983,0.2967587380574245,AZ,2023-01-17,1,1,0,1,0,1,1,1,1,0,0,1,0,0,1,1
144,1.72620908312581,0.3427325980904965,AZ,2023-01-18,1,0,1,1,0,1,1,1,1,1,0,0,0,0,1,0
145,2.89286477757423,0.3362965903022075,AZ,2023-01-19,1,1,1,0,1,1,1,1,1,1,0,0,1,1,1,0
146,0.829251861725074,0.251237091263164,AZ,2023-01-20,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0
147,0.404984370093318,0.2427318667404,AZ,2023-01-21,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1
148,0.236447484824964,0.166695495531247,AZ,2023-01-22,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1
149,2.90261783848929,0.3144729121514275,AZ,2023-01-23,1,1,1,0,1,1,0,0,1,1,0,0,0,1,0,0
150,4.40077078383246,0.436981251305423,AZ,2023-01-24,0,1,1,0,0,1,1,0,0,0,0,0,0,0,1,0
151,1.85004906746567,0.3411550730663035,AZ,2023-01-25,1,1,1,0,0,1,1,1,1,1,0,0,0,1,1,1
152,3.70093686168043,0.406080566460857,AZ,2023-01-26,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1
153,1.29443880035526,0.3178800484062025,AZ,2023-01-27,1,1,1,0,1,1,1,0,1,1,0,0,0,1,1,0
154,1.25209334812076,0.381515706797134,AZ,2023-01-28,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1
155,4.27007047421361,0.410984222266775,AZ,2023-01-29,1,1,0,1,0,1,1,0,1,1,0,0,0,1,1,0
156,2.70806045315712,0.2649717004912335,AZ,2023-01-30,1,1,1,0,0,1,1,0,1,0,0,1,0,0,1,0
157,3.70981055826678,0.234232208690312,AZ,2023-01-31,1,0,0,0,1,1,0,1,1,0,0,0,1,1,0,1
158,13.7942746348671,0.398852971360576,AZ,2023-02-01,1,1,0,0,0,1,1,0,1,1,0,0,0,1,1,0
159,1.25097543709181,0.1588974422091235,AZ,2023-02-02,1,1,1,0,1,1,1,1,1,1,0,0,0,1,1,1
160,2.50520980975881,0.3131978489157995,AZ,2023-02-03,1,1,1,1,0,0,1,0,1,1,0,1,0,0,1,0
161,0.942175359011833,0.280701818332773,AZ,2023-02-04,1,1,0,1,1,1,1,1,1,1,0,1,0,1,1,1
162,3.03707809123398,0.2560675794490225,AZ,2023-02-05,1,1,0,1,0,1,1,0,1,1,0,0,0,1,1,0
163,2.68010869146467,0.2483113898327455,AZ,2023-02-06,1,1,1,0,0,1,1,0,1,1,0,0,0,1,1,0
164,1.83504616926604,0.254918900783326,AZ,2023-02-07,1,0,1,0,0,1,1,1,1,0,0,0,0,1,1,1
165,1.9763897323222,0.075841183996203,AZ,2023-02-08,1,1,0,1,0,1,1,0,1,1,0,0,0,1,1,0
166,0.609482072863624,0.1634198895278305,AZ,2023-02-09,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1
167,1.92808415334946,0.3489063208524715,AZ,2023-02-10,1,1,0,1,0,1,1,0,1,1,0,1,0,1,1,0
168,0.822609260930461,0.1824145545234465,AZ,2023-02-11,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1
169,1.33916610646628,0.2020750112130005,CA,2023-01-01,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,0
170,51.2419510665746,0.24224945637672,CA,2023-01-02,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0
171,26.3040515917585,0.3006873709556825,CA,2023-01-03,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
172,20.0165929385798,0.27021867830503,CA,2023-01-04,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
173,23.3941906036864,0.270901936960336,CA,2023-01-05,1,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0
174,11.9678299397513,0.282953724913028,CA,2023-01-06,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0
175,20.7356499839671,0.281874189758988,CA,2023-01-07,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0
176,12.0719776847678,0.2705738073318555,CA,2023-01-08,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
177,41.8748761595006,0.2679540616647855,CA,2023-01-09,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0
178,24.0780105478957,0.3086042836972325,CA,2023-01-10,1,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0
179,28.6138117507325,0.3253094260644505,CA,2023-01-11,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
180,36.6263071826565,0.3024084392012825,CA,2023-01-12,1,1,0,0,0,1,1,0,1,0,0,0,0,1,1,0
181,26.2374319415489,0.318896350183711,CA,2023-01-13,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
182,22.1237845646604,0.31142185384659,CA,2023-01-14,1,1,0,1,0,1,1,0,1,0,0,0,0,0,1,0
183,21.8296240174015,0.339925579078628,CA,2023-01-15,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
184,26.5318915559069,0.326271746029918,CA,2023-01-16,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0
185,31.3512597553239,0.3349927789217805,CA,2023-01-17,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0
186,24.9005334249807,0.3264555625870255,CA,2023-01-18,1,1,0,1,0,1,1,0,1,1,0,0,0,0,0,0
187,7.78070521689122,0.3614716705460795,CA,2023-01-19,1,1,1,1,0,1,0,0,0,1,0,1,0,0,0,0
188,19.1876640616209,0.338034295734173,CA,2023-01-20,1,0,0,1,0,1,1,0,1,0,0,0,0,1,1,0
189,41.0211802085051,0.329370296985593,CA,2023-01-21,1,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0
190,24.6288489674105,0.347876817369836,CA,2023-01-22,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0
191,35.9666485948883,0.349513968487768,CA,2023-01-23,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
192,30.4745663683641,0.3251525211192275,CA,2023-01-24,1,1,0,1,0,1,1,1,1,0,0,0,0,0,1,1
193,31.2238209553523,0.365758393314804,CA,2023-01-25,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0
194,26.1149334050859,0.33978404661512,CA,2023-01-26,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0
195,23.4762777896173,0.369920628114354,CA,2023-01-27,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0
196,18.1036702893817,0.335688035764119,CA,2023-01-28,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0
197,11.4234833394627,0.3253476156549185,CA,2023-01-29,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
198,19.4835876484189,0.365911090357561,CA,2023-01-30,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,1
199,13.3260439897723,0.331167172125798,CA,2023-01-31,1,1,0,1,0,0,0,1,1,1,0,0,0,0,0,1
200,17.5386588602727,0.3181028407584965,CA,2023-02-01,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0
201,30.3687007168118,0.3281923728618035,CA,2023-02-02,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
202,16.0191421198422,0.2918672154995765,CA,2023-02-03,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0
203,23.578877851585,0.3269559687176325,CA,2023-02-04,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
204,47.8201319656719,0.3337387767425165,CA,2023-02-05,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
205,27.3629714463198,0.2681121593875765,CA,2023-02-06,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
206,37.584510843572,0.3434278155379925,CA,2023-02-07,1,0,0,1,0,1,0,0,1,0,0,1,0,1,0,0
207,30.9118564164337,0.264095224126843,CA,2023-02-08,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0
208,42.4479845061184,0.2807850757978805,CA,2023-02-09,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1
209,28.1363613970696,0.284787680165091,CA,2023-02-10,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
210,20.8450230488448,0.3357545539869315,CA,2023-02-11,1,0,0,1,0,1,1,0,1,0,0,1,0,1,1,0
211,NA,NA,CO,2023-01-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
212,1.32498190960766,0.1924588620293945,CO,2023-01-02,1,1,0,1,1,1,1,1,1,0,0,1,0,1,1,0
213,3.16619899783417,0.3144713600302675,CO,2023-01-03,0,1,1,1,0,1,1,0,1,1,0,1,0,1,1,0
214,1.48504924279197,0.3906018921204975,CO,2023-01-04,1,1,1,0,0,0,1,1,1,1,0,0,0,0,1,0
215,0.792779115811174,0.258917236955014,CO,2023-01-05,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0
216,0.779636825947082,0.112874435689543,CO,2023-01-06,1,1,0,1,1,1,1,1,1,1,0,1,0,1,1,1
217,0.852995318303074,0.4039586726951625,CO,2023-01-07,1,0,1,1,1,1,1,1,1,0,0,1,1,1,1,1
218,0.692959689791855,0.1897815644250595,CO,2023-01-08,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1
219,1.14290457026011,0.348264955492713,CO,2023-01-09,1,0,1,1,1,1,1,1,1,0,0,1,0,1,1,0
220,1.0558491726984,0.367021288744921,CO,2023-01-10,1,1,1,0,1,1,1,1,1,1,1,0,0,1,1,1
221,2.41260677988077,0.428298901075375,CO,2023-01-11,0,0,0,1,1,1,1,1,0,0,0,1,0,1,1,0
222,0.757503352324766,0.34240171383944,CO,2023-01-12,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,0
223,0.965790157973531,0.683233827421615,CO,2023-01-13,1,0,1,1,1,1,1,1,1,0,0,1,1,1,1,1
224,NA,NA,CO,2023-01-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
