"","es_score","brier_score","location","target_date","X23E_50_CI","X23F_50_CI","other_50_CI","X24A_50_CI","X23E_95_CI","X23F_95_CI","other_95_CI","X24A_95_CI"
"149",0.0200476799415404,0.000382073940247237,"AZ",2024-02-12,1,1,1,1,1,1,1,1
"150",1.05920409166213,0.13099652274816,"AZ",2024-02-13,1,1,0,0,1,1,0,0
"151",0.0453234506373937,0.00028480328511696,"AZ",2024-02-14,1,1,1,1,0,1,1,0
"152",0.000190565277611399,0.000245842105078165,"AZ",2024-02-15,1,1,1,1,1,1,1,1
"153",0.00125811383463581,0.000212185393913473,"AZ",2024-02-16,1,1,1,1,1,1,1,1
"154",0.00748192348032746,0.000183116283211965,"AZ",2024-02-17,1,1,1,1,1,1,1,1
"155",1.10423857055448,0.103973263845063,"AZ",2024-02-18,1,1,0,0,1,1,0,0
"156",0.0245694341371223,0.00013633974343629,"AZ",2024-02-19,1,1,1,1,1,1,1,1
"157",2.34451151256507,0.136415839165282,"AZ",2024-02-20,1,1,0,0,1,1,0,0
"158",1.06838557230187,0.0707456644854416,"AZ",2024-02-21,1,1,0,0,1,1,0,0
"159",1.35535870936258,0.494994330733942,"AZ",2024-02-22,1,1,0,0,1,1,0,0
"160",0.000585281097114219,7.55091147972842e-05,"AZ",2024-02-23,1,1,1,1,1,1,1,1
"161",0.000170738003367803,6.51290235302856e-05,"AZ",2024-02-24,1,1,1,1,1,1,1,1
"162",2.32031878132475,0.440483308662191,"AZ",2024-02-25,1,0,0,0,1,0,0,0
"163",0.00183408218070474,4.84461873758158e-05,"AZ",2024-02-26,1,1,1,1,1,1,1,1
"164",1.30766491746654,0.180588539526074,"AZ",2024-02-27,1,1,0,0,1,1,0,0
"165",0.0007717858329803,3.60306100754897e-05,"AZ",2024-02-28,1,1,1,1,1,1,1,1
"166",0.000179945884827906,3.10709807224824e-05,"AZ",2024-02-29,1,1,1,1,1,1,1,1
"167",1.10732921938398e-05,2.67932533916213e-05,"AZ",2024-03-01,1,1,1,1,1,1,1,1
"168",0.000223137463044004,2.31038640843149e-05,"AZ",2024-03-02,1,1,1,1,1,1,1,1
"169",1.41386152432244,0.514586324893094,"CA",2024-01-21,1,1,0,0,1,0,0,0
"170",0.510806947737324,0.140045585321416,"CA",2024-01-22,1,1,1,1,1,1,0,0
"171",0.527886084553079,0.00680319040457568,"CA",2024-01-23,1,1,1,1,1,0,1,0
"172",0.693420903246105,0.171949581816205,"CA",2024-01-24,1,1,0,1,1,0,0,0
"173",3.71947705864844,0.309443824728504,"CA",2024-01-25,1,0,0,0,1,1,1,1
"174",3.20080525464341,0.224083990225035,"CA",2024-01-26,1,1,0,0,1,1,0,0
"175",0.566305455985214,0.00387503415951453,"CA",2024-01-27,1,1,1,1,1,0,0,0
"176",0.612979420372955,0.0883503785989343,"CA",2024-01-28,1,1,1,1,1,1,1,1
"177",3.98007440269461,0.176043263888338,"CA",2024-01-29,1,1,0,0,0,1,0,0
"178",2.48818776312088,0.146749517428091,"CA",2024-01-30,1,0,1,0,1,0,0,0
"179",3.96937846217389,0.171149951649131,"CA",2024-01-31,1,0,1,0,1,0,0,0
"180",9.64524081557416,0.214411724361508,"CA",2024-02-01,1,0,0,0,1,0,0,0
"181",7.9360675486871,0.215672003343866,"CA",2024-02-02,1,1,0,0,0,0,0,0
"182",0.990044246230372,0.08408436429304,"CA",2024-02-03,1,0,1,1,1,0,1,0
"183",0.65615769195769,0.0698691612998549,"CA",2024-02-04,1,1,1,1,1,0,0,1
"184",1.7891027406797,0.129273300060173,"CA",2024-02-05,1,1,0,0,1,1,0,0
"185",8.40648643133813,0.219845250012049,"CA",2024-02-06,1,0,0,0,1,0,0,0
"186",5.43767510473015,0.174228071431931,"CA",2024-02-07,1,0,0,0,1,0,0,0
"187",1.26084915219813,0.0675258190052046,"CA",2024-02-08,1,1,0,1,0,0,0,1
"188",9.24332768243349,0.240113298523227,"CA",2024-02-09,1,1,0,0,1,1,0,0
"189",6.03741403008461,0.300018843088661,"CA",2024-02-10,1,0,0,0,1,0,0,0
"190",0.0053267204736169,0.000442436339627913,"CA",2024-02-11,1,1,1,1,1,1,1,1
"191",5.82479021896627,0.222756863749637,"CA",2024-02-12,1,1,0,0,1,1,0,0
"192",5.70381257223994,0.178511659750972,"CA",2024-02-13,1,1,0,0,1,1,0,0
"193",2.72456677521929,0.077766916621461,"CA",2024-02-14,1,1,0,0,1,0,0,0
"194",8.20867017108862,0.238179519293482,"CA",2024-02-15,1,0,0,0,1,0,0,0
"195",1.85669347546525,0.0731025766996212,"CA",2024-02-16,1,1,0,0,1,0,0,1
"196",0.948169396744965,0.065861373770744,"CA",2024-02-17,1,1,0,1,1,1,0,0
