...1,es_score,brier_score,location,target_date,X22A_50_CI,X22D_50_CI,X22E_50_CI,X22F_50_CI,X23A_50_CI,other_50_CI,X22B_50_CI,X22A_95_CI,X22D_95_CI,X22E_95_CI,X22F_95_CI,X23A_95_CI,other_95_CI,X22B_95_CI
107,4.68554788594067,0.141921582174122,AR,2022-12-26,1,1,0,1,0,1,1,1,1,0,1,0,1,0
108,1.31861670479142,0.3195177680003165,AR,2022-12-27,1,1,1,1,1,1,0,1,1,0,1,1,1,0
109,1.94925525558646,0.321363455368141,AR,2022-12-28,1,0,1,1,0,1,0,1,0,0,0,0,1,0
110,7.55265971795551,0.455334260357442,AR,2022-12-29,1,1,0,1,0,1,0,0,1,0,1,0,1,0
111,1.75619577042064,0.215415598004091,AR,2022-12-30,1,1,0,1,1,1,1,1,1,0,0,0,1,1
112,1.43809748157619,0.357794293601822,AR,2022-12-31,1,0,1,1,0,1,0,1,0,0,1,0,1,0
113,0.204815430662154,0.148035715022587,AR,2023-01-01,1,1,1,1,1,1,1,1,1,1,1,1,1,1
114,2.80134564986646,0.229465334334905,AR,2023-01-02,1,1,0,1,0,1,0,1,1,1,1,0,1,0
115,7.71395215605735,0.321182890798637,AR,2023-01-03,1,1,0,1,0,1,0,1,0,0,0,0,1,0
116,14.6182926608399,0.308465309381949,AR,2023-01-04,1,1,0,1,0,0,0,1,0,0,1,0,0,0
117,6.85889853830178,0.4054836234927205,AR,2023-01-05,0,1,1,1,0,0,1,0,0,0,1,0,0,1
118,3.39431977901038,0.4164952986066305,AR,2023-01-06,1,0,1,1,0,1,0,1,0,0,1,0,1,0
119,2.28795594525367,0.355406837918974,AR,2023-01-07,1,1,0,1,0,1,0,1,1,0,1,0,1,0
120,2.87658650505478,0.294260117146158,AR,2023-01-08,1,1,0,1,0,1,1,1,1,0,1,0,1,1
121,6.56971974914592,0.380876546026574,AR,2023-01-09,0,1,0,1,0,1,0,0,1,0,1,0,1,0
122,15.0631556771978,0.3919497150909915,AR,2023-01-10,1,1,0,0,0,1,0,1,1,0,0,0,1,1
123,11.9193451642008,0.4078846104251565,AR,2023-01-11,0,1,0,1,0,1,0,0,0,0,0,0,1,1
124,9.64835518435102,0.465459592042119,AR,2023-01-12,0,0,0,1,0,1,0,0,0,0,0,0,1,0
125,4.89799228746997,0.47076123261336,AR,2023-01-13,1,1,0,1,0,0,1,1,1,0,1,0,0,1
126,1.94741194872121,0.656363368219505,AR,2023-01-14,1,1,1,0,0,1,0,1,1,0,0,0,1,0
127,4.16861508202844,0.2922958093748595,AZ,2022-12-04,1,0,0,1,1,1,0,0,0,0,0,0,1,0
128,14.656024678108,0.314655575126461,AZ,2022-12-05,1,0,0,1,0,1,0,0,0,0,0,0,0,0
129,4.30182877418403,0.28779769134046,AZ,2022-12-06,1,0,0,1,0,1,1,0,0,0,0,0,0,0
130,5.72262435457377,0.26207973979769,AZ,2022-12-07,0,1,1,1,1,1,0,0,0,0,1,0,1,0
131,2.06727077536412,0.238846486077689,AZ,2022-12-08,1,0,1,1,1,0,1,1,0,1,0,0,0,0
132,3.66272998222262,0.270286876872175,AZ,2022-12-09,0,1,1,0,1,1,0,0,1,0,0,0,0,0
133,2.73391732143814,0.301476815799095,AZ,2022-12-10,1,1,0,0,1,1,1,1,0,0,0,0,1,0
134,2.55469515500109,0.212763411282479,AZ,2022-12-11,1,1,1,1,0,0,1,1,1,0,0,0,0,0
135,7.02020681640234,0.296602706401772,AZ,2022-12-12,1,1,0,0,0,0,0,0,0,0,0,0,0,0
136,7.18136045938282,0.2830377449276565,AZ,2022-12-13,1,0,0,1,0,0,0,0,0,0,0,0,0,0
137,4.101268510744,0.2419135905372855,AZ,2022-12-14,1,0,1,1,0,1,0,0,0,0,0,0,0,0
138,4.26932170287481,0.2655960398926025,AZ,2022-12-15,1,1,0,1,0,1,0,0,1,0,1,0,1,0
139,3.05163456535376,0.2410599560137405,AZ,2022-12-16,1,1,1,1,0,0,0,1,0,0,1,0,0,0
140,2.92294427514459,0.308042614225344,AZ,2022-12-17,1,0,0,1,0,1,0,0,0,0,0,0,1,0
141,2.56288675327266,0.2229908987887065,AZ,2022-12-18,1,1,1,1,0,0,0,1,1,0,0,0,0,0
142,9.79900726307384,0.251618482177341,AZ,2022-12-19,1,0,1,1,0,1,0,1,0,0,0,0,0,0
143,6.54244980887472,0.307325835002651,AZ,2022-12-20,1,1,0,1,0,1,0,0,1,1,0,0,1,0
144,5.79045174222702,0.2976589619017545,AZ,2022-12-21,1,1,0,1,0,1,0,1,0,0,0,0,0,0
145,1.91250753477926,0.201645614481913,AZ,2022-12-22,1,1,1,0,0,1,1,1,0,0,1,0,1,1
146,2.73880001950051,0.2564292405200975,AZ,2022-12-23,1,1,1,0,0,0,0,1,1,1,0,0,0,0
147,1.09117860845441,0.2501917609627645,AZ,2022-12-24,1,0,1,1,1,1,1,1,0,1,1,0,1,0
148,0.102874533038293,0.075344520718785,AZ,2022-12-25,1,1,1,1,1,1,1,1,1,1,1,1,1,1
149,6.89728713411021,0.260510199490639,AZ,2022-12-26,1,1,1,0,0,0,0,1,0,0,0,0,0,0
150,14.5928669255778,0.2311466589675285,AZ,2022-12-27,1,1,0,1,0,1,0,0,0,0,0,0,1,0
151,4.92636935504242,0.3097910275906005,AZ,2022-12-28,1,1,1,0,0,1,0,1,0,0,0,0,1,0
152,4.14605594422152,0.3089835901249795,AZ,2022-12-29,1,1,1,1,0,0,0,1,1,0,1,0,0,0
153,5.01583144235022,0.293750073540566,AZ,2022-12-30,1,0,1,0,0,1,1,1,0,0,0,0,0,0
154,2.61530731991989,0.273448132336005,AZ,2022-12-31,1,0,1,1,0,1,1,1,0,0,0,0,1,0
155,1.82837976705799,0.148035715022587,AZ,2023-01-01,1,1,0,1,0,1,1,1,1,0,0,0,1,1
156,16.6592706172288,0.321841682034637,AZ,2023-01-02,1,1,0,0,0,0,0,1,0,0,0,0,0,0
157,15.0375441157618,0.3166380790962705,AZ,2023-01-03,1,0,0,1,0,0,0,1,0,0,0,0,0,0
158,9.41615616886611,0.301350787291076,AZ,2023-01-04,1,1,0,1,0,0,0,1,0,0,0,0,0,0
159,8.94993027698093,0.3427319214330195,AZ,2023-01-05,1,1,0,0,0,1,0,1,0,0,1,0,1,0
160,12.8567913215699,0.3448069909870815,AZ,2023-01-06,1,1,0,0,0,1,0,1,0,0,0,0,1,0
161,2.83554877428774,0.3410021717389685,AZ,2023-01-07,1,1,0,1,0,1,0,1,1,0,1,0,1,0
162,4.00152351237338,0.3492529846871575,AZ,2023-01-08,1,1,0,1,0,1,0,1,1,0,0,0,1,0
163,18.9969276723888,0.3852684133253695,AZ,2023-01-09,1,1,0,0,0,1,0,1,0,0,0,0,1,0
164,13.9729642157759,0.3825467994654185,AZ,2023-01-10,1,1,0,1,0,0,1,1,0,0,1,0,0,1
165,12.1794860573382,0.4447818271106075,AZ,2023-01-11,1,0,0,0,0,1,0,1,0,0,0,0,1,0
166,2.91650115409341,0.370193738901207,AZ,2023-01-12,1,0,0,1,0,1,0,1,0,0,1,0,1,0
167,2.31541013920706,0.3971558778833715,AZ,2023-01-13,1,1,1,0,0,1,0,1,1,0,1,0,1,0
168,1.41723091128937,0.349621276532019,AZ,2023-01-14,1,1,1,0,0,1,1,1,1,0,0,0,1,0
169,7.39677547156439,0.2725076066859915,CA,2022-12-04,0,1,1,0,0,0,1,0,1,0,0,0,0,0
170,15.0238489449523,0.258405882397089,CA,2022-12-05,0,0,1,1,0,0,1,0,0,0,1,0,0,0
171,9.23800713740441,0.245226514930736,CA,2022-12-06,0,0,0,1,0,0,0,0,0,0,0,0,0,0
172,16.9931304703347,0.261540391008465,CA,2022-12-07,0,0,1,0,0,0,1,0,0,1,0,0,0,0
173,10.6088182180304,0.2353306373114495,CA,2022-12-08,1,1,0,1,0,1,1,0,0,0,1,0,0,0
174,16.096981295711,0.220567155086014,CA,2022-12-09,0,1,0,1,0,0,0,0,0,0,1,0,0,0
175,30.8173253669162,0.273532149725485,CA,2022-12-10,0,0,0,1,0,0,0,0,0,0,0,0,0,0
176,16.3406247009433,0.2435251372412505,CA,2022-12-11,0,0,1,1,0,0,0,0,0,0,0,0,0,0
177,15.4615927424774,0.22956404800479,CA,2022-12-12,0,0,0,1,0,0,1,0,0,0,1,0,0,0
178,13.5767901583193,0.2446126202388205,CA,2022-12-13,0,0,1,0,0,0,0,0,0,0,0,0,0,0
179,21.7754502069112,0.2803759484415945,CA,2022-12-14,1,0,0,1,0,0,0,0,0,0,0,0,0,0
180,16.8861814966493,0.2256858510043225,CA,2022-12-15,0,0,0,1,0,0,1,0,0,0,0,0,0,0
181,11.234244420778,0.2351606348759435,CA,2022-12-16,1,1,1,1,0,0,0,0,0,0,0,0,0,0
182,19.1062626195298,0.257216512463539,CA,2022-12-17,0,0,0,1,0,0,0,0,0,0,0,0,0,0
183,21.020188795124,0.2022097495904315,CA,2022-12-18,1,1,0,0,0,1,0,0,0,0,0,0,0,0
184,28.2770491741383,0.2259239871596145,CA,2022-12-19,1,0,0,1,0,0,0,0,0,0,0,0,0,0
185,27.605253021209,0.183753658086992,CA,2022-12-20,1,1,0,1,0,0,1,1,0,0,0,0,0,0
186,26.7357746075324,0.226097028447093,CA,2022-12-21,0,1,0,1,0,0,0,0,0,0,0,0,0,0
187,49.6690731760251,0.251731716905716,CA,2022-12-22,1,0,1,0,0,0,0,1,0,0,0,0,0,0
188,74.3432902653786,0.2263058272262775,CA,2022-12-23,0,0,0,0,0,0,0,0,0,0,0,0,0,0
189,24.9540465771834,0.2494565952083605,CA,2022-12-24,1,0,0,1,0,0,1,0,0,0,1,0,0,0
190,0.570619450745912,0.075344520718785,CA,2022-12-25,1,1,1,1,1,1,1,1,1,0,1,0,1,0
191,82.8518214290258,0.2475295901359305,CA,2022-12-26,1,0,0,0,0,0,0,1,0,0,0,0,0,0
192,95.8657694308331,0.2488367010353435,CA,2022-12-27,0,0,0,1,0,0,0,0,0,0,1,0,0,0
193,107.281312337699,0.2409011066688265,CA,2022-12-28,1,0,0,0,0,0,0,1,0,0,0,0,0,0
194,77.2174764474763,0.2575182052092305,CA,2022-12-29,1,0,0,0,0,0,0,0,0,0,0,0,0,0
195,89.8196600617641,0.2912836686747525,CA,2022-12-30,1,0,0,1,0,0,0,1,0,0,0,0,0,0
196,29.0073298415289,0.3072604652675755,CA,2022-12-31,1,0,0,1,0,0,0,0,0,0,1,0,0,0
197,2.34270776582286,0.227578821308718,CA,2023-01-01,1,0,0,1,0,1,1,1,0,0,1,0,1,1
198,111.683256528765,0.295139987191094,CA,2023-01-02,1,0,0,0,0,0,0,0,0,0,0,0,0,0
199,72.5501910032276,0.3417221365651805,CA,2023-01-03,1,0,0,0,0,0,0,0,0,0,0,0,0,0
200,60.270892750161,0.3227106642513115,CA,2023-01-04,1,0,0,0,0,0,0,0,0,0,0,0,0,0
201,73.0377929789345,0.3294569725167485,CA,2023-01-05,1,0,0,0,0,0,0,1,0,0,0,0,0,0
202,59.6658599033554,0.333561082701344,CA,2023-01-06,1,0,0,0,0,0,0,1,0,0,0,0,0,0
203,51.3851098233237,0.3706578184862355,CA,2023-01-07,0,1,0,0,0,0,0,0,1,0,0,0,0,0
204,52.0500810559904,0.3369667224638755,CA,2023-01-08,1,0,0,0,0,0,0,1,0,0,0,0,0,0
205,111.975312252839,0.366182366665884,CA,2023-01-09,1,0,0,1,0,0,0,1,0,0,0,0,0,0
206,92.1518958696462,0.3884156519691585,CA,2023-01-10,0,0,0,0,0,0,0,1,0,0,0,0,0,0
207,98.1295487958666,0.4102353480640115,CA,2023-01-11,1,0,0,0,0,0,0,0,0,0,0,0,0,0
208,101.709644760443,0.417830178087819,CA,2023-01-12,1,0,0,0,0,0,0,1,0,0,0,0,0,0
209,84.1470621489321,0.4284850664004735,CA,2023-01-13,1,0,0,0,0,0,0,1,0,0,0,0,0,0
210,64.2225369837888,0.435093073965267,CA,2023-01-14,1,0,0,0,0,0,0,1,0,0,0,0,0,0
211,1.30347912752221,0.312524638570322,CO,2022-12-04,1,1,1,1,1,1,1,1,0,1,0,0,1,0
212,1.61399661826683,0.3018644090917975,CO,2022-12-05,1,1,1,1,1,0,1,0,1,0,0,1,0,0
213,1.71794669793188,0.20469427473117,CO,2022-12-06,1,1,1,1,1,1,1,1,0,0,0,0,0,0
214,1.54074873521192,0.233564813679609,CO,2022-12-07,1,1,1,1,1,1,0,1,1,0,1,1,1,0
215,1.21322201242252,0.346363008844712,CO,2022-12-08,1,1,1,1,1,0,1,1,1,0,1,1,0,1
216,2.1950663434538,0.4472540759858405,CO,2022-12-09,1,1,0,1,1,1,0,1,1,0,1,1,1,0
217,0.789002081996593,0.2268381015462795,CO,2022-12-10,1,1,1,1,0,1,1,1,1,1,1,0,1,0
218,3.49070368049464,0.396206753659347,CO,2022-12-11,1,1,0,1,1,1,0,1,1,0,1,0,1,0
219,1.02555416175385,0.231041461068771,CO,2022-12-12,1,1,1,1,1,0,1,0,0,0,0,0,0,0
220,1.5769321533647,0.192430280044969,CO,2022-12-13,1,0,1,1,1,1,1,1,0,0,0,0,1,1
221,0.74894478618395,0.2624632967898065,CO,2022-12-14,1,0,1,1,1,1,1,1,0,0,1,1,1,1
222,1.40015377448141,0.248197376901669,CO,2022-12-15,1,1,1,1,1,1,0,1,1,0,1,0,1,0
223,8.69866554244343,0.58436403406278,CO,2022-12-16,1,1,0,1,1,1,0,1,0,0,1,1,1,0
224,1.1221332626334,0.292398084618014,CO,2022-12-17,1,1,1,1,1,1,0,1,1,0,0,1,1,0
225,1.30716608866688,0.355422512936841,CO,2022-12-18,1,1,1,1,1,1,0,1,0,0,1,1,1,0
226,1.35128458333298,0.3000296616345015,CO,2022-12-19,1,1,1,1,1,0,1,1,1,0,1,0,0,0
227,1.32562030184163,0.3416801336865105,CO,2022-12-20,1,1,1,1,1,0,1,1,0,0,1,0,0,1
228,1.81186962783322,0.2628795342797205,CO,2022-12-21,1,1,1,1,1,1,0,1,1,0,1,1,1,0
229,0.725276906243915,0.368134507288922,CO,2022-12-22,1,1,1,1,1,1,0,1,1,0,1,1,1,0
230,2.1593856392322,0.065261404041417,CO,2022-12-23,1,1,0,1,0,1,1,1,1,0,1,0,1,0
231,0.855255035290177,0.396262657967685,CO,2022-12-24,1,0,1,1,1,1,1,1,0,1,1,1,1,0
232,NA,NA,CO,2022-12-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
233,0.858619956802732,0.354082984677206,CO,2022-12-26,1,0,1,1,1,1,1,1,0,0,1,0,1,1
234,0.954530915188547,0.245875186304044,CO,2022-12-27,1,0,1,1,1,1,1,1,0,0,1,0,1,1
235,0.723168810246072,0.098488487396669,CO,2022-12-28,1,1,1,1,1,1,1,1,1,0,1,0,1,1
236,1.96569693871149,0.400408153225757,CO,2022-12-29,1,0,1,1,0,1,0,1,0,0,0,0,1,0
237,7.48113937657428,0.4671173264442575,CO,2022-12-30,1,1,0,1,0,1,0,1,0,0,1,0,1,0
238,1.03174934991731,0.3294289799191705,CO,2022-12-31,1,1,1,1,1,0,1,1,1,1,1,0,0,1
239,NA,NA,CO,2023-01-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
240,2.44689304310719,0.236352582830945,CO,2023-01-02,1,1,0,1,0,1,1,1,1,0,0,0,1,1
