...1,es_score,brier_score,location,target_date,X22B_50_CI,X22F_50_CI,X23A_50_CI,X23C_50_CI,other_50_CI,X22E_50_CI,X22B_95_CI,X22F_95_CI,X23A_95_CI,X23C_95_CI,other_95_CI,X22E_95_CI
119,NA,NA,AR,2023-03-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
120,NA,NA,AR,2023-03-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
121,0.101687763919615,0.001440980418729095,AR,2023-03-06,1,1,1,1,1,1,1,1,1,1,1,1
122,0.0394223277253014,0.00125850478566525,AR,2023-03-07,1,1,1,1,1,1,1,1,1,1,1,1
123,1.20570407596226,0.193687944101062,AR,2023-03-08,0,1,0,1,1,1,0,1,0,1,1,1
124,0.0125234258510875,9.59352179790675e-4,AR,2023-03-09,1,1,1,1,1,1,1,1,1,1,1,1
125,NA,NA,AR,2023-03-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
126,NA,NA,AR,2023-03-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
127,3.52231433131023,0.3829543368937865,AZ,2023-01-29,0,1,0,1,1,0,0,1,0,1,1,0
128,1.78056037360198,0.261891516739582,AZ,2023-01-30,0,0,1,1,1,1,1,0,1,1,0,1
129,4.85850269227473,0.242980946696819,AZ,2023-01-31,1,0,1,1,0,0,0,0,0,1,0,0
130,11.165480757472,0.379683120474278,AZ,2023-02-01,0,0,0,1,1,1,0,0,0,1,1,0
131,1.68851572516677,0.170171848028786,AZ,2023-02-02,1,0,1,1,1,0,1,0,0,1,1,1
132,2.02587537174095,0.305215742605544,AZ,2023-02-03,0,1,0,0,1,1,0,1,0,0,1,0
133,0.700550010920416,0.2645780803287305,AZ,2023-02-04,1,1,1,1,1,1,1,1,1,1,1,1
134,1.80409731571124,0.247635334380375,AZ,2023-02-05,0,1,0,1,1,1,1,0,0,1,0,0
135,1.81015920014054,0.2426404563253285,AZ,2023-02-06,0,0,1,1,1,1,0,0,0,0,1,0
136,1.34791588290642,0.2484486757885005,AZ,2023-02-07,1,0,1,1,0,1,1,0,1,1,0,1
137,2.660450791366,0.08815647568675,AZ,2023-02-08,0,1,0,1,1,0,0,0,0,1,1,0
138,0.450738682390104,0.1607205330535155,AZ,2023-02-09,1,1,1,1,1,1,1,1,0,1,1,0
139,1.55731604666346,0.331018848403191,AZ,2023-02-10,0,1,0,1,1,1,0,1,0,1,1,0
140,0.557232704513123,0.176434365928506,AZ,2023-02-11,1,1,1,1,1,1,1,1,0,0,1,1
141,6.8609721157145,0.298358768884157,AZ,2023-02-12,0,0,0,1,1,1,0,0,0,1,1,0
142,9.10268687834512,0.2461417846533725,AZ,2023-02-13,1,0,0,1,0,0,1,0,0,0,1,0
143,0.977265183296622,0.1240373171540145,AZ,2023-02-14,1,1,1,1,0,1,1,1,1,1,0,0
144,1.85617786517735,0.23822563145721,AZ,2023-02-15,1,0,0,1,1,1,1,0,0,1,1,1
145,1.38268751250139,0.191876505995807,AZ,2023-02-16,1,0,1,1,0,1,1,0,0,1,0,0
146,1.81921890896011,0.1853910912860895,AZ,2023-02-17,1,0,0,1,1,1,1,0,0,1,1,1
147,1.70736642718796,0.207866714510851,AZ,2023-02-18,1,1,0,1,1,0,1,1,0,1,0,0
148,3.90110082897355,0.2998266087128145,AZ,2023-02-19,0,0,0,0,0,1,0,0,0,0,0,0
149,6.26082871531335,0.173597384376417,AZ,2023-02-20,0,1,0,1,0,0,0,1,0,1,0,0
150,1.53155254675945,0.162170894341552,AZ,2023-02-21,1,1,0,1,1,0,1,1,0,1,0,0
151,2.81850914965626,0.268577701517915,AZ,2023-02-22,1,0,0,1,1,0,1,0,0,1,1,0
152,0.3563440487781,0.0905934135591825,AZ,2023-02-23,1,1,1,1,1,1,1,1,0,1,1,0
153,1.27485981114246,0.182579596536058,AZ,2023-02-24,0,1,0,1,1,1,0,1,0,1,1,1
154,1.82604965881543,0.3115879256921895,AZ,2023-02-25,1,0,0,1,0,1,1,0,0,1,0,1
155,2.18745131935769,0.1606803495352685,AZ,2023-02-26,0,1,0,1,0,1,0,1,0,1,0,0
156,3.90841661542802,0.1041058430440715,AZ,2023-02-27,0,0,0,1,1,0,0,0,1,1,1,0
157,0.938979959942118,0.078436249093123,AZ,2023-02-28,1,0,1,1,1,1,0,0,0,0,1,0
158,4.71321566559618,0.1992077216916895,AZ,2023-03-01,0,0,0,0,0,1,0,0,0,0,0,0
159,2.9351600014557,0.2217073838911675,AZ,2023-03-02,1,0,0,0,0,1,1,0,0,1,0,1
160,4.27053239885763,0.417858153133732,AZ,2023-03-03,1,0,0,1,1,1,1,0,0,1,1,1
161,5.89229052019294,0.4677141735574865,AZ,2023-03-04,1,0,0,1,0,0,1,0,0,1,0,0
162,1.011333732839,0.076491150187467,AZ,2023-03-05,1,0,1,1,1,1,1,0,0,1,1,1
163,4.9835377224406,0.1208733032918435,AZ,2023-03-06,0,0,0,1,0,0,0,0,0,1,0,0
164,0.889197857796614,0.0551810373576995,AZ,2023-03-07,1,0,1,1,1,1,1,0,1,1,1,0
165,1.07385348634756,0.234750542476354,AZ,2023-03-08,1,1,0,1,1,0,1,1,0,1,1,0
166,0.0288781835026092,9.59352179790675e-4,AZ,2023-03-09,1,1,1,1,1,1,1,1,1,1,1,1
167,0.0195092124790706,8.37388117355995e-4,AZ,2023-03-10,1,1,1,1,1,1,1,1,1,1,1,1
168,2.12968387594403,0.190079198295914,AZ,2023-03-11,1,1,0,1,1,0,1,1,0,1,1,0
169,7.44517483940546,0.314736818241429,CA,2023-01-29,0,1,0,1,0,1,0,1,0,0,0,0
170,15.3865820436134,0.342642177188004,CA,2023-01-30,1,1,0,0,0,0,0,0,0,0,0,0
171,9.58455741164581,0.31386668370802,CA,2023-01-31,1,1,0,0,0,0,1,0,0,0,0,0
172,12.3125600128561,0.3020253134909155,CA,2023-02-01,1,0,0,1,0,0,0,1,0,0,0,0
173,20.5656753457674,0.315538862869801,CA,2023-02-02,0,0,0,1,0,0,0,0,0,0,0,0
174,9.63603315049793,0.2822528351382245,CA,2023-02-03,0,1,0,1,0,0,0,0,0,1,0,1
175,16.562563284583,0.31198879221828,CA,2023-02-04,0,1,0,0,0,0,0,0,0,0,0,0
176,35.7000083849901,0.3160146389496865,CA,2023-02-05,0,0,0,0,1,0,0,0,0,0,1,0
177,17.1527097315938,0.25663859159958,CA,2023-02-06,0,0,0,0,0,0,0,0,0,1,0,0
178,29.5736812549718,0.325495986551058,CA,2023-02-07,0,1,0,1,0,0,0,0,0,0,0,0
179,19.5805556989914,0.253476824276839,CA,2023-02-08,0,0,0,1,0,0,0,0,0,0,0,0
180,30.8155678148502,0.2671926469036205,CA,2023-02-09,1,1,0,1,0,0,0,0,0,0,0,0
181,20.0505383989446,0.2730250486904835,CA,2023-02-10,0,0,0,1,0,0,0,0,0,0,0,0
182,16.5325913189809,0.3177590753685495,CA,2023-02-11,0,1,0,1,0,0,0,0,0,0,0,0
183,8.291055177603,0.1944406827721635,CA,2023-02-12,0,1,0,1,0,0,0,0,0,1,0,0
184,2.86049387266132,0.1558856864830905,CA,2023-02-13,0,0,1,1,0,1,0,0,0,1,0,0
185,2.44933300537758,0.1545292691404065,CA,2023-02-14,1,1,0,1,1,0,1,1,0,0,0,0
186,36.8067270864573,0.23451350227442,CA,2023-02-15,0,0,0,0,0,0,0,0,0,0,0,0
187,40.1007929459838,0.2392732696139955,CA,2023-02-16,0,0,0,1,0,0,0,0,0,0,0,0
188,12.2093110012867,0.232493405098734,CA,2023-02-17,1,0,0,1,0,0,1,0,0,0,0,0
189,7.82688583758261,0.2174996379472895,CA,2023-02-18,0,1,0,1,0,0,0,0,0,1,0,0
190,2.99817496008753,0.167951643827353,CA,2023-02-19,1,0,0,1,1,1,0,0,0,0,1,1
191,4.22968088383118,0.1464187541629195,CA,2023-02-20,1,1,0,1,0,0,1,1,0,1,0,0
192,9.62384657451594,0.193880536068101,CA,2023-02-21,1,1,0,1,0,0,1,1,0,1,0,0
193,12.1989742129094,0.175864516434774,CA,2023-02-22,0,0,0,0,0,0,0,0,0,0,0,0
194,29.3378941562711,0.197318913317158,CA,2023-02-23,0,1,0,0,0,0,0,0,0,0,0,0
195,7.80604201949351,0.1205369304114245,CA,2023-02-24,0,1,0,1,0,0,0,0,0,0,0,1
196,13.7161439195238,0.2587897593613275,CA,2023-02-25,0,1,0,1,0,0,0,1,0,0,0,0
197,4.29418810360142,0.1542688182801565,CA,2023-02-26,1,0,0,1,1,0,1,0,0,1,1,0
198,18.2701738473767,0.2089184812519075,CA,2023-02-27,1,1,0,1,0,0,1,1,0,1,0,0
199,18.9566361057597,0.1840360938909935,CA,2023-02-28,1,1,0,1,0,0,1,0,0,1,0,0
200,25.7519816979063,0.1661769993773025,CA,2023-03-01,1,0,0,1,0,0,1,0,0,0,0,0
201,20.4045755546374,0.14701020918996,CA,2023-03-02,1,1,0,1,0,0,1,0,0,0,0,0
202,25.9189732009882,0.164499593745072,CA,2023-03-03,0,0,0,1,0,0,0,0,0,1,0,0
203,12.9593162545082,0.13675704828239,CA,2023-03-04,0,0,0,1,0,0,0,0,0,0,0,0
204,1.02420378354821,0.055415956687802,CA,2023-03-05,1,1,1,1,1,1,1,0,1,0,1,1
205,8.12349453958008,0.181939987896083,CA,2023-03-06,1,1,0,1,1,0,1,1,0,1,1,0
206,15.7572886088193,0.191624298348615,CA,2023-03-07,1,0,0,1,0,0,1,0,0,0,0,0
207,31.487391030165,0.193123719812014,CA,2023-03-08,1,0,0,0,0,0,1,0,0,0,0,0
208,9.09274919905616,0.0930481169723045,CA,2023-03-09,0,1,0,1,0,0,0,0,0,0,0,0
209,16.3585381012641,0.1351946473790225,CA,2023-03-10,0,1,0,1,0,0,0,0,0,0,0,0
210,6.16837359161195,0.090171333059445,CA,2023-03-11,1,1,0,1,0,0,1,0,0,0,0,0
211,0.31775039550865,0.2799566686140885,CO,2023-01-29,1,1,1,1,1,1,1,1,0,1,1,0
212,2.33844064489196,0.135144309258817,CO,2023-01-30,1,1,0,1,1,0,1,1,0,1,1,0
213,3.84397220267398,0.0924645386522255,CO,2023-01-31,1,1,0,1,1,0,1,0,0,1,1,0
214,1.40255641430307,0.163549910564622,CO,2023-02-01,1,1,0,1,1,1,1,1,0,1,0,0
215,2.1053288513613,0.3503514309928675,CO,2023-02-02,1,1,0,1,0,1,0,1,0,1,0,1
216,1.17730676574464,0.185981700436662,CO,2023-02-03,1,0,1,1,1,1,1,0,0,1,1,0
217,0.942793946743235,0.315343130142337,CO,2023-02-04,1,1,1,1,1,0,1,1,0,1,1,0
218,0.706675763336752,0.055271467611926,CO,2023-02-05,1,1,1,1,1,1,1,1,1,1,1,1
219,0.898949091957872,0.193054158331634,CO,2023-02-06,0,1,1,1,1,1,0,1,1,1,1,0
220,0.663435905914325,0.189846707251249,CO,2023-02-07,1,1,1,1,1,1,1,1,0,1,1,0
221,1.76420644180742,0.2689879207984945,CO,2023-02-08,1,1,1,0,1,1,1,1,0,0,1,0
222,0.052349759524798103,0.03535917371061735,CO,2023-02-09,1,1,1,1,1,1,1,1,1,1,1,1
223,0.282940171632732,0.139463753741585,CO,2023-02-10,1,1,1,1,1,1,1,1,1,1,1,1
224,0.371007953095826,0.1949883882071465,CO,2023-02-11,1,1,1,1,1,1,1,1,0,1,1,0
225,0.374879750147193,0.02486448034659015,CO,2023-02-12,1,1,1,1,1,1,1,1,1,1,1,1
226,1.45255107844562,0.188025532242336,CO,2023-02-13,0,0,1,1,1,0,0,0,0,1,1,1
227,0.333718614719354,0.0998376620923245,CO,2023-02-14,1,1,1,1,1,1,1,1,0,1,1,0
228,0.337224375668374,0.140493704120452,CO,2023-02-15,1,1,1,1,1,1,1,1,1,1,1,1
229,0.90676095261249,0.1100294252035615,CO,2023-02-16,1,1,1,0,1,1,1,0,0,0,1,0
230,1.03214075736689,0.1957367806913265,CO,2023-02-17,0,1,1,1,1,1,0,1,0,0,1,0
231,0.318757517308319,0.1098695137809165,CO,2023-02-18,1,1,1,1,1,1,1,1,1,1,1,1
232,0.605430286739869,0.209780876441692,CO,2023-02-19,1,1,1,1,1,1,0,1,0,1,1,1
233,0.830689130408678,0.144182157892856,CO,2023-02-20,1,1,1,1,1,1,1,1,0,1,1,0
234,0.414400746539131,0.0594514221369255,CO,2023-02-21,1,1,1,1,1,1,1,1,0,0,1,1
235,0.947848184104087,0.15714483720346,CO,2023-02-22,1,0,1,1,1,1,1,0,0,1,1,1
236,0.217601090548565,0.00624189518637225,CO,2023-02-23,1,1,1,1,1,1,1,1,1,1,1,1
237,0.380088485892473,0.00547656183877185,CO,2023-02-24,1,1,1,1,1,1,1,1,0,0,1,0
238,0.0873958902224594,0.00480208890678727,CO,2023-02-25,1,1,1,1,1,1,1,1,1,1,1,1
239,0.0783637124010176,0.00420826824584517,CO,2023-02-26,1,1,1,1,1,1,1,1,0,0,1,1
240,0.32760487481988,0.062343796826416,CO,2023-02-27,1,1,1,1,1,1,1,1,0,1,1,0
241,1.8663316894144,0.1624938076179585,CO,2023-02-28,1,0,0,1,1,0,1,0,0,1,1,1
242,0.639944287577863,0.00282369684714128,CO,2023-03-01,1,1,1,1,1,1,1,1,1,1,1,1
243,0.162047541446788,0.002469901470537715,CO,2023-03-02,1,1,1,1,1,1,1,1,0,1,1,0
244,0.0644696745993366,0.002159632433600065,CO,2023-03-03,1,1,1,1,1,1,1,1,1,1,1,1
245,1.23799787908633,0.319082053726145,CO,2023-03-04,1,1,0,1,0,1,1,1,0,1,0,1
246,0.0661256082175364,0.00164951115194722,CO,2023-03-05,1,1,1,1,1,1,1,1,1,1,1,1
247,1.8097191518715,0.2367789574195905,CO,2023-03-06,1,1,0,1,0,0,1,1,0,1,0,0
248,0.586066400106709,0.072796214508345,CO,2023-03-07,1,1,1,1,1,1,1,1,1,1,1,1
249,0.70019066544463,0.0860631328893505,CO,2023-03-08,1,1,1,1,1,1,1,1,0,1,1,0
250,0.0303304087593469,9.59352179790675e-4,CO,2023-03-09,1,1,1,1,1,1,1,1,1,1,1,1
251,0.0182017339345703,8.37388117355995e-4,CO,2023-03-10,1,1,1,1,1,1,1,1,1,1,1,1
252,0.00103080612582902,7.30826366994385e-4,CO,2023-03-11,1,1,1,1,1,1,1,1,1,1,1,1
253,0.486650767399362,0.2079062108576265,CT,2023-01-29,1,1,1,1,1,1,0,1,0,1,1,1
254,5.32710166578541,0.139291187787489,CT,2023-01-30,1,1,0,0,1,0,1,1,0,0,1,0
255,0.637479729868432,0.1585322269088775,CT,2023-01-31,1,1,1,1,1,1,1,1,0,1,1,0
256,0.641279082364515,0.083782284297007,CT,2023-02-01,1,1,1,1,1,1,1,1,1,1,1,1
257,0.371866399599252,0.166480029529223,CT,2023-02-02,1,1,1,1,1,1,1,1,0,1,1,0
258,2.1797162005582,0.105340178427128,CT,2023-02-03,1,1,0,1,1,0,1,1,0,1,1,0
259,0.754010279511995,0.124974193341314,CT,2023-02-04,1,1,1,1,1,1,1,1,1,1,1,1
