...1,es_score,brier_score,location,target_date,X22B_50_CI,X22F_50_CI,X23A_50_CI,X23D_50_CI,other_50_CI,X22E_50_CI,X22B_95_CI,X22F_95_CI,X23A_95_CI,X23D_95_CI,other_95_CI,X22E_95_CI
21,NA,NA,AK,2023-03-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22,0.00413566957036395,0.00288447194612486,AK,2023-03-05,1,1,1,1,1,1,1,1,1,1,1,1
23,NA,NA,AK,2023-03-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,NA,NA,AK,2023-03-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25,0.0109058242736594,0.0020327768129901,AK,2023-03-08,1,1,1,1,1,1,1,1,1,1,1,1
26,0.00267164741229345,0.00181119649451356,AK,2023-03-09,1,1,1,1,1,1,1,1,1,1,1,1
27,NA,NA,AK,2023-03-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,NA,NA,AK,2023-03-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29,NA,NA,AK,2023-03-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30,0.00128281898336939,0.001151600153116935,AK,2023-03-13,1,1,1,1,1,1,1,1,1,1,1,1
31,NA,NA,AK,2023-03-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,0.00127740254539716,9.2454796242689e-4,AK,2023-03-15,1,1,1,1,1,1,1,1,1,1,1,1
33,0.00142426862403686,8.30153829597045e-4,AK,2023-03-16,1,1,1,1,1,1,1,1,1,1,1,1
34,NA,NA,AK,2023-03-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
35,0.0011143154370109,6.72531534375345e-4,AK,2023-03-18,1,1,1,1,1,1,1,1,1,1,1,1
36,NA,NA,AK,2023-03-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37,8.0502693030139e-4,5.4881451781098e-4,AK,2023-03-20,1,1,1,1,1,1,1,1,1,1,1,1
38,NA,NA,AK,2023-03-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39,NA,NA,AK,2023-03-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40,NA,NA,AK,2023-03-23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41,1.36034512126595,0.964510129823935,AK,2023-03-24,1,1,0,1,1,0,1,1,0,1,1,0
42,NA,NA,AK,2023-03-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43,NA,NA,AL,2023-02-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44,0.0407504647477661,0.0293312582729554,AL,2023-02-13,1,1,1,1,1,1,1,1,1,1,1,1
45,0.129682435050507,0.026277562803321,AL,2023-02-14,1,1,1,1,1,1,1,1,1,1,1,1
46,0.219789125231671,0.02351596219574685,AL,2023-02-15,1,1,1,1,1,1,1,1,1,1,1,1
47,0.0304418661215059,0.0210231411990106,AL,2023-02-16,1,1,1,1,1,1,1,1,1,1,1,1
48,NA,NA,AL,2023-02-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
49,NA,NA,AL,2023-02-18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,NA,NA,AL,2023-02-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51,0.0177541360251501,0.01331319078777105,AL,2023-02-20,1,1,1,1,1,1,1,1,1,1,1,1
52,0.0163080178071593,0.01185513838292215,AL,2023-02-21,1,1,1,1,1,1,1,1,1,1,1,1
53,1.14482269371303,0.807159568492185,AL,2023-02-22,1,1,0,1,1,0,1,1,0,1,1,0
54,0.0132211148742414,0.00938559485401305,AL,2023-02-23,1,1,1,1,1,1,1,1,1,1,1,1
55,1.18013197322053,0.45585777631993,AL,2023-02-24,1,1,0,1,0,1,1,1,0,1,0,1
56,1.28346302727309,0.905809412671625,AL,2023-02-25,1,1,0,0,1,1,1,1,1,0,1,0
57,NA,NA,AL,2023-02-26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
58,0.00840286099240865,0.00585766779706935,AL,2023-02-27,1,1,1,1,1,1,1,1,1,1,1,1
59,NA,NA,AL,2023-02-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
60,NA,NA,AL,2023-03-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
61,0.0211150408891218,0.00410783394800745,AL,2023-03-02,1,1,1,1,1,1,1,1,0,1,1,0
62,1.10105599769489,0.4441141171665105,AL,2023-03-03,1,1,0,1,1,0,1,1,1,1,1,1
63,NA,NA,AL,2023-03-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
64,0.0135751347415511,0.00288447194612486,AL,2023-03-05,1,1,1,1,1,1,1,1,0,1,1,0
65,NA,NA,AL,2023-03-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
66,0.00340439388180452,0.00228301501846476,AL,2023-03-07,1,1,1,1,1,1,1,1,1,1,1,1
67,0.0109832627931254,0.0020327768129901,AL,2023-03-08,1,1,1,1,1,1,1,1,1,1,1,1
68,1.22733285472215,0.317695053654016,AL,2023-03-09,1,0,0,1,1,1,1,0,0,1,1,1
69,NA,NA,AL,2023-03-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
70,NA,NA,AL,2023-03-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
71,NA,NA,AL,2023-03-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
72,NA,NA,AL,2023-03-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
73,0.00127559235202306,0.001031164092607635,AL,2023-03-14,1,1,1,1,1,1,1,1,1,1,1,1
74,0.0050549493998937,9.2454796242689e-4,AL,2023-03-15,1,1,1,1,1,1,1,1,1,1,1,1
75,0.00116419474953851,8.30153829597045e-4,AL,2023-03-16,1,1,1,1,1,1,1,1,1,1,1,1
76,0.00113784795088864,7.46566104294265e-4,AL,2023-03-17,1,1,1,1,1,1,1,1,1,1,1,1
77,NA,NA,AL,2023-03-18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
78,NA,NA,AL,2023-03-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
79,1.33596808854382,0.486565385888903,AL,2023-03-20,1,1,0,1,0,1,1,1,0,1,0,1
80,NA,NA,AL,2023-03-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
81,6.5043924545302e-4,4.5158533684351e-4,AL,2023-03-22,1,1,1,1,1,1,1,1,1,1,1,1
82,NA,NA,AL,2023-03-23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
83,4.8704101008307e-4,3.7505198670789e-4,AL,2023-03-24,1,1,1,1,1,1,1,1,1,1,1,1
84,1.35458064906204,0.489208963583656,AL,2023-03-25,1,1,0,1,0,1,1,1,0,1,0,1
85,0.964668460416249,0.67409900681369,AR,2023-02-12,1,1,0,1,1,0,1,1,0,1,1,0
86,3.72280696669146,0.6448941908175,AR,2023-02-13,0,1,0,1,1,1,0,1,0,1,1,1
87,4.32744509268528,0.420679298155432,AR,2023-02-14,0,1,0,1,1,1,0,1,0,1,1,0
88,0.892549804519854,0.2223625652633635,AR,2023-02-15,1,1,1,1,1,0,1,1,0,1,1,0
89,0.817273695846447,0.1991630452613115,AR,2023-02-16,1,1,1,1,1,1,1,1,1,1,1,1
90,0.399783776785319,0.0187768795369752,AR,2023-02-17,1,1,1,1,1,1,1,1,1,1,1,1
91,0.815301340950424,0.388483494535673,AR,2023-02-18,1,1,1,1,1,0,1,1,1,1,1,1
92,0.0808327125550057,0.01494109026797895,AR,2023-02-19,1,1,1,1,1,1,1,1,1,1,1,1
93,2.28755828150466,0.415396985566651,AR,2023-02-20,0,1,0,1,1,0,0,1,0,1,1,0
94,4.22469746690563,0.3046846287593035,AR,2023-02-21,1,1,0,1,0,0,1,1,0,1,0,0
95,4.32221110908902,0.41759266537461,AR,2023-02-22,0,1,0,1,1,0,0,1,0,1,1,0
96,1.24301009865212,0.211442672706645,AR,2023-02-23,1,1,0,1,1,0,1,0,1,1,1,0
97,1.32118638182272,0.213152671383923,AR,2023-02-24,1,1,0,1,1,0,1,1,0,1,1,0
98,NA,NA,AR,2023-02-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
99,0.853295900788871,0.2864149532553005,AR,2023-02-26,1,1,0,1,1,0,1,1,1,1,1,1
100,8.71491991929928,0.4374138613186355,AR,2023-02-27,0,1,0,1,1,0,0,1,0,1,1,0
101,2.35991138753343,0.4636339056706935,AR,2023-02-28,1,1,0,1,0,1,1,1,0,1,0,0
102,0.124463064275968,0.00462347240025523,AR,2023-03-01,1,1,1,1,1,1,1,1,1,1,1,1
103,0.0204809223477515,0.00410783394800745,AR,2023-03-02,1,1,1,1,1,1,1,1,0,1,1,0
104,0.00524233410607655,0.00365022635558375,AR,2023-03-03,1,1,1,1,1,1,1,1,1,1,1,1
105,NA,NA,AR,2023-03-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
106,NA,NA,AR,2023-03-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
107,0.16372278139697,0.00256555365513372,AR,2023-03-06,1,1,1,1,1,1,1,1,1,1,1,1
108,0.0654238824294883,0.00228301501846476,AR,2023-03-07,1,1,1,1,1,1,1,1,1,1,1,1
109,1.14141859029396,0.191699242953527,AR,2023-03-08,0,1,0,1,1,1,0,1,0,1,1,1
110,0.0216922309563281,0.00181119649451356,AR,2023-03-09,1,1,1,1,1,1,1,1,1,1,1,1
111,0.0193045080590387,0.001615025714956235,AR,2023-03-10,1,1,1,1,1,1,1,1,0,1,1,0
112,1.35062835686616,0.951172953749145,AR,2023-03-11,1,1,0,0,1,1,1,1,0,0,1,1
113,NA,NA,AR,2023-03-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
114,0.00143761880015097,0.001151600153116935,AR,2023-03-13,1,1,1,1,1,1,1,1,1,1,1,1
115,1.2297854590502,0.2415639410303615,AR,2023-03-14,1,1,0,1,0,1,1,1,0,1,0,1
116,0.00545652941538724,9.2454796242689e-4,AR,2023-03-15,1,1,1,1,1,1,1,1,1,1,1,1
117,0.00444024785607761,8.30153829597045e-4,AR,2023-03-16,1,1,1,1,1,1,1,1,0,1,1,0
118,1.08226599401882,0.190263615169262,AR,2023-03-17,1,1,0,1,1,0,1,1,0,1,1,0
119,1.27530618532792,0.475892621752488,AR,2023-03-18,1,1,0,1,1,0,1,1,0,1,1,0
120,NA,NA,AR,2023-03-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
121,0.0064418821272319,5.4881451781098e-4,AR,2023-03-20,1,1,1,1,1,1,1,1,1,1,1,1
122,0.0789779265219058,4.97284544902945e-4,AR,2023-03-21,1,1,1,1,1,1,1,1,1,1,1,1
123,0.272835275051938,4.5158533684351e-4,AR,2023-03-22,1,1,1,1,1,1,1,1,0,1,1,0
124,0.0023036967501832,4.1104030541349e-4,AR,2023-03-23,1,1,1,1,1,1,1,1,1,1,1,1
125,0.00197203419689432,3.7505198670789e-4,AR,2023-03-24,1,1,1,1,1,1,1,1,1,1,1,1
126,NA,NA,AR,2023-03-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
127,6.03417935401412,0.2930597212515595,AZ,2023-02-12,0,0,0,1,1,1,0,0,0,1,1,0
128,7.14995289971531,0.2406766123688845,AZ,2023-02-13,1,0,0,1,1,0,1,0,0,1,0,0
129,1.06975317143907,0.125769204617371,AZ,2023-02-14,1,1,1,1,0,1,1,1,0,1,0,0
130,1.73715609675108,0.235672202635191,AZ,2023-02-15,1,0,1,1,1,1,1,0,0,1,1,0
131,1.2847555925447,0.190763569072795,AZ,2023-02-16,1,0,1,0,1,1,1,1,0,0,1,0
132,1.61335184217262,0.183638311308198,AZ,2023-02-17,1,0,1,1,1,1,1,1,0,0,1,0
133,1.40117809711517,0.202619814209078,AZ,2023-02-18,1,1,0,1,1,0,1,1,0,1,1,0
134,3.74654351733444,0.295444873044926,AZ,2023-02-19,0,0,0,1,0,1,0,0,0,1,0,1
135,4.52301215534919,0.1708998080768835,AZ,2023-02-20,0,1,0,1,0,0,0,0,0,0,0,0
136,1.1968791400775,0.1589198287350015,AZ,2023-02-21,1,1,1,1,1,0,1,1,0,1,1,0
137,2.49583283341987,0.2618905471657115,AZ,2023-02-22,1,0,0,1,1,0,1,0,0,1,1,0
138,0.315020570109656,0.0902084259950655,AZ,2023-02-23,1,1,1,1,1,1,1,1,0,1,1,0
139,1.11789851656596,0.1799450672182475,AZ,2023-02-24,0,1,1,1,1,1,0,1,0,1,1,1
140,1.70262863928182,0.307054157983766,AZ,2023-02-25,1,0,0,1,0,1,1,0,0,1,0,0
141,1.78514995524593,0.1584912477353265,AZ,2023-02-26,0,1,0,1,0,1,0,1,0,1,0,1
142,3.70511737236476,0.103932079316875,AZ,2023-02-27,0,0,1,1,1,0,0,0,0,1,1,0
143,0.797775503556797,0.078208297254196,AZ,2023-02-28,1,0,1,1,1,1,1,0,0,0,1,0
144,4.3571895179475,0.196545833616323,AZ,2023-03-01,0,0,0,1,0,1,0,0,0,1,0,0
145,2.61936319313098,0.2184574907413645,AZ,2023-03-02,1,0,0,0,0,1,1,0,0,0,0,0
146,4.0637651879927,0.410450617133678,AZ,2023-03-03,1,0,0,1,1,1,1,0,0,1,1,0
147,5.56154886431567,0.458174242494783,AZ,2023-03-04,1,0,0,1,0,0,1,0,0,1,0,0
148,0.845124652374569,0.0760420673002455,AZ,2023-03-05,1,0,1,1,1,1,1,0,0,1,1,0
149,3.82648182898773,0.1193369201418705,AZ,2023-03-06,0,0,0,1,1,1,0,0,0,0,1,0
150,0.803968038854223,0.055075864232254,AZ,2023-03-07,1,0,1,1,1,1,1,0,0,0,1,0
151,0.998124297274969,0.229941473371031,AZ,2023-03-08,1,1,0,1,1,0,1,1,0,1,1,0
152,0.0538006270908915,0.00181119649451356,AZ,2023-03-09,1,1,1,1,1,1,1,1,0,1,1,0
153,0.0312038273042447,0.001615025714956235,AZ,2023-03-10,1,1,1,1,1,1,1,1,1,1,1,1
154,1.90976458366252,0.1866351728053265,AZ,2023-03-11,1,1,0,1,1,0,1,1,0,1,1,0
155,0.985016674786195,0.0736770371390475,AZ,2023-03-12,1,1,1,0,1,1,1,1,0,0,1,1
156,6.06615628947013,0.159309080543029,AZ,2023-03-13,1,1,0,1,0,0,1,0,0,1,0,0
157,0.984588890686044,0.0810301614848015,AZ,2023-03-14,1,0,1,1,1,1,1,0,0,1,1,1
158,2.05129821995322,0.120137175747214,AZ,2023-03-15,1,0,0,0,1,1,1,0,0,0,1,1
159,0.106591001437258,8.30153829597045e-4,AZ,2023-03-16,1,1,1,1,1,1,1,1,1,1,1,1
160,2.27033966821614,0.643015340088785,AZ,2023-03-17,1,0,0,0,1,1,1,0,0,0,1,1
161,2.6210035530251,0.63429931849186,AZ,2023-03-18,1,1,0,1,1,0,1,1,0,1,1,0
162,3.52850071596267,0.183741115171603,AZ,2023-03-19,1,0,0,1,0,0,1,0,0,1,0,1
163,3.97721323143237,0.094426647531493,AZ,2023-03-20,1,1,0,1,1,0,1,1,0,0,1,0
164,2.63867709283551,0.1815137726987755,AZ,2023-03-21,1,0,0,0,1,0,1,0,0,0,1,0
165,1.64212265664378,0.1022006442153165,AZ,2023-03-22,1,0,0,1,1,0,1,0,0,1,1,1
166,1.05547324199707,0.120687639486388,AZ,2023-03-23,1,1,0,1,1,0,1,1,0,1,1,0
167,0.0173229529547757,3.7505198670789e-4,AZ,2023-03-24,1,1,1,1,1,1,1,1,1,1,1,1
168,4.4052752583352e-4,3.4309291306059e-4,AZ,2023-03-25,1,1,1,1,1,1,1,1,1,1,1,1
169,4.77304937535314,0.1925343239888665,CA,2023-02-12,0,1,0,1,0,1,0,0,0,0,0,0
170,2.55265049409727,0.155587317505755,CA,2023-02-13,0,0,1,1,0,1,1,0,0,1,0,0
171,1.5184935941011,0.153644023327753,CA,2023-02-14,1,1,1,1,1,1,0,1,0,1,0,0
172,29.365728362118,0.2295901410125295,CA,2023-02-15,0,0,0,1,0,0,0,1,0,0,0,0
173,32.6359389074243,0.23406266981031,CA,2023-02-16,0,1,0,1,0,0,0,0,0,0,0,0
174,9.55477613279828,0.227487164381233,CA,2023-02-17,1,0,0,1,0,0,1,0,0,1,0,1
175,6.08186798028072,0.213047871194688,CA,2023-02-18,0,1,0,1,0,0,0,0,0,1,0,0
176,2.47212453546082,0.1661849744554355,CA,2023-02-19,1,0,0,1,1,1,1,0,1,1,1,0
177,2.95489463301874,0.1445534414823965,CA,2023-02-20,1,1,0,1,0,0,0,0,1,1,0,0
178,7.47464144905057,0.18985496968208,CA,2023-02-21,1,1,0,1,1,0,1,1,0,0,0,0
179,9.42070066887521,0.173396435076376,CA,2023-02-22,0,0,0,1,0,1,0,0,0,0,0,1
180,24.6607296348413,0.193779198842581,CA,2023-02-23,0,1,0,1,0,0,0,0,0,0,0,0
181,4.18746693277668,0.1193912733886055,CA,2023-02-24,1,1,0,1,0,1,0,1,0,1,0,0
182,11.9481558311075,0.2533940396804055,CA,2023-02-25,0,1,0,0,0,0,0,0,0,0,0,0
183,3.31372176295169,0.151455531441082,CA,2023-02-26,1,1,0,1,1,0,1,1,0,1,1,0
184,16.3424392405472,0.2039765206081975,CA,2023-02-27,1,1,0,1,0,0,1,1,0,1,0,0
185,16.0839840020827,0.180201994200856,CA,2023-02-28,1,1,0,0,1,0,0,1,0,0,0,0
186,21.124887521755,0.1632066209546975,CA,2023-03-01,1,0,0,0,0,0,1,0,0,0,0,0
187,16.1516494550365,0.144558284900521,CA,2023-03-02,1,1,0,0,0,0,1,0,0,0,0,0
188,22.2295017936285,0.1617224371437535,CA,2023-03-03,0,1,0,1,0,0,0,0,0,1,0,0
189,9.91882949798817,0.135037161718371,CA,2023-03-04,0,0,0,0,0,1,0,0,0,0,0,0
190,0.975114969822395,0.0553593981381825,CA,2023-03-05,1,1,1,1,0,1,1,0,0,0,0,0
191,7.23520327907195,0.178267082524064,CA,2023-03-06,1,1,0,1,1,0,1,1,0,1,1,0
192,13.8495773936979,0.188387964016476,CA,2023-03-07,1,0,0,0,0,0,1,0,0,0,0,0
193,27.960531804655,0.1901610112032335,CA,2023-03-08,1,0,0,0,0,0,0,0,0,0,0,0
194,6.47936127281226,0.0920734912429605,CA,2023-03-09,0,1,0,0,0,1,0,0,0,0,0,0
195,13.1400336901437,0.133161863519788,CA,2023-03-10,0,1,0,0,0,0,0,1,0,0,0,0
196,4.52038381378229,0.089053691695651,CA,2023-03-11,1,1,0,0,0,0,1,1,0,0,0,0
197,11.7104710776358,0.1552694104817705,CA,2023-03-12,1,1,0,0,0,0,1,1,0,0,0,0
198,14.6748210096106,0.1769928593832635,CA,2023-03-13,1,0,0,0,0,0,1,0,0,0,0,0
199,12.2389613829207,0.1388062065931745,CA,2023-03-14,0,1,0,0,0,0,0,0,0,0,0,0
200,13.0052276412397,0.138973611107836,CA,2023-03-15,0,0,0,1,0,0,0,0,0,0,0,0
201,7.75287021642166,0.1006963241798265,CA,2023-03-16,0,1,0,0,0,1,0,0,0,0,0,0
202,12.7285551203865,0.1606059154451625,CA,2023-03-17,1,0,0,0,0,0,1,0,0,0,0,0
203,6.34302024795186,0.1381890641733805,CA,2023-03-18,1,0,0,0,0,1,1,0,0,0,0,0
204,9.80850126033033,0.182629597455155,CA,2023-03-19,0,0,0,0,0,0,0,0,0,1,0,0
205,2.99231630902695,0.0620877302973865,CA,2023-03-20,0,0,0,0,1,1,0,0,0,1,1,0
206,6.1010223481679,0.092730068791677,CA,2023-03-21,1,0,0,1,0,1,1,1,0,0,0,1
207,13.4629874546141,0.1293721682132545,CA,2023-03-22,1,0,0,0,0,0,1,0,0,0,0,0
208,13.1520949798411,0.144458674884083,CA,2023-03-23,1,0,0,0,0,0,1,0,0,0,0,0
209,10.2817375112833,0.1409262638403705,CA,2023-03-24,0,0,0,0,0,1,0,0,0,0,0,0
210,14.073434452266,0.2529481332290685,CA,2023-03-25,1,0,0,1,0,0,1,0,0,0,0,0
211,0.451756917315629,0.0327013435053585,CO,2023-02-12,1,1,1,1,1,1,1,1,1,1,1,1
212,1.44695904514266,0.189722491170309,CO,2023-02-13,0,0,1,1,1,0,0,0,0,1,1,0
213,0.413587159838264,0.1016752272563875,CO,2023-02-14,1,1,1,1,1,1,1,1,0,1,1,0
214,0.300379532832851,0.13950981398519,CO,2023-02-15,1,1,1,1,1,1,1,1,0,1,1,0
215,1.08508049235519,0.111971189716085,CO,2023-02-16,1,1,1,1,0,1,1,1,1,1,0,0
216,0.942882960431604,0.1936061828315005,CO,2023-02-17,0,1,1,1,1,1,0,0,1,1,0,0
217,0.304722314798034,0.109687974045781,CO,2023-02-18,1,1,1,1,1,1,1,1,1,1,1,1
218,0.520617737743058,0.2043887821228645,CO,2023-02-19,1,1,1,1,1,1,1,1,1,0,1,0
219,0.665861925063144,0.1418820974474635,CO,2023-02-20,1,1,1,1,1,1,1,0,0,1,1,0
220,0.577686790900064,0.0608767018336155,CO,2023-02-21,1,1,1,1,1,1,1,1,1,1,1,1
221,0.916708523759664,0.1568158123897845,CO,2023-02-22,1,0,1,1,1,1,1,0,1,1,1,0
222,0.315518133310812,0.00938559485401305,CO,2023-02-23,1,1,1,1,1,1,1,1,0,1,1,0
223,0.514455057442619,0.0083456208643398,CO,2023-02-24,1,1,1,1,1,1,1,1,0,0,1,1
224,0.123432550913833,0.0074184387604385,CO,2023-02-25,1,1,1,1,1,1,1,1,1,1,1,1
225,0.118063999806724,0.00659259959217875,CO,2023-02-26,1,1,1,1,1,1,1,1,0,1,1,0
226,0.335366848945646,0.0624413467043105,CO,2023-02-27,1,1,1,1,1,1,1,1,1,0,1,0
227,1.55211807864473,0.159801158452482,CO,2023-02-28,1,0,0,1,1,1,1,0,0,1,1,0
228,0.883576216018572,0.00462347240025523,CO,2023-03-01,1,1,1,1,1,1,1,0,0,1,1,1
229,0.24338175423816,0.00410783394800745,CO,2023-03-02,1,1,1,1,1,1,1,1,1,1,1,1
230,0.100952161586612,0.00365022635558375,CO,2023-03-03,1,1,1,1,1,1,1,1,1,1,1,1
231,1.18408704536498,0.314593228049421,CO,2023-03-04,1,1,0,1,0,1,1,1,0,1,0,1
232,0.106011411348293,0.00288447194612486,CO,2023-03-05,1,1,1,1,1,1,1,1,1,1,1,1
233,1.65061858042586,0.232771220857621,CO,2023-03-06,1,1,0,1,0,1,1,1,0,1,0,1
234,0.459062678098148,0.071992681381688,CO,2023-03-07,1,1,1,1,1,1,1,1,0,1,1,0
235,0.57598531110793,0.0849086664704595,CO,2023-03-08,1,1,1,1,1,1,1,1,1,1,1,1
236,0.0525257860787858,0.00181119649451356,CO,2023-03-09,1,1,1,1,1,1,1,1,1,1,1,1
237,0.0321441050251025,0.001615025714956235,CO,2023-03-10,1,1,1,1,1,1,1,1,1,1,1,1
238,0.00180521533195892,0.00144137116377394,CO,2023-03-11,1,1,1,1,1,1,1,1,1,1,1,1
239,0.00681789119626985,0.0012876586305554,CO,2023-03-12,1,1,1,1,1,1,1,1,1,1,1,1
240,0.00593934572500027,0.001151600153116935,CO,2023-03-13,1,1,1,1,1,1,1,1,1,1,1,1
241,0.0323814621804243,0.001031164092607635,CO,2023-03-14,1,1,1,1,1,1,1,1,0,1,1,0
242,0.179577085745655,9.2454796242689e-4,CO,2023-03-15,1,1,1,1,1,1,1,1,1,1,1,1
243,0.103564230169012,8.30153829597045e-4,CO,2023-03-16,1,1,1,1,1,1,1,1,0,1,1,0
244,1.09028110878159,0.190263615169262,CO,2023-03-17,1,1,0,1,1,0,1,1,0,1,1,0
245,1.28637296454646,0.475892621752488,CO,2023-03-18,1,1,0,1,1,0,1,1,0,1,1,0
246,1.08430009669527,0.159459337911026,CO,2023-03-19,1,1,0,1,1,0,1,1,0,1,1,0
247,0.0870163201065602,5.4881451781098e-4,CO,2023-03-20,1,1,1,1,1,1,1,1,0,1,1,0
248,1.16974551876377,0.1221637387459025,CO,2023-03-21,1,1,0,1,0,1,1,1,0,1,0,1
249,5.51628022707005,0.53780600746191,CO,2023-03-22,1,0,0,0,1,0,1,0,0,0,1,0
250,1.12687291111133,0.121500538453051,CO,2023-03-23,1,1,0,0,1,1,1,1,0,0,1,1
251,0.0168544448469794,3.7505198670789e-4,CO,2023-03-24,1,1,1,1,1,1,1,1,1,1,1,1
252,3.1807077304664e-4,3.4309291306059e-4,CO,2023-03-25,1,1,1,1,1,1,1,1,1,1,1,1
253,0.045802431567838,0.0327013435053585,CT,2023-02-12,1,1,1,1,1,1,1,1,1,1,1,1
254,1.67410944704227,0.0293312582729554,CT,2023-02-13,1,1,0,1,1,0,1,1,1,1,1,1
255,0.0425616480557126,0.026277562803321,CT,2023-02-14,1,1,1,1,1,1,1,1,1,1,1,1
256,0.952067080463373,0.230119551406715,CT,2023-02-15,0,1,1,1,1,1,0,1,0,1,1,1
257,1.14740422096334,0.0629384127430815,CT,2023-02-16,1,1,0,1,1,1,1,1,0,1,1,0
