"","es_score","brier_score","location","target_date","X22A_50_CI","X22D_50_CI","X22E_50_CI","X22F_50_CI","X23A_50_CI","X23C_50_CI","other_50_CI","X22B_50_CI","X22A_95_CI","X22D_95_CI","X22E_95_CI","X22F_95_CI","X23A_95_CI","X23C_95_CI","other_95_CI","X22B_95_CI"
"103",1.4250415349934,0.353985509173163,"AR",2022-12-15,1,1,1,1,0,1,1,1,1,0,0,1,0,1,1,0
"104",4.20521649869462,0.982964424489156,"AR",2022-12-16,1,0,0,1,0,1,0,0,1,0,0,1,0,1,1,0
"105",0.930647453563015,0.544625885580467,"AR",2022-12-17,1,1,1,0,1,1,1,1,1,1,0,0,1,1,1,1
"106",1.02310266393179,0.555418490387399,"AR",2022-12-18,1,0,1,1,1,1,1,1,1,0,0,0,1,1,1,1
"107",3.8488914522411,0.500779449690988,"AR",2022-12-19,1,1,1,1,0,1,1,0,1,0,1,0,0,1,1,0
"108",5.67142918692869,0.712996436517481,"AR",2022-12-20,1,0,1,1,0,0,1,0,1,0,0,1,0,0,1,0
"109",4.95666956923096,0.532142841921188,"AR",2022-12-21,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0
"110",2.40336310027362,0.692586300290545,"AR",2022-12-22,1,1,1,1,0,1,1,0,1,1,0,0,0,1,1,0
"111",2.52515012682325,0.890321696971222,"AR",2022-12-23,1,1,1,1,0,1,1,0,1,1,1,0,0,1,1,0
"112",2.82688265718545,0.292427930130791,"AR",2022-12-24,1,1,0,1,0,1,1,1,1,1,0,0,0,1,1,0
"113",1.33736586925438,0.591382806664727,"AR",2022-12-25,1,0,1,1,0,1,1,1,1,0,0,1,0,1,1,0
"114",9.13657146471808,0.467024059241035,"AR",2022-12-26,1,1,0,1,0,1,1,0,1,1,0,1,0,1,1,0
"115",1.95659160496324,0.707239208145164,"AR",2022-12-27,1,1,1,1,0,1,1,0,1,0,0,1,0,1,1,0
"116",3.31575935111877,0.803201072066545,"AR",2022-12-28,1,0,1,1,0,1,1,0,1,1,0,1,0,1,1,0
"117",9.08142560372644,1.02830876955095,"AR",2022-12-29,1,0,1,1,0,1,1,0,1,0,0,0,0,1,1,0
"118",5.99754763317664,0.605706473166188,"AR",2022-12-30,1,1,0,1,0,1,1,1,1,1,0,1,0,1,1,1
"119",2.49326965832406,0.951800892070344,"AR",2022-12-31,1,0,1,1,0,1,1,0,1,0,1,1,0,1,1,0
