...1,es_score,brier_score,location,target_date,X22A_50_CI,other_50_CI,X22B_50_CI,X22A_95_CI,other_95_CI,X22B_95_CI
67,0.471358920516209,0.126716896559752,AL,2022-09-21,1,1,1,0,1,0
68,0.649228364267372,0.1752543026701585,AL,2022-09-22,1,1,1,1,1,1
69,2.87804599660323,0.3240939510481165,AL,2022-09-23,0,1,0,0,1,0
70,0.0616446236469892,0.0055442070768473,AL,2022-09-24,1,1,1,1,1,1
71,0.783006713085598,0.218665648406585,AL,2022-09-25,1,1,1,1,1,1
72,0.763828353695188,0.219014018746124,AL,2022-09-26,1,1,1,1,1,1
73,0.90847660963632,0.290775302273753,AL,2022-09-27,0,1,0,0,1,0
74,0.134415404427015,0.004977081123941595,AL,2022-09-28,1,1,1,0,1,0
75,0.927597788254877,0.291776575703745,AL,2022-09-29,0,1,0,0,1,0
76,0.0242055952626106,0.004715251818720425,AL,2022-09-30,1,1,1,1,1,1
77,1.99792318462695,0.350393217559718,AL,2022-10-01,0,1,0,0,1,0
78,0.0498623158660869,0.00446691536770871,AL,2022-10-02,1,1,1,1,1,1
79,0.00554196353629016,0.00434758881959903,AL,2022-10-03,1,1,1,1,1,1
80,NA,NA,AL,2022-10-04,NA,NA,NA,NA,NA,NA
81,0.0198179120220408,0.004118204453838,AL,2022-10-05,1,1,1,1,1,1
82,NA,NA,AL,2022-10-06,NA,NA,NA,NA,NA,NA
83,NA,NA,AL,2022-10-07,NA,NA,NA,NA,NA,NA
84,0.0205523662482461,0.003796124266887785,AL,2022-10-08,1,1,1,1,1,1
85,2.67553556540879,0.235970821816257,AR,2022-08-28,0,1,0,1,1,1
86,1.17346795362807,0.1098071447430575,AR,2022-08-29,1,0,1,0,0,0
87,1.28410723112338,0.0874407217739855,AR,2022-08-30,1,0,1,0,0,1
88,2.01107282571847,0.131671773154515,AR,2022-08-31,1,0,0,0,0,0
89,3.28557324122551,0.148916308614103,AR,2022-09-01,0,1,0,0,1,0
90,1.70028829717398,0.2180718233097315,AR,2022-09-02,1,0,0,0,0,0
91,0.501174368937158,0.0097589709401001,AR,2022-09-03,1,1,1,0,1,0
92,0.759010422277391,0.1436816520004245,AR,2022-09-04,1,1,1,0,1,0
93,1.03414927880469,0.1407344660224295,AR,2022-09-05,1,0,1,1,0,0
94,2.64793185962627,0.1188281724123755,AR,2022-09-06,0,0,0,0,0,0
95,5.89450603908032,0.187454783378363,AR,2022-09-07,0,0,0,0,0,0
96,4.39724437277659,0.2212209096107845,AR,2022-09-08,0,1,0,0,1,0
97,2.35332965473598,0.1804678098692095,AR,2022-09-09,0,1,0,0,1,0
98,0.704460315654357,0.125255655263688,AR,2022-09-10,1,1,1,1,1,1
99,0.326718673339601,0.062707612508885,AR,2022-09-11,1,1,1,0,1,0
100,3.91053456954698,0.1596302420484775,AR,2022-09-12,0,1,0,0,1,0
101,1.00551457138415,0.1041144402083595,AR,2022-09-13,1,0,1,0,0,1
102,1.63838996698857,0.04698653610022605,AR,2022-09-14,0,0,1,0,0,0
103,1.41218493886928,0.145715834154742,AR,2022-09-15,0,1,0,0,1,0
104,1.30212577835006,0.136103048400991,AR,2022-09-16,1,0,0,0,0,0
105,1.16236439170462,0.312493794838773,AR,2022-09-17,1,0,0,1,0,0
106,1.33623625835357,0.192862192004822,AR,2022-09-18,0,1,0,0,1,0
107,1.97404802617019,0.118014206010116,AR,2022-09-19,1,0,1,0,0,0
108,0.455867794248934,0.0794653923428055,AR,2022-09-20,1,1,1,1,1,1
109,2.07191376216251,0.1200016028686015,AR,2022-09-21,1,0,0,1,0,0
110,0.283379809844653,0.06231884708791,AR,2022-09-22,1,1,1,1,1,1
111,0.76532065851644,0.217961176847878,AR,2022-09-23,1,1,1,0,1,0
112,0.00869259092943996,0.0055442070768473,AR,2022-09-24,1,1,1,1,1,1
113,0.0260958022238974,0.0053967458137829,AR,2022-09-25,1,1,1,1,1,1
114,1.16660756799044,0.0597919835626095,AR,2022-09-26,1,0,1,0,0,0
115,0.281778981781003,0.066326573386647,AR,2022-09-27,1,1,1,1,1,1
116,0.665147794197969,0.0953879837217165,AR,2022-09-28,1,1,1,0,1,0
117,0.6501380464062,0.004844434933135675,AR,2022-09-29,1,1,1,1,1,1
118,1.71624994339356,0.2511909475666645,AR,2022-09-30,0,1,0,0,1,0
119,0.0249456844322641,0.00458944125508117,AR,2022-10-01,1,1,1,1,1,1
120,0.123394799064913,0.00446691536770871,AR,2022-10-02,1,1,1,0,1,0
121,2.29234233544563,0.190374953226276,AR,2022-10-03,0,1,0,0,1,0
122,1.48247101968259,0.2047505038090015,AR,2022-10-04,1,0,0,0,0,0
123,1.21518682758716,0.004118204453838005,AR,2022-10-05,0,1,0,0,1,0
124,0.110782490691235,0.00400798773407025,AR,2022-10-06,1,1,1,1,1,1
125,2.49036216616975,0.200322094392464,AR,2022-10-07,1,0,0,0,0,1
126,0.658571573435646,0.1499252404925005,AR,2022-10-08,1,1,1,0,1,0
127,0.683101549291377,0.08631627351622,AZ,2022-08-28,1,1,1,1,1,1
128,1.06895900737973,0.080760451639777,AZ,2022-08-29,1,1,1,0,1,0
129,0.997547785422825,0.1150158627314735,AZ,2022-08-30,1,1,1,0,1,0
130,2.32309746950657,0.0436875708442101,AZ,2022-08-31,0,0,0,0,0,0
