...1,es_score,brier_score,location,target_date,X22D_50_CI,X22E_50_CI,X22F_50_CI,X23A_50_CI,X23C_50_CI,recombinant_50_CI,other_50_CI,X22B_50_CI,X22D_95_CI,X22E_95_CI,X22F_95_CI,X23A_95_CI,X23C_95_CI,recombinant_95_CI,other_95_CI,X22B_95_CI
24,1.19058088546331,0.281893366146271,AK,2023-01-31,1,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1
25,0.235770327210098,0.050695973325738,AK,2023-02-01,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
26,1.33872415157167,0.237992822963217,AK,2023-02-02,1,0,1,1,1,1,1,1,1,1,0,0,1,1,1,0
27,1.16182521864314,0.383567791323425,AK,2023-02-03,1,1,0,0,1,1,1,1,1,0,0,0,1,1,1,1
28,3.004193867988,0.395169335254377,AK,2023-02-04,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1
29,0.281913949831494,0.0301170217731956,AK,2023-02-05,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1
30,0.982267981003268,0.0747108549300335,AK,2023-02-06,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1
31,1.10220511126262,0.2773923637130365,AK,2023-02-07,1,1,1,1,0,1,1,1,1,1,1,0,0,1,1,1
32,1.63647610610939,0.304329255826069,AK,2023-02-08,1,1,0,0,1,1,1,1,1,0,1,0,1,1,1,1
33,0.810155214606661,0.386572556159284,AK,2023-02-09,1,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1
34,0.574258364142656,0.0150263112868596,AK,2023-02-10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
35,0.388438017448447,0.1419142964704845,AK,2023-02-11,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1
36,0.196442892992871,0.01125333727218925,AK,2023-02-12,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1
37,3.98474908475665,0.3520179615987845,AK,2023-02-13,0,0,1,0,1,1,1,1,0,0,1,0,1,1,1,1
38,1.59827336988826,0.2811084158865385,AK,2023-02-14,1,0,1,0,1,1,1,1,1,0,1,0,1,1,1,1
39,1.80502784885974,0.3397179872549305,AK,2023-02-15,1,0,1,0,1,1,1,1,1,0,1,0,1,1,1,1
40,0.290393482991976,0.0062194528856445,AK,2023-02-16,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1
41,0.518133721774571,0.127467178184878,AK,2023-02-17,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1
42,0.790614400768679,0.220959080162166,AK,2023-02-18,1,0,1,1,1,1,1,1,1,0,1,1,0,1,1,1
43,1.45681575315527,0.67068799419718,AL,2023-01-08,1,0,1,1,0,1,1,0,1,0,1,0,0,1,1,0
44,1.12093785147412,0.3023296488171415,AL,2023-01-09,1,1,1,1,0,1,1,1,1,0,1,0,0,1,1,1
45,1.328810659196,0.252497089042568,AL,2023-01-10,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,0
46,0.264907271139659,0.264590076793938,AL,2023-01-11,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
47,0.862449254611379,0.4025387712582135,AL,2023-01-12,1,1,1,1,0,1,1,1,1,0,1,1,0,1,1,1
48,NA,NA,AL,2023-01-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
49,NA,NA,AL,2023-01-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,NA,NA,AL,2023-01-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51,NA,NA,AL,2023-01-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
52,NA,NA,AL,2023-01-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
53,2.32935821603953,0.3665179520536965,AL,2023-01-18,1,0,0,0,1,1,1,1,1,0,0,0,1,1,1,1
54,0.416311776015678,0.3086349549946555,AL,2023-01-19,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1
55,0.455389014046784,0.329683224178747,AL,2023-01-20,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
56,NA,NA,AL,2023-01-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
57,NA,NA,AL,2023-01-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
58,0.590390547828873,0.3963328696821895,AL,2023-01-23,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1
59,0.587566646187419,0.4193781548247305,AL,2023-01-24,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1
60,0.161622732185361,0.1141868741894775,AL,2023-01-25,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
61,0.944318394985117,0.4229165833811145,AL,2023-01-26,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0
62,0.49983624026145,0.250913412513739,AL,2023-01-27,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1
63,1.09289045232423,0.770865950068635,AL,2023-01-28,1,1,1,1,1,1,0,1,1,0,1,1,1,1,0,1
64,NA,NA,AL,2023-01-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
65,0.509417453777804,0.064836942184076,AL,2023-01-30,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1
66,0.0840969589361176,0.0574062762031745,AL,2023-01-31,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1
67,NA,NA,AL,2023-02-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
68,1.15352383908578,0.3810211734131115,AL,2023-02-02,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0
69,NA,NA,AL,2023-02-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
70,0.0489692517131505,0.0344178550473037,AL,2023-02-04,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1
71,0.966437669869766,0.685251316158145,AL,2023-02-05,1,0,1,0,1,1,1,1,1,0,1,0,1,1,1,1
72,0.707965097384011,0.3651710086473495,AL,2023-02-06,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1
73,1.01658914762293,0.722076442170785,AL,2023-02-07,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1
74,0.312415238815505,0.01994649299650095,AL,2023-02-08,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1
75,1.23025964835629,0.86706782400626,AL,2023-02-09,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1
76,0.0203640812935945,0.0150263112868596,AL,2023-02-10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
77,NA,NA,AL,2023-02-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
78,NA,NA,AL,2023-02-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
79,0.0132846413482568,0.0097194247908863,AL,2023-02-13,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
80,0.0425359574175025,0.0083845811320441,AL,2023-02-14,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
81,0.0764293013544335,0.00722504113117875,AL,2023-02-15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
82,0.0101091379373246,0.0062194528856445,AL,2023-02-16,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
83,NA,NA,AL,2023-02-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
84,NA,NA,AL,2023-02-18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
85,1.55330669364581,0.3156460068150455,AR,2023-01-08,1,1,1,1,0,1,1,0,0,0,1,0,1,1,1,1
86,3.35657314520381,0.289320324702605,AR,2023-01-09,1,1,1,0,1,1,0,0,0,0,1,0,1,1,0,0
87,7.03936616232994,0.2748639369719615,AR,2023-01-10,0,0,1,0,1,1,1,1,0,0,1,0,1,1,0,0
88,5.20801698001623,0.2793493239912355,AR,2023-01-11,1,0,1,0,1,1,0,1,1,0,0,0,1,1,0,0
89,4.35292779392348,0.3321903080834695,AR,2023-01-12,0,0,1,0,1,1,0,1,0,0,0,0,0,1,0,1
90,2.45896618823251,0.3208422493577445,AR,2023-01-13,1,1,1,0,0,1,1,1,1,0,1,0,0,1,1,1
91,1.37958053263336,0.51654979669432,AR,2023-01-14,1,1,0,0,1,1,1,0,1,0,0,0,1,1,1,0
92,0.996699403694065,0.473282081792748,AR,2023-01-15,1,1,0,1,1,1,1,1,1,0,0,0,0,1,1,1
93,1.58750473002559,0.3742340406369305,AR,2023-01-16,1,1,1,1,1,1,1,0,1,0,1,0,1,1,1,0
94,5.11075663859356,0.3055335041853545,AR,2023-01-17,1,0,1,0,1,1,1,0,0,0,0,0,0,1,1,0
95,3.21777063024576,0.3477902819243345,AR,2023-01-18,1,0,1,0,1,1,1,0,1,0,0,0,1,1,1,0
96,1.86628749376009,0.3296982188988955,AR,2023-01-19,1,0,1,0,1,1,1,0,1,0,1,0,0,1,1,0
97,2.91011209072404,0.456045105517845,AR,2023-01-20,1,0,1,0,0,1,0,1,1,0,1,0,0,1,0,1
98,0.237754628275246,0.169632506733377,AR,2023-01-21,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
99,0.69709024474858,0.3005648711615015,AR,2023-01-22,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1
100,12.1354892628719,0.404904100887379,AR,2023-01-23,1,0,1,0,1,1,1,0,0,0,1,0,0,1,1,0
101,1.55599734284416,0.273036884233358,AR,2023-01-24,1,0,1,1,1,1,1,1,0,0,1,0,1,1,1,1
102,4.73803276308228,0.390642912869059,AR,2023-01-25,0,0,1,0,1,1,1,0,0,0,1,0,0,1,1,1
103,7.0036779513021,0.407904955712813,AR,2023-01-26,1,0,1,0,0,1,1,1,0,0,1,0,0,1,1,1
104,3.05558857168167,0.375873908500545,AR,2023-01-27,1,0,1,0,1,1,1,1,1,0,1,0,1,1,1,1
105,0.71931391900601,0.512796060277475,AR,2023-01-28,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1
106,0.415390696053921,0.304477047197115,AR,2023-01-29,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
107,13.2916985176186,0.4927999093176925,AR,2023-01-30,1,1,1,0,1,1,1,0,1,0,0,0,0,1,1,0
108,0.482664073550067,0.319307881136787,AR,2023-01-31,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1
109,2.09004835741555,0.4235769841236715,AR,2023-02-01,1,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0
110,1.42248436999709,0.4313260185060535,AR,2023-02-02,1,0,1,0,1,1,1,1,1,0,1,0,1,1,1,1
111,3.17215733852744,0.4434304728274675,AR,2023-02-03,1,0,1,0,1,1,1,1,1,0,1,0,1,1,1,1
112,0.937688772892948,0.66573294540968,AR,2023-02-04,1,0,1,0,1,1,1,1,1,0,1,0,1,1,1,1
113,0.0463823156970138,0.0301170217731956,AR,2023-02-05,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
114,2.22978643506494,0.2987512387394345,AR,2023-02-06,1,1,1,0,1,1,1,0,1,0,0,0,1,1,1,0
115,3.4011171268951,0.50927232672187,AR,2023-02-07,0,1,1,0,0,1,1,0,0,0,1,0,0,1,1,0
116,3.51023847380482,0.62040811678771,AR,2023-02-08,1,0,1,0,1,1,1,0,1,0,1,0,1,1,1,0
117,2.73342494367117,0.4604218488192005,AR,2023-02-09,1,0,1,0,1,1,1,1,1,0,1,0,1,1,1,1
118,9.38058095870545,0.60182972985964,AR,2023-02-10,1,0,1,0,1,1,1,0,1,0,1,0,1,1,1,0
119,NA,NA,AR,2023-02-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
120,1.13359315920416,0.800557246643805,AR,2023-02-12,1,0,1,0,1,1,1,1,1,0,1,0,1,1,1,1
121,4.16896929915722,0.70545008807696,AR,2023-02-13,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0
122,5.00540554343771,0.4498981652799065,AR,2023-02-14,1,1,1,0,1,1,1,0,1,0,1,0,1,1,1,0
123,1.51172732649901,0.244720002648144,AR,2023-02-15,1,0,1,0,1,1,1,1,1,0,1,0,1,1,1,1
124,1.45321949439635,0.2170786737682635,AR,2023-02-16,1,0,1,0,1,1,1,1,1,0,1,0,1,1,1,1
125,0.150831766940834,0.00534872067312815,AR,2023-02-17,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
126,1.07118785949468,0.4373223220248895,AR,2023-02-18,1,0,1,0,1,1,1,1,1,0,1,0,1,1,1,1
127,1.55889888419491,0.2695253929305295,AZ,2023-01-08,1,1,1,1,1,1,1,0,0,0,1,0,1,1,1,0
128,5.96675668466712,0.3164458192448565,AZ,2023-01-09,1,1,0,0,1,1,1,0,0,1,0,0,1,1,1,0
129,6.22658893743851,0.2563459859708735,AZ,2023-01-10,1,0,1,0,1,0,1,1,0,0,1,0,0,0,0,0
130,4.94699380493749,0.326210184459763,AZ,2023-01-11,0,1,0,0,1,1,1,0,0,1,0,0,1,1,1,0
131,0.977235331084816,0.316534228455102,AZ,2023-01-12,0,1,1,1,1,1,1,1,0,0,1,0,1,1,1,0
132,0.967526556998809,0.3422049582326895,AZ,2023-01-13,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,0
133,0.782214125797738,0.315016029940313,AZ,2023-01-14,1,1,0,1,1,1,1,1,1,0,0,0,1,1,1,1
134,1.56384846909943,0.3286607128307125,AZ,2023-01-15,1,1,0,1,1,1,1,1,0,0,0,0,0,1,1,1
135,9.115379287311,0.3695341377217105,AZ,2023-01-16,0,0,0,0,1,1,1,0,0,0,0,0,1,1,1,0
136,4.76952575264276,0.300891888674026,AZ,2023-01-17,1,0,1,0,1,1,1,1,0,0,1,0,1,1,1,0
137,1.79539382136228,0.344932775278786,AZ,2023-01-18,0,1,1,0,1,1,1,1,0,0,1,0,1,1,1,0
138,2.83482294531005,0.335935335623331,AZ,2023-01-19,1,1,0,1,1,1,1,1,1,0,0,0,1,1,1,1
139,0.879598516479402,0.2521445568771455,AZ,2023-01-20,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,1
140,0.40153947007225,0.242331747607883,AZ,2023-01-21,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1
141,0.22041876002463,0.1544320195149275,AZ,2023-01-22,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1
142,2.86032919017082,0.3145612928067005,AZ,2023-01-23,1,1,0,1,1,0,1,0,1,0,0,0,1,0,1,0
143,4.50906840720204,0.443120473425074,AZ,2023-01-24,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0
144,1.93429017624229,0.344637998334379,AZ,2023-01-25,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1
145,3.95044126816495,0.4163468684084065,AZ,2023-01-26,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1
146,1.31949780727663,0.3195008662663535,AZ,2023-01-27,1,1,0,1,1,1,1,0,1,1,0,0,0,1,1,0
147,1.32919582037309,0.388277482410425,AZ,2023-01-28,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1
148,4.5194499797349,0.4208751598054735,AZ,2023-01-29,1,0,1,0,1,1,1,0,1,0,1,0,0,1,1,0
149,3.04955498958654,0.2667382143862175,AZ,2023-01-30,1,1,0,0,1,1,1,0,0,1,0,1,0,1,1,0
150,3.30464211656534,0.231757078808764,AZ,2023-01-31,0,0,0,1,1,0,0,1,0,0,0,1,1,0,0,1
151,14.4492847131657,0.4052140074639845,AZ,2023-02-01,1,0,0,0,1,1,1,0,0,0,0,0,1,1,1,0
152,1.14910212431027,0.1559800138049075,AZ,2023-02-02,1,1,0,1,1,1,1,1,1,0,0,0,0,1,1,1
153,2.61153000554163,0.3162597808807005,AZ,2023-02-03,1,1,1,0,0,1,1,0,1,0,1,0,0,1,1,0
154,1.02505318892538,0.286943891192255,AZ,2023-02-04,1,0,1,1,1,1,1,1,1,0,1,0,0,1,1,1
155,3.48817486882568,0.2594922584007775,AZ,2023-02-05,1,0,1,0,1,1,1,0,1,0,1,1,1,1,1,0
156,2.91917265405506,0.2506819842101665,AZ,2023-02-06,1,1,0,0,1,1,1,0,0,0,0,0,1,1,1,0
157,1.98122138723087,0.2575558073728125,AZ,2023-02-07,0,1,0,0,1,1,1,1,0,0,0,0,1,1,1,1
158,1.80289620187331,0.0727046247849505,AZ,2023-02-08,1,0,1,1,1,1,1,0,1,0,1,0,0,1,1,0
159,0.670061881585525,0.1650246781795345,AZ,2023-02-09,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
160,2.0324682865479198,0.3547200734632185,AZ,2023-02-10,1,0,1,0,1,1,1,0,1,1,1,0,1,1,1,0
161,0.921708428039489,0.1848815162231695,AZ,2023-02-11,1,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1
162,8.98217275220488,0.3136291676672135,AZ,2023-02-12,1,0,0,0,1,1,1,0,1,0,0,0,1,1,1,0
163,13.6611732389988,0.2615249464508475,AZ,2023-02-13,1,0,0,0,1,1,0,1,1,0,0,0,1,1,0,1
164,0.949541238159012,0.122964039321086,AZ,2023-02-14,1,1,1,1,1,1,0,1,1,0,1,1,1,1,0,1
165,2.2467001278321,0.2465971746920845,AZ,2023-02-15,1,1,0,0,1,1,1,1,1,0,0,0,1,1,1,1
166,1.76002277745975,0.1966265891755985,AZ,2023-02-16,1,1,0,0,1,1,0,1,1,1,0,0,1,1,0,0
167,2.52039279144703,0.1916051039534725,AZ,2023-02-17,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1
168,2.43198038379714,0.2209590801621655,AZ,2023-02-18,1,0,1,0,1,1,1,1,1,0,1,0,1,1,1,0
169,13.6970742330779,0.271836600664744,CA,2023-01-08,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
170,45.1025685238063,0.270217637296354,CA,2023-01-09,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0
171,25.7106239078308,0.3095120292442,CA,2023-01-10,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0
172,29.8610757450422,0.326193760135923,CA,2023-01-11,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
173,38.9445247993302,0.304814732933837,CA,2023-01-12,1,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0
174,28.3562215487376,0.3210695631134875,CA,2023-01-13,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0
175,23.5152220656997,0.3142738591062625,CA,2023-01-14,1,0,1,0,1,1,1,0,0,0,1,0,1,1,0,0
176,23.8849392445075,0.3421969995572915,CA,2023-01-15,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1
177,29.0555108986422,0.328753994827163,CA,2023-01-16,0,0,1,0,1,1,1,0,0,0,1,0,0,1,1,0
178,33.6671621498658,0.338214434884828,CA,2023-01-17,0,0,0,0,1,1,1,0,1,0,0,0,1,0,1,0
179,26.6169641532002,0.3314414986532715,CA,2023-01-18,1,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0
180,8.31813360064396,0.3650236548792425,CA,2023-01-19,1,0,1,0,1,1,0,0,1,0,1,0,1,1,0,0
181,20.789839913405,0.342468131132834,CA,2023-01-20,0,0,1,0,1,1,1,0,0,0,0,0,1,0,1,0
182,43.5671469127098,0.3368819761953905,CA,2023-01-21,0,0,1,0,1,1,0,0,0,0,0,0,0,1,1,0
183,26.6139829862388,0.3541535198604435,CA,2023-01-22,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0
184,38.8499072032054,0.3555039413969215,CA,2023-01-23,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0
185,32.5849749564481,0.33323245931421003,CA,2023-01-24,1,0,1,0,1,1,1,1,0,0,0,0,0,1,1,1
186,33.5264839106139,0.372874877254746,CA,2023-01-25,1,0,0,0,1,1,0,0,1,0,0,0,1,1,0,0
187,28.2915608191043,0.3460357726197765,CA,2023-01-26,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0
188,25.0648944606955,0.376275109569492,CA,2023-01-27,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0
189,19.6766496135088,0.3408772332610985,CA,2023-01-28,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
190,12.6002621189299,0.329590302977773,CA,2023-01-29,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
191,20.6845606370996,0.374863408593787,CA,2023-01-30,1,0,1,0,0,1,0,1,0,0,1,0,0,1,0,1
192,14.483419656927,0.3379984961290435,CA,2023-01-31,1,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0
193,18.9977136561016,0.3243963000601325,CA,2023-02-01,0,0,1,0,1,0,1,0,0,0,0,0,1,0,1,0
194,32.8704410813387,0.3329682899641515,CA,2023-02-02,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
195,17.999726467124,0.295743413737402,CA,2023-02-03,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0
196,25.3190887572617,0.3324675042962445,CA,2023-02-04,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
197,50.7591838771531,0.340110514138503,CA,2023-02-05,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
198,30.0636510124202,0.272496948333155,CA,2023-02-06,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0
199,39.8598110093199,0.349662183280055,CA,2023-02-07,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
200,33.6780630066618,0.268035788904209,CA,2023-02-08,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0
201,45.1488117104259,0.285629585805055,CA,2023-02-09,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0
202,30.0849020755638,0.288854620049649,CA,2023-02-10,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0
203,21.8019100486402,0.341668139557202,CA,2023-02-11,0,0,1,0,1,1,1,0,0,0,1,0,0,1,1,0
204,18.1339751517433,0.2022554790160645,CA,2023-02-12,0,0,1,0,1,1,0,0,0,0,0,0,1,1,0,0
205,8.98037978196339,0.159933403492424,CA,2023-02-13,0,0,1,0,1,1,1,0,0,0,1,0,0,1,1,0
206,6.960910162402,0.1598993578233755,CA,2023-02-14,1,0,1,0,1,1,1,1,0,0,0,0,0,1,1,1
207,52.6890440729357,0.247836121374739,CA,2023-02-15,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0
208,55.3371684222877,0.2528099250060425,CA,2023-02-16,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
209,17.0525191510758,0.24509151308726,CA,2023-02-17,0,0,0,0,1,1,0,1,0,0,0,0,1,1,0,1
210,11.3024499722619,0.2286159483609135,CA,2023-02-18,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
211,0.74725219309862,0.19326672149350901,CO,2023-01-08,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1
212,1.0761219843621599,0.3461923765187155,CO,2023-01-09,0,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1
213,1.01178606783583,0.36498907150467,CO,2023-01-10,1,1,0,1,1,1,1,1,1,1,0,0,1,1,1,1
214,2.31897597991708,0.4229280629000125,CO,2023-01-11,0,0,1,1,1,1,0,1,0,0,1,1,1,1,0,0
215,0.748254360240685,0.34186445944167,CO,2023-01-12,1,1,1,1,1,1,1,0,1,0,0,0,1,1,1,0
216,0.957724530328548,0.67907100117028,CO,2023-01-13,0,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1
217,NA,NA,CO,2023-01-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
218,1.21483910456238,0.3824950328396555,CO,2023-01-15,0,1,1,0,1,1,1,1,0,0,1,0,1,1,1,1
219,1.1603776992227,0.3391570925857705,CO,2023-01-16,1,1,1,1,1,1,1,0,1,0,1,0,0,1,1,0
220,2.25454150922493,0.3631230062405115,CO,2023-01-17,1,1,0,0,1,1,1,1,0,0,0,0,1,1,1,1
221,0.360154041755755,0.2542331338268665,CO,2023-01-18,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
222,0.551691756139467,0.2732695064258605,CO,2023-01-19,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1
223,3.13364807527796,0.2502455254187295,CO,2023-01-20,1,0,1,0,0,1,1,1,1,0,1,0,0,1,1,1
