...1,es_score,brier_score,location,target_date,X24B_50_CI,X24C_50_CI,X24E_50_CI,X24G_50_CI,other_50_CI,X24A_50_CI,X24B_95_CI,X24C_95_CI,X24E_95_CI,X24G_95_CI,other_95_CI,X24A_95_CI
38,NA,NA,AK,2024-07-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39,NA,NA,AK,2024-07-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40,NA,NA,AK,2024-08-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41,0.361025472735271,0.2454947166712345,AK,2024-08-02,1,1,1,1,1,1,1,1,1,1,1,1
42,NA,NA,AK,2024-08-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43,NA,NA,AL,2024-06-23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44,NA,NA,AL,2024-06-24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45,NA,NA,AL,2024-06-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
46,NA,NA,AL,2024-06-26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
47,NA,NA,AL,2024-06-27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
48,NA,NA,AL,2024-06-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
49,NA,NA,AL,2024-06-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,0.51266329168987,0.369143617906825,AL,2024-06-30,0,1,1,1,1,1,0,1,1,0,1,1
51,NA,NA,AL,2024-07-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
52,NA,NA,AL,2024-07-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
53,NA,NA,AL,2024-07-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
54,NA,NA,AL,2024-07-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
55,NA,NA,AL,2024-07-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
56,NA,NA,AL,2024-07-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
57,NA,NA,AL,2024-07-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
58,NA,NA,AL,2024-07-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
59,0.545397499078229,0.382988612082847,AL,2024-07-09,0,1,1,1,1,1,0,0,1,1,1,1
60,NA,NA,AL,2024-07-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
61,NA,NA,AL,2024-07-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
62,NA,NA,AL,2024-07-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
63,NA,NA,AL,2024-07-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
64,NA,NA,AL,2024-07-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
65,NA,NA,AL,2024-07-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
66,0.570493086433354,0.3954227634733465,AL,2024-07-16,1,1,0,1,1,1,0,1,0,1,1,1
67,0.584590250062468,0.408258220658069,AL,2024-07-17,0,1,1,1,1,1,0,1,1,1,1,0
68,NA,NA,AL,2024-07-18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
69,NA,NA,AL,2024-07-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
70,NA,NA,AL,2024-07-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
71,NA,NA,AL,2024-07-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
72,NA,NA,AL,2024-07-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
73,NA,NA,AL,2024-07-23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
74,0.468726349160878,0.326036757407171,AL,2024-07-24,1,1,1,1,1,1,1,1,1,1,1,1
75,NA,NA,AL,2024-07-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
76,0.634777097246714,0.450639587264973,AL,2024-07-26,0,1,1,1,1,1,0,0,1,1,1,1
77,NA,NA,AL,2024-07-27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
78,NA,NA,AL,2024-07-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
79,NA,NA,AL,2024-07-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
80,NA,NA,AL,2024-07-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
81,NA,NA,AL,2024-07-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
82,NA,NA,AL,2024-08-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
83,0.788366728741386,0.559142695517705,AL,2024-08-02,1,1,1,1,1,0,1,0,1,1,1,0
84,0.706826823386667,0.499793755847425,AL,2024-08-03,0,1,1,1,1,1,0,1,0,1,1,1
85,NA,NA,AR,2024-06-23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
86,NA,NA,AR,2024-06-24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
87,NA,NA,AR,2024-06-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
88,NA,NA,AR,2024-06-26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
89,NA,NA,AR,2024-06-27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
90,NA,NA,AR,2024-06-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
91,NA,NA,AR,2024-06-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
92,NA,NA,AR,2024-06-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
93,NA,NA,AR,2024-07-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
94,NA,NA,AR,2024-07-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
95,NA,NA,AR,2024-07-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
96,NA,NA,AR,2024-07-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
97,NA,NA,AR,2024-07-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
98,NA,NA,AR,2024-07-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
99,NA,NA,AR,2024-07-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100,0.572541716200566,0.40137531752982,AR,2024-07-08,1,1,1,1,1,0,1,1,1,1,1,1
101,0.540920042366538,0.382988612082847,AR,2024-07-09,0,1,1,1,1,1,0,1,0,1,1,1
102,0.550113915448206,0.3854902875211815,AR,2024-07-10,0,1,1,1,1,1,0,1,0,1,1,1
103,NA,NA,AR,2024-07-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
104,NA,NA,AR,2024-07-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
105,NA,NA,AR,2024-07-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
106,NA,NA,AR,2024-07-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
107,NA,NA,AR,2024-07-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
108,NA,NA,AR,2024-07-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
109,0.460806937092863,0.330913114945671,AR,2024-07-17,1,1,1,1,1,1,1,0,0,1,1,1
110,NA,NA,AR,2024-07-18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
111,0.617838142210254,0.4406008445114975,AR,2024-07-19,1,1,1,0,1,1,1,1,0,0,1,1
112,NA,NA,AR,2024-07-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
113,NA,NA,AR,2024-07-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
114,1.21614955694001,0.4261525102822165,AR,2024-07-22,0,1,0,1,1,1,0,0,0,0,1,0
115,0.473313053875378,0.338596507365795,AR,2024-07-23,1,1,1,1,1,1,1,1,1,1,1,1
116,1.22323246628731,0.416985037003485,AR,2024-07-24,0,1,1,1,1,1,0,0,0,0,1,0
117,NA,NA,AR,2024-07-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
118,0.635552963094062,0.450639587264973,AR,2024-07-26,0,1,1,1,1,1,1,1,1,1,1,1
119,NA,NA,AR,2024-07-27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
120,NA,NA,AR,2024-07-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
121,2.99235530453814,0.467883384238876,AR,2024-07-29,0,1,0,1,1,1,0,0,1,0,1,0
122,0.64960584766918,0.473957846565587,AR,2024-07-30,0,1,1,1,1,1,0,0,1,1,1,1
123,NA,NA,AR,2024-07-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
124,NA,NA,AR,2024-08-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
125,NA,NA,AR,2024-08-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
126,NA,NA,AR,2024-08-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
127,2.0130702008679,0.372421877508263,AZ,2024-06-23,1,0,1,1,1,1,1,0,1,0,1,0
128,1.1691226127082,0.37407437222042,AZ,2024-06-24,1,1,1,1,1,1,1,0,1,0,1,0
129,4.90407303122921,0.375385110820121,AZ,2024-06-25,0,0,1,0,1,1,0,0,0,0,1,0
130,1.95334057696403,0.3700377029735825,AZ,2024-06-26,0,0,1,1,1,1,0,0,0,0,1,1
131,NA,NA,AZ,2024-06-27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
132,0.58927487662913,0.3522269865817885,AZ,2024-06-28,1,1,1,1,1,1,1,0,1,1,1,0
133,1.08834917490464,0.3416175167665695,AZ,2024-06-29,1,1,1,1,1,0,0,0,1,1,1,0
134,2.46509469120678,0.3972484717538535,AZ,2024-06-30,0,1,1,1,0,0,0,0,1,0,1,0
135,6.23731131361821,0.4030033414753465,AZ,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0
136,2.97747490314882,0.360762798327133,AZ,2024-07-02,1,0,0,0,1,0,0,0,0,0,1,0
137,NA,NA,AZ,2024-07-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
138,1.13175424303075,0.348592288365292,AZ,2024-07-04,1,0,1,1,1,1,0,0,1,0,1,1
139,0.780274751909426,0.4018746493580155,AZ,2024-07-05,1,1,1,1,1,1,1,1,0,0,1,0
140,1.95991558826425,0.4291430972228765,AZ,2024-07-06,1,1,0,1,1,1,1,0,0,1,1,0
141,0.916501686889896,0.382870668744325,AZ,2024-07-07,1,1,1,1,1,1,1,0,0,1,1,1
142,7.25706442818355,0.396986549282454,AZ,2024-07-08,0,1,1,0,1,0,0,0,0,0,1,0
143,5.52827517702245,0.3801051594347305,AZ,2024-07-09,1,0,0,0,1,0,0,0,0,0,0,0
144,2.67699427506134,0.391137462912107,AZ,2024-07-10,1,1,1,0,1,0,0,0,0,0,1,0
145,0.662733175917911,0.3922995948866955,AZ,2024-07-11,1,1,1,1,1,1,0,0,0,0,1,1
146,0.658596166617411,0.394636089286179,AZ,2024-07-12,1,1,1,1,1,1,0,1,1,0,1,0
147,NA,NA,AZ,2024-07-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
148,0.776786582555773,0.4186541329039465,AZ,2024-07-14,1,1,1,1,1,1,1,1,1,0,1,0
149,2.08736929041677,0.400442755699449,AZ,2024-07-15,0,1,0,0,1,0,1,1,0,0,1,0
150,1.77479818479666,0.3955872948138385,AZ,2024-07-16,0,1,1,0,1,1,0,0,0,0,1,0
151,3.75017757989533,0.406529804960604,AZ,2024-07-17,1,1,0,1,1,0,1,0,0,1,1,0
152,4.24921551847886,0.4339357607966245,AZ,2024-07-18,0,0,0,1,1,0,0,0,0,0,1,0
153,0.850847910928398,0.4194064031524055,AZ,2024-07-19,1,1,1,1,1,1,0,0,1,0,1,0
154,1.21040751307586,0.4132298009157435,AZ,2024-07-20,0,1,1,1,1,1,0,0,1,0,1,0
155,3.84442376664088,0.466413563892759,AZ,2024-07-21,1,0,0,1,1,0,1,0,0,1,1,0
156,5.2994417276745,0.423209357110195,AZ,2024-07-22,1,1,0,1,1,0,0,0,0,0,0,0
157,1.96615419966864,0.4156509723880795,AZ,2024-07-23,1,1,0,1,0,1,0,1,0,0,0,0
158,5.17243196120916,0.4444891666342895,AZ,2024-07-24,0,0,0,1,1,0,0,0,0,0,1,0
159,1.25543350270796,0.4113726256662215,AZ,2024-07-25,0,1,1,1,1,1,0,1,0,1,1,1
160,1.27429649111647,0.4273230306208285,AZ,2024-07-26,1,1,1,1,1,0,1,0,0,1,1,0
161,2.3860566823524,0.504583722650645,AZ,2024-07-27,1,1,0,1,1,0,1,0,0,0,1,0
162,1.89039792063636,0.413473842374757,AZ,2024-07-28,0,1,1,1,0,1,0,0,1,0,1,1
163,5.59218359753322,0.447762079767774,AZ,2024-07-29,1,1,0,1,0,0,0,0,0,0,0,0
164,1.83155236999897,0.431545066792283,AZ,2024-07-30,0,1,0,1,1,1,0,0,0,0,1,0
165,2.11625374517271,0.3599035366844615,AZ,2024-07-31,1,0,1,0,1,1,0,0,0,0,1,0
166,0.90493840094368,0.3324359049801,AZ,2024-08-01,1,0,1,1,1,1,1,0,0,1,1,0
167,0.687862233678929,0.4931124594268725,AZ,2024-08-02,0,1,1,1,1,1,0,1,0,1,1,1
168,1.66663425103079,0.3700217841663045,AZ,2024-08-03,1,1,1,0,1,0,1,0,0,0,1,0
169,3.45346430476922,0.3848807102474035,CA,2024-06-23,1,0,1,1,1,1,0,0,0,1,1,0
170,6.20811814675987,0.4073429010773325,CA,2024-06-24,0,0,0,0,1,0,0,0,0,0,0,0
171,8.28805321256263,0.390034764752614,CA,2024-06-25,0,0,1,0,0,1,0,0,0,0,1,0
172,20.255057747962,0.3821483827325545,CA,2024-06-26,1,0,0,0,1,0,1,0,0,0,0,0
173,9.6695180063643,0.3848770076841675,CA,2024-06-27,0,0,0,0,0,1,0,0,0,1,0,0
174,8.30220005395675,0.393768114124345,CA,2024-06-28,0,0,1,0,0,1,0,0,0,0,0,0
175,7.77111033806959,0.388490900618416,CA,2024-06-29,0,0,0,0,0,1,0,0,0,1,0,0
176,6.85253581383532,0.378149318695544,CA,2024-06-30,0,1,1,0,1,0,0,0,0,0,1,0
177,14.403910902293,0.3752912879927425,CA,2024-07-01,0,0,0,0,1,1,0,0,0,0,0,0
178,6.55669121625034,0.3932202871735175,CA,2024-07-02,0,0,1,0,0,1,1,0,0,0,0,0
179,9.20945815157765,0.3940095668814675,CA,2024-07-03,0,0,1,1,1,1,0,0,0,0,0,0
180,2.16378485882577,0.384995633771689,CA,2024-07-04,1,0,1,1,1,1,0,0,0,0,0,1
181,6.03642792142592,0.394050530262695,CA,2024-07-05,0,1,0,1,1,0,0,0,0,0,0,0
182,3.95332084040168,0.391348394171601,CA,2024-07-06,1,1,0,1,1,0,0,0,0,1,0,0
183,7.52725941344634,0.3914159892271205,CA,2024-07-07,0,1,0,0,0,0,0,0,0,0,0,0
184,9.1394523195543,0.403897227359816,CA,2024-07-08,0,1,1,0,0,0,0,0,1,0,0,0
185,13.5221086560905,0.403134288038517,CA,2024-07-09,1,0,0,0,0,0,0,0,0,0,0,0
186,5.1318302368812,0.404205601118688,CA,2024-07-10,1,0,0,1,1,1,0,0,0,0,1,0
187,9.36416963659302,0.408052064602995,CA,2024-07-11,0,0,1,1,1,0,0,0,0,0,0,0
188,8.29723944318732,0.3986249917010895,CA,2024-07-12,1,1,0,1,1,0,0,0,0,0,1,0
189,3.40626042087872,0.40501853952454703,CA,2024-07-13,0,1,1,0,0,1,0,0,1,0,0,0
190,12.3574987159612,0.4034210454930225,CA,2024-07-14,1,1,1,0,1,0,0,0,0,0,0,0
191,10.1330028919525,0.4082222755167885,CA,2024-07-15,0,1,0,0,0,0,1,0,0,0,0,0
192,16.127408864474,0.418781793071512,CA,2024-07-16,0,0,0,0,0,0,0,0,0,0,0,0
193,5.94196156130029,0.4061645074019315,CA,2024-07-17,1,1,0,1,1,0,0,0,0,0,0,0
194,9.58902445118901,0.4006312344826435,CA,2024-07-18,0,0,0,1,1,0,0,0,0,0,0,0
195,3.85602468182143,0.409680415250966,CA,2024-07-19,1,1,1,0,1,0,1,0,0,1,0,0
196,4.61257134589951,0.402813435316112,CA,2024-07-20,0,1,0,0,0,1,0,1,0,0,0,0
197,11.271464734006,0.4182511342635005,CA,2024-07-21,0,0,0,1,1,0,0,0,0,0,1,0
198,14.5190891468658,0.408020981351807,CA,2024-07-22,0,0,1,0,1,0,0,0,0,1,0,0
199,13.2992375846851,0.419007534101282,CA,2024-07-23,1,1,0,1,1,0,0,0,0,0,0,0
200,14.5280256431582,0.4274028858134095,CA,2024-07-24,1,0,0,0,0,0,0,0,0,0,0,0
201,10.4826349127943,0.422105973161703,CA,2024-07-25,0,0,1,1,0,0,0,0,0,0,0,0
202,12.4155424390001,0.4325977609828545,CA,2024-07-26,0,0,0,0,0,0,0,0,1,0,0,0
203,7.6559315325686,0.418425488545971,CA,2024-07-27,0,0,1,0,1,0,0,0,0,0,1,0
204,3.08679557542575,0.382728986803577,CA,2024-07-28,1,1,1,1,0,1,0,0,0,0,0,0
205,11.9219818633565,0.442769641426151,CA,2024-07-29,1,0,0,1,0,0,0,0,0,0,0,0
206,10.7413297647996,0.4193873243286885,CA,2024-07-30,1,0,1,0,1,0,0,0,0,0,0,0
207,8.1476985493954,0.4163878177054535,CA,2024-07-31,0,1,0,0,0,0,0,0,0,0,0,0
208,11.1798013261017,0.413662807916244,CA,2024-08-01,0,0,1,1,1,0,0,0,1,0,1,0
209,8.59344710001008,0.427065612156118,CA,2024-08-02,0,0,0,1,1,0,0,0,0,0,0,0
210,3.97773846178443,0.4034699139769675,CA,2024-08-03,1,1,0,1,1,0,0,0,0,0,1,0
211,NA,NA,CO,2024-06-23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
212,NA,NA,CO,2024-06-24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
213,0.896262407193671,0.453324998166009,CO,2024-06-25,1,1,0,1,1,1,0,0,0,1,1,0
214,0.798858511525911,0.406937161509095,CO,2024-06-26,1,1,1,1,1,1,1,0,1,0,1,1
215,0.532553314478289,0.373641792604671,CO,2024-06-27,1,0,1,1,1,1,1,0,0,1,1,1
216,0.518343961288669,0.368217802826442,CO,2024-06-28,0,1,1,1,1,1,0,1,1,1,1,0
217,NA,NA,CO,2024-06-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
218,NA,NA,CO,2024-06-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
219,0.524849513390221,0.36990207058711,CO,2024-07-01,0,1,1,1,1,1,1,1,1,1,1,1
220,NA,NA,CO,2024-07-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
221,NA,NA,CO,2024-07-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
222,NA,NA,CO,2024-07-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
223,0.493829870289078,0.345792216599091,CO,2024-07-05,1,1,1,1,1,1,1,0,1,1,1,0
224,NA,NA,CO,2024-07-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
225,NA,NA,CO,2024-07-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
226,0.485207452629677,0.338709590724987,CO,2024-07-08,1,1,1,1,1,1,1,0,1,1,0,1
227,NA,NA,CO,2024-07-09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
228,0.488175406073,0.3351547741130435,CO,2024-07-10,1,1,1,1,1,1,1,0,1,1,0,1
229,0.768163337657955,0.4117022503245345,CO,2024-07-11,1,1,1,1,1,1,0,1,0,1,1,1
230,0.605175712393237,0.427537797915222,CO,2024-07-12,1,1,0,1,1,1,1,1,0,0,1,1
231,NA,NA,CO,2024-07-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
232,NA,NA,CO,2024-07-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
233,0.720939822389621,0.391342657733004,CO,2024-07-15,1,1,1,1,1,1,0,0,0,0,1,1
234,1.35855592107119,0.4395484565920295,CO,2024-07-16,1,1,1,0,1,1,1,1,0,0,1,1
235,0.864574682092977,0.4494270179884155,CO,2024-07-17,1,1,1,1,1,1,1,1,0,1,1,0
236,1.35053236210323,0.430450597858958,CO,2024-07-18,1,1,1,1,1,0,0,0,1,0,1,0
237,0.664327471510727,0.4717348385587765,CO,2024-07-19,1,1,1,1,1,0,1,1,1,0,1,0
238,NA,NA,CO,2024-07-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
239,NA,NA,CO,2024-07-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
240,NA,NA,CO,2024-07-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
241,0.940291456382779,0.337386660935257,CO,2024-07-23,1,0,1,1,1,1,1,1,0,0,1,1
242,0.690488032319073,0.383011969891077,CO,2024-07-24,1,1,1,1,1,1,0,1,0,0,1,0
243,0.792762728074108,0.403768026958501,CO,2024-07-25,1,1,1,1,1,1,1,1,1,0,1,0
244,0.453673672123216,0.3080720842998815,CO,2024-07-26,1,1,1,1,1,1,1,0,0,1,1,1
245,NA,NA,CO,2024-07-27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
246,NA,NA,CO,2024-07-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
247,0.735515096977892,0.408628840245199,CO,2024-07-29,1,1,1,1,1,1,0,0,0,0,1,1
248,NA,NA,CO,2024-07-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
249,0.674637074142797,0.48019011624219,CO,2024-07-31,0,1,1,1,1,1,0,1,0,1,1,1
250,NA,NA,CO,2024-08-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
251,0.372623692736233,0.2454947166712345,CO,2024-08-02,1,1,1,1,1,1,0,1,0,1,1,1
252,NA,NA,CO,2024-08-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
253,NA,NA,CT,2024-06-23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
254,1.01156093419403,0.30824925235955,CT,2024-06-24,1,1,1,1,1,0,1,0,1,1,1,0
255,0.889883633498788,0.453324998166009,CT,2024-06-25,1,1,0,1,1,1,0,0,0,1,1,0
256,NA,NA,CT,2024-06-26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
257,2.35405904827596,0.3282414805200885,CT,2024-06-27,1,1,1,1,1,0,0,0,1,0,1,0
