...1,es_score,brier_score,location,target_date,X22F_50_CI,X23A_50_CI,X23B_50_CI,X23C_50_CI,X23D_50_CI,X23E_50_CI,other_50_CI,X22E_50_CI,X22F_95_CI,X23A_95_CI,X23B_95_CI,X23C_95_CI,X23D_95_CI,X23E_95_CI,other_95_CI,X22E_95_CI
134,2.40462788985661,0.1766981503485015,AZ,2023-03-19,0,0,1,0,1,1,1,0,0,0,1,0,1,1,1,0
135,2.31431999878112,0.0919572608483445,AZ,2023-03-20,1,1,1,1,1,1,1,0,1,1,1,0,0,1,1,0
136,1.60110184148428,0.172816277196699,AZ,2023-03-21,0,0,1,1,1,1,1,1,0,0,1,1,0,1,1,1
137,1.06670440272883,0.0997377750960505,AZ,2023-03-22,0,1,1,1,1,1,1,1,0,1,0,1,0,1,1,0
138,0.768477571213576,0.1168274771093835,AZ,2023-03-23,1,1,1,1,1,1,1,0,1,0,0,1,1,1,1,1
139,0.164943363910649,0.004812774521115045,AZ,2023-03-24,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
140,0.00715764594871716,0.00509753147370335,AZ,2023-03-25,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
141,1.13618124438015,0.105405349473,AZ,2023-03-26,0,1,1,1,1,1,1,0,0,0,1,1,0,1,1,0
142,1.71174020152541,0.1134561810361485,AZ,2023-03-27,1,1,1,1,1,0,1,0,1,0,0,1,0,0,1,0
143,2.2410775648115,0.0481844144604487,AZ,2023-03-28,0,0,1,1,0,1,0,1,1,0,0,1,0,1,0,1
144,0.738046246336755,0.00688414566948335,AZ,2023-03-29,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1
145,1.731594136576,0.225918259412777,AZ,2023-03-30,1,0,1,0,1,1,1,0,1,0,1,0,0,1,1,0
146,0.0406028513431456,0.00831916654903705,AZ,2023-03-31,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
147,1.01785248134442,0.300401404124705,AZ,2023-04-01,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,0
148,0.625236083160333,0.148168117526598,AZ,2023-04-02,1,1,1,1,0,1,1,1,1,0,1,1,0,1,1,1
149,0.989412424632689,0.0542186916329475,AZ,2023-04-03,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1
150,1.72701760146127,0.171692963992157,AZ,2023-04-04,1,1,1,1,1,0,1,0,1,0,0,1,0,0,1,0
151,1.30019428179215,0.085549680428737,AZ,2023-04-05,1,1,1,1,1,1,1,0,1,0,1,1,0,1,1,0
152,0.258224424585223,0.0166845662905735,AZ,2023-04-06,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1
153,0.669144817707053,0.01901449512776855,AZ,2023-04-07,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1
154,0.815086999374446,0.0985651300418515,AZ,2023-04-08,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1
155,0.975504491802059,0.137312554466445,AZ,2023-04-09,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1
156,1.88861046794593,0.140499065115998,AZ,2023-04-10,1,1,0,1,0,1,1,1,1,0,0,1,0,0,1,1
157,2.46691394298788,0.2145576721714565,AZ,2023-04-11,0,1,0,0,1,0,1,1,0,0,0,0,0,0,1,1
158,0.17341428508125,0.037888967875498,AZ,2023-04-12,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
159,0.985149211767255,0.043647890183905,AZ,2023-04-13,1,0,1,1,1,1,1,1,1,0,0,1,1,1,1,1
160,0.929895883193453,0.297329161072598,AZ,2023-04-14,1,1,1,1,1,1,1,0,1,0,0,1,1,0,1,0
161,1.49107711264256,0.057890248791752,AZ,2023-04-15,1,0,0,1,1,1,1,1,1,0,0,1,0,1,1,1
162,0.933270477753221,0.2392116358494505,AZ,2023-04-16,1,1,1,1,1,1,0,1,1,0,1,1,1,1,0,1
163,5.83704510051098,0.1509609425150715,AZ,2023-04-17,0,0,0,1,1,1,1,1,0,0,0,1,0,1,1,1
164,2.30330054671403,0.1961500565493645,AZ,2023-04-18,1,0,0,1,0,1,1,1,1,0,1,1,0,1,1,1
165,8.22751369900349,0.1261371863392505,AZ,2023-04-19,1,0,0,1,0,1,0,1,1,0,0,1,0,1,0,1
