...1,es_score,brier_score,location,target_date,X23H_50_CI,X24A_50_CI,recombinant_50_CI,other_50_CI,X23H_95_CI,X24A_95_CI,recombinant_95_CI,other_95_CI
101,NA,NA,AR,2024-02-27,NA,NA,NA,NA,NA,NA,NA,NA
102,NA,NA,AR,2024-02-28,NA,NA,NA,NA,NA,NA,NA,NA
103,1.39814177477,0.986418862772075,AR,2024-02-29,1,0,1,0,1,0,1,0
104,3.95838375336459e-5,4.42680985551063e-5,AR,2024-03-01,1,1,1,1,1,1,1,1
105,NA,NA,AR,2024-03-02,NA,NA,NA,NA,NA,NA,NA,NA
106,NA,NA,AR,2024-03-03,NA,NA,NA,NA,NA,NA,NA,NA
107,4.4255777488224e-4,3.012554248224215e-5,AR,2024-03-04,1,1,1,1,1,1,1,1
108,NA,NA,AR,2024-03-05,NA,NA,NA,NA,NA,NA,NA,NA
109,NA,NA,AR,2024-03-06,NA,NA,NA,NA,NA,NA,NA,NA
110,NA,NA,AR,2024-03-07,NA,NA,NA,NA,NA,NA,NA,NA
111,3.15369623838579e-5,1.81192855982136e-5,AR,2024-03-08,1,1,1,1,1,1,1,1
112,NA,NA,AR,2024-03-09,NA,NA,NA,NA,NA,NA,NA,NA
113,NA,NA,AR,2024-03-10,NA,NA,NA,NA,NA,NA,NA,NA
114,NA,NA,AR,2024-03-11,NA,NA,NA,NA,NA,NA,NA,NA
115,NA,NA,AR,2024-03-12,NA,NA,NA,NA,NA,NA,NA,NA
116,NA,NA,AR,2024-03-13,NA,NA,NA,NA,NA,NA,NA,NA
117,NA,NA,AR,2024-03-14,NA,NA,NA,NA,NA,NA,NA,NA
118,NA,NA,AR,2024-03-15,NA,NA,NA,NA,NA,NA,NA,NA
119,NA,NA,AR,2024-03-16,NA,NA,NA,NA,NA,NA,NA,NA
120,NA,NA,AR,2024-03-17,NA,NA,NA,NA,NA,NA,NA,NA
121,NA,NA,AR,2024-03-18,NA,NA,NA,NA,NA,NA,NA,NA
122,NA,NA,AR,2024-03-19,NA,NA,NA,NA,NA,NA,NA,NA
123,NA,NA,AR,2024-03-20,NA,NA,NA,NA,NA,NA,NA,NA
124,3.05752971556305e-5,3.635108334030065e-6,AR,2024-03-21,1,1,1,1,1,1,1,1
125,NA,NA,AR,2024-03-22,NA,NA,NA,NA,NA,NA,NA,NA
126,NA,NA,AR,2024-03-23,NA,NA,NA,NA,NA,NA,NA,NA
127,0.961402777759341,0.1198783584259895,AZ,2024-02-11,1,0,1,0,1,0,1,0
128,0.0451668863007944,4.65494743656585e-4,AZ,2024-02-12,1,1,1,1,1,1,1,1
129,1.0174228767325,0.0653113481623565,AZ,2024-02-13,1,1,0,1,1,0,0,1
130,0.111060271279214,3.57644872432915e-4,AZ,2024-02-14,1,1,1,1,1,0,1,0
131,5.0859362467028e-4,3.1351025343843e-4,AZ,2024-02-15,1,1,1,1,1,1,1,1
132,0.00327783023945917,2.74842061182865e-4,AZ,2024-02-16,1,1,1,1,1,1,1,1
133,0.0202667599442471,2.40965144533435e-4,AZ,2024-02-17,1,1,1,1,1,0,0,1
134,0.841437986188026,0.051351239848848,AZ,2024-02-18,1,1,1,0,1,0,1,0
135,0.0641224102842707,1.8528717798681e-4,AZ,2024-02-19,1,1,1,1,1,1,1,1
136,1.65092564119096,0.067675610308678,AZ,2024-02-20,1,0,0,1,1,0,0,1
137,0.9599214423455,0.0352742931328857,AZ,2024-02-21,1,1,0,1,1,0,0,1
138,1.32936023190007,0.246284215905477,AZ,2024-02-22,1,0,0,1,1,0,0,1
139,0.00126446096215849,1.09755072160705e-4,AZ,2024-02-23,1,1,1,1,1,1,1,1
140,6.9323721005173e-4,9.633300086748e-5,AZ,2024-02-24,1,1,1,1,1,1,1,1
141,2.23982230055897,0.2189041153027455,AZ,2024-02-25,1,0,0,0,1,0,0,0
142,0.00505565281572931,7.426222194733e-5,AZ,2024-02-26,1,1,1,1,1,1,1,1
143,1.25154922150357,0.0899366391568155,AZ,2024-02-27,1,0,0,1,1,1,0,0
144,0.00207014630593964,5.730477005222e-5,AZ,2024-02-28,1,1,1,1,1,1,1,1
145,5.8203945607449e-4,5.0359137254195e-5,AZ,2024-02-29,1,1,1,1,1,1,1,1
146,6.21688280846491e-5,4.42680985551063e-5,AZ,2024-03-01,1,1,1,1,1,1,1,1
147,8.8828523863438e-4,3.89254967835755e-5,AZ,2024-03-02,1,1,1,1,1,1,1,1
148,6.2494220888376e-4,3.423841823418245e-5,AZ,2024-03-03,1,1,1,1,1,1,1,1
149,0.00283852146304389,3.012554248224215e-5,AZ,2024-03-04,1,1,1,1,1,1,1,1
150,0.00182257566681684,2.651569624122625e-5,AZ,2024-03-05,1,1,1,1,1,1,1,1
151,4.158815840282e-4,2.33465864453104e-5,AZ,2024-03-06,1,1,1,1,1,1,1,1
152,2.47487372959159e-5,2.05636906690884e-5,AZ,2024-03-07,1,1,1,1,1,1,1,1
153,NA,NA,AZ,2024-03-08,NA,NA,NA,NA,NA,NA,NA,NA
154,2.4902886654848e-4,1.597159657189515e-5,AZ,2024-03-09,1,1,1,1,1,1,1,1
155,1.38434592397418,0.331449277616878,AZ,2024-03-10,1,0,0,1,1,0,0,1
156,2.6854042549644e-4,1.24246383517707e-5,AZ,2024-03-11,1,1,1,1,1,1,1,1
157,1.38678472698951,0.331277528690595,AZ,2024-03-12,1,0,1,0,1,0,1,0
158,0.00106573593105135,9.68154184048435e-6,AZ,2024-03-13,1,1,1,1,1,1,1,1
159,1.8636033150034e-4,8.55180993031045e-6,AZ,2024-03-14,1,1,1,1,1,1,1,1
160,NA,NA,AZ,2024-03-15,NA,NA,NA,NA,NA,NA,NA,NA
161,NA,NA,AZ,2024-03-16,NA,NA,NA,NA,NA,NA,NA,NA
162,NA,NA,AZ,2024-03-17,NA,NA,NA,NA,NA,NA,NA,NA
163,1.31097597179048e-5,5.2299426253028e-6,AZ,2024-03-18,1,1,1,1,1,1,1,1
164,2.184252849029e-4,4.63044106741524e-6,AZ,2024-03-19,1,1,1,1,1,1,1,1
165,2.34253596309755,0.0996560334186865,AZ,2024-03-20,1,0,0,0,1,0,0,1
