"","es_score","brier_score","location","target_date","X22F_50_CI","X23A_50_CI","X23B_50_CI","X23D_50_CI","X23E_50_CI","X23G_50_CI","X23H_50_CI","X24A_50_CI","other_50_CI","X23F_50_CI","X22F_95_CI","X23A_95_CI","X23B_95_CI","X23D_95_CI","X23E_95_CI","X23G_95_CI","X23H_95_CI","X24A_95_CI","other_95_CI","X23F_95_CI"
"88",0.865741181097898,1.22186575667519,"AR",2023-11-01,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,0
"89",NA,NA,"AR",2023-11-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"90",0.731481048788148,1.03322890180989,"AR",2023-11-03,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1
"91",NA,NA,"AR",2023-11-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"92",NA,NA,"AR",2023-11-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"93",1.59458714843816,0.680951259153956,"AR",2023-11-06,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,0,0
"94",0.738558805829644,1.0448045610417,"AR",2023-11-07,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0
"95",0.690103267143091,0.989089335876775,"AR",2023-11-08,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0
"96",NA,NA,"AR",2023-11-09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"97",NA,NA,"AR",2023-11-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"98",NA,NA,"AR",2023-11-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"99",NA,NA,"AR",2023-11-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"100",NA,NA,"AR",2023-11-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"101",NA,NA,"AR",2023-11-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"102",0.247964288576058,0.352227069629058,"AR",2023-11-15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0
"103",NA,NA,"AR",2023-11-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"104",NA,NA,"AR",2023-11-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"105",NA,NA,"AR",2023-11-18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"106",NA,NA,"AR",2023-11-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"107",0.309904339493509,0.422513122870793,"AR",2023-11-20,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0
"108",0.652351852374694,0.751117371116716,"AR",2023-11-21,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0
"109",NA,NA,"AR",2023-11-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"110",NA,NA,"AR",2023-11-23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"111",NA,NA,"AR",2023-11-24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"112",NA,NA,"AR",2023-11-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"113",NA,NA,"AR",2023-11-26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"114",0.813445981851381,1.14422933563688,"AR",2023-11-27,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1
"115",1.33169621890286,1.03999729208629,"AR",2023-11-28,1,1,1,0,1,0,1,0,1,1,1,1,1,0,1,0,0,0,1,0
"116",1.69334987796226,1.18895330843194,"AR",2023-11-29,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1
"117",NA,NA,"AR",2023-11-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"118",0.225124541481299,0.315338296895059,"AR",2023-12-01,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0
"119",NA,NA,"AR",2023-12-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"120",NA,NA,"AR",2023-12-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"121",NA,NA,"AR",2023-12-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"122",0.735250352201709,1.03600649643581,"AR",2023-12-05,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,0
"123",NA,NA,"AR",2023-12-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"124",1.93669737616987,1.37587127789784,"AR",2023-12-07,1,1,1,1,1,1,0,0,1,1,1,1,1,0,1,1,0,0,1,1
"125",NA,NA,"AR",2023-12-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"126",NA,NA,"AR",2023-12-09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"127",1.9673596119879,0.660130346979342,"AZ",2023-10-29,1,1,1,0,1,1,1,1,1,1,1,0,0,0,0,1,0,1,0,0
"128",2.94297068272489,0.735906820183512,"AZ",2023-10-30,1,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
"129",2.04840541219307,0.721968240162672,"AZ",2023-10-31,1,0,1,0,1,1,1,1,1,1,1,0,0,0,0,1,1,0,1,0
"130",1.42225919948348,0.661049994091134,"AZ",2023-11-01,1,1,1,0,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,0
"131",2.33781738782005,0.702274094210212,"AZ",2023-11-02,0,0,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1,1,1,1
"132",1.82026764896278,0.795761576334187,"AZ",2023-11-03,0,0,1,1,1,1,1,1,1,1,0,0,0,1,0,1,0,1,1,0
"133",0.857753255007683,0.770317310321,"AZ",2023-11-04,1,1,1,1,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1
"134",2.6175069191562,0.755368200214453,"AZ",2023-11-05,1,0,1,1,1,1,1,0,0,1,1,0,1,0,0,0,0,1,0,0
"135",3.96287173263508,0.709932570297125,"AZ",2023-11-06,1,1,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
"136",1.8253984369534,0.636892097953102,"AZ",2023-11-07,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,1,0,0,0
"137",2.71847959307415,0.765968247714031,"AZ",2023-11-08,0,1,1,1,0,1,1,0,1,1,0,1,0,0,0,0,0,0,1,0
"138",1.15213661065429,0.702391907178841,"AZ",2023-11-09,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,0,1,1,1
"139",1.68710369632663,0.781063534628242,"AZ",2023-11-10,1,0,0,1,1,1,1,1,1,1,1,0,0,0,1,1,0,0,1,1
"140",1.57853656306517,0.719234789316781,"AZ",2023-11-11,1,1,1,0,1,1,1,1,1,1,1,1,0,0,1,1,1,0,0,0
"141",5.58418653742005,0.673645180836505,"AZ",2023-11-12,1,0,0,1,1,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0
"142",4.9936406414819,0.64484332941225,"AZ",2023-11-13,1,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0
"143",3.21970540436688,0.771492284345552,"AZ",2023-11-14,1,0,1,1,1,1,0,1,1,1,1,0,0,0,1,0,0,0,1,1
"144",2.43578635297341,0.638718841915878,"AZ",2023-11-15,1,1,1,1,1,1,1,0,1,0,1,0,0,1,1,1,1,0,0,0
"145",1.59599872950729,0.362234221133875,"AZ",2023-11-16,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,1,1,1,0
"146",0.719724139970948,1.02920578957908,"AZ",2023-11-17,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0
"147",1.42917434119243,0.883111085510393,"AZ",2023-11-18,1,1,0,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0
"148",3.85023516961829,0.832477363934524,"AZ",2023-11-19,1,0,0,0,1,1,1,0,1,1,1,0,0,0,0,0,1,0,1,1
"149",3.88090824999633,0.615568052192271,"AZ",2023-11-20,1,0,0,1,1,1,1,1,1,0,1,0,0,0,0,1,1,0,1,0
"150",4.95871170051273,0.821160853597928,"AZ",2023-11-21,1,0,0,1,1,1,1,0,1,1,1,0,0,0,0,1,1,0,1,0
"151",2.32571262218933,0.855158577695484,"AZ",2023-11-22,1,1,1,0,1,1,1,0,1,1,1,1,0,0,1,0,0,0,1,0
"152",0.635046952827885,0.744115790272587,"AZ",2023-11-23,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1
"153",3.32215585246893,0.808640268891298,"AZ",2023-11-24,1,1,0,1,1,1,1,0,1,1,1,1,0,0,1,1,0,0,1,0
"154",2.82488912915977,0.84154655243401,"AZ",2023-11-25,1,1,0,1,0,0,1,0,1,1,1,1,0,0,0,0,1,0,1,1
"155",2.7735118761097,0.871390738607506,"AZ",2023-11-26,0,1,0,1,0,1,1,0,1,1,0,1,0,0,0,1,0,0,1,0
"156",6.63351021372387,0.828720059313787,"AZ",2023-11-27,1,0,0,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0
"157",12.5115067883201,0.812881140550392,"AZ",2023-11-28,1,0,1,0,1,1,1,0,1,0,0,0,1,0,0,0,1,0,1,0
"158",8.35013821563965,0.912342449322796,"AZ",2023-11-29,1,0,1,1,1,1,1,0,1,0,1,0,1,1,1,1,0,0,1,0
"159",1.6943504088599,0.980274847879417,"AZ",2023-11-30,1,1,0,1,1,1,1,0,1,1,1,1,0,1,1,1,0,0,1,1
"160",2.46966638222304,1.00731734565654,"AZ",2023-12-01,1,1,1,0,1,1,1,0,0,0,1,1,0,0,1,1,1,0,1,0
"161",2.17196909745208,0.769216508436067,"AZ",2023-12-02,1,1,1,1,1,0,1,0,1,0,1,1,1,1,1,0,1,0,1,0
"162",10.7613299967752,0.957876465073495,"AZ",2023-12-03,1,1,0,1,0,1,1,0,1,0,1,1,0,0,0,1,0,0,1,0
"163",9.12992326597811,0.935649950030885,"AZ",2023-12-04,1,0,1,1,0,1,0,0,1,0,1,0,1,0,1,1,0,0,1,0
"164",16.0500204051452,0.992859302766306,"AZ",2023-12-05,1,0,1,1,0,1,1,0,0,0,1,0,1,0,0,1,1,0,0,0
"165",13.3417564471335,1.14768606975646,"AZ",2023-12-06,1,0,0,1,0,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0
"166",6.23061884640953,1.02082321606751,"AZ",2023-12-07,1,1,1,1,1,0,1,0,1,0,1,1,0,0,1,0,0,0,1,0
"167",2.20024835072086,1.29068374289818,"AZ",2023-12-08,1,1,0,1,1,1,1,0,1,0,1,1,0,1,1,1,1,0,1,0
"168",2.77855560816208,1.25562266597254,"AZ",2023-12-09,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,0,1,0
"169",1.51104486459204,0.331608632919619,"CA",2023-10-29,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,1,1,1,0
"170",3.23448449077008,0.891836431921289,"CA",2023-10-30,0,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,1,0,1,0
"171",1.39865318463414,0.676822393016248,"CA",2023-10-31,1,1,1,0,1,1,1,1,1,1,1,0,1,0,0,1,0,1,1,0
"172",2.12054510310872,0.951322996897807,"CA",2023-11-01,1,0,1,1,0,1,1,0,1,1,1,1,1,0,0,1,1,0,1,0
"173",1.34723744709806,0.62177327666952,"CA",2023-11-02,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,0,1
"174",2.29804987226737,0.522656205783335,"CA",2023-11-03,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,0,0,0,1,0
"175",1.2988941018384,1.23683813858996,"CA",2023-11-04,0,1,1,1,1,1,1,1,0,1,0,1,0,1,1,1,1,1,0,0
"176",1.14950865291948,0.847460721437251,"CA",2023-11-05,1,1,1,1,0,1,1,1,0,1,1,0,0,0,0,1,0,1,1,0
"177",2.80239768211637,0.636167547558207,"CA",2023-11-06,0,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
"178",2.46356826394272,0.750842185499349,"CA",2023-11-07,1,0,1,0,1,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0
"179",2.99837044334234,0.845676996452641,"CA",2023-11-08,1,1,1,1,1,1,0,0,1,0,0,0,1,1,1,1,0,0,1,0
"180",3.06885829143337,0.744121491923191,"CA",2023-11-09,1,0,1,0,1,1,0,1,1,1,1,0,0,0,0,1,0,0,0,1
