...1,es_score,brier_score,location,target_date,X23E_50_CI,X23F_50_CI,X24B_50_CI,recombinant_50_CI,other_50_CI,X24A_50_CI,X23E_95_CI,X23F_95_CI,X24B_95_CI,recombinant_95_CI,other_95_CI,X24A_95_CI
101,NA,NA,AR,2024-03-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
102,NA,NA,AR,2024-03-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
103,NA,NA,AR,2024-03-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
104,4.0094368800999e-4,2.6748133427562e-4,AR,2024-03-08,1,1,1,1,1,1,1,1,1,1,1,1
105,NA,NA,AR,2024-03-09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
106,NA,NA,AR,2024-03-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
107,NA,NA,AR,2024-03-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
108,NA,NA,AR,2024-03-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
109,NA,NA,AR,2024-03-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
110,NA,NA,AR,2024-03-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
111,NA,NA,AR,2024-03-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
112,NA,NA,AR,2024-03-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
113,NA,NA,AR,2024-03-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
114,NA,NA,AR,2024-03-18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
115,NA,NA,AR,2024-03-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
116,NA,NA,AR,2024-03-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
117,0.00490637998978381,7.11442061827025e-4,AR,2024-03-21,1,1,1,1,1,1,1,1,1,1,1,1
118,NA,NA,AR,2024-03-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
119,NA,NA,AR,2024-03-23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
120,NA,NA,AR,2024-03-24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
121,NA,NA,AR,2024-03-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
122,NA,NA,AR,2024-03-26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
123,NA,NA,AR,2024-03-27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
124,NA,NA,AR,2024-03-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
125,NA,NA,AR,2024-03-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
126,NA,NA,AR,2024-03-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
127,0.909620240566941,0.0514885370921595,AZ,2024-02-18,1,1,0,1,1,1,1,1,0,0,1,1
128,0.0948026852294794,3.1476692725001e-4,AZ,2024-02-19,1,1,1,1,1,1,1,1,1,1,0,0
129,1.50451825591422,0.0674458165794895,AZ,2024-02-20,1,1,1,0,0,0,1,1,1,0,0,0
130,0.810536155721156,0.03507976212934815,AZ,2024-02-21,1,1,1,0,1,1,1,1,1,0,1,0
131,1.28054085705631,0.244073994610766,AZ,2024-02-22,1,1,1,0,1,0,1,1,1,0,1,0
132,0.00330865084329207,2.48445286256855e-4,AZ,2024-02-23,1,1,1,1,1,1,1,1,1,1,1,1
133,0.00140067088864268,2.38062182972435e-4,AZ,2024-02-24,1,1,1,1,1,1,1,1,1,1,1,1
134,2.11011852227086,0.2172684078075015,AZ,2024-02-25,1,0,1,0,1,0,1,0,1,0,1,0
135,0.0142772915009569,2.23422649482945e-4,AZ,2024-02-26,1,1,1,1,1,1,1,1,1,1,1,1
136,1.12611737107587,0.089121691725889,AZ,2024-02-27,1,1,1,0,1,0,1,1,1,0,1,0
137,0.00779499018277385,2.1616487127794e-4,AZ,2024-02-28,1,1,1,1,1,1,1,1,1,1,1,1
138,0.00264947758250487,2.1510630315905e-4,AZ,2024-02-29,1,1,1,1,1,1,1,1,1,1,1,1
139,3.0860968434423e-4,2.1570305719643e-4,AZ,2024-03-01,1,1,1,1,1,1,1,1,1,1,1,1
140,0.00471812702890949,2.17938920725725e-4,AZ,2024-03-02,1,1,1,1,1,1,1,1,1,1,1,1
141,0.00489395348577315,2.2181870211916e-4,AZ,2024-03-03,1,1,1,1,1,1,1,1,1,1,1,1
142,0.0205294158977675,2.2736777741726e-4,AZ,2024-03-04,1,1,1,1,1,1,1,1,1,1,1,1
143,0.0119138223788681,2.3463190663892e-4,AZ,2024-03-05,1,1,1,1,1,1,1,1,1,1,1,1
144,0.00321462634110814,2.4367730962635e-4,AZ,2024-03-06,1,1,1,1,1,1,1,1,1,1,1,1
145,3.6523479549146e-4,2.5459099443805e-4,AZ,2024-03-07,1,1,1,1,1,1,1,1,1,1,1,1
146,NA,NA,AZ,2024-03-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
147,0.00351667907045113,2.82478891743525e-4,AZ,2024-03-09,1,1,1,1,1,1,1,1,1,1,1,1
148,1.32180584493608,0.326294435087251,AZ,2024-03-10,1,1,1,0,1,0,1,1,1,0,1,0
149,0.0080657095005163,3.19435548264525e-4,AZ,2024-03-11,1,1,1,1,1,1,1,1,1,1,1,1
150,1.25481144678357,0.321534142639727,AZ,2024-03-12,1,1,0,1,1,0,1,1,0,1,1,0
151,0.0414625541804963,3.6699640508012e-4,AZ,2024-03-13,1,1,1,1,1,1,1,1,1,1,1,1
152,0.0106432307355114,3.95354594115795e-4,AZ,2024-03-14,1,1,1,1,1,1,1,1,1,1,1,1
153,NA,NA,AZ,2024-03-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
154,NA,NA,AZ,2024-03-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
155,NA,NA,AZ,2024-03-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
156,9.7504368476696e-4,5.46637379719575e-4,AZ,2024-03-18,1,1,1,1,1,1,1,1,1,1,1,1
157,0.0275276615754261,5.95877534223575e-4,AZ,2024-03-19,1,1,1,1,1,1,1,1,1,1,1,1
158,1.44724353837848,0.096676989991007,AZ,2024-03-20,1,1,1,0,1,0,1,1,1,0,1,0
159,0.0665861121306758,7.11442061827025e-4,AZ,2024-03-21,1,1,1,1,1,1,1,1,1,1,1,1
160,0.020233121664454,7.78946663485625e-4,AZ,2024-03-22,1,1,1,1,1,1,1,1,1,1,1,1
161,0.0141491215400692,8.5382403878655e-4,AZ,2024-03-23,1,1,1,1,1,1,1,1,1,1,1,1
162,0.00688000819067253,9.3682965007687e-4,AZ,2024-03-24,1,1,1,1,1,1,1,1,1,1,1,1
163,0.00674417063527856,0.00102879633958915,AZ,2024-03-25,1,1,1,1,1,1,1,1,1,1,1,1
164,0.00778009481885296,0.00113064143429812,AZ,2024-03-26,1,1,1,1,1,1,1,1,1,1,1,1
165,0.0179695468497451,0.00124337444982048,AZ,2024-03-27,1,1,1,1,1,1,1,1,1,1,1,1
166,0.0211445362189167,0.001368105425839755,AZ,2024-03-28,1,1,1,1,1,1,1,1,1,1,1,1
167,1.07584042028301,0.30898310834955,AZ,2024-03-29,1,1,0,1,1,0,1,1,1,1,1,1
168,2.42084868524509,0.3207357132150905,AZ,2024-03-30,1,1,1,0,1,0,1,1,1,0,1,0
169,1.32140195915724,0.0543279703990245,CA,2024-02-18,1,1,0,0,1,0,1,1,0,0,1,0
170,1.04624611478848,0.0384181277162679,CA,2024-02-19,1,1,1,0,1,1,1,0,0,0,1,0
171,0.0834450779990976,2.93987091490445e-4,CA,2024-02-20,1,1,1,1,1,1,1,1,0,1,1,0
172,4.54662810607902,0.0862325858484955,CA,2024-02-21,1,1,0,0,0,0,1,1,0,0,0,0
173,2.63453967014305,0.0641443564035755,CA,2024-02-22,1,0,1,1,0,0,1,0,0,1,0,0
174,3.06051157577749,0.0642592637136505,CA,2024-02-23,1,1,1,0,0,0,1,1,1,0,0,0
175,1.91172648509905,0.0576811076009885,CA,2024-02-24,1,1,1,0,1,0,1,1,1,0,1,0
176,0.205266085318158,2.2976754164965e-4,CA,2024-02-25,1,1,1,1,1,1,1,1,0,1,1,0
177,3.61618655448161,0.0777635603348515,CA,2024-02-26,1,0,1,0,0,0,1,1,0,1,0,0
178,6.8460314000744,0.1150962657662635,CA,2024-02-27,1,0,0,0,0,0,1,0,0,0,0,0
179,4.69776940640192,0.076657277713473,CA,2024-02-28,1,1,1,0,0,0,1,1,1,0,0,0
180,0.0144066110060072,2.1510630315905e-4,CA,2024-02-29,1,1,1,1,1,1,1,1,1,1,1,1
181,0.0242289562584335,2.1570305719643e-4,CA,2024-03-01,1,1,1,1,1,1,1,1,1,1,1,1
182,0.178338794684251,2.17938920725725e-4,CA,2024-03-02,1,1,1,1,1,1,1,0,1,0,1,0
183,0.95269538528170306,0.04472130402169395,CA,2024-03-03,1,1,1,0,1,1,1,1,1,1,1,1
184,3.36048403622726,0.089259721119381,CA,2024-03-04,1,0,1,0,0,0,1,0,1,0,1,0
185,5.09705257304812,0.1153004136967395,CA,2024-03-05,1,0,1,0,0,0,1,0,0,0,0,0
186,1.92051714281985,0.058823947953665,CA,2024-03-06,1,1,1,0,0,0,1,1,0,0,0,0
187,4.83311258978066,0.118682791614753,CA,2024-03-07,1,1,0,0,1,0,1,1,0,0,1,0
188,1.2964364205772,0.0515303560915025,CA,2024-03-08,1,1,1,1,0,0,1,1,0,0,0,0
189,2.38899522166634,0.140207625333985,CA,2024-03-09,1,1,1,1,0,0,1,1,1,1,0,0
190,2.03659448880395,0.113959313368109,CA,2024-03-10,1,1,0,1,1,0,1,1,0,1,1,0
191,2.0024781314457,0.194686362340703,CA,2024-03-11,1,1,0,1,0,0,1,1,0,1,0,0
192,2.54997558148287,0.1079092922359005,CA,2024-03-12,1,1,0,0,1,0,1,1,0,0,1,0
193,3.98663708165087,0.1103285665201815,CA,2024-03-13,1,1,0,1,1,0,1,1,0,1,1,0
194,3.51033846196565,0.1173059840294855,CA,2024-03-14,1,1,0,0,1,0,1,1,0,0,1,0
195,0.928211337703102,0.035265946777699,CA,2024-03-15,1,1,1,0,1,1,1,1,0,0,1,0
196,1.80366404127256,0.1490848071742235,CA,2024-03-16,1,1,0,0,1,0,1,1,0,0,1,0
197,3.21289734848485,0.1691093984830205,CA,2024-03-17,1,1,0,1,1,0,1,1,0,1,1,0
198,2.82388396120446,0.122245177507768,CA,2024-03-18,1,1,1,0,0,0,1,1,1,0,0,0
199,0.0829097061914936,5.95877534223575e-4,CA,2024-03-19,1,1,1,1,1,1,1,1,1,1,1,1
200,1.05141603114598,0.075371295124905,CA,2024-03-20,1,1,1,0,1,1,1,1,0,0,1,1
201,1.72608762056003,0.160472780481008,CA,2024-03-21,1,1,1,0,1,0,1,1,0,0,1,0
202,2.49171484983044,0.181014630104373,CA,2024-03-22,1,1,1,0,0,0,1,1,0,0,0,0
203,1.12732789468898,0.121857245075025,CA,2024-03-23,1,1,1,0,1,0,1,1,1,0,1,0
204,0.0874129068925251,9.3682965007687e-4,CA,2024-03-24,1,1,1,1,1,1,1,1,1,1,1,1
205,2.2898895183492,0.1765554772046485,CA,2024-03-25,1,1,1,0,1,0,1,1,1,0,1,0
206,0.533415389695318,0.07288621307265,CA,2024-03-26,1,1,1,1,1,1,1,1,1,1,1,1
207,1.14880091134191,0.16164610570741,CA,2024-03-27,1,1,1,0,1,0,1,1,1,0,1,0
208,1.12689417537148,0.1387512106915275,CA,2024-03-28,1,1,1,1,0,1,1,1,0,1,0,1
209,0.0601540793369343,0.00150605392500938,CA,2024-03-29,1,1,1,1,1,1,1,1,0,1,1,0
210,0.0662308322570209,0.00165855872612911,CA,2024-03-30,1,1,1,1,1,1,1,1,0,1,1,0
211,NA,NA,CO,2024-02-18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
212,NA,NA,CO,2024-02-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
213,4.2351453682441e-4,2.93987091490445e-4,CO,2024-02-20,1,1,1,1,1,1,1,1,1,1,1,1
214,0.0058277990175747,2.76186820862695e-4,CO,2024-02-21,1,1,1,1,1,1,1,1,1,1,1,1
215,NA,NA,CO,2024-02-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
216,1.34896383271246,0.4882124345785245,CO,2024-02-23,1,1,1,0,1,0,1,1,1,0,1,0
217,NA,NA,CO,2024-02-24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
218,NA,NA,CO,2024-02-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
219,0.00260596160136718,2.23422649482945e-4,CO,2024-02-26,1,1,1,1,1,1,1,1,1,1,1,1
220,3.2412360719413e-4,2.1891673181213e-4,CO,2024-02-27,1,1,1,1,1,1,1,1,1,1,1,1
221,3.0825613101147e-4,2.1616487127794e-4,CO,2024-02-28,1,1,1,1,1,1,1,1,1,1,1,1
222,0.00109411898807669,2.1510630315905e-4,CO,2024-02-29,1,1,1,1,1,1,1,1,1,1,1,1
223,NA,NA,CO,2024-03-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
224,NA,NA,CO,2024-03-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
225,NA,NA,CO,2024-03-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
226,0.0013412743029026,2.2736777741726e-4,CO,2024-03-04,1,1,1,1,1,1,1,1,1,1,1,1
227,NA,NA,CO,2024-03-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
228,NA,NA,CO,2024-03-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
229,NA,NA,CO,2024-03-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
230,3.5427464025414e-4,2.6748133427562e-4,CO,2024-03-08,1,1,1,1,1,1,1,1,1,1,1,1
231,NA,NA,CO,2024-03-09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
232,NA,NA,CO,2024-03-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
233,NA,NA,CO,2024-03-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
234,0.00217678825036018,3.4177764789877e-4,CO,2024-03-12,1,1,1,1,1,1,1,1,1,1,1,1
235,5.6417221775257e-4,3.6699640508012e-4,CO,2024-03-13,1,1,1,1,1,1,1,1,0,1,1,0
236,NA,NA,CO,2024-03-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
237,8.1144745961387e-4,4.27147575112595e-4,CO,2024-03-15,1,1,1,1,1,1,1,1,1,1,1,1
238,NA,NA,CO,2024-03-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
239,NA,NA,CO,2024-03-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
240,0.00125774497641989,5.46637379719575e-4,CO,2024-03-18,1,1,1,1,1,1,1,1,1,1,1,1
241,NA,NA,CO,2024-03-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
242,NA,NA,CO,2024-03-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
243,NA,NA,CO,2024-03-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
244,NA,NA,CO,2024-03-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
245,NA,NA,CO,2024-03-23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
246,NA,NA,CO,2024-03-24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
247,1.36152963826352,0.967385686182485,CO,2024-03-25,1,1,1,1,0,0,1,1,1,1,0,0
248,NA,NA,CO,2024-03-26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
249,NA,NA,CO,2024-03-27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
250,0.00235702732199271,0.001368105425839755,CO,2024-03-28,1,1,1,1,1,1,1,1,1,1,1,1
251,NA,NA,CO,2024-03-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
252,NA,NA,CO,2024-03-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
