...1,es_score,brier_score,location,target_date,X22A_50_CI,X22B_50_CI,other_50_CI,X22C_50_CI,X22A_95_CI,X22B_95_CI,other_95_CI,X22C_95_CI
165,0.295965537110993,0.0524701673587165,AZ,2022-09-07,1,1,1,1,0,0,1,1
166,2.76297883823861,0.2255834627628325,AZ,2022-09-08,0,0,1,1,0,0,1,1
167,4.99376010905703,0.2508396846087155,AZ,2022-09-09,0,0,1,1,0,0,1,1
168,1.97974710964889,0.154813526594221,AZ,2022-09-10,0,0,0,1,0,0,0,1
169,15.390359666249,0.1149305839070775,CA,2022-07-31,0,0,0,1,0,0,0,0
170,24.0438592292188,0.095405312954913,CA,2022-08-01,0,0,0,0,0,0,0,0
171,17.5955598156252,0.099192068567405,CA,2022-08-02,0,0,0,0,0,0,0,0
172,5.87446804419199,0.135312298774898,CA,2022-08-03,0,0,0,0,0,0,0,0
173,3.39540664542404,0.120352317949154,CA,2022-08-04,1,1,0,1,0,0,0,0
174,2.75439464209346,0.121232127588363,CA,2022-08-05,1,1,0,0,1,0,0,0
175,2.53329692574798,0.1213764428739885,CA,2022-08-06,1,1,0,1,0,0,0,1
176,7.75516322079381,0.071784494538796,CA,2022-08-07,0,0,0,0,0,0,0,0
177,8.87475946898654,0.138587681844175,CA,2022-08-08,0,0,0,1,0,0,0,0
178,2.95111516092329,0.0958926061594265,CA,2022-08-09,1,1,0,1,0,0,0,0
179,4.13269733974928,0.0915529495380425,CA,2022-08-10,1,1,0,0,0,0,0,1
180,6.57792623469206,0.1018437429807855,CA,2022-08-11,0,1,0,0,0,0,0,0
181,4.25582159919008,0.087945166167235,CA,2022-08-12,0,1,0,1,0,0,0,0
182,5.81208540021643,0.0975573134178405,CA,2022-08-13,0,1,0,0,0,0,0,0
183,6.17183264011736,0.0769616353991915,CA,2022-08-14,0,0,0,1,0,0,0,1
184,5.29155773157753,0.0888573472530485,CA,2022-08-15,0,1,0,0,0,0,0,0
185,5.37342919928748,0.0790086970638665,CA,2022-08-16,0,1,0,1,0,0,0,1
186,5.33486211607894,0.0946248512342285,CA,2022-08-17,1,1,0,0,0,0,0,0
187,6.18553523129186,0.0632498647584095,CA,2022-08-18,0,0,0,1,0,0,0,0
188,2.8904949297925,0.075378194891471,CA,2022-08-19,1,1,0,1,0,0,0,0
189,5.12871533975133,0.066523094391019,CA,2022-08-20,0,0,0,0,0,0,0,0
190,5.6291591032104,0.0971703897277095,CA,2022-08-21,1,0,0,0,0,0,0,0
191,12.1376528640969,0.0647403153785715,CA,2022-08-22,0,0,0,1,0,0,0,0
192,3.0250423899325,0.0783987719600365,CA,2022-08-23,1,1,0,1,0,0,0,0
193,7.18843449325629,0.0641867760993925,CA,2022-08-24,0,1,0,1,0,0,0,0
194,6.26157667057265,0.0388289887283685,CA,2022-08-25,0,0,1,1,1,1,1,1
195,3.11568217823631,0.074722961896592,CA,2022-08-26,1,1,0,1,0,0,0,1
196,8.55501842665176,0.1081729602920505,CA,2022-08-27,0,0,0,1,0,0,0,0
197,3.48144375263416,0.0690168116245985,CA,2022-08-28,1,1,0,0,0,0,0,0
198,9.69380196251021,0.061433918605628,CA,2022-08-29,0,1,0,0,0,0,0,0
199,4.48015559460419,0.0783866133362145,CA,2022-08-30,1,0,0,1,1,0,0,0
200,7.02657894211215,0.0964245546495225,CA,2022-08-31,0,0,0,0,0,0,0,0
201,1.18024828719306,0.061911059012342,CA,2022-09-01,1,1,1,1,0,0,1,1
202,4.12307260877681,0.086260453250581,CA,2022-09-02,1,0,0,1,0,0,0,1
203,1.29717594601239,0.06586390657343,CA,2022-09-03,1,1,0,1,0,0,0,0
204,8.66554736369766,0.085166913759895,CA,2022-09-04,0,0,0,1,0,0,0,1
205,1.02178116897145,0.075503159602414,CA,2022-09-05,1,1,1,1,0,0,1,1
206,6.87688905047717,0.0703848226093285,CA,2022-09-06,1,0,0,0,0,0,0,0
207,11.9440538750175,0.105339082371866,CA,2022-09-07,0,0,0,1,0,0,0,1
208,6.9028978615825,0.103797645552911,CA,2022-09-08,0,0,1,1,0,0,1,1
209,6.18665320974399,0.0841668691395285,CA,2022-09-09,1,0,0,1,0,0,0,1
210,5.58664640497548,0.0755512087780985,CA,2022-09-10,1,0,0,1,0,0,0,0
211,0.701678788685995,0.138287157476063,CO,2022-07-31,1,1,1,1,0,0,1,1
212,1.98579407343759,0.178505928565337,CO,2022-08-01,0,0,1,1,0,0,1,1
213,1.21537313989175,0.096665343548231,CO,2022-08-02,1,1,0,1,0,0,0,1
214,0.857549256602091,0.059704335786396,CO,2022-08-03,1,1,1,1,1,0,1,0
215,0.767679798231794,0.1395144944533365,CO,2022-08-04,1,1,1,1,0,0,1,1
216,0.352269189845861,0.083530643925488,CO,2022-08-05,1,1,1,1,0,1,1,0
217,0.368093014413885,0.0775158048783045,CO,2022-08-06,1,1,1,1,0,0,1,1
218,0.309577780666028,0.109719608025273,CO,2022-08-07,1,1,1,1,0,0,1,1
219,0.62370499575862,0.1058590382620765,CO,2022-08-08,1,1,1,1,0,0,1,1
220,0.491558575197794,0.1098363083192875,CO,2022-08-09,1,1,1,1,1,1,1,1
221,5.80193549270041,0.1893395020785,CO,2022-08-10,0,0,1,0,0,0,1,0
222,1.73915299841943,0.0505310623477295,CO,2022-08-11,0,1,1,0,0,0,1,0
223,1.47184806712123,0.1595014295042925,CO,2022-08-12,1,0,1,0,1,0,1,0
224,0.293410481829316,0.082740121861429,CO,2022-08-13,1,1,1,1,0,0,1,1
225,0.284881866797969,0.00905852662500185,CO,2022-08-14,1,1,1,1,0,0,1,1
226,0.341077377485987,0.0668246464884115,CO,2022-08-15,1,1,1,1,0,0,1,1
227,0.876445107853871,0.0082716184263476,CO,2022-08-16,1,1,1,1,0,0,1,1
228,0.3244673071328,0.0992941700984215,CO,2022-08-17,1,1,1,1,0,0,1,1
229,0.54062179733592,0.099380763962177,CO,2022-08-18,1,1,1,1,0,0,1,1
230,2.00958493729211,0.198813962516823,CO,2022-08-19,0,0,1,1,0,0,1,1
231,1.37696035433754,0.2254597546468215,CO,2022-08-20,1,0,0,1,0,0,0,1
232,0.525870696889289,0.094775311902323,CO,2022-08-21,1,1,1,1,0,0,1,1
233,6.25937565519424,0.2623099877940535,CO,2022-08-22,0,0,1,1,0,0,1,1
234,0.162830496937915,0.00605149964769045,CO,2022-08-23,1,1,1,1,0,0,1,0
235,0.62197007249329,0.0057902748437253,CO,2022-08-24,1,1,1,1,0,0,1,1
236,0.984135005241759,0.136498552036896,CO,2022-08-25,0,1,1,1,0,0,1,1
237,0.706102046775505,0.105825771443867,CO,2022-08-26,1,1,1,1,0,0,1,1
238,0.329091804741621,0.0830381772896785,CO,2022-08-27,1,1,1,1,1,1,1,1
239,0.0931186760607133,0.00485762427554707,CO,2022-08-28,1,1,1,1,1,1,1,1
240,0.301113010172182,0.0710863696355205,CO,2022-08-29,1,1,1,1,0,0,1,1
241,0.436902963504479,0.00445107702786081,CO,2022-08-30,1,1,1,1,0,0,1,1
242,0.309552301939718,0.00426108160202265,CO,2022-08-31,1,1,1,1,1,1,1,1
243,0.022553753907767,0.00407937770113623,CO,2022-09-01,1,1,1,1,0,0,1,1
244,0.461085309164116,0.101132298130232,CO,2022-09-02,1,1,1,1,0,0,1,1
245,0.189349042456095,0.003739304560237365,CO,2022-09-03,1,1,1,1,1,1,1,1
246,2.55940934172285,0.206738399340735,CO,2022-09-04,0,0,1,1,0,0,1,1
247,0.978801469867131,0.2977349414798215,CO,2022-09-05,0,0,1,1,0,0,1,1
248,4.56885781105638,0.182259483472907,CO,2022-09-06,0,0,0,1,0,0,0,1
249,0.783366442137711,0.003142857347383895,CO,2022-09-07,1,1,1,1,1,1,1,1
250,0.180776276229112,0.003009383034355585,CO,2022-09-08,1,1,1,1,1,1,1,1
251,0.450694685595893,0.00288160957989818,CO,2022-09-09,1,1,1,1,1,1,1,1
252,0.100825076416311,0.002759284253087725,CO,2022-09-10,1,1,1,1,1,1,1,1
253,0.96129610394506,0.131456050888022,CT,2022-07-31,1,1,0,1,1,0,0,1
254,3.71055777376044,0.0168917065231692,CT,2022-08-01,0,0,1,1,0,0,1,1
255,1.02767545599052,0.0949497373277555,CT,2022-08-02,1,1,1,1,0,0,1,1
256,2.01039340773882,0.0679711932599535,CT,2022-08-03,1,0,1,1,0,0,1,0
257,1.0112673063808,0.1202394026436145,CT,2022-08-04,1,1,1,1,0,1,1,0
258,0.982036840195818,0.1174365275762185,CT,2022-08-05,1,1,1,1,0,0,1,1
259,2.82339289485741,0.163298070817679,CT,2022-08-06,0,0,1,1,0,0,1,0
260,2.57586022899688,0.168015495179474,CT,2022-08-07,0,0,1,1,1,0,1,0
261,0.806265001482789,0.1050124561574695,CT,2022-08-08,1,1,1,1,0,0,1,1
262,0.821435692753644,0.1130109915813105,CT,2022-08-09,1,1,1,1,0,0,1,1
263,1.09531586848527,0.0805341453866765,CT,2022-08-10,1,1,1,0,0,0,1,0
264,0.884040445772024,0.1039966352117805,CT,2022-08-11,1,1,1,1,0,0,1,0
265,1.04478269162148,0.120465887364028,CT,2022-08-12,1,1,1,1,0,0,1,1
266,1.15051698286253,0.0770899303024115,CT,2022-08-13,1,1,1,1,0,0,1,0
267,2.20217126361543,0.1796177467775295,CT,2022-08-14,0,0,1,1,1,1,1,1
268,0.454653200544498,0.090092430600033,CT,2022-08-15,1,1,1,1,0,0,1,0
269,2.54052755282568,0.1409983732902935,CT,2022-08-16,0,0,1,1,0,0,1,1
270,1.56599598393589,0.119053636060904,CT,2022-08-17,0,0,1,1,0,0,1,1
271,0.563788442598821,0.0850336384123985,CT,2022-08-18,1,1,1,1,0,0,1,1
272,5.94164051255897,0.196078322450008,CT,2022-08-19,0,0,0,1,0,0,0,1
273,4.06499317759832,0.2385580274989895,CT,2022-08-20,0,0,1,1,0,0,1,1
274,1.14381447810856,0.105147464404287,CT,2022-08-21,1,1,1,1,1,1,1,1
275,1.53358857532322,0.058337696686652,CT,2022-08-22,0,1,0,1,0,0,0,1
276,1.00555454364602,0.082786086565313,CT,2022-08-23,1,1,0,1,1,0,0,1
277,1.63111120206767,0.248055183709493,CT,2022-08-24,0,0,1,1,0,0,1,1
278,1.03697354586052,0.1099653447176365,CT,2022-08-25,1,1,0,1,0,1,0,1
279,1.06524888388176,0.0795383338858365,CT,2022-08-26,1,1,0,1,1,0,0,1
280,2.2986874805863,0.1332460122801095,CT,2022-08-27,0,0,0,1,1,0,0,1
281,0.94628800830981,0.0309385253168338,CT,2022-08-28,1,1,1,1,0,0,1,1
282,2.43285101929939,0.116332178087343,CT,2022-08-29,0,0,0,1,0,0,0,1
283,5.26187486830538,0.202255669143905,CT,2022-08-30,0,0,0,1,0,0,0,1
284,3.3785312079498,0.1541725009116255,CT,2022-08-31,0,0,1,1,0,0,1,1
285,3.02915916008723,0.1785382829899395,CT,2022-09-01,0,0,1,1,0,0,1,1
286,2.55223261636603,0.1439120563606725,CT,2022-09-02,0,0,1,1,0,0,1,1
287,3.77036832511488,0.166281127141748,CT,2022-09-03,0,0,1,1,0,0,1,1
288,4.14359604086802,0.18698690953203,CT,2022-09-04,0,0,1,1,0,0,1,1
289,4.15208892481856,0.3244901191505655,CT,2022-09-05,0,0,1,1,0,0,1,1
290,6.14254175414101,0.1911015358968045,CT,2022-09-06,0,0,1,1,0,0,1,1
291,4.94582936334214,0.16962252863563199,CT,2022-09-07,0,0,1,1,0,0,1,1
292,2.71356240391112,0.134905133984564,CT,2022-09-08,0,0,1,1,0,0,1,1
293,6.64970883574952,0.2111663926041045,CT,2022-09-09,0,0,1,1,0,0,1,1
294,7.50044730448879,0.282138319270103,CT,2022-09-10,0,0,0,1,0,0,0,1
295,0.793444204484843,0.01778301023287085,DC,2022-07-31,1,1,1,1,0,0,1,1
296,0.712620948423217,0.1655767908019635,DC,2022-08-01,1,1,1,1,0,0,1,0
297,3.18497560498722,0.2502727406638185,DC,2022-08-02,0,0,1,1,0,0,1,0
298,3.55963303561213,0.3929620276891905,DC,2022-08-03,0,0,1,1,0,0,1,1
299,0.448357399705011,0.01453108421569435,DC,2022-08-04,1,1,1,1,1,1,1,1
300,1.97047108297406,0.52493501811925,DC,2022-08-05,0,0,1,1,0,0,1,1
301,NA,NA,DC,2022-08-06,NA,NA,NA,NA,NA,NA,NA,NA
302,0.312820558996247,0.109719608025273,DC,2022-08-07,1,1,1,1,1,1,1,1
303,0.532174637954799,0.083099177446255,DC,2022-08-08,1,1,1,1,0,1,1,0
304,0.120362274359818,0.0114211271965857,DC,2022-08-09,1,1,1,1,1,1,1,1
305,1.02384520453834,0.1869277556279415,DC,2022-08-10,0,1,1,1,0,0,1,1
306,2.03591233560545,0.203540853381491,DC,2022-08-11,0,0,0,1,0,0,0,1
307,0.462415728710803,0.060016456181854,DC,2022-08-12,1,1,1,1,0,1,1,0
308,0.966281250060571,0.1159905848024495,DC,2022-08-13,1,1,0,1,0,1,0,1
309,1.01732805576651,0.109152206813603,DC,2022-08-14,1,1,0,1,0,1,0,1
