...1,es_score,brier_score,location,target_date,X22E_50_CI,X22F_50_CI,X23B_50_CI,X23D_50_CI,X23E_50_CI,other_50_CI,X23A_50_CI,X22E_95_CI,X22F_95_CI,X23B_95_CI,X23D_95_CI,X23E_95_CI,other_95_CI,X23A_95_CI
236,0.548970801848985,0.0699560911173045,CO,2023-05-04,1,1,1,1,1,1,1,1,1,0,0,1,1,0
237,0.106845460874062,0.0755034520811555,CO,2023-05-05,1,1,1,1,1,1,1,1,1,1,1,1,1,1
238,NA,NA,CO,2023-05-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
239,0.628410603767119,0.350371833834418,CO,2023-05-07,1,1,1,0,1,1,1,1,1,1,0,1,1,0
240,0.756195137909603,0.531241647296555,CO,2023-05-08,1,1,0,1,1,1,1,1,1,0,1,1,1,0
241,0.619675421025688,0.3495801956811085,CO,2023-05-09,1,1,1,0,1,1,1,1,1,0,0,1,1,1
242,2.57060238963974,0.64596024640313,CO,2023-05-10,1,1,1,0,0,0,0,1,1,0,0,0,0,0
243,0.449926037398174,0.1174310494558755,CO,2023-05-11,1,1,1,1,1,1,1,1,1,1,1,1,1,1
244,NA,NA,CO,2023-05-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
245,0.886406663522864,0.135022079714243,CO,2023-05-13,1,1,1,1,1,1,0,1,1,0,1,1,1,0
246,0.199313772196692,0.1445384197120235,CO,2023-05-14,1,1,1,1,1,1,1,1,1,0,1,1,1,0
247,1.23137252107515,0.198172314908745,CO,2023-05-15,1,1,1,1,1,1,0,1,1,0,1,1,1,0
248,0.342211156568286,0.282448638846897,CO,2023-05-16,1,1,1,1,1,1,1,1,1,0,1,0,1,1
249,0.254163649225551,0.176007852134086,CO,2023-05-17,1,1,1,1,1,1,1,1,1,1,1,1,1,1
250,1.0887600739165,0.458032467638674,CO,2023-05-18,1,1,1,1,0,1,1,1,1,0,0,0,1,0
251,0.963971521745515,0.681612616317645,CO,2023-05-19,1,0,1,1,1,1,1,1,0,1,0,1,1,1
252,NA,NA,CO,2023-05-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
253,NA,NA,CT,2023-04-09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
254,1.78668415392197,0.57031342053358,CT,2023-04-10,1,1,1,0,1,0,0,1,1,1,0,1,0,0
255,0.702458983339437,0.1773930396727,CT,2023-04-11,1,1,0,1,1,1,1,1,1,0,1,1,1,0
256,0.698277823823411,0.176800677713124,CT,2023-04-12,1,1,0,1,1,1,1,1,1,0,1,1,1,0
257,0.0203107230079008,0.0137173894172288,CT,2023-04-13,1,1,1,1,1,1,1,1,1,1,0,1,1,0
258,0.0228066260938072,0.0147585882389652,CT,2023-04-14,1,1,1,1,1,1,1,1,1,1,1,1,1,1
259,NA,NA,CT,2023-04-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
260,0.61345596095243,0.2083802481241365,CT,2023-04-16,1,1,1,1,1,1,1,1,1,0,0,1,1,1
261,0.0861179217986313,0.01848610613225225,CT,2023-04-17,1,1,1,1,1,1,1,1,1,1,0,1,1,0
262,0.89562408217589,0.4032799334255405,CT,2023-04-18,1,1,0,1,1,1,1,1,1,0,0,1,1,1
263,0.103739694245894,0.0215609188401524,CT,2023-04-19,1,1,1,1,1,1,1,1,1,1,1,1,1,1
264,0.0337152048202921,0.02330458607009255,CT,2023-04-20,1,1,1,1,1,1,1,1,1,1,1,1,1,1
265,0.0349302829693861,0.0252003582593767,CT,2023-04-21,1,1,1,1,1,1,1,1,1,1,0,1,1,0
266,NA,NA,CT,2023-04-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
267,0.040373760671503,0.0294961735136988,CT,2023-04-23,1,1,1,1,1,1,1,1,1,0,1,1,1,0
268,0.782198893904135,0.379027615204218,CT,2023-04-24,1,1,0,1,1,1,1,1,1,0,1,1,1,0
269,0.608842477944553,0.261100461811965,CT,2023-04-25,1,1,1,1,1,1,1,1,1,1,0,1,1,0
270,1.14197701313488,0.80349177722451,CT,2023-04-26,1,0,1,1,1,1,0,1,0,1,1,1,1,0
271,NA,NA,CT,2023-04-27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
272,0.193864017347506,0.04380902488732145,CT,2023-04-28,1,1,1,1,1,1,1,1,1,0,1,1,1,0
273,NA,NA,CT,2023-04-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
274,NA,NA,CT,2023-04-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
275,NA,NA,CT,2023-05-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
276,0.935423027571062,0.41333250232414,CT,2023-05-02,1,0,1,1,1,1,1,1,0,1,1,1,1,0
277,1.45392782571482,0.51974527084126,CT,2023-05-03,1,1,1,1,0,0,0,1,1,0,1,0,0,0
278,0.301725750066585,0.0699560911173045,CT,2023-05-04,1,1,1,1,1,1,1,1,1,1,1,1,1,1
279,0.108546038539582,0.0755034520811555,CT,2023-05-05,1,1,1,1,1,1,1,1,1,1,1,1,1,1
280,0.116643655689039,0.081436585207086,CT,2023-05-06,1,1,1,1,1,1,1,1,1,1,1,1,1,1
281,NA,NA,CT,2023-05-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
282,0.590205369534763,0.264714649365502,CT,2023-05-08,1,1,1,1,1,1,1,1,1,1,0,1,1,0
283,1.82388752716258,0.436351017130344,CT,2023-05-09,1,1,1,1,0,1,1,1,1,1,0,0,1,0
284,0.55877775243531,0.3269004934786495,CT,2023-05-10,1,1,1,1,1,1,1,1,1,1,1,1,1,1
285,1.58130683640303,0.2167791174249945,CT,2023-05-11,1,0,0,1,1,1,0,1,0,0,0,1,1,0
286,0.720114055823046,0.3894027006656795,CT,2023-05-12,1,1,1,1,1,1,1,1,1,0,0,1,1,0
287,NA,NA,CT,2023-05-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
288,NA,NA,CT,2023-05-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
289,NA,NA,CT,2023-05-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
290,0.216053606000563,0.1650314831468335,CT,2023-05-16,1,1,1,1,1,1,1,1,1,1,1,1,1,1
291,2.19240544987049,0.641244700034145,CT,2023-05-17,1,0,1,1,1,1,0,1,0,1,0,1,1,0
292,1.13450402968332,0.3909757292854025,CT,2023-05-18,1,1,1,1,0,1,1,1,1,0,1,1,1,0
293,0.275054454393887,0.199397835260003,CT,2023-05-19,1,1,1,1,1,1,1,1,1,1,1,1,1,1
294,1.82232736514404,0.5234744569078,CT,2023-05-20,1,0,1,1,1,1,1,1,0,1,1,0,1,0
295,NA,NA,DC,2023-04-09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
296,0.0157464335954454,0.01109521325569865,DC,2023-04-10,1,1,1,1,1,1,1,1,1,1,1,1,1,1
297,0.0163881754248749,0.01189219889694385,DC,2023-04-11,1,1,1,1,1,1,1,1,1,1,1,1,1,1
298,NA,NA,DC,2023-04-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
299,0.0174234504616898,0.0137173894172288,DC,2023-04-13,1,1,1,1,1,1,1,1,1,1,1,1,1,1
300,0.0229500414915527,0.0147585882389652,DC,2023-04-14,1,1,1,1,1,1,1,1,1,1,1,1,1,1
301,NA,NA,DC,2023-04-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
302,0.0241097390372491,0.01713476013097905,DC,2023-04-16,1,1,1,1,1,1,1,1,1,1,1,1,1,1
303,0.0865223648136406,0.01848610613225225,DC,2023-04-17,1,1,1,1,1,1,1,1,1,1,0,1,1,0
304,0.916827729860237,0.2908573175522995,DC,2023-04-18,1,1,1,1,0,1,1,1,1,1,1,0,1,0
305,NA,NA,DC,2023-04-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
306,0.0300287036206392,0.02330458607009255,DC,2023-04-20,1,1,1,1,1,1,1,1,1,1,1,1,1,1
307,0.806742721684781,0.385651779730774,DC,2023-04-21,1,1,1,0,1,1,1,1,1,1,0,0,1,1
308,0.04048808569549,0.02726004964838995,DC,2023-04-22,1,1,1,1,1,1,1,1,1,1,1,1,1,1
309,0.773252844563859,0.3799702571265015,DC,2023-04-23,1,1,1,0,1,1,1,1,1,1,1,1,1,1
310,1.77941997887287,0.4947295072393195,DC,2023-04-24,1,1,0,1,1,1,0,1,1,0,1,1,1,0
311,0.048199226558899,0.03455124000114625,DC,2023-04-25,1,1,1,1,1,1,1,1,1,1,0,1,1,0
312,NA,NA,DC,2023-04-26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
313,NA,NA,DC,2023-04-27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
314,0.968519477061863,0.677660503765745,DC,2023-04-28,1,1,0,1,1,1,0,1,1,1,1,1,1,1
315,1.72381098052042,0.77346967816379,DC,2023-04-29,1,0,1,1,0,1,0,1,0,1,1,0,1,0
316,NA,NA,DC,2023-04-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
317,NA,NA,DC,2023-05-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
318,NA,NA,DC,2023-05-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
319,NA,NA,DC,2023-05-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
320,0.854144196263544,0.397691237003296,DC,2023-05-04,1,1,1,1,0,1,1,1,1,0,1,0,1,1
321,0.105343820630054,0.0755034520811555,DC,2023-05-05,1,1,1,1,1,1,1,1,1,1,1,1,1,1
322,0.114588166987987,0.081436585207086,DC,2023-05-06,1,1,1,1,1,1,1,1,1,1,1,1,1,1
323,NA,NA,DC,2023-05-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
324,1.32719892034844,0.614211629584265,DC,2023-05-08,1,1,1,1,0,1,0,1,1,0,1,0,1,0
325,1.17285069628978,0.3773181462646395,DC,2023-05-09,1,1,0,1,1,1,1,1,1,0,0,0,1,0
326,0.147582858331397,0.109341851017387,DC,2023-05-10,1,1,1,1,1,1,1,1,1,1,1,1,1,1
327,1.00986484489892,0.71351945727059,DC,2023-05-11,1,0,1,1,1,1,1,1,0,1,1,1,1,0
328,NA,NA,DC,2023-05-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
329,NA,NA,DC,2023-05-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
330,0.195828259025524,0.1445384197120235,DC,2023-05-14,1,1,1,1,1,1,1,1,1,1,1,1,1,1
331,0.209453075325299,0.1545411532985375,DC,2023-05-15,1,1,1,1,1,1,1,1,1,0,1,1,1,0
332,NA,NA,DC,2023-05-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
333,1.16747390104686,0.535482460356175,DC,2023-05-17,1,0,1,1,1,1,0,1,0,1,1,1,1,0
334,0.783847916001342,0.306571960311488,DC,2023-05-18,1,1,1,1,1,1,1,1,1,0,0,1,1,1
335,NA,NA,DC,2023-05-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
336,NA,NA,DC,2023-05-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
337,NA,NA,DE,2023-04-09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
338,0.0160991243152435,0.01109521325569865,DE,2023-04-10,1,1,1,1,1,1,1,1,1,1,1,1,1,1
339,0.120867248196837,0.01189219889694385,DE,2023-04-11,1,1,1,1,1,1,1,1,1,1,1,0,1,0
340,0.0161572484927895,0.0127641790232874,DE,2023-04-12,1,1,1,1,1,1,1,1,1,1,1,1,1,1
341,0.138182200256273,0.0137173894172288,DE,2023-04-13,1,1,1,1,1,1,1,1,1,1,1,1,1,1
342,0.0206570356243653,0.0147585882389652,DE,2023-04-14,1,1,1,1,1,1,1,1,1,1,1,1,1,1
343,NA,NA,DE,2023-04-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
344,0.0823251834461467,0.01713476013097905,DE,2023-04-16,1,1,1,1,1,1,1,1,1,1,0,1,1,0
345,0.0277731319861877,0.01848610613225225,DE,2023-04-17,1,1,1,1,1,1,1,1,1,1,1,1,1,1
346,NA,NA,DE,2023-04-18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
347,0.031086945486045,0.0215609188401524,DE,2023-04-19,1,1,1,1,1,1,1,1,1,1,1,1,1,1
348,NA,NA,DE,2023-04-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
349,0.0336006535216953,0.0252003582593767,DE,2023-04-21,1,1,1,1,1,1,1,1,1,1,1,0,1,0
350,NA,NA,DE,2023-04-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
351,NA,NA,DE,2023-04-23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
352,0.79057081325827006,0.379027615204218,DE,2023-04-24,1,1,0,1,1,1,1,1,1,0,1,1,1,0
353,0.0524730365089877,0.03455124000114625,DE,2023-04-25,1,1,1,1,1,1,1,1,1,0,1,1,1,0
354,NA,NA,DE,2023-04-26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
355,0.0553786372659388,0.0404793038083819,DE,2023-04-27,1,1,1,1,1,1,1,1,1,1,1,1,1,1
356,NA,NA,DE,2023-04-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
357,NA,NA,DE,2023-04-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
358,NA,NA,DE,2023-04-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
359,0.817304137717289,0.28603110351859,DE,2023-05-01,1,1,1,1,0,1,1,1,1,0,1,0,1,1
360,NA,NA,DE,2023-05-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
361,0.271773577300543,0.0647775611454295,DE,2023-05-03,1,1,1,1,1,1,1,1,1,0,1,1,1,0
362,NA,NA,DE,2023-05-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
363,0.102893540071107,0.0755034520811555,DE,2023-05-05,1,1,1,1,1,1,1,1,1,1,1,1,1,1
364,0.109445039959012,0.081436585207086,DE,2023-05-06,1,1,1,1,1,1,1,1,1,1,1,0,1,0
365,NA,NA,DE,2023-05-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
366,NA,NA,DE,2023-05-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
367,1.16369362346919,0.556285946253935,DE,2023-05-09,1,1,1,0,1,1,0,1,1,1,0,1,1,0
368,0.155121762129044,0.109341851017387,DE,2023-05-10,1,1,1,1,1,1,1,1,1,1,1,1,1,1
369,0.47144282628513,0.1174310494558755,DE,2023-05-11,1,1,1,1,1,1,1,1,1,1,0,1,1,0
370,0.813128109085199,0.576268315785435,DE,2023-05-12,1,1,1,0,1,1,1,1,1,1,0,1,1,0
371,0.186548203773148,0.135022079714243,DE,2023-05-13,1,1,1,1,1,1,1,1,1,1,1,1,1,1
372,NA,NA,DE,2023-05-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
373,NA,NA,DE,2023-05-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
374,NA,NA,DE,2023-05-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
375,1.62147661615597,0.4937168078516065,DE,2023-05-17,1,1,1,0,1,1,0,1,1,1,0,1,1,0
376,0.27017693081224,0.1874657968333755,DE,2023-05-18,1,1,1,1,1,1,1,1,1,1,1,1,1,1
377,NA,NA,DE,2023-05-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
378,0.458230989279779,0.253012886541178,DE,2023-05-20,1,1,1,1,1,1,1,1,1,1,0,1,1,0
379,0.426561189123154,0.0103674812729407,FL,2023-04-09,1,1,1,1,1,1,1,1,1,0,0,1,1,0
380,4.73885291847946,0.1467404495711715,FL,2023-04-10,1,0,0,1,0,1,0,1,0,0,0,0,1,0
381,4.25430990961148,0.177206507714927,FL,2023-04-11,0,0,1,1,1,1,0,0,0,0,0,1,1,0
382,3.34409891051162,0.151682900687827,FL,2023-04-12,1,0,0,0,1,1,1,0,0,0,0,0,1,0
383,3.59966097142612,0.0669324304577305,FL,2023-04-13,1,1,0,0,1,0,0,0,1,0,0,0,0,0
384,2.12702430441459,0.068373735195297,FL,2023-04-14,1,1,1,0,1,1,0,1,0,0,1,1,1,0
385,2.51917439673459,0.2023929227072155,FL,2023-04-15,0,0,1,1,1,1,0,0,0,0,0,1,1,1
386,2.31239837354069,0.1903620301862775,FL,2023-04-16,1,0,1,0,1,1,0,0,0,0,0,0,1,0
387,3.24826203511369,0.217986174706118,FL,2023-04-17,0,0,1,1,0,1,0,0,0,0,0,0,1,0
388,0.837579216344506,0.223132547453173,FL,2023-04-18,1,1,1,1,0,1,1,1,1,1,1,0,1,0
389,3.53565067661133,0.2374684179911885,FL,2023-04-19,0,0,1,0,1,0,0,0,0,0,0,1,0,0
390,1.63022367001941,0.1778465202799385,FL,2023-04-20,1,1,1,0,1,0,1,1,1,1,0,1,0,0
391,2.69622704395917,0.1393290355627245,FL,2023-04-21,1,0,0,1,1,1,1,1,0,0,0,0,1,1
392,1.09008199580846,0.154055270027348,FL,2023-04-22,1,1,1,1,1,0,1,1,1,0,0,1,0,0
393,1.74544511370334,0.3195432971775295,FL,2023-04-23,0,1,1,0,1,1,0,0,1,0,1,1,1,0
394,3.74697245915405,0.2388332694603935,FL,2023-04-24,0,0,1,1,1,1,0,0,0,1,0,0,1,0
395,4.6822014253156,0.183000262482564,FL,2023-04-25,1,0,0,1,1,0,1,0,0,0,0,1,0,0
396,2.76777191786635,0.2105585418176025,FL,2023-04-26,1,0,0,1,1,1,1,1,0,0,0,0,1,1
397,2.90533106520085,0.2226854440712135,FL,2023-04-27,0,0,1,1,1,1,1,0,0,0,0,0,1,0
398,4.5992963053738,0.1230775406052365,FL,2023-04-28,1,0,0,0,1,1,0,1,0,0,1,0,1,0
399,3.0499657416895,0.333500130884698,FL,2023-04-29,1,0,0,1,1,1,0,1,0,0,0,1,1,0
400,2.80265912463402,0.335331396506455,FL,2023-04-30,1,0,1,0,1,1,0,1,0,0,0,0,1,0
401,3.99237840176895,0.248831005922931,FL,2023-05-01,1,0,0,1,1,1,1,1,0,0,0,1,1,0
402,3.05990953840617,0.225413702264348,FL,2023-05-02,1,0,0,1,1,1,1,1,0,0,0,1,1,0
403,3.66341236463524,0.1642243737323745,FL,2023-05-03,1,0,0,1,1,1,0,1,0,1,1,1,1,0
404,6.21097571559686,0.14047533828826,FL,2023-05-04,1,1,0,1,1,1,0,1,1,0,0,0,1,0
405,7.35698240907558,0.1153872563911275,FL,2023-05-05,1,1,0,0,1,1,0,1,1,0,0,0,1,0
406,2.9330842100901,0.318776355404718,FL,2023-05-06,1,0,0,1,0,0,1,1,0,1,1,0,0,0
407,4.66019079251266,0.1597954401076785,FL,2023-05-07,1,0,0,0,1,1,0,1,0,0,0,1,1,0
408,5.24605028967356,0.2345793290078345,FL,2023-05-08,0,0,0,0,1,0,0,0,0,0,0,0,0,0
409,1.5758716172472,0.274917719970768,FL,2023-05-09,1,0,1,1,1,1,1,1,0,1,0,0,1,0
410,6.55404302189679,0.312375880148594,FL,2023-05-10,1,0,0,0,0,0,1,1,0,0,0,0,0,0
411,6.55801632211414,0.31029720220896,FL,2023-05-11,1,0,0,1,0,0,1,1,0,0,0,0,0,0
412,0.876952147759282,0.2631632907103305,FL,2023-05-12,1,1,1,1,1,1,1,1,1,0,0,0,1,0
413,0.605645509145514,0.2599008325444595,FL,2023-05-13,1,1,1,1,1,1,1,1,1,0,0,1,1,0
414,1.46488662333334,0.255443184492771,FL,2023-05-14,1,0,0,1,1,1,1,1,0,1,0,1,1,1
415,2.1598106527596,0.34286312750429,FL,2023-05-15,1,0,0,1,1,1,1,1,0,1,1,0,1,0
416,4.02538931985601,0.2554705442161125,FL,2023-05-16,1,0,0,1,1,1,0,1,0,0,1,0,1,0
417,2.83525524750951,0.291912732417097,FL,2023-05-17,1,0,1,1,1,1,0,1,0,0,0,1,1,0
418,7.60504792339219,0.2967834847282145,FL,2023-05-18,1,0,0,1,1,1,0,1,0,0,0,0,1,0
419,2.68699270416446,0.2859052848052275,FL,2023-05-19,1,1,0,1,1,1,0,1,1,0,0,0,1,0
420,1.95124723550298,0.3137653393115125,FL,2023-05-20,1,0,0,1,1,1,0,1,0,0,1,1,1,0
421,NA,NA,GA,2023-04-09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
422,1.3814046949112,0.220203441180842,GA,2023-04-10,1,0,1,1,1,1,0,1,0,0,0,1,1,0
423,2.70463871857754,0.2271398659596805,GA,2023-04-11,0,1,1,1,1,1,0,0,1,1,1,1,1,0
424,0.500140020795945,0.0127641790232874,GA,2023-04-12,1,1,1,1,1,1,1,1,1,1,1,1,1,1
425,0.641364450794243,0.149122128608505,GA,2023-04-13,1,1,0,1,1,1,1,1,1,0,1,1,1,0
426,0.457058371786388,0.1123031424597115,GA,2023-04-14,1,1,1,1,1,1,1,1,1,1,1,1,1,1
427,0.492499730300561,0.1446994888769825,GA,2023-04-15,1,1,1,1,1,1,1,1,1,1,0,1,1,0
428,0.893243700528345,0.1372522239590795,GA,2023-04-16,1,1,1,1,1,0,1,1,1,1,1,1,0,0
429,0.894948071063881,0.1374290389330805,GA,2023-04-17,1,0,1,1,1,1,1,1,0,0,1,1,1,1
430,0.298826767954492,0.01995823715579345,GA,2023-04-18,1,1,1,1,1,1,1,1,1,1,1,1,1,1
431,NA,NA,GA,2023-04-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
432,1.4018110354612,0.4092260628529725,GA,2023-04-20,1,0,1,1,1,1,0,1,0,1,0,1,1,0
433,NA,NA,GA,2023-04-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
434,0.0362957627309518,0.02726004964838995,GA,2023-04-22,1,1,1,1,1,1,1,1,1,1,1,1,1,1
435,1.32497171267096,0.40252864575975,GA,2023-04-23,1,0,1,1,1,1,0,1,0,1,0,1,1,0
436,0.891917660285412,0.188552578949415,GA,2023-04-24,1,0,1,1,1,1,1,1,0,0,1,1,1,1
437,0.585243958542946,0.228796974579459,GA,2023-04-25,1,1,1,1,1,1,1,1,1,1,0,1,1,0
438,1.58533801178697,0.314093019870806,GA,2023-04-26,1,1,1,1,1,0,0,1,1,0,0,1,0,0
439,0.526506453006217,0.2047310045381155,GA,2023-04-27,1,1,1,1,1,1,1,1,1,0,0,0,1,0
440,0.899248711143711,0.3635693711973765,GA,2023-04-28,1,1,1,1,1,1,1,1,1,0,0,1,1,0
441,0.958234177922585,0.416383809984331,GA,2023-04-29,1,0,1,1,1,1,1,1,0,1,1,1,1,0
442,0.817391167937796,0.285654833431456,GA,2023-04-30,1,1,1,1,0,1,1,1,1,1,0,0,1,1
443,1.61218242539641,0.322671865870538,GA,2023-05-01,1,0,1,1,1,1,0,0,0,1,0,0,1,1
444,1.81340006759446,0.3447374532748935,GA,2023-05-02,1,0,1,1,1,1,0,1,0,1,0,1,1,0
445,1.52379186020427,0.3302660229010885,GA,2023-05-03,1,0,1,0,1,1,1,1,0,0,0,1,1,0
446,1.57597226730302,0.3928838654963495,GA,2023-05-04,1,0,1,1,1,0,1,1,0,0,0,1,0,1
447,0.448838907299804,0.201211503869725,GA,2023-05-05,1,1,1,1,1,1,1,1,1,0,1,1,1,0
448,0.113601144916072,0.081436585207086,GA,2023-05-06,1,1,1,1,1,1,1,1,1,1,0,1,1,0
449,0.591115027491521,0.1796515928659905,GA,2023-05-07,1,1,1,1,1,1,1,1,1,1,0,1,1,0
450,0.924963098417924,0.306482848216299,GA,2023-05-08,0,1,1,1,1,1,1,0,1,0,0,1,1,0
451,1.81770643218627,0.331043665447124,GA,2023-05-09,1,0,1,1,1,1,1,1,0,0,0,0,1,0
452,0.673016933871429,0.187242266270375,GA,2023-05-10,1,1,1,1,1,1,1,1,1,0,0,1,1,0
453,1.18815109544455,0.209717932021609,GA,2023-05-11,1,1,1,1,1,1,0,1,1,0,0,1,1,0
454,1.47520845795761,0.4931752881869785,GA,2023-05-12,1,1,1,1,0,0,0,1,1,0,1,0,0,0
455,NA,NA,GA,2023-05-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
456,NA,NA,GA,2023-05-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
457,0.776118111864182,0.55843070464419,GA,2023-05-15,1,1,1,0,1,1,1,1,1,1,0,1,1,0
458,0.951941538058913,0.4186215874283845,GA,2023-05-16,1,0,1,1,1,1,1,1,0,0,1,0,1,1
459,1.31872102011319,0.3528602234064415,GA,2023-05-17,1,0,0,1,1,1,1,1,0,1,0,1,1,1
460,3.86417157005465,0.277390297052624,GA,2023-05-18,1,1,0,1,1,1,0,1,1,0,0,0,1,1
461,2.39860750390584,0.2482397106144095,GA,2023-05-19,1,1,0,1,1,1,0,1,1,0,0,1,1,0
462,NA,NA,GA,2023-05-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
463,NA,NA,HI,2023-04-09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
464,0.183980055104246,0.01109521325569865,HI,2023-04-10,1,1,1,1,1,1,1,1,1,1,1,1,1,1
465,0.194923762964296,0.01189219889694385,HI,2023-04-11,1,1,1,1,1,1,1,1,1,1,1,0,1,0
466,0.125036544861877,0.0127641790232874,HI,2023-04-12,1,1,1,1,1,1,1,1,1,1,0,1,0,0
467,0.0686379663918997,0.0137173894172288,HI,2023-04-13,1,1,1,1,1,1,1,1,1,0,0,1,1,0
468,NA,NA,HI,2023-04-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
469,0.0789837994587604,0.01589508349905785,HI,2023-04-15,1,1,1,1,1,1,1,1,1,1,1,1,1,1
470,0.024926489795255,0.01713476013097905,HI,2023-04-16,1,1,1,1,1,1,1,1,1,1,1,1,1,1
471,NA,NA,HI,2023-04-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
472,0.184157727730941,0.01995823715579345,HI,2023-04-18,1,1,1,1,1,1,1,1,1,1,1,1,1,1
473,1.42138349487108,0.4120022799382935,HI,2023-04-19,1,1,1,1,1,0,0,1,1,1,1,1,0,0
474,0.333127405777024,0.02330458607009255,HI,2023-04-20,1,1,1,1,1,1,1,1,1,0,1,0,1,0
475,0.941300194473716,0.294640965424186,HI,2023-04-21,1,1,1,1,1,0,1,1,1,1,1,1,0,0
476,NA,NA,HI,2023-04-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
