...1,es_score,brier_score,location,target_date,X22D_50_CI,X22E_50_CI,X22F_50_CI,X23A_50_CI,X23C_50_CI,other_50_CI,X22B_50_CI,X22D_95_CI,X22E_95_CI,X22F_95_CI,X23A_95_CI,X23C_95_CI,other_95_CI,X22B_95_CI
71,NA,NA,AL,2023-01-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
72,NA,NA,AL,2023-01-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
73,NA,NA,AL,2023-01-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
74,2.10192195460404,0.3255465526016315,AL,2023-01-18,1,0,0,0,1,1,1,1,0,0,0,1,1,1
75,0.374901495734718,0.251638558712913,AL,2023-01-19,1,1,1,1,1,1,1,1,0,1,0,1,1,1
76,0.395477412113277,0.269522538363313,AL,2023-01-20,1,1,1,1,1,1,1,1,1,1,1,1,1,1
77,NA,NA,AL,2023-01-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
78,NA,NA,AL,2023-01-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
79,0.469055040540058,0.3271936599341475,AL,2023-01-23,1,1,1,1,1,1,1,1,0,1,0,1,1,1
80,0.497514433855267,0.347544657288928,AL,2023-01-24,1,1,1,1,1,1,1,1,1,1,1,1,1,1
81,0.206990137576946,0.1561656028231135,AL,2023-01-25,1,1,1,1,1,1,1,1,0,1,0,1,1,1
82,0.98673815964499,0.4386594231849825,AL,2023-01-26,1,1,1,1,1,1,0,1,1,1,0,1,1,0
83,0.394186660463324,0.2424480632965095,AL,2023-01-27,1,1,1,1,1,1,1,1,0,1,0,1,1,1
84,1.07371288202511,0.75334544008325,AL,2023-01-28,1,1,1,1,1,0,1,1,1,1,0,1,0,1
85,0.731717114219413,0.2617421987994825,AR,2022-12-18,0,1,1,1,1,1,1,0,1,1,0,1,1,1
86,2.10101946147842,0.2375794447118675,AR,2022-12-19,1,1,1,1,1,1,0,0,1,0,1,1,1,0
87,4.17437827141164,0.3368624468359385,AR,2022-12-20,0,0,1,0,0,1,0,0,0,1,0,1,1,0
88,1.59693532111173,0.24031533909734001,AR,2022-12-21,1,1,1,1,1,1,1,0,0,0,0,0,0,0
89,1.81681973770836,0.310318115413465,AR,2022-12-22,1,1,1,1,1,1,0,1,1,0,0,1,0,0
90,2.27257155026624,0.4168350696291545,AR,2022-12-23,1,0,1,1,1,1,0,1,0,1,1,1,1,0
91,1.3839762001282,0.053038709716345,AR,2022-12-24,1,0,1,1,1,1,1,0,0,1,0,1,1,0
92,0.750247034518675,0.2221973429343965,AR,2022-12-25,0,1,1,1,1,1,1,0,0,1,1,1,1,1
93,3.13799279913982,0.1164394078668295,AR,2022-12-26,1,0,1,0,1,1,1,0,0,0,0,1,0,0
94,1.23213561536049,0.316820867376222,AR,2022-12-27,1,1,1,1,1,1,0,1,0,1,0,1,1,0
95,1.44066530229789,0.2972599018840075,AR,2022-12-28,0,1,1,1,1,1,0,0,1,0,0,1,1,0
96,7.09647728733502,0.4375005548914095,AR,2022-12-29,1,0,1,0,1,1,0,0,0,1,0,0,1,0
97,1.00894429899774,0.202627240827127,AR,2022-12-30,1,1,1,1,1,1,1,1,1,1,0,1,1,0
98,1.0581880785315,0.3216819849821125,AR,2022-12-31,0,1,1,1,1,1,1,1,0,1,1,1,1,0
99,0.0969696540166639,0.068383535843578,AR,2023-01-01,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100,1.45427878781034,0.149880212595131,AR,2023-01-02,1,0,1,0,1,1,1,1,0,1,0,1,1,0
101,3.92680131008935,0.2592927453446115,AR,2023-01-03,1,1,1,0,1,1,0,1,0,0,0,0,0,0
102,6.32618236814615,0.2327146220352145,AR,2023-01-04,1,0,1,0,1,0,0,0,0,0,0,0,0,0
103,4.18973277000831,0.3452668789858985,AR,2023-01-05,1,1,1,0,0,0,1,0,0,0,0,0,0,1
104,2.01265559971308,0.3240422509929775,AR,2023-01-06,0,1,1,0,1,1,1,0,0,1,1,1,1,0
105,1.16833660642126,0.220141596980004,AR,2023-01-07,1,1,1,0,1,1,0,1,0,0,0,1,1,0
106,1.52408299885084,0.109600676775567,AR,2023-01-08,1,0,1,0,1,1,1,1,0,1,0,1,1,1
107,2.92082941488003,0.3242153758298455,AR,2023-01-09,1,1,1,1,1,0,0,0,0,0,0,0,0,0
108,5.55506439096924,0.2520390439805495,AR,2023-01-10,1,0,0,0,1,1,0,1,0,0,0,1,1,0
109,4.4637210626914,0.266200360039802,AR,2023-01-11,1,0,1,0,1,0,0,1,0,1,1,1,0,1
110,3.96806825332976,0.320851401573845,AR,2023-01-12,0,1,1,0,1,0,1,0,0,0,0,1,0,0
111,2.24039562814401,0.3051132829832335,AR,2023-01-13,1,1,1,0,0,1,1,1,0,1,0,0,1,1
112,1.42301193902097,0.51881502599022,AR,2023-01-14,1,1,0,0,1,1,0,1,0,0,0,1,1,0
113,1.08645184205151,0.50699063235815,AR,2023-01-15,1,0,0,1,1,1,1,1,0,0,0,1,1,0
114,1.81040332630565,0.3886983612793535,AR,2023-01-16,1,0,1,1,1,1,0,1,0,1,0,1,1,1
115,4.27343577915869,0.283526447599419,AR,2023-01-17,1,0,1,0,1,1,0,1,0,1,0,1,1,0
116,2.82855241166192,0.325660204945584,AR,2023-01-18,1,0,1,0,1,1,0,1,0,1,0,0,1,0
117,1.63446605080036,0.308109730673387,AR,2023-01-19,1,1,1,0,1,1,0,1,0,0,0,1,1,0
118,2.67422615495271,0.417337184606707,AR,2023-01-20,1,0,1,0,0,0,1,1,0,0,0,0,0,1
119,0.295461004576868,0.217322424749985,AR,2023-01-21,1,1,1,1,1,1,1,1,1,1,1,1,1,1
120,0.57413122345989,0.2718960614901985,AR,2023-01-22,1,1,1,1,1,1,1,1,1,1,1,1,1,1
121,10.6648225875285,0.3596219736119235,AR,2023-01-23,1,0,1,0,0,1,0,1,0,1,0,0,1,0
122,1.08178100253671,0.2589494454960265,AR,2023-01-24,1,1,1,1,1,1,1,1,0,1,0,1,1,1
123,3.95498086740237,0.3591500925245065,AR,2023-01-25,0,0,1,0,1,1,0,0,0,0,0,1,1,0
124,6.12483175891308,0.3610543145026835,AR,2023-01-26,1,0,1,0,0,1,1,1,0,1,0,0,1,1
125,2.63972488595624,0.330698074102482,AR,2023-01-27,1,0,1,0,1,1,1,1,0,1,0,1,1,1
126,0.631175745730574,0.4325519535803695,AR,2023-01-28,1,1,1,1,1,1,1,1,1,1,1,1,1,1
127,1.78261211199759,0.217816523279976,AZ,2022-12-18,1,1,1,0,1,1,1,0,0,0,0,1,0,1
128,5.82599526612307,0.2459758278221935,AZ,2022-12-19,1,1,1,0,1,1,0,0,0,1,0,1,0,0
129,5.47917806381001,0.2991014543338875,AZ,2022-12-20,1,0,1,1,1,1,0,0,0,0,1,1,1,0
130,4.75068247182407,0.2895879105087825,AZ,2022-12-21,1,0,1,1,1,1,0,0,0,0,1,1,0,0
131,1.58366832356667,0.199260281717647,AZ,2022-12-22,1,1,0,1,1,1,1,1,0,0,1,1,1,1
132,1.88026200984932,0.246356256439687,AZ,2022-12-23,1,1,0,0,1,0,1,1,0,0,0,1,0,0
133,0.829823617415282,0.2368579260966815,AZ,2022-12-24,0,1,1,1,1,1,1,0,0,1,1,1,1,1
134,0.0760184053642213,0.0535501813432625,AZ,2022-12-25,1,1,1,1,1,1,1,1,1,1,1,1,1,1
135,3.42760883107141,0.2447823392877515,AZ,2022-12-26,1,1,0,0,1,1,0,0,1,0,0,1,1,0
136,6.9733246172582,0.2093505519552265,AZ,2022-12-27,1,0,1,0,1,1,0,1,0,1,0,0,1,0
137,3.63404205584383,0.29659283404936,AZ,2022-12-28,1,0,0,1,1,1,0,1,0,0,0,1,1,0
138,3.00235029748951,0.2942532726820295,AZ,2022-12-29,1,1,1,1,1,0,0,1,0,0,0,0,0,0
139,2.78729718740844,0.2721084677830675,AZ,2022-12-30,0,1,0,0,1,1,1,0,0,0,0,0,1,0
140,1.1434348655981,0.2408335796363195,AZ,2022-12-31,1,1,1,1,1,1,1,0,1,0,0,1,0,0
141,1.07633394054449,0.068383535843578,AZ,2023-01-01,1,0,1,1,1,1,1,1,0,0,1,1,1,1
142,7.01128498052531,0.2819552298279505,AZ,2023-01-02,1,1,0,0,1,1,0,1,1,0,0,0,0,0
143,5.88164876762506,0.2599502379901135,AZ,2023-01-03,0,1,1,0,1,0,0,0,0,0,0,0,0,0
144,2.61136665854983,0.2451190587722905,AZ,2023-01-04,1,1,1,0,1,1,0,0,0,1,0,1,1,1
145,3.69317165619326,0.2590945459883865,AZ,2023-01-05,1,1,0,0,1,1,0,0,0,0,0,1,1,0
146,6.15993302037365,0.228680110824109,AZ,2023-01-06,1,0,0,0,1,1,0,0,0,0,0,1,1,1
147,1.38971424707368,0.200396055979641,AZ,2023-01-07,1,1,1,0,1,1,0,1,0,1,0,1,1,0
148,1.48965084529565,0.2656146292815045,AZ,2023-01-08,1,1,1,1,1,1,0,1,0,1,0,1,1,0
149,6.19512111925423,0.316023581660161,AZ,2023-01-09,1,1,0,0,1,1,0,1,0,0,0,0,1,0
150,5.07070206603783,0.241749140015916,AZ,2023-01-10,1,0,1,0,1,0,1,0,0,0,0,1,0,0
151,4.61544256908697,0.3189787752628225,AZ,2023-01-11,0,1,0,0,1,1,0,0,0,0,0,1,0,0
152,1.10127056152034,0.3193065067270055,AZ,2023-01-12,0,1,1,1,1,1,1,1,0,1,0,0,1,0
153,1.13521094734116,0.347133068013036,AZ,2023-01-13,1,1,0,1,1,1,0,1,0,0,0,1,1,0
154,0.873038654003406,0.321199216548339,AZ,2023-01-14,1,1,0,1,1,1,1,1,0,0,1,1,1,1
155,1.75704725245889,0.3301785193373985,AZ,2023-01-15,1,1,0,1,1,1,1,0,0,0,0,1,1,0
156,8.21166754691722,0.3568318157150265,AZ,2023-01-16,0,1,0,0,1,1,0,0,0,0,0,0,1,0
157,3.43075305977612,0.2870760203997785,AZ,2023-01-17,1,0,1,0,1,1,1,1,0,1,0,1,1,1
158,1.62552886757034,0.338971739930752,AZ,2023-01-18,0,1,1,0,1,1,0,0,1,1,0,1,1,0
159,3.09748363453151,0.3397446606342705,AZ,2023-01-19,1,0,0,1,1,1,1,0,0,0,0,1,1,1
160,0.762645247596402,0.2505648078290675,AZ,2023-01-20,1,1,1,1,1,1,1,1,0,1,0,1,1,0
161,0.422059024460296,0.2456396117902285,AZ,2023-01-21,1,1,1,1,1,1,1,1,0,0,1,1,1,0
162,0.281980197642722,0.200967327097632,AZ,2023-01-22,1,1,1,1,1,1,1,1,0,1,0,1,1,1
163,3.30321854161141,0.3170013257419705,AZ,2023-01-23,1,0,0,1,1,0,0,0,0,0,0,0,0,0
164,4.10520026264858,0.424329833601986,AZ,2023-01-24,1,1,0,0,1,0,0,1,0,0,0,0,0,0
165,1.7293231304162,0.3350571205229395,AZ,2023-01-25,1,1,0,1,1,1,1,1,0,0,1,1,1,1
166,3.30450040688235,0.3835002137093785,AZ,2023-01-26,1,0,0,0,0,1,1,1,1,0,0,1,1,1
167,1.28578540684029,0.3166068296145365,AZ,2023-01-27,1,1,0,1,1,1,0,1,1,0,0,1,1,0
168,1.15225031923064,0.3673570274195875,AZ,2023-01-28,1,1,0,0,1,1,1,1,0,0,1,1,1,1
169,14.6160201228821,0.199367441015952,CA,2022-12-18,1,0,0,0,0,1,1,0,0,0,0,0,0,0
170,15.9173894085024,0.2221831537726655,CA,2022-12-19,0,0,1,0,0,1,1,0,0,0,0,0,0,0
171,21.2003019726973,0.18026683910227,CA,2022-12-20,1,0,1,0,1,1,0,1,0,1,0,0,0,0
172,10.0415093501991,0.2216274125334225,CA,2022-12-21,1,0,1,0,1,0,0,0,0,0,0,1,0,0
173,23.8638882870857,0.2452083605337405,CA,2022-12-22,0,1,0,0,1,0,0,0,0,0,0,0,0,0
174,35.7097851347266,0.217973389417903,CA,2022-12-23,0,0,0,0,0,1,0,0,0,0,0,0,0,0
175,11.6103534456252,0.2419253903013955,CA,2022-12-24,0,1,1,0,0,0,0,0,0,0,0,0,0,0
176,0.441708514960334,0.0535501813432625,CA,2022-12-25,1,1,1,1,1,1,1,1,0,1,1,1,1,0
177,33.0923299459946,0.233953250858304,CA,2022-12-26,0,0,0,0,0,0,1,0,0,0,0,0,0,0
178,41.04326744674,0.230186252422226,CA,2022-12-27,0,0,1,0,0,0,0,0,0,0,0,0,0,0
179,38.4138248319215,0.220336509575506,CA,2022-12-28,1,0,1,0,1,0,0,0,0,0,0,0,0,0
180,26.8723362529683,0.2341234097926035,CA,2022-12-29,0,0,0,0,1,0,0,0,0,0,0,1,0,0
181,41.370303448936,0.261857394409871,CA,2022-12-30,0,1,1,0,1,0,0,0,0,0,0,1,0,0
182,13.0919363619944,0.277912240009211,CA,2022-12-31,0,1,1,0,1,1,0,0,0,0,0,0,0,0
183,1.08498105644276,0.1969931512119675,CA,2023-01-01,1,1,1,1,1,1,1,1,1,0,0,1,1,1
184,48.0904430306306,0.2396042582641545,CA,2023-01-02,0,0,1,0,1,0,0,0,0,0,0,0,0,0
185,29.8116917696012,0.3022292186408725,CA,2023-01-03,0,0,0,0,1,0,0,0,0,0,0,1,0,0
186,18.9626172310177,0.268468388820573,CA,2023-01-04,0,1,0,0,1,0,0,0,0,0,0,1,0,0
187,21.0367550384725,0.2685741175644485,CA,2023-01-05,0,1,0,0,1,0,0,0,0,0,0,0,0,0
188,11.9304132527884,0.282380998214679,CA,2023-01-06,1,1,0,0,1,0,0,0,0,0,0,0,0,0
189,19.3711979889485,0.277708895427663,CA,2023-01-07,1,0,0,0,0,0,0,0,0,0,0,0,0,0
190,9.64139673809139,0.267906341636955,CA,2023-01-08,0,0,0,0,0,0,0,0,0,0,0,0,1,0
191,36.2472701358555,0.2620053915965015,CA,2023-01-09,0,0,0,0,1,0,0,0,0,0,0,0,0,0
192,22.7367595995123,0.3070085243370805,CA,2023-01-10,0,1,0,0,0,0,0,0,0,0,0,0,0,0
193,27.9509169294574,0.3241005132451665,CA,2023-01-11,0,1,0,0,0,0,0,1,0,0,0,0,0,0
194,32.2112353430487,0.296484478046916,CA,2023-01-12,0,0,0,0,1,0,0,0,0,0,0,0,0,0
195,23.1504077026693,0.314367462055087,CA,2023-01-13,0,1,0,0,0,0,0,0,0,0,0,0,0,0
196,18.9629575035471,0.3046986715780235,CA,2023-01-14,0,0,1,0,1,1,0,0,0,0,0,1,1,0
197,19.8953255932171,0.3357493550163965,CA,2023-01-15,1,1,0,0,0,0,0,1,0,0,0,0,0,0
198,22.5088490774946,0.321346154261865,CA,2023-01-16,0,1,0,0,1,1,0,0,0,0,0,1,0,0
199,26.953736604841,0.3281843751941645,CA,2023-01-17,0,0,0,0,1,1,0,0,0,0,0,0,0,0
200,21.0380484208341,0.3149950246475135,CA,2023-01-18,1,0,1,0,1,0,0,0,0,0,0,1,0,0
201,7.03648128315823,0.3547423660320335,CA,2023-01-19,1,1,1,0,1,0,0,0,0,0,0,0,0,0
202,16.1399954241831,0.328512043515148,CA,2023-01-20,0,0,1,0,1,1,0,0,0,1,0,0,0,0
203,35.5446659947491,0.311825743025847,CA,2023-01-21,0,0,1,0,1,0,0,0,0,0,0,0,0,0
204,20.9031321029898,0.3341058353762025,CA,2023-01-22,0,0,1,0,1,0,0,0,0,0,0,0,0,0
205,30.3021045959823,0.336771254153357,CA,2023-01-23,0,0,1,0,0,0,0,0,0,0,0,0,0,0
206,25.8720606180262,0.306548900909907,CA,2023-01-24,0,0,1,0,1,1,0,1,0,0,0,0,1,0
207,26.8720589125234,0.3502958307776305,CA,2023-01-25,1,0,0,0,1,0,0,0,0,0,0,1,0,0
208,21.2094511326787,0.326690051878887,CA,2023-01-26,0,0,1,0,1,0,0,0,0,0,0,0,0,0
209,20.0732815791104,0.356764896819201,CA,2023-01-27,0,0,1,0,1,0,0,0,0,1,0,1,0,0
210,14.7374070643019,0.3253393459609835,CA,2023-01-28,1,0,0,0,1,0,0,0,0,0,0,0,0,0
211,1.18733786390629,0.340168191382823,CO,2022-12-18,1,1,1,1,1,1,0,1,0,1,1,1,1,0
212,1.22104093103278,0.2980591245469085,CO,2022-12-19,1,1,1,1,1,0,1,1,0,1,0,1,0,0
213,1.30808858165423,0.341438367730107,CO,2022-12-20,1,1,1,1,1,0,1,0,0,1,1,1,0,1
214,1.49690326210497,0.2512539935869115,CO,2022-12-21,1,1,1,1,1,1,0,1,1,1,0,1,1,0
215,0.651108932423058,0.353196440126803,CO,2022-12-22,1,1,1,1,1,1,0,1,1,1,1,1,0,0
216,1.88905251270691,0.0528752148523795,CO,2022-12-23,1,0,1,1,1,1,1,1,0,1,1,1,1,0
217,0.835720609582931,0.3903976664291905,CO,2022-12-24,0,1,1,1,1,1,1,0,1,1,0,1,1,1
218,NA,NA,CO,2022-12-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
219,1.00244639693438,0.371183904308446,CO,2022-12-26,0,1,1,1,1,1,1,0,0,1,0,1,1,0
220,0.774747999552212,0.22375501197277,CO,2022-12-27,0,1,1,1,1,1,1,0,0,1,0,1,0,1
221,0.481410462478666,0.0573261173412615,CO,2022-12-28,1,1,1,1,1,1,1,1,0,1,0,1,1,1
222,1.68133276105328,0.37912152383896,CO,2022-12-29,0,1,1,1,1,1,0,0,0,1,0,1,1,0
223,7.12078059273073,0.446827049760167,CO,2022-12-30,1,0,1,0,1,1,0,1,0,0,0,1,0,0
224,0.840982914868405,0.2904970484406435,CO,2022-12-31,1,1,1,1,0,1,1,0,0,1,0,0,1,1
225,NA,NA,CO,2023-01-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
226,1.14499130421762,0.185514834889271,CO,2023-01-02,1,1,1,1,1,1,1,1,0,0,0,0,1,0
227,3.33052225823977,0.3175969597653245,CO,2023-01-03,1,1,1,0,1,0,0,1,0,1,0,1,1,0
228,1.57884274037229,0.396439116690682,CO,2023-01-04,1,1,0,0,0,1,1,1,1,0,0,0,1,0
229,0.796751938137823,0.259453923189932,CO,2023-01-05,1,1,1,1,1,1,1,1,0,0,0,1,1,0
230,0.712834128312236,0.0944751346591445,CO,2023-01-06,1,1,1,1,1,1,1,1,0,1,0,1,1,1
231,0.874971661534442,0.4062489645828435,CO,2023-01-07,0,1,1,1,1,1,1,0,0,1,0,1,1,1
232,0.586532414851175,0.1799571802124775,CO,2023-01-08,1,1,1,1,1,1,1,1,0,0,1,1,1,1
233,1.32732087641585,0.3557644823662325,CO,2023-01-09,0,0,1,1,1,1,1,1,0,1,0,1,1,0
234,1.18074266204349,0.3739183585356815,CO,2023-01-10,1,1,0,1,1,1,0,1,0,0,0,1,1,0
235,2.72070307665436,0.445673043222243,CO,2023-01-11,0,0,1,1,1,0,0,0,0,1,0,1,0,1
236,0.797411363646599,0.3443122033665315,CO,2023-01-12,1,1,1,1,1,1,0,1,0,1,0,1,1,1
237,0.986964908948234,0.70130052392766,CO,2023-01-13,0,1,1,1,1,1,1,0,1,1,0,1,1,1
238,NA,NA,CO,2023-01-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
239,1.15265745029223,0.3588857957634185,CO,2023-01-15,0,1,1,0,1,1,1,0,0,1,1,1,1,1
240,1.36757865215442,0.364313795246745,CO,2023-01-16,1,0,1,1,1,1,0,1,0,1,0,1,1,0
