...1,es_score,brier_score,location,target_date,X23F_50_CI,X23I_50_CI,X24B_50_CI,recombinant_50_CI,other_50_CI,X24A_50_CI,X23F_95_CI,X23I_95_CI,X24B_95_CI,recombinant_95_CI,other_95_CI,X24A_95_CI
46,NA,NA,AL,2024-02-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
47,4.8376003473427e-4,3.39180622783785e-4,AL,2024-02-29,1,1,1,1,1,1,1,1,1,1,1,1
48,NA,NA,AL,2024-03-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
49,NA,NA,AL,2024-03-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,NA,NA,AL,2024-03-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51,4.5199679792434e-4,3.9268359275151e-4,AL,2024-03-04,1,1,1,1,1,1,1,1,1,1,1,1
52,0.00205396631087529,4.1539705726306e-4,AL,2024-03-05,1,1,1,1,1,1,1,1,1,1,1,1
53,NA,NA,AL,2024-03-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
54,NA,NA,AL,2024-03-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
55,NA,NA,AL,2024-03-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
56,NA,NA,AL,2024-03-09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
57,NA,NA,AL,2024-03-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
58,NA,NA,AL,2024-03-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
59,NA,NA,AL,2024-03-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
60,1.20170310923352,0.3154144805658775,AL,2024-03-13,1,1,0,1,1,0,1,1,0,1,1,0
61,NA,NA,AL,2024-03-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
62,NA,NA,AL,2024-03-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
63,NA,NA,AL,2024-03-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
64,NA,NA,AL,2024-03-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
65,0.00487369759923034,0.001379649235945495,AL,2024-03-18,1,1,1,1,1,1,1,1,1,1,1,1
66,NA,NA,AL,2024-03-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
67,NA,NA,AL,2024-03-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
68,NA,NA,AL,2024-03-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
69,NA,NA,AL,2024-03-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
70,NA,NA,AL,2024-03-23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
71,NA,NA,AL,2024-03-24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
72,NA,NA,AL,2024-03-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
73,0.00350563743324654,0.003533749538588155,AL,2024-03-26,1,1,1,1,1,1,1,1,1,1,1,1
74,NA,NA,AL,2024-03-27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
75,NA,NA,AL,2024-03-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
76,NA,NA,AL,2024-03-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
77,NA,NA,AL,2024-03-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
78,NA,NA,AL,2024-03-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
79,0.00654461266433994,0.00725886576223565,AL,2024-04-01,1,1,1,1,1,1,1,1,1,1,1,1
80,NA,NA,AL,2024-04-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
81,NA,NA,AL,2024-04-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
82,NA,NA,AL,2024-04-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
83,NA,NA,AL,2024-04-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
84,NA,NA,AL,2024-04-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
85,NA,NA,AR,2024-02-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
86,0.00186142562609536,3.32317467029735e-4,AR,2024-02-26,1,1,1,1,1,1,1,1,1,1,1,1
87,NA,NA,AR,2024-02-27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
88,NA,NA,AR,2024-02-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
89,1.37753661245721,0.97524553176529,AR,2024-02-29,1,0,1,1,1,0,1,0,1,1,1,0
90,4.2894511684557e-4,3.4748449492504e-4,AR,2024-03-01,1,1,1,1,1,1,1,1,1,1,1,1
91,NA,NA,AR,2024-03-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
92,NA,NA,AR,2024-03-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
93,0.00357077061627209,3.9268359275151e-4,AR,2024-03-04,1,1,1,1,1,1,1,1,1,1,1,1
94,NA,NA,AR,2024-03-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
95,NA,NA,AR,2024-03-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
96,NA,NA,AR,2024-03-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
97,5.6927752882778e-4,5.11952809291105e-4,AR,2024-03-08,1,1,1,1,1,1,1,1,1,1,1,1
98,NA,NA,AR,2024-03-09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
99,NA,NA,AR,2024-03-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100,NA,NA,AR,2024-03-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
101,NA,NA,AR,2024-03-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
102,NA,NA,AR,2024-03-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
103,NA,NA,AR,2024-03-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
104,NA,NA,AR,2024-03-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
105,NA,NA,AR,2024-03-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
106,NA,NA,AR,2024-03-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
107,NA,NA,AR,2024-03-18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
108,NA,NA,AR,2024-03-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
109,NA,NA,AR,2024-03-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
110,0.00780370252975773,0.001949503278414395,AR,2024-03-21,1,1,1,1,1,1,1,1,1,1,1,1
111,NA,NA,AR,2024-03-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
112,NA,NA,AR,2024-03-23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
113,NA,NA,AR,2024-03-24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
114,NA,NA,AR,2024-03-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
115,NA,NA,AR,2024-03-26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
116,NA,NA,AR,2024-03-27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
117,NA,NA,AR,2024-03-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
118,NA,NA,AR,2024-03-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
119,NA,NA,AR,2024-03-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
120,NA,NA,AR,2024-03-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
121,NA,NA,AR,2024-04-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
122,NA,NA,AR,2024-04-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
123,NA,NA,AR,2024-04-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
124,NA,NA,AR,2024-04-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
125,NA,NA,AR,2024-04-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
126,NA,NA,AR,2024-04-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
127,2.06585591977565,0.216322901353012,AZ,2024-02-25,0,1,1,0,1,0,0,1,0,0,1,0
128,0.0191467142620619,3.32317467029735e-4,AZ,2024-02-26,1,1,1,1,1,1,1,1,1,1,1,1
129,1.08176032391725,0.0887296416915725,AZ,2024-02-27,1,1,1,0,1,0,1,1,1,0,1,0
130,0.0107763366422298,3.3395081439693e-4,AZ,2024-02-28,1,1,1,1,1,1,1,1,1,0,1,0
131,0.00467642654285062,3.39180622783785e-4,AZ,2024-02-29,1,1,1,1,1,1,1,1,1,1,1,1
132,4.2994920844585e-4,3.4748449492504e-4,AZ,2024-03-01,1,1,1,1,1,1,1,1,1,1,1,1
133,0.00708247709564654,3.5902090962448e-4,AZ,2024-03-02,1,1,1,1,1,1,1,1,1,1,1,1
134,0.00738797591919962,3.73999269196715e-4,AZ,2024-03-03,1,1,1,1,1,1,1,1,1,1,1,1
135,0.0294888804896032,3.9268359275151e-4,AZ,2024-03-04,1,1,1,1,1,1,1,1,0,1,1,0
136,0.0168516245715893,4.1539705726306e-4,AZ,2024-03-05,1,1,1,1,1,1,1,1,1,1,1,1
137,0.00526975539392771,4.42527447178955e-4,AZ,2024-03-06,1,1,1,1,1,1,1,1,1,1,1,1
138,5.5019978790221e-4,4.7453358304493e-4,AZ,2024-03-07,1,1,1,1,1,1,1,1,1,1,1,1
139,NA,NA,AZ,2024-03-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
140,0.00532278242359863,5.5540963080854e-4,AZ,2024-03-09,1,1,1,1,1,1,1,1,1,1,1,1
141,1.30331070457021,0.323566201895898,AZ,2024-03-10,1,1,1,0,1,0,1,1,1,0,1,0
142,0.0120116985016428,6.6343054086445e-4,AZ,2024-03-11,1,1,1,1,1,1,1,1,0,1,1,0
143,1.22759589812152,0.316283179592327,AZ,2024-03-12,1,1,0,1,1,0,1,1,0,1,1,0
144,0.0603926510400631,8.0574594946807e-4,AZ,2024-03-13,1,1,1,1,1,1,1,1,0,1,1,0
145,0.0135275677345543,8.925799476822e-4,AZ,2024-03-14,1,1,1,1,1,1,1,1,1,1,1,1
146,NA,NA,AZ,2024-03-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
147,NA,NA,AZ,2024-03-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
148,NA,NA,AZ,2024-03-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
149,0.00156865982868261,0.001379649235945495,AZ,2024-03-18,1,1,1,1,1,1,1,1,1,0,1,0
150,0.0333707260133131,0.00154602009823878,AZ,2024-03-19,1,1,1,1,1,1,1,1,1,1,1,1
151,1.289825649677,0.0952700811929845,AZ,2024-03-20,1,1,1,0,1,0,1,1,1,0,1,0
152,0.0922910608935466,0.001949503278414395,AZ,2024-03-21,1,1,1,1,1,1,1,1,0,1,1,0
153,0.0336317392217449,0.002192798541367995,AZ,2024-03-22,1,1,1,1,1,1,1,1,1,1,1,1
154,0.0199908842488269,0.00246854508882347,AZ,2024-03-23,1,1,1,1,1,1,1,1,1,1,1,1
155,0.00963125661628032,0.002780830455959855,AZ,2024-03-24,1,1,1,1,1,1,1,1,1,1,1,1
156,0.010509318707574,0.00313421025997216,AZ,2024-03-25,1,1,1,1,1,1,1,1,1,1,1,1
157,0.0131350337280632,0.003533749538588155,AZ,2024-03-26,1,1,1,1,1,1,1,1,1,1,1,1
158,0.0284345757332107,0.003985065187914055,AZ,2024-03-27,1,1,1,1,1,1,1,1,1,1,1,1
159,0.0321641629852319,0.004494368902812365,AZ,2024-03-28,1,1,1,1,1,1,1,1,1,1,1,1
160,0.99112933507472,0.290958899028643,AZ,2024-03-29,1,1,0,1,1,0,1,1,1,1,1,1
161,2.33151245011384,0.3128134774509705,AZ,2024-03-30,1,1,1,0,1,0,1,1,1,0,1,0
162,NA,NA,AZ,2024-03-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
163,0.447133466265861,0.099441038188879,AZ,2024-04-01,1,1,1,1,1,1,1,1,0,1,1,0
164,1.01982467450674,0.109078844276415,AZ,2024-04-02,1,1,1,1,0,1,1,1,1,1,0,0
165,0.101420475120005,0.00920111684430795,AZ,2024-04-03,1,1,1,1,1,1,1,1,1,1,1,1
166,1.07621951762831,0.189740643857857,AZ,2024-04-04,1,1,1,1,0,1,1,1,1,1,0,0
167,0.854005678088871,0.2730756514956405,AZ,2024-04-05,1,1,0,1,1,0,1,1,0,1,1,0
168,0.135120967737985,0.01305778698136835,AZ,2024-04-06,1,1,1,1,1,1,1,1,0,1,1,0
169,0.250086285699083,3.35829263009785e-4,CA,2024-02-25,1,1,1,1,1,1,1,1,0,1,1,0
170,3.34052782767143,0.0774897365809125,CA,2024-02-26,0,1,1,1,0,0,0,1,1,0,0,0
171,6.51108020033835,0.1145648812687825,CA,2024-02-27,0,1,0,0,0,0,0,1,0,0,0,0
172,4.44551312721528,0.0763475220426235,CA,2024-02-28,1,1,1,0,0,0,1,0,0,0,1,1
173,0.0204110365115534,3.39180622783785e-4,CA,2024-02-29,1,1,1,1,1,1,1,1,1,1,0,0
174,0.0332917250772516,3.4748449492504e-4,CA,2024-03-01,1,1,1,1,1,1,1,1,1,1,1,1
175,0.233504371344311,3.5902090962448e-4,CA,2024-03-02,1,1,1,1,1,1,1,1,1,1,1,1
176,0.889429906377636,0.04457946033568345,CA,2024-03-03,1,1,1,0,1,1,1,1,0,0,0,0
177,3.17331811792536,0.088860063046072,CA,2024-03-04,0,1,1,0,0,0,0,1,1,0,0,0
178,4.79112766205617,0.114659461847288,CA,2024-03-05,0,1,1,0,0,0,0,1,0,0,0,0
179,1.69804690777114,0.058536778923461,CA,2024-03-06,1,1,1,0,0,0,1,1,1,0,0,0
180,4.5780900330863,0.117603080199561,CA,2024-03-07,1,1,0,0,1,0,1,1,0,0,1,0
181,1.17888937065927,0.0512614135846745,CA,2024-03-08,1,1,1,1,0,0,1,1,0,1,0,0
182,2.31132828172376,0.1393493215737055,CA,2024-03-09,1,0,1,1,1,0,1,0,0,1,1,0
183,1.92487985385757,0.1125696170871135,CA,2024-03-10,1,1,0,1,1,0,1,1,0,1,1,0
184,1.93617832330561,0.1925931952280625,CA,2024-03-11,1,1,0,1,0,0,1,0,0,1,0,0
185,2.33752689253864,0.1066641437934015,CA,2024-03-12,1,1,0,0,1,0,1,1,0,0,1,0
186,3.68002154959857,0.1086715978179515,CA,2024-03-13,1,1,0,1,1,0,1,1,0,1,1,0
187,3.19716039996099,0.115642715493993,CA,2024-03-14,1,1,0,0,1,0,1,1,0,0,1,0
188,0.907477069035264,0.03538599916067855,CA,2024-03-15,1,1,1,0,1,1,1,1,0,0,1,1
189,1.68136590457354,0.14690496614695,CA,2024-03-16,1,1,1,0,1,0,1,1,1,0,1,0
190,3.02326168683547,0.1653684296296345,CA,2024-03-17,1,1,0,1,1,0,1,1,0,1,1,0
191,2.69742872384024,0.121201643395693,CA,2024-03-18,1,1,1,0,0,0,0,1,0,0,0,1
192,0.123191033844905,0.00154602009823878,CA,2024-03-19,1,1,1,1,1,1,1,1,0,1,1,0
193,0.997170819936547,0.0751035756559415,CA,2024-03-20,1,1,1,0,1,1,1,1,1,0,1,0
194,1.57655047327863,0.1572277884153655,CA,2024-03-21,1,1,1,0,1,0,1,1,0,0,1,0
195,2.32569110703374,0.177575890639514,CA,2024-03-22,1,1,1,0,0,0,1,1,0,0,0,0
196,1.08244534887062,0.1207492260806595,CA,2024-03-23,1,1,1,0,1,1,1,1,0,0,1,1
197,0.12849220976331,0.002780830455959855,CA,2024-03-24,1,1,1,1,1,1,1,1,1,1,1,1
198,2.20087865652863,0.174087707368729,CA,2024-03-25,1,1,1,0,1,0,1,1,1,0,1,0
199,0.432773867921312,0.071318318889609,CA,2024-03-26,1,1,1,1,1,1,1,1,1,1,1,1
200,1.10318748284012,0.159548433025072,CA,2024-03-27,1,1,1,0,1,1,1,1,1,0,1,0
201,1.06694138310783,0.137461760786123,CA,2024-03-28,1,0,1,1,1,1,1,0,0,1,1,1
202,0.0941489562315233,0.0050685098708583,CA,2024-03-29,1,1,1,1,1,1,1,1,1,1,1,1
203,0.104983524088279,0.0057150163059203,CA,2024-03-30,1,1,1,1,1,1,1,1,1,1,1,1
204,1.10217164920292,0.4262009210100985,CA,2024-03-31,1,1,0,1,1,0,1,1,0,1,1,0
205,0.496840501788575,0.1109638097422095,CA,2024-04-01,1,1,1,1,1,1,1,1,0,1,1,0
206,0.183454637647163,0.00817499490421305,CA,2024-04-02,1,1,1,1,1,1,1,1,1,1,1,1
207,0.0931182504639048,0.00920111684430795,CA,2024-04-03,1,1,1,1,1,1,1,1,1,1,1,1
208,1.61048444842077,0.2926032448800085,CA,2024-04-04,1,1,1,1,0,0,1,1,0,1,0,0
209,1.32540398915852,0.1976356556232535,CA,2024-04-05,1,1,1,0,1,0,1,1,1,0,1,0
210,0.0773039835137443,0.01305778698136835,CA,2024-04-06,1,1,1,1,1,1,1,1,1,1,1,1
211,NA,NA,CO,2024-02-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
212,0.00417176508757813,3.32317467029735e-4,CO,2024-02-26,1,1,1,1,1,1,1,1,1,1,1,1
213,5.4394896414497e-4,3.316846179002e-4,CO,2024-02-27,1,1,1,1,1,1,1,1,1,1,1,1
214,3.9248669115351e-4,3.3395081439693e-4,CO,2024-02-28,1,1,1,1,1,1,1,1,1,1,1,1
215,0.00165006931712002,3.39180622783785e-4,CO,2024-02-29,1,1,1,1,1,1,1,1,1,1,1,1
216,NA,NA,CO,2024-03-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
217,NA,NA,CO,2024-03-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
218,NA,NA,CO,2024-03-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
219,0.00204810507223338,3.9268359275151e-4,CO,2024-03-04,1,1,1,1,1,1,1,1,1,1,1,1
220,NA,NA,CO,2024-03-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
221,NA,NA,CO,2024-03-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
222,NA,NA,CO,2024-03-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
223,6.1069984425327e-4,5.11952809291105e-4,CO,2024-03-08,1,1,1,1,1,1,1,1,1,1,1,1
224,NA,NA,CO,2024-03-09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
225,NA,NA,CO,2024-03-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
226,NA,NA,CO,2024-03-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
227,0.00310338682327542,7.29775286765415e-4,CO,2024-03-12,1,1,1,1,1,1,1,1,1,1,1,1
228,8.7671341587189e-4,8.0574594946807e-4,CO,2024-03-13,1,1,1,1,1,1,1,1,1,1,1,1
229,NA,NA,CO,2024-03-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
230,8.4783517478671e-4,9.91683859785235e-4,CO,2024-03-15,1,1,1,1,1,1,1,1,1,1,1,1
231,NA,NA,CO,2024-03-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
232,NA,NA,CO,2024-03-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
233,0.00122179566768248,0.001379649235945495,CO,2024-03-18,1,1,1,1,1,1,1,1,1,1,1,1
234,NA,NA,CO,2024-03-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
235,NA,NA,CO,2024-03-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
236,NA,NA,CO,2024-03-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
237,NA,NA,CO,2024-03-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
238,NA,NA,CO,2024-03-23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
239,NA,NA,CO,2024-03-24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
240,1.34614350382119,0.944648257176495,CO,2024-03-25,1,0,1,1,1,0,1,0,1,1,1,0
241,NA,NA,CO,2024-03-26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
242,NA,NA,CO,2024-03-27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
243,0.00380670935761321,0.004494368902812365,CO,2024-03-28,1,1,1,1,1,1,1,1,1,1,1,1
244,NA,NA,CO,2024-03-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
245,NA,NA,CO,2024-03-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
246,NA,NA,CO,2024-03-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
247,NA,NA,CO,2024-04-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
248,0.0260316572347964,0.00817499490421305,CO,2024-04-02,1,1,1,1,1,1,1,1,1,1,1,1
249,NA,NA,CO,2024-04-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
250,1.03548577653549,0.408632450709305,CO,2024-04-04,1,1,0,1,1,0,1,1,0,1,1,0
251,NA,NA,CO,2024-04-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
252,0.0112425169719106,0.01305778698136835,CO,2024-04-06,1,1,1,1,1,1,1,1,1,1,1,1
253,0.00403952553776823,3.35829263009785e-4,CT,2024-02-25,1,1,1,1,1,1,1,1,1,1,1,1
