...1,es_score,brier_score,location,target_date,X22F_50_CI,X23A_50_CI,X23B_50_CI,X23D_50_CI,other_50_CI,X22E_50_CI,X22F_95_CI,X23A_95_CI,X23B_95_CI,X23D_95_CI,other_95_CI,X22E_95_CI
132,3.8518716504858,0.403109964176123,AZ,2023-03-03,0,0,1,1,1,1,0,0,1,1,1,0
133,5.20218456964862,0.448801356499116,AZ,2023-03-04,0,0,1,1,0,0,0,0,1,1,0,0
134,0.779822280559474,0.0759303044031215,AZ,2023-03-05,0,1,1,1,1,1,0,0,1,1,1,0
135,2.69194424630337,0.117999144703558,AZ,2023-03-06,0,0,1,1,0,1,0,1,1,0,0,1
136,0.878339180837081,0.055328430182134,AZ,2023-03-07,0,1,1,1,1,1,0,0,1,1,1,1
137,0.902124580151705,0.2251191519293285,AZ,2023-03-08,1,1,1,1,1,0,1,0,1,1,1,0
138,0.09071964003227,0.00327687839605894,AZ,2023-03-09,1,1,1,1,1,1,1,0,1,1,1,0
139,0.064756682655456,0.00306233844599935,AZ,2023-03-10,1,1,1,1,1,1,1,0,1,0,1,1
140,1.68798536034992,0.182744619739197,AZ,2023-03-11,1,0,1,1,1,0,1,0,1,0,0,0
141,0.679918678578662,0.072904641656831,AZ,2023-03-12,1,1,1,1,1,1,1,0,1,1,1,0
142,5.06233490788972,0.1564214720322945,AZ,2023-03-13,1,0,1,1,0,0,1,0,0,0,0,0
143,0.854744607561528,0.0803793325726385,AZ,2023-03-14,0,1,1,1,1,1,0,0,1,1,1,1
144,1.42679420518963,0.1177886312633855,AZ,2023-03-15,0,0,1,1,1,1,0,0,0,0,1,0
145,0.277137474162613,0.002523108485518295,AZ,2023-03-16,1,1,1,1,1,1,1,1,1,1,1,1
146,2.09755469175723,0.620560629547615,AZ,2023-03-17,0,0,1,0,1,1,0,0,1,0,1,1
147,2.45353708854878,0.611241253940555,AZ,2023-03-18,1,0,1,1,1,0,1,0,1,1,1,0
148,2.66425620843622,0.178487382547795,AZ,2023-03-19,0,0,1,1,0,0,0,0,1,1,0,0
149,2.6774199924062,0.0924688601600965,AZ,2023-03-20,1,1,1,1,1,0,1,0,0,0,1,0
150,1.80914786333845,0.175009726498372,AZ,2023-03-21,0,0,1,0,1,1,0,0,0,0,1,0
151,1.14683799385088,0.1000831964443265,AZ,2023-03-22,0,1,1,1,1,1,0,0,0,1,1,0
152,0.809013361209306,0.117340396153515,AZ,2023-03-23,1,1,1,1,1,0,1,0,1,1,1,0
153,0.201178249874988,0.00513681829332115,AZ,2023-03-24,1,1,1,1,1,1,1,1,1,1,1,1
154,0.00987162076602621,0.0061252314889441,AZ,2023-03-25,1,1,1,1,1,1,1,1,1,1,1,1
155,1.30580259549588,0.106543049462259,AZ,2023-03-26,0,1,1,1,1,0,0,0,0,1,1,0
156,2.81188340729796,0.116128403629059,AZ,2023-03-27,1,1,0,0,0,0,1,0,0,0,0,1
157,3.50622652555891,0.052090618378908,AZ,2023-03-28,0,0,0,1,0,1,0,0,0,1,0,0
158,1.26103165413403,0.01395490727238125,AZ,2023-03-29,1,0,1,1,1,1,1,1,1,1,1,1
159,1.86528266569452,0.2284675045241935,AZ,2023-03-30,1,1,1,0,0,0,1,0,0,0,0,0
160,0.116248185744819,0.0218807525023866,AZ,2023-03-31,1,1,1,1,1,1,1,0,0,1,1,1
161,0.974668120608655,0.298339464135592,AZ,2023-04-01,1,1,1,1,1,0,1,1,0,1,1,0
162,0.980905366313152,0.1646331872718275,AZ,2023-04-02,1,1,1,0,1,1,1,1,0,0,1,1
