"","es_score","brier_score","location","target_date","X22F_50_CI","X23A_50_CI","X23D_50_CI","X23E_50_CI","X23F_50_CI","X23G_50_CI","X23H_50_CI","recombinant_50_CI","other_50_CI","X23B_50_CI","X22F_95_CI","X23A_95_CI","X23D_95_CI","X23E_95_CI","X23F_95_CI","X23G_95_CI","X23H_95_CI","recombinant_95_CI","other_95_CI","X23B_95_CI"
"120",0.62513910440842,0.886638299338727,"AR",2023-10-08,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,0
"121",2.14755282189366,0.894155847336093,"AR",2023-10-09,1,1,1,1,0,1,1,1,1,0,1,1,1,1,0,1,1,1,1,0
"122",2.14296524604788,0.901695306651063,"AR",2023-10-10,1,1,1,1,0,1,1,1,1,0,1,1,1,1,0,1,1,1,1,0
"123",2.54539873033309,0.795556069643861,"AR",2023-10-11,1,1,1,1,0,1,1,1,1,0,1,1,1,1,0,1,0,1,1,0
"124",0.834134617099187,0.616561209609001,"AR",2023-10-12,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1
"125",3.10839673416566,0.972138176347837,"AR",2023-10-13,1,1,1,1,0,1,1,1,1,0,1,1,1,1,0,0,1,1,1,0
"126",NA,NA,"AR",2023-10-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"127",2.28319109386112,0.774181471268066,"AZ",2023-09-03,1,1,1,1,0,1,1,1,1,0,1,1,0,1,0,0,1,1,1,0
"128",4.81435052911132,0.800968558523671,"AZ",2023-09-04,0,1,1,1,0,0,1,1,1,0,1,1,0,0,0,0,1,1,1,0
"129",2.67178043864423,0.767141580189273,"AZ",2023-09-05,1,0,1,1,0,1,0,1,1,1,1,0,0,1,0,0,0,1,1,0
"130",NA,NA,"AZ",2023-09-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"131",NA,NA,"AZ",2023-09-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"132",NA,NA,"AZ",2023-09-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"133",2.04565854871573,1.03581764806048,"AZ",2023-09-09,0,1,1,1,0,0,1,1,1,1,0,0,0,1,0,0,1,1,1,0
"134",2.28364433985171,0.785037390668888,"AZ",2023-09-10,1,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,0
"135",3.43873535540796,0.754152341070498,"AZ",2023-09-11,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,1,1,0,0
"136",2.36697857856807,0.757763527552288,"AZ",2023-09-12,1,1,0,0,1,1,1,1,1,1,1,1,0,0,0,0,1,0,1,0
"137",1.64679485706215,0.801581673844949,"AZ",2023-09-13,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1
"138",1.5197506163654,0.922976996228502,"AZ",2023-09-14,1,0,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1
"139",1.19144704474941,0.751691630969156,"AZ",2023-09-15,1,1,1,1,1,0,1,1,1,1,0,1,1,0,1,1,1,1,1,1
"140",1.14232446214379,0.746777458057579,"AZ",2023-09-16,1,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,1,1,1,0
"141",4.30823167579339,0.694109574747711,"AZ",2023-09-17,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,1,1,0
"142",4.69795833326127,0.800761505993719,"AZ",2023-09-18,1,0,1,1,0,1,1,1,1,0,0,0,0,1,0,1,0,1,1,0
"143",2.42023612856684,0.807561705076937,"AZ",2023-09-19,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,0
"144",1.83588010319014,0.774759984823632,"AZ",2023-09-20,1,1,1,1,1,1,0,1,1,0,1,1,0,1,1,1,0,1,0,0
"145",2.05416849954665,0.884710562774532,"AZ",2023-09-21,1,1,0,1,0,1,1,1,1,1,0,0,0,1,0,1,0,1,1,1
"146",1.64539040331481,0.644538765320541,"AZ",2023-09-22,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,1,1,1,1,0
"147",1.49820188748925,0.904617108656253,"AZ",2023-09-23,0,1,0,1,0,0,1,1,1,1,0,1,1,1,0,0,1,1,1,1
"148",1.56334741758082,0.73499858006709,"AZ",2023-09-24,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,0,1,0
"149",4.13558092486624,0.819244011218995,"AZ",2023-09-25,1,1,0,0,0,1,1,0,0,1,0,0,0,0,0,1,1,0,0,1
"150",4.41976202496812,0.804023422006153,"AZ",2023-09-26,1,0,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0
"151",2.13343181900005,0.71618402819939,"AZ",2023-09-27,1,1,0,1,1,1,1,1,1,0,0,0,0,1,0,0,0,1,1,0
"152",1.06278286088636,0.731318352935594,"AZ",2023-09-28,1,1,0,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1,0
"153",0.733353711559688,0.780265350977606,"AZ",2023-09-29,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,0
"154",1.13491014770698,0.734447939444275,"AZ",2023-09-30,1,1,1,1,1,1,1,0,1,1,1,1,0,1,0,1,0,0,1,0
"155",9.06162061992639,0.800789192093652,"AZ",2023-10-01,0,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0
"156",10.0568534367981,0.861958161019559,"AZ",2023-10-02,1,1,0,0,0,1,1,0,1,1,0,0,0,0,0,1,1,0,1,0
"157",1.13193868845046,0.648518502225264,"AZ",2023-10-03,1,0,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,0
"158",2.80777172543946,0.980240233989982,"AZ",2023-10-04,1,0,0,1,0,1,1,1,1,1,1,0,0,1,0,1,0,1,1,0
"159",2.50259367717617,0.766333459856051,"AZ",2023-10-05,1,0,1,1,1,1,1,1,1,0,1,0,0,1,0,1,1,1,1,0
"160",2.58523038618672,0.819400498060085,"AZ",2023-10-06,1,1,1,1,0,1,1,1,1,0,1,1,0,0,0,0,0,1,1,1
