...1,es_score,brier_score,location,target_date,X23A_50_CI,X23B_50_CI,X23I_50_CI,X24A_50_CI,other_50_CI,X23F_50_CI,X23A_95_CI,X23B_95_CI,X23I_95_CI,X24A_95_CI,other_95_CI,X23F_95_CI
159,0.00722450749925045,6.37022726841545e-4,AZ,2024-02-01,1,1,1,1,1,1,1,1,1,1,1,1
160,0.00627773481241345,5.5152814414122e-4,AZ,2024-02-02,1,1,1,1,1,1,1,1,1,1,1,1
161,NA,NA,AZ,2024-02-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
162,0.00934269429775142,4.13502028848235e-4,AZ,2024-02-04,1,1,1,1,1,1,1,1,1,1,1,1
163,3.44569339703533,0.1705950625132675,AZ,2024-02-05,1,1,1,0,1,0,1,1,1,0,1,0
164,0.88856461213278,0.04095783393535675,AZ,2024-02-06,1,1,1,1,0,1,1,1,0,1,0,1
165,0.0952698091503644,2.6868665064207e-4,AZ,2024-02-07,1,1,1,1,1,1,1,1,1,1,1,1
166,2.2208809818802e-4,2.3280407422521e-4,AZ,2024-02-08,1,1,1,1,1,1,1,1,1,1,1,1
167,1.33363585994,0.3269874683113815,AZ,2024-02-09,1,1,1,0,0,1,1,1,1,0,0,1
168,9.0073427831013e-4,1.7489493891154e-4,AZ,2024-02-10,1,1,1,1,1,1,1,1,1,1,1,1
169,0.214734173494999,0.0490273686816387,CA,2023-12-31,1,1,1,1,1,1,1,1,1,1,1,1
170,0.463681191038709,0.2458616712803325,CA,2024-01-01,1,1,1,1,1,1,1,1,1,1,1,1
171,2.09397070084629,0.2872157967053395,CA,2024-01-02,1,1,1,0,1,0,1,1,1,0,0,0
172,2.36387621833937,0.2556973003694485,CA,2024-01-03,1,1,1,0,1,0,0,1,1,0,1,0
173,4.5997854536269,0.2799540557120605,CA,2024-01-04,1,1,1,0,0,0,1,1,0,0,0,0
174,1.38118182985686,0.2281264913928805,CA,2024-01-05,0,1,1,1,1,1,0,1,1,0,0,0
175,4.97674833317565,0.504354354958005,CA,2024-01-06,1,1,1,0,1,0,1,1,1,0,0,0
176,2.2606619393129,0.60857923752552,CA,2024-01-07,0,1,0,0,1,1,0,1,0,0,1,0
177,2.74829293158586,0.2179306087520965,CA,2024-01-08,0,1,1,0,1,1,0,0,0,0,1,1
178,1.5403764533123,0.121879046538296,CA,2024-01-09,1,1,1,1,1,1,1,1,1,0,0,0
179,1.98021073266002,0.132123387364894,CA,2024-01-10,0,1,1,1,1,1,0,1,1,0,0,0
180,1.52636253115665,0.1296812337588805,CA,2024-01-11,0,1,1,1,1,1,0,0,0,0,0,0
181,3.31030151072734,0.1603829289780845,CA,2024-01-12,1,1,1,0,0,0,0,0,0,0,0,0
182,1.52048862498714,0.114822415377239,CA,2024-01-13,1,1,1,1,1,0,1,1,0,0,1,0
183,1.82844870829753,0.2007467756566995,CA,2024-01-14,0,0,1,0,1,1,0,0,1,0,0,0
184,3.75005724934793,0.2438840799639695,CA,2024-01-15,0,1,1,0,0,1,0,0,1,0,0,0
185,3.34821466502598,0.179541123184055,CA,2024-01-16,0,1,1,0,1,0,0,1,1,0,1,0
186,0.929989407938312,0.00542370510449575,CA,2024-01-17,1,1,1,0,1,1,1,1,0,0,1,0
