...1,es_score,brier_score,location,target_date,X22E_50_CI,X22F_50_CI,X23A_50_CI,X23D_50_CI,X23B_50_CI,other_50_CI,X22E_95_CI,X22F_95_CI,X23A_95_CI,X23D_95_CI,X23B_95_CI,other_95_CI
209,65.7523340676711,0.563668900852075,CA,2023-04-07,1,1,0,0,0,0,0,0,0,0,0,0
210,58.1264579506671,0.652956939904165,CA,2023-04-08,1,1,0,0,0,0,0,1,0,0,0,0
211,0.111367500018282,0.00572006734012985,CO,2023-02-26,1,1,1,1,1,1,1,1,1,1,1,1
212,0.39515058161167,0.062704093622942,CO,2023-02-27,1,1,1,1,1,1,1,1,1,1,1,1
213,1.53986211988049,0.1602946475919765,CO,2023-02-28,0,0,0,1,1,1,0,0,0,1,1,1
214,0.920349480143313,0.00481155180858223,CO,2023-03-01,1,1,0,1,1,1,1,1,1,1,1,1
215,0.277585875845984,0.00457796896743174,CO,2023-03-02,1,1,1,1,1,1,0,1,0,1,1,1
216,0.123753662684557,0.00437388719694921,CO,2023-03-03,1,1,1,1,1,1,1,1,1,1,1,1
217,1.09888216226171,0.3060846223511675,CO,2023-03-04,1,1,0,1,1,0,0,1,1,1,1,0
218,0.150046034335168,0.00404480186481014,CO,2023-03-05,1,1,1,1,1,1,1,1,1,1,1,1
219,1.41799966361404,0.2276116956093155,CO,2023-03-06,1,1,0,1,1,0,0,1,0,1,1,0
220,0.43710849975842,0.071709581842641,CO,2023-03-07,1,1,1,1,1,1,1,1,1,1,1,1
221,0.470450025402931,0.084100238548106,CO,2023-03-08,1,1,1,1,1,1,0,1,0,1,1,1
222,0.0940524607432225,0.003655732163115615,CO,2023-03-09,1,1,1,1,1,1,1,1,1,1,1,1
223,0.0644732842465325,0.00360811326538951,CO,2023-03-10,1,1,1,1,1,1,1,1,1,1,1,1
224,0.00559389345189244,0.00357922356342724,CO,2023-03-11,1,1,1,1,1,1,1,1,1,1,1,1
225,0.0181788797191456,0.003568946914473515,CO,2023-03-12,1,1,1,1,1,1,1,1,1,1,1,1
226,0.0205212130428616,0.003577428393699835,CO,2023-03-13,1,1,1,1,1,1,1,1,1,1,1,1
227,0.0915699930583984,0.0036050860227689,CO,2023-03-14,1,1,1,1,1,1,1,1,1,1,1,1
228,0.480865571038082,0.003652629331136815,CO,2023-03-15,1,1,1,1,1,1,1,1,1,1,1,1
229,0.336193462948438,0.00372108580845971,CO,2023-03-16,1,1,1,1,1,1,1,1,1,1,1,1
230,0.836383744390594,0.180663914580134,CO,2023-03-17,0,1,1,1,1,1,0,1,0,1,1,1
231,1.12975647731985,0.4453102141919185,CO,2023-03-18,0,1,0,1,1,1,0,1,0,1,1,1
232,0.745401682856912,0.1508905464300865,CO,2023-03-19,0,1,1,1,1,1,0,1,0,1,1,1
233,0.393371081534202,0.00423806438707705,CO,2023-03-20,1,1,1,1,1,1,0,1,0,1,1,1
234,0.934219982243934,0.1182542662032525,CO,2023-03-21,1,1,1,1,0,1,1,1,1,1,1,1
235,4.78835639360438,0.50694408553318,CO,2023-03-22,1,0,0,0,1,1,0,0,0,0,1,1
236,0.932651776884906,0.1186084020762925,CO,2023-03-23,1,1,1,0,1,1,0,1,1,0,1,1
237,0.153992648565133,0.0052912503469917,CO,2023-03-24,1,1,1,1,1,1,1,1,1,1,1,1
238,0.00675723966610814,0.00567665753617445,CO,2023-03-25,1,1,1,1,1,1,1,1,1,1,1,1
239,1.00323164500694,0.185423689432445,CO,2023-03-26,1,1,1,0,1,1,1,1,0,0,1,1
240,0.170729260746139,0.0066556318661895,CO,2023-03-27,1,1,1,1,1,1,1,1,1,1,1,1
241,0.139482812086459,0.00727590510007495,CO,2023-03-28,1,1,1,1,1,1,1,1,1,1,1,1
242,0.19439152424769,0.00800703149041035,CO,2023-03-29,1,1,1,1,1,1,1,1,1,1,1,1
243,0.148641917694835,0.00887279179805715,CO,2023-03-30,1,1,1,1,1,1,1,1,1,1,1,1
244,NA,NA,CO,2023-03-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
245,0.0115299841516955,0.0111387177865523,CO,2023-04-01,1,1,1,1,1,1,0,1,0,1,1,1
