...1,es_score,brier_score,location,target_date,X22F_50_CI,X23A_50_CI,X23B_50_CI,X23C_50_CI,X23D_50_CI,X23E_50_CI,X23F_50_CI,X23G_50_CI,other_50_CI,X22F_95_CI,X23A_95_CI,X23B_95_CI,X23C_95_CI,X23D_95_CI,X23E_95_CI,X23F_95_CI,X23G_95_CI,other_95_CI
38,NA,NA,AK,2023-08-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39,NA,NA,AK,2023-08-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40,NA,NA,AK,2023-08-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41,NA,NA,AK,2023-08-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42,NA,NA,AK,2023-08-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43,NA,NA,AL,2023-06-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44,0.890408219310228,0.628129657451955,AL,2023-06-26,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,0
45,0.796641263944776,0.579665310925705,AL,2023-06-27,1,1,1,1,1,0,1,1,1,0,1,1,1,1,0,1,1,1
46,0.583697570000688,0.437712500777485,AL,2023-06-28,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
47,NA,NA,AL,2023-06-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
48,NA,NA,AL,2023-06-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
49,NA,NA,AL,2023-07-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,0.277670933367106,0.1849824013675705,AL,2023-07-02,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1
51,NA,NA,AL,2023-07-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
52,NA,NA,AL,2023-07-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
53,1.04609315031148,0.4501416579432325,AL,2023-07-05,0,1,1,1,1,1,0,1,1,1,1,1,1,0,1,0,1,1
54,0.724451516464477,0.503413761320305,AL,2023-07-06,1,1,1,1,0,1,1,1,1,1,1,0,1,0,1,1,1,1
55,0.570247211130198,0.426639533786229,AL,2023-07-07,1,1,0,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1
56,NA,NA,AL,2023-07-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
57,0.777229796944069,0.578090239508015,AL,2023-07-09,1,1,1,1,1,0,1,1,1,1,0,1,1,1,0,1,1,1
58,NA,NA,AL,2023-07-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
59,NA,NA,AL,2023-07-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
60,0.304451683509057,0.1897325440642235,AL,2023-07-12,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1
61,0.552448640499011,0.4207705325539365,AL,2023-07-13,1,1,0,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1
62,0.788189117660216,0.57965655850059,AL,2023-07-14,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,1,1
63,NA,NA,AL,2023-07-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
64,0.307754395451544,0.190274014135037,AL,2023-07-16,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1
65,0.779290518247703,0.581192929247385,AL,2023-07-17,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,1,1,1
66,NA,NA,AL,2023-07-18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
67,0.554069682818163,0.41597349873691303,AL,2023-07-19,1,1,0,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1
68,NA,NA,AL,2023-07-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
69,NA,NA,AL,2023-07-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
70,0.563313109934877,0.414061328641408,AL,2023-07-22,1,1,0,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1
71,0.804228873364532,0.593362180072075,AL,2023-07-23,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,0,1,1
72,0.546089374694858,0.4130146175944205,AL,2023-07-24,1,1,0,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1
73,0.705494900731906,0.3876695272711305,AL,2023-07-25,0,1,1,1,1,1,1,1,1,0,0,0,1,0,1,0,0,1
74,1.07202212180504,0.56003344017765,AL,2023-07-26,1,1,1,1,0,1,0,1,1,1,0,1,1,1,1,0,1,1
75,NA,NA,AL,2023-07-27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
76,NA,NA,AL,2023-07-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
77,NA,NA,AL,2023-07-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
78,NA,NA,AL,2023-07-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
79,0.746869266857532,0.389858324783725,AL,2023-07-31,1,1,1,1,1,0,1,1,1,0,1,1,1,1,0,1,1,1
80,0.947092727008197,0.4462629934192955,AL,2023-08-01,1,1,1,1,1,0,1,1,1,0,1,1,1,0,0,1,1,1
81,0.675911259802064,0.3789211354144675,AL,2023-08-02,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1
82,0.338888816200007,0.183724868470335,AL,2023-08-03,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
83,0.691264449743348,0.556549441055215,AL,2023-08-04,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
84,NA,NA,AL,2023-08-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
85,NA,NA,AR,2023-06-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
86,1.17596172325047,0.096486018448239,AR,2023-06-26,1,0,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1
87,0.76226188781516,0.509699738099825,AR,2023-06-27,1,1,0,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1
88,NA,NA,AR,2023-06-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
89,NA,NA,AR,2023-06-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
90,NA,NA,AR,2023-06-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
91,NA,NA,AR,2023-07-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
92,NA,NA,AR,2023-07-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
93,NA,NA,AR,2023-07-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
94,NA,NA,AR,2023-07-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
95,NA,NA,AR,2023-07-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
96,NA,NA,AR,2023-07-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
