...1,es_score,brier_score,location,target_date,X24A_50_CI,X24B_50_CI,X24C_50_CI,X24E_50_CI,recombinant_50_CI,X24G_50_CI,X24D_50_CI,other_50_CI,X24A_95_CI,X24B_95_CI,X24C_95_CI,X24E_95_CI,recombinant_95_CI,X24G_95_CI,X24D_95_CI,other_95_CI
119,NA,NA,AR,2024-08-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
120,NA,NA,AR,2024-08-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
121,1.42603559242949,0.4601215738908685,AR,2024-08-12,1,1,1,1,1,0,1,1,0,0,1,1,1,0,1,1
122,4.23143158461049,0.430108336525814,AR,2024-08-13,0,0,0,0,1,1,1,1,1,0,1,0,1,1,1,1
123,NA,NA,AR,2024-08-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
124,0.940244569134057,0.4623511004046495,AR,2024-08-15,1,1,1,1,1,0,1,1,1,0,0,0,1,0,1,1
125,NA,NA,AR,2024-08-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
126,NA,NA,AR,2024-08-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
127,0.768873707667383,0.371269016187042,AZ,2024-07-07,1,1,1,1,1,1,1,1,0,1,0,1,1,0,0,1
128,4.32162641258472,0.3829431363068995,AZ,2024-07-08,0,1,0,0,1,1,1,1,0,0,0,0,0,0,1,1
129,3.58700093232728,0.3707158485473265,AZ,2024-07-09,1,0,1,0,1,1,1,1,0,0,0,0,0,0,1,1
130,1.92234621699394,0.384430982754995,AZ,2024-07-10,1,0,1,1,1,1,1,1,0,0,0,0,1,0,1,1
131,0.878351004985229,0.407225668059696,AZ,2024-07-11,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1
132,0.6498222519808,0.396239671767048,AZ,2024-07-12,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1
133,NA,NA,AZ,2024-07-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
134,1.02350701263787,0.511930530417645,AZ,2024-07-14,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1
135,1.43639186103333,0.365404839930033,AZ,2024-07-15,1,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1
136,2.35538338256235,0.408796991968704,AZ,2024-07-16,0,0,1,1,1,1,1,1,1,0,1,1,1,0,1,1
137,1.79720246215176,0.376438710879109,AZ,2024-07-17,1,1,1,1,1,0,1,1,1,1,0,1,1,0,1,1
138,3.61745589122224,0.4068957559156115,AZ,2024-07-18,1,0,0,1,1,1,1,1,1,0,0,0,1,0,1,1
139,0.865616350539994,0.4202898569337905,AZ,2024-07-19,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1
140,1.01875362638635,0.387571055985751,AZ,2024-07-20,1,0,1,1,1,1,1,1,0,0,0,1,1,0,1,1
141,2.84600588491896,0.380428725792556,AZ,2024-07-21,0,1,0,1,1,0,1,1,0,0,0,1,1,1,1,1
142,1.79630435758828,0.3637119111181965,AZ,2024-07-22,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1
143,1.76578245495004,0.413066485816711,AZ,2024-07-23,0,1,1,1,0,1,1,1,0,0,0,0,0,0,0,1
144,4.17047970869477,0.413549657360551,AZ,2024-07-24,1,0,0,0,1,1,1,1,0,0,0,0,0,0,1,1
145,1.26220500399065,0.4230424664112625,AZ,2024-07-25,1,0,1,1,1,1,1,1,0,0,1,1,1,0,1,1
146,0.947566515234261,0.3885713511330065,AZ,2024-07-26,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,1
147,1.63869825181321,0.350654256744956,AZ,2024-07-27,0,1,0,1,1,0,1,1,0,0,0,1,0,0,1,1
148,2.88249216711832,0.446713911891672,AZ,2024-07-28,0,0,1,1,1,1,1,0,0,0,0,0,1,1,1,0
149,1.53854915999155,0.3895202100604755,AZ,2024-07-29,1,1,1,1,0,1,1,1,0,0,1,1,0,0,1,1
150,2.02374274889118,0.4414353619426215,AZ,2024-07-30,0,0,1,1,1,0,1,1,0,0,0,1,1,0,1,1
151,4.45784948745253,0.4170186628560635,AZ,2024-07-31,0,1,0,0,1,1,1,1,0,1,0,0,1,1,1,1
152,1.13383518554783,0.393054075790254,AZ,2024-08-01,1,1,0,1,1,1,1,1,1,0,0,0,1,0,1,1
153,0.649362716050384,0.472136631954838,AZ,2024-08-02,1,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1
154,2.35019749891178,0.410481060463459,AZ,2024-08-03,1,1,1,0,1,1,1,1,0,1,0,0,1,1,1,1
155,1.70971574327206,0.448174197257156,AZ,2024-08-04,1,1,1,1,1,0,1,1,0,0,1,0,1,0,1,1
156,2.09953482657519,0.3666035266813535,AZ,2024-08-05,0,1,0,1,1,1,1,1,0,0,0,0,1,0,1,1
157,2.55744195750087,0.388167346577182,AZ,2024-08-06,1,1,1,0,1,1,1,1,1,0,1,0,1,0,1,1
158,3.96209677606626,0.4111263740207255,AZ,2024-08-07,1,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0
159,1.58888086569628,0.4096403896575855,AZ,2024-08-08,1,1,1,0,1,1,1,1,0,1,1,0,1,1,1,1
160,1.67118609386931,0.3674675121964615,AZ,2024-08-09,1,1,1,0,1,1,1,1,0,0,0,0,0,1,1,1
161,1.52637645399733,0.50403463662738,AZ,2024-08-10,0,1,1,1,0,1,1,1,0,1,0,0,0,0,1,1
162,0.744302481765522,0.3379149295812325,AZ,2024-08-11,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1
163,1.16037358405883,0.368712807203288,AZ,2024-08-12,1,1,1,0,1,1,1,1,0,1,1,0,1,1,1,1
164,5.9854946450556,0.423364626895464,AZ,2024-08-13,0,1,1,0,1,1,1,0,1,0,0,0,0,1,0,0
165,2.9094090539635,0.4837827005167425,AZ,2024-08-14,0,1,0,1,1,0,1,1,0,1,0,0,1,0,1,1
166,1.36161572125979,0.406276619381824,AZ,2024-08-15,1,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1
167,1.63799135329932,0.4185551594664495,AZ,2024-08-16,1,1,0,1,1,0,1,1,0,0,0,0,1,0,1,1
168,1.39323101076334,0.3559193155420025,AZ,2024-08-17,1,1,1,0,1,1,1,1,0,0,0,0,1,1,0,1
169,4.11042969045667,0.3802329752279315,CA,2024-07-07,0,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0
170,5.25613950320104,0.39368408306735603,CA,2024-07-08,0,1,0,1,1,1,1,1,0,1,0,0,0,0,1,1
171,9.65549318635085,0.3916805566438485,CA,2024-07-09,0,1,0,1,0,1,1,1,0,1,0,0,1,0,0,0
172,9.13243184204489,0.4116231305979775,CA,2024-07-10,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,1
173,8.03979935113659,0.404264688526135,CA,2024-07-11,0,0,0,1,1,0,1,1,0,0,0,1,0,0,0,0
174,6.143997305175,0.396222315986482,CA,2024-07-12,1,0,0,1,1,0,1,1,0,0,0,1,0,0,0,1
175,3.95768811498551,0.407380903829007,CA,2024-07-13,0,0,1,1,0,1,1,1,0,0,0,0,0,1,0,1
176,6.00164715026653,0.382420160030999,CA,2024-07-14,0,1,1,1,1,0,1,0,0,0,0,0,1,0,1,0
177,6.88794786193905,0.405605557520776,CA,2024-07-15,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0
178,8.09456808859389,0.404696259631083,CA,2024-07-16,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0
179,2.96166941406407,0.397655195453527,CA,2024-07-17,1,1,1,1,1,0,1,1,0,0,0,0,1,0,1,1
180,6.80889099951054,0.393690628999845,CA,2024-07-18,1,0,0,1,1,0,1,1,0,0,0,1,1,0,0,1
181,2.0652431816327,0.391193060442779,CA,2024-07-19,1,1,1,1,1,1,1,1,0,0,0,0,1,0,1,1
182,4.17772879467062,0.401842132809447,CA,2024-07-20,0,1,1,1,1,1,1,1,0,0,0,0,0,1,0,1
183,10.3577392900347,0.411419465298496,CA,2024-07-21,0,0,0,1,1,0,1,1,0,0,0,0,1,0,0,1
184,13.6661533201881,0.4060487771916305,CA,2024-07-22,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1
185,4.69947262018379,0.39339046084011853,CA,2024-07-23,0,1,1,0,1,0,1,1,0,0,0,1,1,0,0,1
186,11.6254733123978,0.4194042915681585,CA,2024-07-24,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
187,7.35448311118418,0.4145234545827715,CA,2024-07-25,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1
188,9.47814206953483,0.4095210863213885,CA,2024-07-26,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,1
189,4.34623482080846,0.401472057871926,CA,2024-07-27,1,1,0,0,1,1,1,1,0,0,0,0,1,0,0,1
190,10.4042612574708,0.4139515152719585,CA,2024-07-28,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,1
191,4.61804059495333,0.4015903649326805,CA,2024-07-29,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0,1
192,12.5071375177584,0.429116513962617,CA,2024-07-30,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,1
193,8.78334322801592,0.420163446062143,CA,2024-07-31,0,0,1,1,1,0,1,1,0,0,0,0,0,0,1,1
194,9.57539300566492,0.406710859474697,CA,2024-08-01,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,1
195,3.85373442678219,0.39998463013097,CA,2024-08-02,1,1,0,0,1,1,1,1,0,0,0,0,0,0,1,1
196,4.13488868130114,0.4061110891155445,CA,2024-08-03,0,0,1,0,1,0,1,1,0,0,0,0,1,0,0,1
197,6.98165524066617,0.393725374998981,CA,2024-08-04,0,0,0,0,1,1,1,1,0,0,0,0,1,0,1,1
198,7.05367812891289,0.403337484195515,CA,2024-08-05,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0
199,6.95224861656861,0.412446392395964,CA,2024-08-06,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
200,3.90274350421309,0.3977291925167065,CA,2024-08-07,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,1
201,3.71850769539432,0.402900909537501,CA,2024-08-08,1,1,1,1,1,0,1,1,0,1,0,1,1,0,1,1
202,11.4877008677159,0.417149506435245,CA,2024-08-09,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,1
203,6.18683789087333,0.40265605641649,CA,2024-08-10,1,1,0,1,1,0,1,1,0,0,0,0,1,0,1,1
204,5.56716073830232,0.415821155256177,CA,2024-08-11,1,1,1,1,0,0,1,1,0,0,1,0,0,0,1,1
205,7.88870113183067,0.4109187329224485,CA,2024-08-12,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0
206,5.62138482315934,0.424193320491549,CA,2024-08-13,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1
207,7.07332593443997,0.4199060446901235,CA,2024-08-14,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0
208,6.69634473185984,0.416575605143304,CA,2024-08-15,1,1,0,1,1,0,1,0,0,0,0,0,1,0,0,0
209,3.11742714736141,0.4114708554321825,CA,2024-08-16,1,1,1,1,1,0,1,1,1,1,0,0,1,0,1,1
210,4.20447417901617,0.4038530170215705,CA,2024-08-17,1,1,0,1,1,1,1,1,0,0,0,0,1,0,0,1
211,NA,NA,CO,2024-07-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
212,0.473835761359825,0.3744989523462375,CO,2024-07-08,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1
213,NA,NA,CO,2024-07-09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
214,0.491938359646088,0.372669753284877,CO,2024-07-10,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1
