...1,es_score,brier_score,location,target_date,X22F_50_CI,X23A_50_CI,X23B_50_CI,X23C_50_CI,X23D_50_CI,X23E_50_CI,X23F_50_CI,X23H_50_CI,X23G_50_CI,other_50_CI,X22F_95_CI,X23A_95_CI,X23B_95_CI,X23C_95_CI,X23D_95_CI,X23E_95_CI,X23F_95_CI,X23H_95_CI,X23G_95_CI,other_95_CI
89,2.43960009988578,0.3130802976150965,AR,2023-10-05,0,1,0,1,1,1,0,1,1,1,0,1,0,1,0,1,0,1,1,1
90,0.354457058792086,0.2698552584128,AR,2023-10-06,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
91,0.354369518972885,0.2716872189426995,AR,2023-10-07,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1
92,0.360942415916029,0.273561686161332,AR,2023-10-08,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1
93,1.44334660630722,0.275478112720602,AR,2023-10-09,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1
94,1.4543187925793,0.277435938801551,AR,2023-10-10,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1
95,1.51291932006775,0.2780114151675475,AR,2023-10-11,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1
96,1.10329419576119,0.3290055607405025,AR,2023-10-12,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,1,1,1
97,1.97986559883273,0.3381704162398365,AR,2023-10-13,1,1,0,1,1,1,0,1,1,1,1,0,0,1,1,0,0,1,1,1
98,NA,NA,AR,2023-10-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
99,NA,NA,AR,2023-10-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100,3.14753854942742,0.3287379721239305,AR,2023-10-16,1,1,0,1,1,1,0,1,1,1,1,1,0,1,0,0,0,1,1,0
101,0.809478914827554,0.579237711757555,AR,2023-10-17,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1
102,NA,NA,AR,2023-10-18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
103,2.12479257278142,0.2968207242655465,AR,2023-10-19,1,1,0,1,1,1,0,1,1,1,0,1,0,1,1,1,1,1,1,1
104,0.389161011058375,0.299158979465818,AR,2023-10-20,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1
105,0.408482350295091,0.3015316492802335,AR,2023-10-21,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1
106,NA,NA,AR,2023-10-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
107,2.91848025348812,0.4681096379272365,AR,2023-10-23,1,1,1,1,1,1,0,1,0,1,1,1,0,1,1,0,0,0,0,1
