"","es_score","brier_score","location","target_date","X22F_50_CI","X23A_50_CI","X23B_50_CI","X23C_50_CI","X23D_50_CI","X23E_50_CI","X23F_50_CI","recombinant_50_CI","X23G_50_CI","other_50_CI","X22F_95_CI","X23A_95_CI","X23B_95_CI","X23C_95_CI","X23D_95_CI","X23E_95_CI","X23F_95_CI","recombinant_95_CI","X23G_95_CI","other_95_CI"
"57",0.631333515581819,0.899765532988664,"AL",2023-07-23,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,0,1,1,1
"58",0.402591330807345,0.494894664426482,"AL",2023-07-24,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1
"59",0.904082739826808,0.854213203239514,"AL",2023-07-25,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1
"60",0.874478254081957,0.93410896944862,"AL",2023-07-26,1,1,1,1,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1
"61",NA,NA,"AL",2023-07-27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62",NA,NA,"AL",2023-07-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63",NA,NA,"AL",2023-07-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64",NA,NA,"AL",2023-07-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65",0.898198134330051,0.95603254306463,"AL",2023-07-31,1,0,1,1,1,1,1,1,1,1,0,0,1,1,1,0,0,1,1,1
"66",1.18603309880127,1.01922014104542,"AL",2023-08-01,0,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1
"67",0.881572936709397,0.849002129185432,"AL",2023-08-02,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,0,1
"68",0.697669267456732,1.03358578925802,"AL",2023-08-03,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1
"69",0.783324831240744,1.14265519574721,"AL",2023-08-04,0,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1
"70",NA,NA,"AL",2023-08-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71",NA,NA,"AL",2023-08-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72",NA,NA,"AL",2023-08-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73",0.797456402663698,1.15345728738446,"AL",2023-08-08,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1
"74",0.738341908061438,1.08349473588451,"AL",2023-08-09,1,0,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1
"75",0.735712885054283,1.09131757623764,"AL",2023-08-10,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1
"76",NA,NA,"AL",2023-08-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77",NA,NA,"AL",2023-08-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78",NA,NA,"AL",2023-08-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"79",0.438450964201567,0.541908530659574,"AL",2023-08-14,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1
"80",NA,NA,"AL",2023-08-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"81",0.804092091350258,0.863203355280446,"AL",2023-08-16,1,1,1,1,0,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1
"82",0.856282810035588,0.850983940674413,"AL",2023-08-17,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"83",0.808670660250583,0.582006276771175,"AL",2023-08-18,1,1,0,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,1,1
"84",1.0438680392836,0.571915488913054,"AL",2023-08-19,1,1,0,1,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1
"85",NA,NA,"AR",2023-07-09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"86",1.66754336321499,1.07850501709528,"AR",2023-07-10,1,1,1,1,0,1,0,1,1,1,0,0,0,1,0,1,0,1,1,1
"87",NA,NA,"AR",2023-07-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"88",NA,NA,"AR",2023-07-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"89",0.401109800600117,0.483769843744303,"AR",2023-07-13,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"90",NA,NA,"AR",2023-07-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"91",NA,NA,"AR",2023-07-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"92",NA,NA,"AR",2023-07-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"93",0.438002771664973,0.541274309153231,"AR",2023-07-17,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1
"94",NA,NA,"AR",2023-07-18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"95",0.844942032631594,0.844330591532674,"AR",2023-07-19,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1
"96",NA,NA,"AR",2023-07-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"97",0.427428484743967,0.639457877079019,"AR",2023-07-21,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"98",NA,NA,"AR",2023-07-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"99",NA,NA,"AR",2023-07-23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"100",NA,NA,"AR",2023-07-24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"101",NA,NA,"AR",2023-07-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"102",0.621179155257297,0.723994097457663,"AR",2023-07-26,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1
"103",NA,NA,"AR",2023-07-27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"104",0.945312868676939,0.767308135584048,"AR",2023-07-28,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,1,1,1
"105",NA,NA,"AR",2023-07-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"106",NA,NA,"AR",2023-07-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"107",0.391368146090161,0.598861614448004,"AR",2023-07-31,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"108",1.54611184898621,0.875106253274098,"AR",2023-08-01,0,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,0,1,1,1
"109",1.23534690386722,0.727007257010123,"AR",2023-08-02,1,1,0,1,1,1,1,1,1,1,1,0,0,1,0,0,0,1,1,1
"110",NA,NA,"AR",2023-08-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"111",0.703416970774648,1.06486412968873,"AR",2023-08-04,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1
"112",NA,NA,"AR",2023-08-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"113",NA,NA,"AR",2023-08-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"114",0.517156644174953,0.661749439876329,"AR",2023-08-07,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,0,1,1,1
"115",1.78698276475845,0.793606470571529,"AR",2023-08-08,1,1,0,1,0,1,1,1,1,1,0,0,0,1,0,1,0,1,1,1
"116",1.12454740883627,0.796187799259495,"AR",2023-08-09,1,1,1,1,1,1,1,0,1,1,1,0,0,1,1,1,0,0,1,1
"117",0.660311741369374,0.904787087084673,"AR",2023-08-10,1,0,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1
"118",0.680898110397544,0.766568139067975,"AR",2023-08-11,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"119",NA,NA,"AR",2023-08-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"120",NA,NA,"AR",2023-08-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"121",0.724625155577094,0.795391390026685,"AR",2023-08-14,1,0,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1
"122",0.435523759888454,0.59193819596624,"AR",2023-08-15,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1
"123",1.51569307718133,0.904590306959481,"AR",2023-08-16,1,0,0,1,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1
"124",1.53451401665285,0.735955309100021,"AR",2023-08-17,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
"125",1.56330751675603,0.950009938632524,"AR",2023-08-18,1,0,1,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,1
"126",0.743160374015179,1.11393775590037,"AR",2023-08-19,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,0,1,1,1,1
"127",4.12275078533331,0.79339171206682,"AZ",2023-07-09,1,0,0,1,1,1,1,1,0,1,1,0,0,1,0,0,0,1,0,1
"128",1.88308385056334,0.762605475622263,"AZ",2023-07-10,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,0,0,1,0,1
"129",2.34366330380607,0.774673744954633,"AZ",2023-07-11,1,1,0,1,1,1,0,1,1,1,0,0,0,1,0,1,0,1,1,1
"130",2.14786708464408,0.755083133090636,"AZ",2023-07-12,1,0,1,1,1,1,1,0,1,1,0,0,0,1,0,0,0,0,1,1
"131",2.85411019841233,0.733177700965811,"AZ",2023-07-13,1,0,0,1,1,1,1,1,1,0,0,0,1,1,0,0,0,1,0,0
"132",1.06358511339054,0.781356627532545,"AZ",2023-07-14,0,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,1,1,1
"133",1.8573657164919,0.834899306247588,"AZ",2023-07-15,1,1,1,1,1,1,0,1,1,1,0,1,0,1,1,1,0,1,1,1
"134",2.03927615655221,0.718569965161675,"AZ",2023-07-16,1,0,1,1,1,1,0,1,1,1,0,0,0,1,0,0,0,1,1,1
"135",3.7336736414387,0.78285212299686,"AZ",2023-07-17,1,0,0,1,1,0,1,1,1,1,0,0,0,1,0,0,0,1,1,1
"136",1.74900899225834,0.794547282937023,"AZ",2023-07-18,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,1,1
"137",2.42918822314186,0.738387697868253,"AZ",2023-07-19,1,0,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,1,1,1
"138",1.14644556132711,0.786809491711383,"AZ",2023-07-20,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1
"139",1.60557434064819,0.7166223640116,"AZ",2023-07-21,1,1,0,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1
"140",1.34921618349582,0.724326681693564,"AZ",2023-07-22,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,1,1
"141",0.678307458625231,0.745779314708407,"AZ",2023-07-23,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1
"142",2.96062225514525,0.794040817635206,"AZ",2023-07-24,1,0,1,0,1,0,0,1,1,1,0,0,0,0,0,0,0,1,0,1
"143",3.49881266334379,0.84979892062291,"AZ",2023-07-25,0,1,0,1,1,1,1,1,1,1,0,1,0,1,0,0,0,1,1,1
"144",1.71743268642454,0.836969553677803,"AZ",2023-07-26,1,1,1,1,0,1,1,1,0,1,0,0,0,1,0,0,1,1,0,1
