...1,es_score,brier_score,location,target_date,X22B_50_CI,X22E_50_CI,X22F_50_CI,X23A_50_CI,X23C_50_CI,other_50_CI,X22B_95_CI,X22E_95_CI,X22F_95_CI,X23A_95_CI,X23C_95_CI,other_95_CI
75,0.0217595848064655,0.01679151128416295,AL,2023-02-23,1,1,1,1,1,1,1,1,1,1,1,1
76,1.13282111526968,0.4453765855206295,AL,2023-02-24,1,1,1,0,1,0,1,1,1,0,1,0
77,1.26415673525268,0.88247859817853,AL,2023-02-25,1,1,1,0,1,0,1,0,1,1,1,0
78,NA,NA,AL,2023-02-26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
79,0.0116157562091753,0.01015018042886755,AL,2023-02-27,1,1,1,1,1,1,1,1,1,1,1,1
80,NA,NA,AL,2023-02-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
81,NA,NA,AL,2023-03-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
82,0.0272594132632537,0.00690559717841695,AL,2023-03-02,1,1,1,1,1,1,1,1,1,1,1,1
83,1.07331776601566,0.4304804859737105,AL,2023-03-03,1,0,1,0,1,1,1,0,1,0,1,1
84,NA,NA,AL,2023-03-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
85,0.796420515436818,0.1977196883750445,AR,2023-01-22,1,1,1,1,1,1,1,0,1,1,0,1
86,2.36989637083502,0.245016820347889,AR,2023-01-23,1,0,1,0,1,1,1,1,1,0,1,0
87,3.97585254490987,0.3277607689673745,AR,2023-01-24,1,0,1,0,1,1,0,0,1,0,1,1
88,2.80391264138229,0.330421620287885,AR,2023-01-25,0,0,1,0,1,1,0,0,0,0,1,0
89,1.35684033065418,0.227517204332962,AR,2023-01-26,1,1,1,1,0,1,0,1,0,0,1,1
90,2.6030797470824,0.3523951424317635,AR,2023-01-27,1,0,1,0,0,1,1,0,1,0,0,1
91,0.404188051049047,0.239071946930367,AR,2023-01-28,1,1,1,1,1,1,1,0,1,0,1,1
92,1.07519431386702,0.3289373129975935,AR,2023-01-29,1,1,1,0,1,1,0,0,1,0,0,1
93,15.2588001107169,0.5293921919312,AR,2023-01-30,0,0,1,0,1,1,0,0,1,0,0,0
94,0.349913255245172,0.164265262953367,AR,2023-01-31,1,1,1,1,1,1,1,1,1,1,1,1
95,2.69354131444679,0.4752643091865395,AR,2023-02-01,0,0,1,0,1,0,0,0,1,0,1,0
96,0.332166901945703,0.2295296239634945,AR,2023-02-02,1,1,1,1,1,1,1,0,1,0,1,1
97,0.516969740607935,0.22799854363954,AR,2023-02-03,1,1,1,1,1,1,1,0,1,0,1,1
98,1.11288030737611,0.3711662984464875,AR,2023-02-04,1,0,1,0,1,1,1,0,1,0,1,1
99,0.712668359767442,0.4993982909008185,AR,2023-02-05,1,1,1,1,1,1,1,0,1,0,1,1
