"","es_score","brier_score","location","target_date","X22F_50_CI","X23A_50_CI","X23B_50_CI","X23C_50_CI","X23D_50_CI","X23E_50_CI","X23F_50_CI","X23G_50_CI","other_50_CI","X22F_95_CI","X23A_95_CI","X23B_95_CI","X23C_95_CI","X23D_95_CI","X23E_95_CI","X23F_95_CI","X23G_95_CI","other_95_CI"
"94",NA,NA,"AR",2023-07-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"95",NA,NA,"AR",2023-07-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"96",NA,NA,"AR",2023-07-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"97",NA,NA,"AR",2023-07-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"98",NA,NA,"AR",2023-07-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"99",NA,NA,"AR",2023-07-09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"100",2.20549992457772,0.645898256725123,"AR",2023-07-10,1,0,1,1,0,1,0,1,1,1,0,0,1,0,0,0,1,1
"101",NA,NA,"AR",2023-07-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"102",NA,NA,"AR",2023-07-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"103",0.133284423818373,0.101765914766819,"AR",2023-07-13,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"104",NA,NA,"AR",2023-07-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"105",NA,NA,"AR",2023-07-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"106",NA,NA,"AR",2023-07-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"107",0.129565070435181,0.10778705247222,"AR",2023-07-17,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1
"108",NA,NA,"AR",2023-07-18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"109",0.829708196912343,0.396988816690084,"AR",2023-07-19,0,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1
"110",NA,NA,"AR",2023-07-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"111",0.764100916982406,0.487285380754266,"AR",2023-07-21,1,1,0,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1
"112",NA,NA,"AR",2023-07-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"113",NA,NA,"AR",2023-07-23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"114",NA,NA,"AR",2023-07-24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"115",NA,NA,"AR",2023-07-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"116",1.27696340481262,0.564321691158721,"AR",2023-07-26,1,0,1,1,1,1,0,1,1,1,0,0,1,1,1,0,1,1
"117",NA,NA,"AR",2023-07-27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"118",2.27859405361157,0.547705952501739,"AR",2023-07-28,1,0,0,1,1,1,0,1,1,1,0,0,1,0,1,0,1,1
"119",NA,NA,"AR",2023-07-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"120",NA,NA,"AR",2023-07-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"121",0.771053247422272,0.458055725041062,"AR",2023-07-31,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1
"122",2.61459307735891,0.503435250289275,"AR",2023-08-01,0,0,1,1,1,0,1,1,1,0,0,1,1,1,0,1,1,1
"123",2.17319041092492,0.417637657198492,"AR",2023-08-02,1,0,0,1,1,1,1,1,1,1,0,0,1,0,1,0,1,1
"124",NA,NA,"AR",2023-08-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"125",0.880094656793376,0.596456224461506,"AR",2023-08-04,1,1,1,1,0,1,1,1,1,1,0,1,1,0,1,1,1,1
"126",NA,NA,"AR",2023-08-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"127",1.63455327461358,0.381993389643931,"AZ",2023-06-25,1,1,0,1,1,1,1,1,1,1,0,0,1,0,0,1,1,1
"128",1.71443513628251,0.361781087017715,"AZ",2023-06-26,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,1,1
"129",3.0174074997876,0.338992595366005,"AZ",2023-06-27,0,0,0,1,1,1,1,1,1,0,0,0,1,0,0,0,1,1
"130",1.57350002879303,0.339289532812235,"AZ",2023-06-28,1,1,1,1,1,0,1,1,1,1,0,1,1,0,0,1,1,1
"131",2.12656920471124,0.3707871484411,"AZ",2023-06-29,1,1,0,0,1,1,1,1,1,0,0,0,0,0,1,0,1,0
"132",1.04799204745044,0.361212305749729,"AZ",2023-06-30,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,1,1
"133",1.0528898341241,0.286808639182501,"AZ",2023-07-01,1,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1
"134",2.51507089386438,0.365105720288855,"AZ",2023-07-02,1,1,0,1,1,1,1,1,1,1,0,0,1,1,1,0,1,0
"135",3.05869563911306,0.322385318427908,"AZ",2023-07-03,1,0,1,0,1,1,1,1,1,0,0,0,0,0,1,0,1,1
"136",2.3063552323148,0.329032256443066,"AZ",2023-07-04,1,0,1,1,0,1,1,1,0,0,0,1,1,1,1,1,1,0
"137",1.63232223452118,0.397802425080482,"AZ",2023-07-05,1,1,1,1,1,1,0,1,1,0,0,0,1,0,0,0,1,1
"138",1.36039439096067,0.437680586332174,"AZ",2023-07-06,1,1,1,1,0,1,1,1,1,1,0,0,1,0,1,0,1,0
"139",0.332096574707105,0.262146524400232,"AZ",2023-07-07,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"140",2.31097952098099,0.407851235538721,"AZ",2023-07-08,1,0,0,1,1,1,1,1,0,0,0,0,1,0,1,1,1,0
"141",4.35472038508733,0.399059208116883,"AZ",2023-07-09,1,0,0,1,1,1,1,0,1,0,0,0,1,0,0,1,0,1
"142",2.32213490719172,0.385788980251308,"AZ",2023-07-10,0,1,1,1,1,1,1,0,1,1,0,1,1,0,1,0,0,0
"143",2.59541900438366,0.391737813791537,"AZ",2023-07-11,1,1,1,1,1,1,0,1,1,0,0,0,1,0,0,0,1,1
"144",1.85828101850477,0.380028693057916,"AZ",2023-07-12,1,1,1,1,1,1,1,1,0,0,0,1,1,0,0,0,1,1
"145",2.46089771679189,0.372430680073325,"AZ",2023-07-13,1,0,0,1,1,1,1,1,0,1,0,0,1,0,0,1,1,0
"146",1.0482450958274,0.383469779779475,"AZ",2023-07-14,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,1,1,1
"147",2.03904854977355,0.426357418085209,"AZ",2023-07-15,1,1,1,1,1,1,0,1,1,1,0,0,0,1,0,0,1,1
"148",1.84766282706,0.360881166088024,"AZ",2023-07-16,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,1,1
"149",3.1267759643,0.392963344862503,"AZ",2023-07-17,1,1,1,1,1,0,1,1,1,0,0,0,1,0,0,0,1,1
"150",2.02327901119461,0.402497739101095,"AZ",2023-07-18,1,1,1,1,1,0,1,1,1,0,0,0,1,0,0,0,1,1
"151",2.01602484879759,0.379495773109912,"AZ",2023-07-19,1,0,1,1,1,1,1,1,1,1,0,0,1,1,0,0,1,1
"152",1.33092527407893,0.392725876301344,"AZ",2023-07-20,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1
"153",1.75138045487532,0.363602640857775,"AZ",2023-07-21,1,1,0,1,1,1,1,1,1,1,0,0,1,0,0,1,1,1
"154",1.24601442798593,0.378702680654207,"AZ",2023-07-22,1,0,1,1,1,1,1,1,1,1,0,1,1,0,1,0,1,1
"155",0.812665784725252,0.405863831427741,"AZ",2023-07-23,1,1,1,1,1,1,0,1,1,0,1,0,1,0,1,0,1,1
"156",3.5749564296816,0.410940659158488,"AZ",2023-07-24,1,1,1,0,1,1,0,1,1,0,0,0,0,0,1,0,1,0
"157",3.20294436322144,0.4234933392554,"AZ",2023-07-25,1,1,0,1,1,1,0,1,1,0,0,0,1,0,0,0,1,1
"158",1.95678238372019,0.422712202000349,"AZ",2023-07-26,1,1,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0,1
"159",1.30943400988473,0.423886283221689,"AZ",2023-07-27,0,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,1,1
"160",0.827899443577308,0.394898757795622,"AZ",2023-07-28,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1
"161",0.616681499848499,0.396288620553699,"AZ",2023-07-29,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1
"162",7.24754579472832,0.42803756029292,"AZ",2023-07-30,1,0,1,1,0,0,0,1,0,0,0,1,1,0,1,0,1,1
"163",2.83407831127718,0.427855455907183,"AZ",2023-07-31,1,1,1,1,1,1,0,1,0,0,0,1,1,0,1,0,1,0
"164",1.95794841687373,0.407219794827593,"AZ",2023-08-01,1,1,1,1,1,1,0,1,1,0,0,0,1,0,0,0,1,1
"165",3.38615760357606,0.40835418134508,"AZ",2023-08-02,1,1,1,1,1,1,0,1,1,1,0,0,1,0,0,0,1,1
"166",2.55927546514308,0.405010390409477,"AZ",2023-08-03,0,1,0,1,1,1,1,0,1,0,0,0,1,1,0,0,0,1
"167",0.763581895682825,0.432242132900943,"AZ",2023-08-04,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,0,1,1
"168",1.82394415057655,0.407059132792386,"AZ",2023-08-05,1,1,1,1,0,1,1,1,1,1,0,0,1,0,1,1,1,1
"169",1.12557461559959,0.341374167165605,"CA",2023-06-25,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,0,1,1
"170",2.09593690723391,0.403101367826472,"CA",2023-06-26,1,1,0,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1
"171",1.27584450786187,0.356689345050551,"CA",2023-06-27,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,1,1,1
"172",2.3443551977799,0.410434998866221,"CA",2023-06-28,0,1,0,1,1,1,1,1,1,0,0,0,1,0,0,1,1,0
"173",3.145071651164,0.407851354913927,"CA",2023-06-29,1,1,0,1,1,1,0,1,1,0,0,0,1,0,1,0,1,1
"174",1.72987548575119,0.383612950448059,"CA",2023-06-30,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0
"175",1.19766380421855,0.410399656452506,"CA",2023-07-01,1,1,1,1,0,1,1,1,1,0,1,0,1,0,1,1,1,1
"176",2.08218840961203,0.430171368416886,"CA",2023-07-02,1,0,1,1,0,1,0,1,1,0,0,0,1,0,0,0,1,1
"177",2.80635739785044,0.413709980584836,"CA",2023-07-03,1,0,1,1,0,1,1,1,1,0,0,1,1,0,1,1,1,0
"178",1.37185656721539,0.316497715232486,"CA",2023-07-04,1,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1
"179",3.83518514108964,0.386855429984437,"CA",2023-07-05,1,0,0,1,0,0,1,1,1,0,0,0,1,0,0,1,1,1
"180",3.81965484615535,0.39988306676095,"CA",2023-07-06,1,0,0,1,1,0,0,1,1,0,1,0,1,0,0,0,1,1
"181",1.58049943825232,0.360802177914797,"CA",2023-07-07,1,0,1,1,1,1,1,1,1,1,0,1,0,0,0,1,1,1
"182",2.27003524791573,0.369019849090611,"CA",2023-07-08,1,1,0,1,0,1,1,1,1,0,0,0,1,0,1,0,1,1
"183",0.642461485865733,0.39053281161786,"CA",2023-07-09,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0
"184",2.50146493268009,0.385759965352808,"CA",2023-07-10,1,0,1,1,0,1,1,0,1,1,0,1,1,0,0,0,0,1
"185",1.39257582887698,0.39895121151045,"CA",2023-07-11,1,1,1,0,1,1,1,1,1,0,0,0,0,1,0,0,1,1
"186",1.69298823359469,0.398415577250544,"CA",2023-07-12,1,1,1,1,1,1,0,1,1,0,1,0,1,1,1,0,1,1
"187",1.60608518583451,0.382769519054787,"CA",2023-07-13,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,1,1
"188",2.01426217456276,0.401438387572635,"CA",2023-07-14,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,1,1
"189",1.5055735697152,0.425335685490781,"CA",2023-07-15,1,1,1,1,1,1,0,1,1,1,0,0,1,0,0,0,1,1
"190",2.15124099111738,0.395254283803936,"CA",2023-07-16,0,1,1,1,0,1,1,1,1,0,0,1,1,1,0,1,1,1
"191",2.19272252964795,0.423123106652432,"CA",2023-07-17,1,1,1,0,1,1,1,0,1,0,0,0,1,0,0,0,0,0
"192",2.81487300142157,0.41481636147359,"CA",2023-07-18,0,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0,1,0
"193",3.3688045222153,0.408393500012437,"CA",2023-07-19,0,1,1,1,1,0,0,1,1,0,0,0,1,1,1,0,1,1
