...1,es_score,brier_score,location,target_date,X22A_50_CI,X22B_50_CI,X22D_50_CI,X22E_50_CI,other_50_CI,X22A_95_CI,X22B_95_CI,X22D_95_CI,X22E_95_CI,other_95_CI
105,0.458294899259352,0.1431553421894825,AR,2022-10-08,1,1,1,1,1,1,1,1,1,1
106,0.19021202855852,0.0196318645829308,AR,2022-10-09,1,1,1,1,1,1,1,1,1,1
107,0.663572483590227,0.02090912072654135,AR,2022-10-10,1,1,1,1,1,0,0,1,1,1
108,1.09704074809101,0.1037663444528865,AR,2022-10-11,1,1,1,1,1,0,0,1,0,1
109,0.517286968341028,0.169361328320678,AR,2022-10-12,1,1,1,1,1,0,0,1,1,1
110,0.516273076795169,0.1460055281075545,AR,2022-10-13,1,1,1,1,1,1,1,1,1,1
111,0.586940570644391,0.2064640260734415,AR,2022-10-14,1,1,1,1,1,1,0,1,0,1
112,0.676167732178422,0.265881536657525,AR,2022-10-15,0,1,1,1,1,0,1,1,0,1
113,0.592571921645024,0.2080248189424855,AR,2022-10-16,1,1,1,1,1,0,1,1,0,1
114,1.09230755332879,0.2398200491728635,AR,2022-10-17,0,1,1,1,1,0,0,1,1,1
115,1.51104207640512,0.108130129059767,AR,2022-10-18,1,1,0,1,1,0,1,0,1,1
116,0.793380843632852,0.3795851884664905,AR,2022-10-19,0,1,1,1,1,1,0,0,1,1
117,0.65793476208847,0.2149707488722695,AR,2022-10-20,1,1,1,1,1,0,0,1,1,1
118,1.41799184668446,0.411660352462555,AR,2022-10-21,1,1,0,1,0,1,0,0,0,0
119,1.44099055916543,0.0631375464450485,AR,2022-10-22,1,0,1,1,1,0,0,1,0,1
120,0.519248785198136,0.070568134606109,AR,2022-10-23,1,1,1,1,1,1,1,1,1,1
121,1.65604082820013,0.2309468840894075,AR,2022-10-24,0,1,1,1,1,0,0,1,0,1
122,2.43500399663393,0.2560537543087505,AR,2022-10-25,1,1,1,0,0,0,0,0,0,0
123,0.84637648135041,0.242689544969391,AR,2022-10-26,0,1,1,1,1,0,1,1,0,1
124,1.31412811472903,0.2036085398161215,AR,2022-10-27,1,1,1,0,1,1,0,1,0,1
125,0.742494751164031,0.123007378739757,AR,2022-10-28,1,1,1,1,1,1,1,1,1,1
126,1.22650790308666,0.136984935886634,AR,2022-10-29,1,0,1,1,1,0,0,1,0,1
127,0.794208749321612,0.087682145799376,AZ,2022-09-18,1,1,1,0,1,0,1,1,0,1
128,2.55143883268263,0.1307300690727105,AZ,2022-09-19,0,0,1,1,1,0,1,1,0,1
129,0.819814795972506,0.065221378429377,AZ,2022-09-20,1,1,1,0,1,0,0,0,0,1
130,3.37055571521315,0.2048404809386315,AZ,2022-09-21,0,0,0,1,1,0,0,0,0,1
131,0.948661721116048,0.1065882473917265,AZ,2022-09-22,1,1,1,1,1,0,0,1,0,1
132,1.11782089041669,0.00419471261126173,AZ,2022-09-23,1,0,1,1,1,1,0,1,0,1
133,0.169011808359434,0.00422756805349189,AZ,2022-09-24,1,1,1,1,1,1,0,1,0,1
134,0.903630522655882,0.0964847462962455,AZ,2022-09-25,0,1,1,1,1,0,0,1,1,1
135,1.30892974929346,0.0824662175034535,AZ,2022-09-26,1,1,1,1,0,0,0,1,0,0
136,2.16993658369989,0.10454249604888,AZ,2022-09-27,1,1,0,1,1,0,0,0,0,1
137,1.18923234625593,0.1153063736294005,AZ,2022-09-28,1,1,0,1,1,0,0,0,0,1
138,1.48421467423373,0.154586484175188,AZ,2022-09-29,1,1,0,1,0,0,0,0,0,0
139,0.60829304347133,0.004937762995320105,AZ,2022-09-30,1,1,1,1,1,1,1,1,1,1
140,0.613332519036646,0.0674578958292425,AZ,2022-10-01,1,1,1,1,1,0,1,1,0,1
141,3.36213550954392,0.296863631146218,AZ,2022-10-02,0,0,1,0,1,0,0,1,0,1
142,3.50241977623387,0.1772786943904615,AZ,2022-10-03,0,0,0,1,1,1,1,0,0,1
143,2.09227952581909,0.18845667160528,AZ,2022-10-04,0,0,1,1,1,0,0,1,0,1
144,1.39222637232505,0.081795786424039,AZ,2022-10-05,0,1,1,1,1,0,0,0,0,1
145,1.27884537215937,0.1148526186551405,AZ,2022-10-06,0,1,1,1,1,0,0,1,1,1
146,1.12462998687389,0.1356175165284405,AZ,2022-10-07,0,1,1,1,1,0,1,1,0,1
147,2.6105002945779,0.3452802666314565,AZ,2022-10-08,0,0,1,0,1,0,0,1,0,1
148,0.420429631917116,0.126532316849614,AZ,2022-10-09,1,1,1,1,1,1,0,0,1,1
149,2.66974017417979,0.1576126257823435,AZ,2022-10-10,1,1,1,1,0,1,0,0,0,0
150,1.56909205238419,0.064374650482974,AZ,2022-10-11,1,1,1,0,1,1,0,1,0,1
151,1.19607909674228,0.1904803694213775,AZ,2022-10-12,1,1,1,1,1,0,0,1,0,1
152,2.00911682133715,0.2265088371187625,AZ,2022-10-13,1,0,1,0,1,0,1,0,0,1
153,0.811920332471026,0.171496855940715,AZ,2022-10-14,1,1,1,1,1,0,1,0,1,1
154,0.651972314758679,0.0923464444595225,AZ,2022-10-15,1,1,1,1,1,1,0,1,0,1
155,0.583176016090684,0.1513396359421515,AZ,2022-10-16,1,1,1,1,1,1,0,1,0,1
156,3.52584649084156,0.113466951732221,AZ,2022-10-17,1,0,1,1,1,0,0,0,0,1
157,1.71186967294984,0.223892843977387,AZ,2022-10-18,1,1,1,1,1,0,0,1,0,1
158,3.08046885479888,0.287565499241957,AZ,2022-10-19,1,0,1,0,0,1,0,0,0,0
159,1.88875277128028,0.259521257084764,AZ,2022-10-20,1,1,1,1,1,0,0,1,0,1
160,1.23858013110319,0.133467000914711,AZ,2022-10-21,1,1,1,1,1,1,0,1,0,1
161,0.41335609230613,0.3317709741631745,AZ,2022-10-22,1,1,1,1,1,1,1,1,1,1
162,1.08702870540544,0.121405846807402,AZ,2022-10-23,1,1,1,1,1,1,0,0,0,1
163,1.32705742774804,0.2554434111170975,AZ,2022-10-24,1,1,1,1,1,0,0,0,0,1
164,3.62340924331073,0.280205895877982,AZ,2022-10-25,0,1,0,1,0,0,0,0,0,0
165,2.4424585023861898,0.2365638006816125,AZ,2022-10-26,1,1,0,1,1,1,0,0,0,1
166,2.40714842008842,0.3386307861684365,AZ,2022-10-27,0,1,1,1,1,0,0,0,0,1
167,3.2034611091848,0.2083638347565085,AZ,2022-10-28,1,0,1,0,1,0,0,1,0,1
168,2.85611334438057,0.362764942973387,AZ,2022-10-29,0,1,1,1,1,0,1,0,0,1
169,5.34739464258793,0.092959956222769,CA,2022-09-18,1,1,0,1,0,0,0,0,0,0
170,5.87820315435646,0.086825188556571,CA,2022-09-19,1,1,1,1,0,0,0,0,0,0
171,3.11087070090402,0.070484727830705,CA,2022-09-20,0,1,1,1,1,1,0,0,0,1
172,6.25162002099519,0.1155199785162115,CA,2022-09-21,0,0,1,1,0,0,0,0,0,0
173,1.75766575180017,0.0773023841077325,CA,2022-09-22,1,1,1,1,0,1,0,1,1,0
174,3.40949211125137,0.070752700807494,CA,2022-09-23,1,1,1,1,0,0,0,0,0,0
175,6.58065291150861,0.119745954439681,CA,2022-09-24,1,0,1,0,0,0,0,0,0,0
176,6.54899325788002,0.117332863774078,CA,2022-09-25,0,0,1,1,0,0,0,0,0,0
177,6.83059176653297,0.0913407875121205,CA,2022-09-26,1,1,0,1,0,1,0,0,0,0
178,6.45055850667882,0.128662572788687,CA,2022-09-27,0,0,1,0,0,0,0,0,0,0
179,2.89590958929184,0.0960044674733495,CA,2022-09-28,0,1,1,1,1,0,0,0,0,1
180,4.28748247082383,0.1224627564805765,CA,2022-09-29,1,0,0,1,1,0,0,0,0,1
181,9.91078110211483,0.153424936083281,CA,2022-09-30,0,0,1,1,0,0,0,0,0,0
182,6.07440028904366,0.121272312899834,CA,2022-10-01,0,1,1,1,0,0,0,0,0,0
183,6.20682252661119,0.14445597276428,CA,2022-10-02,0,0,1,1,0,0,0,1,0,0
184,11.0449369500509,0.134062431907316,CA,2022-10-03,0,0,1,0,0,0,0,0,0,0
185,5.01371850368353,0.13552450872313,CA,2022-10-04,1,1,0,1,0,0,0,0,0,0
186,6.18354273853164,0.136973103362238,CA,2022-10-05,0,1,1,0,0,0,0,0,0,0
187,7.4341255687996,0.1736333775524965,CA,2022-10-06,0,0,1,0,0,0,0,0,0,0
188,5.29283374601187,0.1628077473378175,CA,2022-10-07,0,0,1,1,0,0,0,1,0,0
189,2.87248226024882,0.144685131651093,CA,2022-10-08,1,1,1,0,0,0,0,0,0,0
190,4.75901063463381,0.155585558709982,CA,2022-10-09,0,1,0,0,0,0,0,0,0,0
191,8.45421905528683,0.1363822191907945,CA,2022-10-10,0,1,0,0,0,0,0,0,0,0
192,5.70371841331381,0.1858844048921605,CA,2022-10-11,0,0,1,1,0,0,0,0,0,0
193,10.8713104499067,0.2103653917919775,CA,2022-10-12,0,0,1,1,0,0,0,1,0,0
194,12.7294113260971,0.208877591935938,CA,2022-10-13,0,0,1,0,0,0,0,0,0,0
195,6.74467453460778,0.2019408044111155,CA,2022-10-14,1,1,1,1,0,0,0,0,0,0
196,5.4504291192503604,0.184481668880964,CA,2022-10-15,1,1,1,0,0,1,0,0,0,0
197,4.16480802297946,0.192565902170205,CA,2022-10-16,1,1,0,1,0,0,0,0,0,0
198,10.2863738782316,0.21200718755780051,CA,2022-10-17,0,1,1,0,0,0,0,0,0,0
199,8.03608524607388,0.253745257577356,CA,2022-10-18,0,0,0,1,0,0,0,0,0,0
200,12.8466485125589,0.2608796400328255,CA,2022-10-19,0,0,1,1,0,0,0,0,0,0
201,6.60982664354537,0.2274572563716255,CA,2022-10-20,0,1,1,0,0,0,0,0,0,0
202,6.41493105001018,0.1979662734493425,CA,2022-10-21,1,0,1,0,0,0,0,0,0,0
203,3.07287253012316,0.241772060732616,CA,2022-10-22,1,1,1,1,0,0,0,0,0,0
204,9.21954943409486,0.261142517715315,CA,2022-10-23,0,1,1,0,0,0,0,0,0,0
205,11.3364848528008,0.2844330761377085,CA,2022-10-24,0,1,0,0,0,0,0,0,0,0
206,3.86019378589354,0.2723244080647845,CA,2022-10-25,0,1,1,1,0,0,0,0,0,0
207,12.0154193670568,0.281726673042357,CA,2022-10-26,0,1,1,0,0,0,0,0,0,0
208,14.3857263118931,0.281436958062456,CA,2022-10-27,0,1,1,0,0,0,0,0,0,0
209,20.4553373291204,0.246585626756301,CA,2022-10-28,1,0,0,0,0,0,0,0,0,0
210,28.4092416940387,0.28514836150297,CA,2022-10-29,0,0,1,0,0,0,0,0,0,0
211,0.751979221038229,0.2166415810760335,CO,2022-09-18,0,1,1,1,1,0,0,1,1,1
212,0.765487259935749,0.0417382836494114,CO,2022-09-19,1,1,1,1,1,1,1,1,1,1
213,2.36958525566199,0.2225888280614895,CO,2022-09-20,1,0,1,0,1,0,0,1,0,1
214,1.28525561738132,0.1670733534275805,CO,2022-09-21,1,0,1,1,1,1,0,1,0,1
215,1.25501912238234,0.1749520327605125,CO,2022-09-22,0,1,1,1,1,0,0,1,1,1
216,0.740800856561863,0.0744666775252735,CO,2022-09-23,1,1,1,1,1,1,0,1,0,1
217,0.858837603405904,0.2868512823664875,CO,2022-09-24,0,1,1,1,1,0,0,1,1,1
218,0.572304999429591,0.1471573758886315,CO,2022-09-25,1,1,1,1,1,1,1,1,1,1
219,0.65309569088957,0.1138756492144435,CO,2022-09-26,1,1,1,1,1,0,0,0,0,1
220,0.707858615395006,0.00821520316418225,CO,2022-09-27,1,1,1,1,1,0,0,0,1,1
221,1.02054928105881,0.00864433858942575,CO,2022-09-28,1,0,1,1,1,0,0,1,1,1
222,0.888315264246618,0.050675462653245,CO,2022-09-29,1,1,1,1,1,0,0,1,1,1
223,0.545524569882974,0.1280053272417475,CO,2022-09-30,1,1,1,1,1,1,1,1,1,1
224,0.178054802595953,0.01048859915935825,CO,2022-10-01,1,1,1,1,1,1,1,1,1,1
225,0.187539031550782,0.01133975056788575,CO,2022-10-02,1,1,1,1,1,1,1,1,1,1
226,0.745098643014078,0.075185461122132,CO,2022-10-03,1,1,1,1,1,0,1,0,1,1
227,0.331478669112815,0.01351420744266795,CO,2022-10-04,1,1,1,1,1,1,1,1,1,1
228,0.614377857746233,0.1045972142654275,CO,2022-10-05,1,1,1,1,1,0,0,1,1,1
229,0.654063676069783,0.116709169998719,CO,2022-10-06,1,1,1,1,1,0,0,1,1,1
230,1.38018330252633,0.282206682721705,CO,2022-10-07,1,0,0,1,1,1,0,0,1,1
231,0.742331956180268,0.217687115239436,CO,2022-10-08,0,1,1,1,1,0,0,1,1,1
232,1.47837968519398,0.51971077245857,CO,2022-10-09,0,0,1,1,1,0,0,1,0,1
233,2.09836060442373,0.2452360681329215,CO,2022-10-10,0,0,1,1,1,0,0,0,0,1
234,2.86372632294435,0.2666956365772195,CO,2022-10-11,0,0,0,1,1,0,0,0,1,1
235,1.02436303540841,0.145514291283422,CO,2022-10-12,1,1,0,1,1,1,1,0,0,1
236,0.970001798849407,0.258084165460105,CO,2022-10-13,1,1,1,1,1,0,0,1,0,1
237,1.2193182092902,0.2525062638096115,CO,2022-10-14,1,1,1,1,0,1,0,1,1,0
238,0.829393554561375,0.2750530229665375,CO,2022-10-15,1,1,1,1,1,1,0,1,0,1
239,1.21368884667296,0.178909493808761,CO,2022-10-16,1,1,1,1,0,1,0,1,1,0
240,2.10190306474316,0.062045233867342,CO,2022-10-17,1,0,1,0,1,0,0,1,0,1
241,1.01707925149932,0.2016790336115435,CO,2022-10-18,1,1,1,1,1,1,0,1,0,1
242,0.726050810534579,0.1994997914802815,CO,2022-10-19,1,1,1,1,1,1,0,1,0,1
243,1.71610763963408,0.3077250205783095,CO,2022-10-20,1,1,0,1,1,1,0,0,1,1
244,0.911001129356662,0.3558673425494325,CO,2022-10-21,1,1,0,1,1,1,1,0,0,1
245,0.282488706164486,0.223130686253554,CO,2022-10-22,1,1,1,1,1,1,0,1,0,1
246,0.183538389639849,0.126940103584656,CO,2022-10-23,1,1,1,1,1,1,1,1,1,1
247,2.77747027035165,0.274702558837596,CO,2022-10-24,1,1,0,0,0,0,0,0,0,0
248,4.5988095437234104,0.3040877850468255,CO,2022-10-25,0,1,0,0,1,0,0,0,0,1
249,2.32791148622026,0.220844897272941,CO,2022-10-26,1,0,1,1,1,1,1,1,1,1
250,3.5188958753608,0.347932894084891,CO,2022-10-27,0,1,1,0,0,0,0,0,0,0
251,2.7947162150835,0.310532824993017,CO,2022-10-28,0,1,0,0,1,0,0,0,0,1
252,0.505175232027841,0.250800248207072,CO,2022-10-29,1,1,1,1,1,1,0,1,0,1
253,2.87701547376428,0.2007806548727625,CT,2022-09-18,0,0,1,1,1,0,0,0,0,1
254,1.08696895131649,0.117314546654566,CT,2022-09-19,1,1,1,1,1,0,0,1,0,1
255,2.65103314998676,0.1740165106706365,CT,2022-09-20,0,1,1,1,1,0,0,0,0,1
256,6.83756447661865,0.295956248364921,CT,2022-09-21,0,0,0,1,1,0,0,0,1,1
257,0.843636455727806,0.139555576077052,CT,2022-09-22,1,1,1,1,1,0,0,1,0,1
258,1.49320048536526,0.103331148540563,CT,2022-09-23,1,1,1,1,1,0,0,1,1,1
259,3.03599629277615,0.2351609602740225,CT,2022-09-24,0,0,1,1,1,0,1,0,0,1
260,1.2861854369494,0.172347969605967,CT,2022-09-25,1,1,1,1,1,0,0,1,0,1
261,1.68530111002018,0.0948354023089315,CT,2022-09-26,1,1,1,1,1,0,0,0,1,1
262,0.990223941883329,0.126891278930305,CT,2022-09-27,1,1,1,1,1,0,0,0,0,1
263,2.92352431711413,0.2250967948710465,CT,2022-09-28,0,0,1,1,1,0,1,0,1,1
264,1.37599779571948,0.104710604698351,CT,2022-09-29,1,1,1,1,1,0,0,0,0,1
265,2.28487284428579,0.092870654371835,CT,2022-09-30,1,0,1,1,1,0,0,1,1,1
266,2.10532088662701,0.212571296395812,CT,2022-10-01,1,0,1,0,1,0,0,1,0,1
267,0.990983667658567,0.1622982469147975,CT,2022-10-02,1,1,1,1,1,0,1,1,0,1
268,1.9246755147152,0.188283316478954,CT,2022-10-03,1,1,1,1,0,0,0,0,0,0
269,2.19514904096531,0.0943627050541065,CT,2022-10-04,0,0,1,1,1,0,0,0,1,1
270,0.686108766667152,0.1605933821798585,CT,2022-10-05,1,1,1,1,1,0,0,1,1,1
271,1.42434165556569,0.220208546179441,CT,2022-10-06,1,1,1,1,1,0,1,1,0,1
272,1.52196942036566,0.139746768633457,CT,2022-10-07,1,1,1,1,1,1,1,0,0,1
273,0.779850087474199,0.120490672205791,CT,2022-10-08,1,1,1,1,1,0,0,1,1,1
