...1,es_score,brier_score,location,target_date,X22A_50_CI,X22B_50_CI,other_50_CI,X22A_95_CI,X22B_95_CI,other_95_CI
104,2.22843436426462,0.2308783663960095,AR,2022-09-02,0,0,0,0,0,0
105,0.244271470131911,0.002643601635561975,AR,2022-09-03,1,1,1,0,0,1
106,1.24754423350428,0.152324508999323,AR,2022-09-04,0,0,1,0,0,1
107,1.26485008810694,0.144694141092033,AR,2022-09-05,1,0,0,0,0,0
108,5.10381455782193,0.1239082077411265,AR,2022-09-06,0,0,0,0,0,0
109,7.95071808437954,0.1995732306779085,AR,2022-09-07,0,0,0,0,0,0
110,5.21845175992071,0.238024154432467,AR,2022-09-08,0,0,1,0,0,1
111,3.14930729258552,0.192735374491482,AR,2022-09-09,0,0,1,0,0,1
112,1.13380560970576,0.1316281852293855,AR,2022-09-10,0,0,1,0,0,1
113,0.347569798282393,0.062630603639762,AR,2022-09-11,1,1,1,0,0,1
114,5.33039468500972,0.169411313745837,AR,2022-09-12,0,0,1,0,0,1
115,1.15265885666898,0.105575969286734,AR,2022-09-13,1,1,0,1,0,0
116,1.18693578453741,0.0435091721708151,AR,2022-09-14,1,1,0,0,0,0
117,2.11566268859867,0.153888272105279,AR,2022-09-15,0,0,1,0,0,1
118,1.71147895026696,0.1409679719805145,AR,2022-09-16,1,0,0,0,1,0
119,1.21628097618889,0.3206671584861275,AR,2022-09-17,1,0,0,1,0,0
120,1.65885038186749,0.205113335518468,AR,2022-09-18,0,0,1,0,0,1
121,2.13758939446905,0.119727342169764,AR,2022-09-19,1,0,0,1,0,0
122,0.790297440296447,0.0814589445098965,AR,2022-09-20,1,1,1,0,0,1
123,2.4046253615519,0.122754719039444,AR,2022-09-21,1,0,0,1,0,0
124,0.373832455808468,0.0629065103163745,AR,2022-09-22,1,1,1,0,0,1
125,0.888955856853334,0.2315963650330075,AR,2022-09-23,0,0,1,0,0,1
126,NA,NA,AR,2022-09-24,NA,NA,NA,NA,NA,NA
127,0.697278923099008,0.087634114345536,AZ,2022-08-14,1,1,1,0,0,1
128,3.8203081003339,0.123720536836548,AZ,2022-08-15,1,0,0,0,0,0
129,1.59731557324621,0.0469838911985852,AZ,2022-08-16,1,1,1,0,0,1
130,1.13901148731743,0.087074836574591,AZ,2022-08-17,1,1,0,0,0,0
131,3.50245641690479,0.160291594223526,AZ,2022-08-18,0,0,1,0,0,1
132,0.987119364655682,0.103920006811615,AZ,2022-08-19,1,1,1,0,0,1
133,0.325066985879315,0.0622492681556145,AZ,2022-08-20,1,1,1,1,1,1
134,5.80074696443499,0.2036846063499855,AZ,2022-08-21,0,0,0,0,0,0
135,4.10554346560776,0.120829529386223,AZ,2022-08-22,0,0,1,0,0,1
136,0.618816934108946,0.0500261746740225,AZ,2022-08-23,1,1,1,0,0,1
137,5.11728492262498,0.1786367724655495,AZ,2022-08-24,0,0,1,0,0,1
138,0.390182059474587,0.0834939566936975,AZ,2022-08-25,1,1,1,0,0,1
139,1.65997420879115,0.1189568608433045,AZ,2022-08-26,1,0,0,0,1,0
140,0.581058230526469,0.0740587047983985,AZ,2022-08-27,1,1,1,0,0,1
141,1.50288184263494,0.0876230280986325,AZ,2022-08-28,0,1,1,0,0,1
142,2.00886190766331,0.081514701776751,AZ,2022-08-29,0,1,1,0,0,1
143,2.96444946017081,0.1202573696349105,AZ,2022-08-30,0,0,1,0,0,1
144,1.24329132650142,0.03779254559584505,AZ,2022-08-31,1,1,0,1,0,0
145,2.43651120054588,0.142578207839754,AZ,2022-09-01,0,0,0,0,0,0
146,1.08216570165379,0.082859448542237,AZ,2022-09-02,1,1,0,0,1,0
147,0.422891205061058,0.00237871521584581,AZ,2022-09-03,1,1,1,1,1,1
148,0.413778001309255,0.066899942735223,AZ,2022-09-04,1,1,1,0,0,1
149,3.10124907982029,0.133065095847231,AZ,2022-09-05,0,0,0,0,0,0
150,4.23002086948044,0.1651795400097705,AZ,2022-09-06,0,0,0,0,0,0
151,0.344573758508902,0.0526055976981845,AZ,2022-09-07,1,1,1,0,0,1
152,2.9538487186433,0.230452851485621,AZ,2022-09-08,0,0,1,0,0,1
153,5.14513218011578,0.256378735465413,AZ,2022-09-09,0,0,1,0,0,1
154,2.24091203450341,0.157001172503168,AZ,2022-09-10,0,0,0,0,0,0
155,0.415202016044033,0.059122713144249,AZ,2022-09-11,1,1,1,1,1,1
156,3.62597949801558,0.1074031888174305,AZ,2022-09-12,0,0,0,0,0,0
157,1.4162295038603,0.112402477581404,AZ,2022-09-13,1,0,0,0,0,0
158,4.15613946426213,0.2194480740973785,AZ,2022-09-14,0,0,1,0,0,1
159,1.58699102217439,0.125116026505995,AZ,2022-09-15,0,0,1,0,0,1
160,0.22434300367516,0.001199431893451635,AZ,2022-09-16,1,1,1,1,1,1
161,1.55039141723523,0.1276974193063355,AZ,2022-09-17,1,0,0,1,0,0
162,1.09164024229712,0.088967686701792,AZ,2022-09-18,1,1,0,0,1,0
163,5.76180653385484,0.136030616818545,AZ,2022-09-19,0,0,0,0,0,0
164,1.05957165691438,0.065539595243827,AZ,2022-09-20,1,1,0,1,0,0
