...1,es_score,brier_score,location,target_date,X22E_50_CI,X22F_50_CI,X23A_50_CI,X23C_50_CI,X23D_50_CI,X23B_50_CI,other_50_CI,X22E_95_CI,X22F_95_CI,X23A_95_CI,X23C_95_CI,X23D_95_CI,X23B_95_CI,other_95_CI
169,4.45714360217115,0.171354086904808,CA,2023-03-19,0,1,0,1,1,1,0,0,0,0,0,0,0,0
170,2.70093048254473,0.0623383091246525,CA,2023-03-20,1,1,0,1,1,1,0,0,0,1,1,0,0,0
171,2.16060938623869,0.090141403566792,CA,2023-03-21,1,1,1,1,1,0,1,0,0,0,0,0,1,1
172,3.61356827612185,0.1228775237890305,CA,2023-03-22,0,1,1,1,1,1,0,0,0,0,1,0,0,0
173,4.22170203587531,0.136490843985473,CA,2023-03-23,1,0,0,1,0,1,0,1,0,0,0,0,1,0
174,3.8013577433777,0.133701718826995,CA,2023-03-24,1,0,0,1,1,1,0,1,0,0,0,0,0,0
175,8.19272794620686,0.2353496011431255,CA,2023-03-25,0,0,0,0,1,0,0,0,0,0,0,1,0,0
176,4.99035913952231,0.173949131656229,CA,2023-03-26,1,1,0,0,1,0,0,0,0,0,0,0,0,0
177,2.74846609872988,0.09753023517751,CA,2023-03-27,1,0,1,1,1,1,0,0,1,0,0,0,0,0
178,2.00801739627623,0.052346924359096,CA,2023-03-28,1,1,0,1,1,1,1,1,1,0,0,1,0,1
179,7.6794075755707,0.201952369671743,CA,2023-03-29,0,0,0,1,1,0,0,0,0,0,0,0,0,0
180,1.62855183064251,0.0709356925383995,CA,2023-03-30,1,0,1,1,1,1,1,0,0,0,1,1,0,1
181,2.24087921696015,0.119139071814315,CA,2023-03-31,0,0,1,0,1,1,1,0,0,1,0,1,0,1
182,6.03279247401224,0.2015367053218665,CA,2023-04-01,1,0,0,0,0,0,1,0,0,0,0,0,1,1
183,4.19379506833113,0.169234018199785,CA,2023-04-02,1,0,0,0,0,1,0,1,0,0,0,0,1,0
184,5.34744773378641,0.1578100242004305,CA,2023-04-03,1,0,0,0,1,1,0,1,0,0,0,0,0,0
185,2.32689646958227,0.081907714634122,CA,2023-04-04,1,0,1,0,1,0,1,0,0,0,0,1,0,1
186,5.42482468061238,0.1647929445275105,CA,2023-04-05,1,0,0,0,0,1,0,0,0,0,0,0,0,0
