"","es_score","brier_score","location","target_date","X22E_50_CI","X22F_50_CI","X23A_50_CI","X23D_50_CI","X23B_50_CI","other_50_CI","X22E_95_CI","X22F_95_CI","X23A_95_CI","X23D_95_CI","X23B_95_CI","other_95_CI"
"88",0.857534134613339,0.385750374509824,"AR",2023-03-08,1,1,1,1,1,0,0,1,1,1,1,0
"89",0.257238323388243,0.0340134859914787,"AR",2023-03-09,1,1,1,1,1,1,0,1,0,1,1,1
"90",0.262537148603718,0.0306170650048468,"AR",2023-03-10,1,1,1,1,1,1,0,1,0,1,1,1
"91",1.09410508384913,0.893239181910555,"AR",2023-03-11,1,1,1,0,1,1,1,1,0,0,1,1
"92",1.09708356731068,1.58263087353319,"AR",2023-03-12,0,1,0,1,1,1,0,1,0,1,1,1
"93",0.0614330878612421,0.0223398664944413,"AR",2023-03-13,1,1,1,1,1,1,1,1,1,1,1,1
"94",0.962051436044468,0.461325250870301,"AR",2023-03-14,1,1,1,1,1,0,1,1,0,1,1,0
"95",0.0584793564787543,0.0181448745305454,"AR",2023-03-15,1,1,1,1,1,1,1,1,1,1,1,1
"96",0.0465915810262743,0.0163737440154705,"AR",2023-03-16,1,1,1,1,1,1,1,1,1,1,1,1
"97",0.606539984899668,0.346746110639349,"AR",2023-03-17,1,1,1,1,1,1,0,1,0,1,1,1
"98",1.00444995328077,0.85176591309693,"AR",2023-03-18,0,1,0,1,1,1,0,1,0,1,1,1
"99",NA,NA,"AR",2023-03-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"100",0.0791026597648196,0.011023339055641,"AR",2023-03-20,1,1,1,1,1,1,1,1,1,1,1,1
"101",0.608232273273977,0.0100411457511296,"AR",2023-03-21,1,1,1,1,1,1,1,1,1,1,1,1
"102",1.57336497287744,0.00917510157301788,"AR",2023-03-22,1,1,0,1,1,1,1,1,1,1,1,1
"103",0.0317690302026767,0.00841458905283041,"AR",2023-03-23,1,1,1,1,1,1,1,1,1,1,1,1
"104",0.0324591161504806,0.00775024089487933,"AR",2023-03-24,1,1,1,1,1,1,0,1,0,1,1,1
"105",NA,NA,"AR",2023-03-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"106",1.18198641163694,0.936225959815299,"AR",2023-03-26,1,1,0,1,1,0,1,1,0,1,1,0
"107",0.00903375579925123,0.00625809090305713,"AR",2023-03-27,1,1,1,1,1,1,1,1,1,1,1,1
"108",1.9467623727276,0.603822901833657,"AR",2023-03-28,0,1,0,1,1,1,0,1,0,1,1,1
"109",0.734713373940415,0.00562408423925856,"AR",2023-03-29,1,1,1,1,1,1,0,1,0,1,1,1
"110",0.033273971488805,0.0054039991869203,"AR",2023-03-30,1,1,1,1,1,1,1,1,1,1,1,1
"111",0.0109219006067663,0.00524605428630832,"AR",2023-03-31,1,1,1,1,1,1,1,1,1,1,1,1
"112",0.0121016658428656,0.005149837067211,"AR",2023-04-01,1,1,1,1,1,1,1,1,1,1,1,1
"113",0.0480228184701408,0.00511617348144542,"AR",2023-04-02,1,1,1,1,1,1,1,1,1,1,1,1
"114",0.0125277683897037,0.00514723049377616,"AR",2023-04-03,1,1,1,1,1,1,1,1,1,1,1,1
"115",0.464580885090081,0.00524664958992659,"AR",2023-04-04,1,1,1,1,1,1,1,1,0,1,0,1
"116",0.309531196118393,0.00541971487937785,"AR",2023-04-05,1,1,1,1,1,1,1,1,1,1,1,1
"117",0.0204642641794807,0.00567355967431198,"AR",2023-04-06,1,1,1,1,1,1,1,1,1,1,1,1
"118",1.11889388535905,0.938565004177642,"AR",2023-04-07,1,1,1,1,1,0,1,1,0,1,1,0
"119",NA,NA,"AR",2023-04-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"120",0.100796783397907,0.00702439714254829,"AR",2023-04-09,1,1,1,1,1,1,1,1,0,1,0,1
"121",0.224545763059108,0.00771938187684087,"AR",2023-04-10,1,1,1,1,1,1,1,1,1,1,1,1
"122",0.0464079129638766,0.0085689390251097,"AR",2023-04-11,1,1,1,1,1,1,1,1,1,1,1,1
"123",0.149947122221636,0.0095982251557703,"AR",2023-04-12,1,1,1,1,1,1,1,1,1,1,1,1
"124",NA,NA,"AR",2023-04-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"125",NA,NA,"AR",2023-04-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"126",NA,NA,"AR",2023-04-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"127",0.764877316613865,0.151899267897577,"AZ",2023-03-05,1,1,1,1,1,1,0,0,1,1,1,1
"128",1.80828144797801,0.233112370836812,"AZ",2023-03-06,1,1,1,1,1,0,0,0,0,0,1,0
