...1,es_score,brier_score,location,target_date,X22F_50_CI,X23A_50_CI,X23B_50_CI,X23D_50_CI,recombinant_50_CI,X23E_50_CI,X23F_50_CI,X23G_50_CI,other_50_CI,X22F_95_CI,X23A_95_CI,X23B_95_CI,X23D_95_CI,recombinant_95_CI,X23E_95_CI,X23F_95_CI,X23G_95_CI,other_95_CI
100,NA,NA,AR,2023-06-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
101,NA,NA,AR,2023-06-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
102,0.155274850749813,0.1240739637003735,AR,2023-06-07,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1
103,0.171602596858803,0.1302886103591965,AR,2023-06-08,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1
104,0.184771498990822,0.1367116047859165,AR,2023-06-09,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1
105,NA,NA,AR,2023-06-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
106,NA,NA,AR,2023-06-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
107,0.539629263412961,0.157202476307278,AR,2023-06-12,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1
108,0.543256238125496,0.381863662525994,AR,2023-06-13,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1
109,0.548094503137592,0.371823541392112,AR,2023-06-14,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1
110,NA,NA,AR,2023-06-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
111,0.52850270969276,0.352289513765515,AR,2023-06-16,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1
112,NA,NA,AR,2023-06-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
113,NA,NA,AR,2023-06-18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
114,0.265090810727149,0.211479346593589,AR,2023-06-19,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
115,NA,NA,AR,2023-06-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
116,NA,NA,AR,2023-06-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
117,0.304151163041664,0.23700401219201,AR,2023-06-22,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1
118,0.317437416616178,0.2457392484473445,AR,2023-06-23,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1
119,NA,NA,AR,2023-06-24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
120,NA,NA,AR,2023-06-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
121,2.37595579240215,0.272456770814609,AR,2023-06-26,1,0,0,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1
122,0.402028501849902,0.261740106667444,AR,2023-06-27,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1
123,NA,NA,AR,2023-06-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
124,NA,NA,AR,2023-06-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
125,NA,NA,AR,2023-06-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
126,NA,NA,AR,2023-07-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
127,1.04017351179717,0.1952624275075685,AZ,2023-05-21,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,0,1,1
128,1.41671556404674,0.2068163467057555,AZ,2023-05-22,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,0,1
129,1.13710405362874,0.172161398033478,AZ,2023-05-23,0,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1
130,1.32625714185909,0.2772475577445245,AZ,2023-05-24,0,1,0,1,1,1,1,1,1,0,0,0,0,1,1,0,1,1
131,0.472390065257203,0.0672939232520315,AZ,2023-05-25,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1
132,0.909508392814234,0.269813032002712,AZ,2023-05-26,1,1,1,0,1,1,1,1,1,1,1,1,0,1,0,1,1,1
133,0.541977266253314,0.0741010291768415,AZ,2023-05-27,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1
134,2.10017696159101,0.301175461665045,AZ,2023-05-28,0,1,0,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1
