...1,es_score,brier_score,location,target_date,X22A_50_CI,X22B_50_CI,X22C_50_CI,other_50_CI,X22A_95_CI,X22B_95_CI,X22C_95_CI,other_95_CI
91,2.9023587305667,0.3636586711703625,AR,2022-08-06,0,0,1,1,0,0,1,1
92,0.585831572423043,0.0687688540303555,AR,2022-08-07,1,1,1,1,0,0,1,1
93,3.6895551446068,0.1904295267786425,AR,2022-08-08,1,0,0,0,0,0,0,0
94,1.35550653221196,0.1052132782782715,AR,2022-08-09,1,1,1,1,0,0,1,1
95,3.50077084147297,0.1538280760100605,AR,2022-08-10,1,0,0,0,1,0,0,0
96,1.98688957814742,0.1400264128547685,AR,2022-08-11,1,0,1,0,1,0,1,0
97,0.601990482955109,0.0905134108002375,AR,2022-08-12,1,1,1,1,0,0,1,1
98,3.07233676306758,0.217273347217502,AR,2022-08-13,0,0,1,1,0,0,1,1
99,0.111010158948031,0.0059243007771605,AR,2022-08-14,1,1,1,1,1,0,0,1
100,4.08237392311907,0.140138765611243,AR,2022-08-15,0,0,0,1,0,0,0,1
101,1.77029858623312,0.0056715815163395,AR,2022-08-16,0,0,1,1,1,0,0,1
102,0.501865442214059,0.0425645674854895,AR,2022-08-17,1,1,1,1,1,1,1,1
103,0.531027689906001,0.066351073499987,AR,2022-08-18,1,1,1,1,0,0,0,1
104,2.36197827494059,0.268643547955074,AR,2022-08-19,0,0,1,0,0,0,1,0
105,0.566713528431383,0.0052201425660682,AR,2022-08-20,1,1,1,1,0,0,1,1
106,1.99983597811225,0.193734284633655,AR,2022-08-21,0,0,1,0,0,0,1,0
107,5.04123775081244,0.1949615169155265,AR,2022-08-22,0,0,1,0,0,0,1,0
108,1.03809351508204,0.04001600166777515,AR,2022-08-23,1,1,1,1,0,1,0,1
109,2.36162915138302,0.115858374882737,AR,2022-08-24,1,0,1,0,0,0,1,0
110,2.64172955710082,0.1415961779757005,AR,2022-08-25,0,0,1,0,0,0,1,0
111,0.591756238032774,0.0710893663307365,AR,2022-08-26,1,1,1,1,0,0,1,1
112,0.407890499494124,0.04217020888470025,AR,2022-08-27,1,1,1,1,0,0,1,1
113,3.66290400893729,0.2519721324708495,AR,2022-08-28,0,0,1,1,0,0,1,1
114,3.26681983891202,0.1180484429705335,AR,2022-08-29,0,0,1,0,0,0,1,0
115,1.79563773487877,0.087482868624205,AR,2022-08-30,1,0,1,0,0,0,1,0
116,3.53530382087242,0.1449506320276015,AR,2022-08-31,0,0,1,0,0,0,1,0
117,5.91235025024433,0.1556348084299095,AR,2022-09-01,0,0,1,1,0,0,1,1
118,2.28098307894137,0.227370034418377,AR,2022-09-02,0,0,1,0,0,0,1,0
119,0.232410805328644,0.004022124474721635,AR,2022-09-03,1,1,1,1,0,0,1,1
120,1.42082440105603,0.149666967354186,AR,2022-09-04,0,0,1,1,0,0,1,1
121,1.29634394361425,0.1432968966212795,AR,2022-09-05,1,0,1,0,1,0,1,0
122,5.84123718644776,0.122134299321255,AR,2022-09-06,0,0,1,0,0,0,1,0
123,8.2323591153682,0.1958296410881035,AR,2022-09-07,0,0,1,0,0,0,1,0
124,5.60863342525629,0.2328693014184705,AR,2022-09-08,0,0,1,1,0,0,1,1
125,3.39579760183561,0.1887949805554145,AR,2022-09-09,0,0,1,1,0,0,0,1
126,1.28542274771363,0.129360591022631,AR,2022-09-10,0,0,1,1,0,0,1,1
127,1.77922394635556,0.0568657972950265,AZ,2022-07-31,1,0,1,1,0,1,0,1
128,6.02214450184552,0.2501871330528855,AZ,2022-08-01,0,0,0,0,0,0,0,0
129,2.51975802408418,0.11856772566316,AZ,2022-08-02,1,1,1,0,0,0,0,0
130,6.69665537253633,0.2436289838370605,AZ,2022-08-03,0,0,1,0,0,0,0,0
131,1.11624709433601,0.104782023076659,AZ,2022-08-04,1,1,1,1,0,0,0,1
132,1.2647388187327,0.0938183531057565,AZ,2022-08-05,1,1,1,1,0,0,0,1
133,1.33247329961567,0.105694486253472,AZ,2022-08-06,1,1,1,0,1,1,0,0
134,2.15750650124076,0.139293781900779,AZ,2022-08-07,1,0,0,0,0,0,0,0
135,1.16196669973052,0.0541093201146595,AZ,2022-08-08,1,1,1,1,1,0,0,1
136,3.20815092155399,0.0728661585256125,AZ,2022-08-09,0,1,1,0,0,1,0,0
137,5.09491752250595,0.1289651361964565,AZ,2022-08-10,0,0,1,1,0,0,1,1
138,2.67995452081257,0.1103810718072585,AZ,2022-08-11,0,0,1,1,0,0,0,0
139,0.957417061411665,0.0826386508412535,AZ,2022-08-12,1,1,1,1,0,0,0,1
140,1.02019672332571,0.0505316676493165,AZ,2022-08-13,1,1,0,1,1,1,1,1
141,0.987007681198508,0.088463529649094,AZ,2022-08-14,1,1,1,1,0,0,1,1
142,5.34338381664876,0.1253043077760415,AZ,2022-08-15,1,0,1,0,0,0,1,0
143,1.01735838867768,0.0462431105056649,AZ,2022-08-16,1,1,1,1,0,0,1,1
144,1.82148161676965,0.0877754552196585,AZ,2022-08-17,1,0,1,0,0,0,1,0
145,4.80619436313214,0.16438334829751,AZ,2022-08-18,0,0,1,1,0,0,0,1
146,1.49336627799486,0.1057345237499685,AZ,2022-08-19,0,0,1,1,0,0,1,1
147,0.368670398159802,0.062422717051415,AZ,2022-08-20,1,1,1,1,0,0,1,1
148,6.91596603613564,0.2091050566896365,AZ,2022-08-21,0,0,1,0,0,0,1,0
149,6.51508567392794,0.1234456400709765,AZ,2022-08-22,0,0,1,1,0,0,1,1
150,0.559583927530436,0.0498935230877574,AZ,2022-08-23,1,1,1,1,0,0,0,1
151,6.4717143828097,0.1835504155873165,AZ,2022-08-24,0,0,1,1,0,0,1,1
152,0.547562284171414,0.084756545618523,AZ,2022-08-25,1,1,1,1,0,0,1,1
153,2.61885556611671,0.1210483321108745,AZ,2022-08-26,0,0,1,0,0,0,1,0
154,0.924846498004432,0.075038748214118,AZ,2022-08-27,1,1,1,1,0,0,1,1
155,2.40337531447811,0.0891393409130745,AZ,2022-08-28,0,0,1,1,0,0,1,1
156,3.55784514572686,0.082834710254528,AZ,2022-08-29,0,0,1,1,0,0,1,1
157,4.10574027188923,0.122996806877687,AZ,2022-08-30,0,0,1,1,0,0,1,1
158,1.04230843768254,0.03699811766537605,AZ,2022-08-31,1,1,1,0,0,1,1,0
159,3.17920586367591,0.145472483371176,AZ,2022-09-01,0,0,1,0,0,0,1,0
160,1.26945855645331,0.0836084495408515,AZ,2022-09-02,1,0,1,0,1,0,1,0
161,0.218151995717055,0.001119782928661755,AZ,2022-09-03,1,1,1,1,0,0,1,1
162,0.608681349671682,0.0678548712229515,AZ,2022-09-04,1,1,1,1,0,0,1,1
163,3.87521419042202,0.1357698573372585,AZ,2022-09-05,0,0,1,0,0,0,1,0
164,5.39802314723319,0.168444750533044,AZ,2022-09-06,0,0,1,0,0,0,1,0
165,0.535476421421243,0.0531586926581805,AZ,2022-09-07,1,1,1,1,0,0,1,1
166,3.32997716790832,0.2366227195578135,AZ,2022-09-08,0,0,1,1,0,0,1,1
167,5.86173538792069,0.2632824401113985,AZ,2022-09-09,0,0,1,1,0,0,1,1
168,2.81130198111853,0.1599710348308755,AZ,2022-09-10,0,0,1,0,0,0,1,0
169,8.31191877132987,0.114260584091128,CA,2022-07-31,1,1,1,0,0,0,0,0
170,10.1696132605246,0.0935792038221485,CA,2022-08-01,0,1,1,0,0,0,1,0
171,7.96611484249571,0.0981094659986405,CA,2022-08-02,1,1,1,0,0,0,0,0
172,14.06947839611,0.137003998242698,CA,2022-08-03,0,0,1,0,0,0,0,0
