"","es_score","brier_score","location","target_date","X22F_50_CI","X23A_50_CI","X23C_50_CI","X23D_50_CI","recombinant_50_CI","X23B_50_CI","X23E_50_CI","other_50_CI","X22F_95_CI","X23A_95_CI","X23C_95_CI","X23D_95_CI","recombinant_95_CI","X23B_95_CI","X23E_95_CI","other_95_CI"
"69",NA,NA,"AL",2023-05-26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70",NA,NA,"AL",2023-05-27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71",NA,NA,"AL",2023-05-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72",NA,NA,"AL",2023-05-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73",NA,NA,"AL",2023-05-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74",0.612208800546037,0.279309592592907,"AL",2023-05-31,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1
"75",NA,NA,"AL",2023-06-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76",NA,NA,"AL",2023-06-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77",NA,NA,"AL",2023-06-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78",NA,NA,"AL",2023-06-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"79",NA,NA,"AL",2023-06-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"80",NA,NA,"AL",2023-06-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"81",0.603417858856508,0.958473869582799,"AL",2023-06-07,1,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1
"82",0.308449311603104,0.374920637058253,"AL",2023-06-08,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"83",NA,NA,"AL",2023-06-09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"84",NA,NA,"AL",2023-06-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"85",0.0940414072752132,0.0136642297924811,"AR",2023-04-30,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"86",NA,NA,"AR",2023-05-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"87",1.25080302368731,1.78635925120214,"AR",2023-05-02,1,0,1,1,1,1,1,0,1,0,1,1,1,1,1,0
"88",0.0174942884170242,0.0160790566630358,"AR",2023-05-03,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"89",NA,NA,"AR",2023-05-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"90",NA,NA,"AR",2023-05-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"91",NA,NA,"AR",2023-05-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"92",NA,NA,"AR",2023-05-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"93",1.13283777115745,1.64064029289775,"AR",2023-05-08,1,0,1,1,1,0,1,1,1,0,1,1,1,0,1,1
"94",0.0738375271100278,0.0228327549026159,"AR",2023-05-09,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"95",2.18729808420725,1.17748187287321,"AR",2023-05-10,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1
"96",NA,NA,"AR",2023-05-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"97",NA,NA,"AR",2023-05-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"98",NA,NA,"AR",2023-05-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"99",NA,NA,"AR",2023-05-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"100",NA,NA,"AR",2023-05-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"101",NA,NA,"AR",2023-05-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"102",NA,NA,"AR",2023-05-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"103",NA,NA,"AR",2023-05-18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"104",NA,NA,"AR",2023-05-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"105",NA,NA,"AR",2023-05-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"106",NA,NA,"AR",2023-05-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"107",NA,NA,"AR",2023-05-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"108",0.272809383015791,0.0540542458241334,"AR",2023-05-23,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1
"109",NA,NA,"AR",2023-05-24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"110",NA,NA,"AR",2023-05-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"111",0.0606379277946649,0.0648372016542878,"AR",2023-05-26,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"112",NA,NA,"AR",2023-05-27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"113",NA,NA,"AR",2023-05-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"114",0.890068002008156,1.33242616121471,"AR",2023-05-29,1,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1
"115",0.884439714869395,1.31418216648091,"AR",2023-05-30,1,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1
"116",0.0843380964763331,0.087149008930978,"AR",2023-05-31,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"117",NA,NA,"AR",2023-06-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"118",NA,NA,"AR",2023-06-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"119",NA,NA,"AR",2023-06-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"120",NA,NA,"AR",2023-06-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"121",NA,NA,"AR",2023-06-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"122",NA,NA,"AR",2023-06-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"123",0.119912030512228,0.129190781368951,"AR",2023-06-07,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"124",0.124875736266146,0.136357626554402,"AR",2023-06-08,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"125",0.125650230323606,0.143835134426274,"AR",2023-06-09,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"126",NA,NA,"AR",2023-06-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"127",1.71837113534361,0.409881531937943,"AZ",2023-04-30,1,1,1,0,1,1,1,1,0,0,1,0,1,0,1,1
"128",1.5376213783211,0.185364068350095,"AZ",2023-05-01,0,1,1,0,1,1,1,1,0,0,1,1,1,0,1,1
"129",3.67979372151127,0.416610450387144,"AZ",2023-05-02,1,0,1,0,1,1,1,0,0,0,1,0,1,1,1,0
"130",1.4789254699184,0.281911573201398,"AZ",2023-05-03,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1
"131",1.09674741542637,0.15573003878447,"AZ",2023-05-04,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1
"132",1.41996939985085,0.493516021865066,"AZ",2023-05-05,0,0,1,1,1,1,1,1,0,1,1,1,1,0,1,1
"133",0.758105132951565,0.0496943726921023,"AZ",2023-05-06,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1
"134",3.99394055615122,0.617579268360343,"AZ",2023-05-07,0,0,1,1,1,0,0,0,0,0,1,0,1,0,0,0
"135",6.6995872328535,0.611170872016351,"AZ",2023-05-08,0,0,1,0,1,1,1,0,0,0,1,0,1,1,0,0
"136",2.71399532540482,0.207121417762951,"AZ",2023-05-09,1,0,1,1,1,1,1,0,1,0,1,0,1,0,1,0
"137",1.62615636248821,0.285518026787724,"AZ",2023-05-10,0,1,1,1,1,0,1,1,0,0,1,1,1,0,0,1
"138",0.148442227545819,0.0656709071562219,"AZ",2023-05-11,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1
"139",0.991889941751193,0.290055360565761,"AZ",2023-05-12,0,1,1,1,1,1,1,1,0,0,1,0,1,1,0,1
"140",NA,NA,"AZ",2023-05-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"141",1.68392868137321,0.777524559610496,"AZ",2023-05-14,1,0,1,1,1,0,1,1,1,1,1,0,1,0,1,1
"142",1.91072358171214,0.421900186988645,"AZ",2023-05-15,0,1,1,1,0,1,1,1,1,0,1,0,0,0,1,1
"143",1.43325967827399,0.388128388681262,"AZ",2023-05-16,1,1,1,1,1,1,1,0,1,0,1,0,1,0,0,0
"144",0.980717518655091,0.359579578331098,"AZ",2023-05-17,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1
"145",1.35214742629602,0.537480112276477,"AZ",2023-05-18,1,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1
