...1,es_score,brier_score,location,target_date,X21L_50_CI,X22A_50_CI,X22B_50_CI,X22C_50_CI,other_50_CI,X21L_95_CI,X22A_95_CI,X22B_95_CI,X22C_95_CI,other_95_CI
92,1.62924686108238,0.209553811921904,AR,2022-07-10,1,1,0,0,1,1,0,1,0,1
93,1.6866765709496,0.1233884729677095,AR,2022-07-11,1,1,1,1,1,1,0,0,0,1
94,2.07419128732084,0.144326823199828,AR,2022-07-12,0,1,1,1,1,0,0,0,0,1
95,2.33486691864805,0.1532888687551005,AR,2022-07-13,0,1,1,1,1,0,1,0,0,1
96,2.58409718310469,0.1734877281202195,AR,2022-07-14,1,1,0,0,1,1,1,0,0,1
97,4.8646649306674,0.2054022010347395,AR,2022-07-15,1,0,0,0,1,1,0,0,1,1
98,0.538513862752867,0.1073907139645765,AR,2022-07-16,1,1,1,1,1,1,0,0,1,1
99,0.091536077773506,0.01040415787624,AR,2022-07-17,1,1,1,1,1,1,1,1,1,1
100,5.50296343573031,0.156987675495927,AR,2022-07-18,1,0,0,0,1,1,0,0,0,1
101,0.739019889471051,0.101539125139212,AR,2022-07-19,1,1,1,1,1,1,0,0,1,1
102,2.02209307672914,0.152326925918729,AR,2022-07-20,1,0,0,1,1,1,0,0,0,1
103,1.16789915160833,0.0813735807460345,AR,2022-07-21,1,1,1,1,1,1,0,0,1,1
104,1.24402313344305,0.1194781127631015,AR,2022-07-22,1,1,1,1,0,1,0,1,0,0
105,0.149574198781528,0.00676391432786305,AR,2022-07-23,1,1,1,1,1,1,0,0,0,1
106,1.93999108127224,0.2067671819476735,AR,2022-07-24,0,0,0,1,1,0,0,0,0,1
107,2.84551820074753,0.132307408490137,AR,2022-07-25,0,0,0,1,1,0,0,0,0,1
108,3.64634079056875,0.1414216226230355,AR,2022-07-26,0,0,0,1,1,0,1,0,0,1
109,1.94099306837594,0.10211665579259,AR,2022-07-27,0,1,1,1,1,0,0,0,0,1
110,1.3329120563195,0.091324427775403,AR,2022-07-28,1,0,1,1,1,1,0,0,0,1
111,2.60274056168846,0.1594444509279135,AR,2022-07-29,0,1,0,1,0,0,0,0,1,0
112,3.58403065194302,0.2515369982872155,AR,2022-07-30,0,0,0,1,1,0,0,0,1,1
113,0.869031555663864,0.087402208770683,AR,2022-07-31,1,1,1,1,1,1,0,0,1,1
114,1.61803322186427,0.0755894745926345,AR,2022-08-01,1,1,1,1,1,1,0,0,0,1
115,0.953071287151209,0.054507920435007,AR,2022-08-02,1,1,1,1,1,1,0,0,0,1
116,1.20772817250878,0.0539983537870245,AR,2022-08-03,1,1,1,1,1,1,0,0,1,1
117,5.91658379507831,0.175636746387986,AR,2022-08-04,1,0,0,1,1,1,0,0,1,1
118,1.01874273584531,0.107507681320153,AR,2022-08-05,1,1,1,1,0,1,0,1,1,0
119,3.32049745960673,0.3850431157580305,AR,2022-08-06,1,0,0,1,1,1,0,0,1,1
120,0.809094314971629,0.0690928849176295,AR,2022-08-07,1,1,1,1,1,1,0,0,1,1
121,5.43010529202929,0.1966755408379985,AR,2022-08-08,0,0,0,0,1,0,0,0,0,1
122,2.60883497177451,0.1083399638046425,AR,2022-08-09,1,0,0,1,1,1,0,0,1,1
123,3.73567481382214,0.1332098936869255,AR,2022-08-10,1,0,0,0,0,1,0,0,0,0
124,1.32503560234572,0.118083164224625,AR,2022-08-11,0,1,0,1,1,0,0,0,1,1
125,1.17827074778795,0.0927993342280605,AR,2022-08-12,1,0,0,1,1,1,1,1,1,1
126,4.13279593924569,0.2290022204901735,AR,2022-08-13,1,0,0,1,1,1,0,0,1,1
127,1.42150679729391,0.265190272348617,AZ,2022-07-03,1,1,1,1,1,0,1,0,0,1
128,1.10690585279089,0.262471506799321,AZ,2022-07-04,0,1,1,1,1,0,0,0,0,1
129,9.75798997966844,0.252523899267453,AZ,2022-07-05,0,1,1,0,1,0,0,0,0,1
130,5.16472860628848,0.1646081952047885,AZ,2022-07-06,1,0,0,1,1,1,0,0,0,1
131,4.13026357954206,0.284811046133404,AZ,2022-07-07,0,0,1,0,1,0,0,0,0,1
132,1.17328789826631,0.204886801077041,AZ,2022-07-08,1,1,1,1,1,1,0,1,0,1
133,1.42627286933177,0.2236312150759615,AZ,2022-07-09,0,1,1,1,1,0,0,0,0,1
134,2.03440209819915,0.2461494891319935,AZ,2022-07-10,0,1,1,0,1,0,1,1,0,1
135,2.99611252560062,0.225433494179602,AZ,2022-07-11,1,0,1,1,1,1,0,0,0,1
136,5.88840024399443,0.146299421845832,AZ,2022-07-12,0,0,0,0,1,0,0,0,0,1
137,3.40357808960188,0.3022586198557675,AZ,2022-07-13,1,0,0,1,1,1,0,0,0,1
138,1.18365914409304,0.1518649279822395,AZ,2022-07-14,1,1,1,1,1,0,0,1,1,1
139,0.785785991604174,0.0995289290635635,AZ,2022-07-15,1,1,1,1,1,1,0,0,0,1
140,1.00845050065879,0.106832414217097,AZ,2022-07-16,1,1,1,1,1,1,1,0,0,1
141,2.419159044746,0.175717483389116,AZ,2022-07-17,1,0,1,1,1,1,0,0,1,1
142,2.33860635651884,0.1936169433559105,AZ,2022-07-18,0,1,0,1,1,0,0,0,0,1
143,1.69721908068092,0.122205646059772,AZ,2022-07-19,1,1,1,0,1,1,0,0,0,1
144,1.74934206272112,0.01786792436980915,AZ,2022-07-20,1,1,0,1,1,1,1,1,1,1
145,0.0202454853402529,0.0160320166542917,AZ,2022-07-21,1,1,1,1,1,1,1,0,0,1
146,0.444817459973634,0.100679308612797,AZ,2022-07-22,1,1,1,1,1,1,0,1,0,1
147,1.43857576464096,0.1577803139385305,AZ,2022-07-23,1,1,1,1,0,1,0,0,0,0
148,1.66929818268456,0.1503915819074445,AZ,2022-07-24,1,0,1,1,1,1,0,0,0,1
149,3.36836414102099,0.1275537369795605,AZ,2022-07-25,1,1,0,1,1,1,0,0,0,1
150,2.81412425900587,0.12073357936907,AZ,2022-07-26,1,0,1,1,1,1,0,0,0,1
151,5.42343738810945,0.1376426806010865,AZ,2022-07-27,1,0,0,1,1,1,0,0,0,1
152,0.68363551976583,0.0732011399591795,AZ,2022-07-28,1,1,1,1,1,1,1,0,0,1
153,9.07922217990504,0.189245713142276,AZ,2022-07-29,1,0,0,1,1,1,0,0,0,1
154,2.8403733546446,0.1399291595690095,AZ,2022-07-30,1,0,0,1,1,1,0,0,0,1
155,0.824170557854487,0.054476552018185,AZ,2022-07-31,1,1,1,1,1,1,0,0,1,1
156,7.9071022474312,0.2603144487048895,AZ,2022-08-01,1,0,0,0,0,1,0,0,0,0
157,6.93630178141095,0.1208762390301835,AZ,2022-08-02,1,0,0,1,0,1,0,0,1,0
158,8.76609943580174,0.2547406745232055,AZ,2022-08-03,0,0,0,1,0,0,0,0,0,0
159,2.13035453302679,0.107401431455251,AZ,2022-08-04,1,0,0,1,1,1,0,0,1,1
160,2.46269280497211,0.095746844725762,AZ,2022-08-05,1,0,0,1,1,1,0,1,0,1
161,2.55194771699404,0.107891503114259,AZ,2022-08-06,1,0,0,1,0,1,0,0,0,0
162,2.83186145559577,0.142126471800165,AZ,2022-08-07,1,1,0,0,0,1,0,0,0,0
163,1.00968751124677,0.053547126403797,AZ,2022-08-08,1,1,1,1,1,1,0,0,0,1
164,3.07517979481469,0.0722156681115985,AZ,2022-08-09,1,1,0,1,0,1,0,0,0,0
165,8.06631594996558,0.1341034144933775,AZ,2022-08-10,1,0,0,1,1,1,0,0,1,1
166,5.11056343638635,0.114264107737187,AZ,2022-08-11,1,0,0,1,1,1,0,0,0,1
