...1,es_score,brier_score,location,target_date,X22A_50_CI,X22B_50_CI,X22D_50_CI,X22E_50_CI,X22F_50_CI,other_50_CI,X22A_95_CI,X22B_95_CI,X22D_95_CI,X22E_95_CI,X22F_95_CI,other_95_CI
83,0.943707864909158,0.232598296767097,AL,2022-12-09,1,1,1,1,1,0,1,0,1,1,1,0
84,0.470914905901285,0.1255521517985055,AL,2022-12-10,1,1,1,1,1,1,1,0,1,0,1,1
85,1.24024646813002,0.3923110562488465,AR,2022-10-30,1,0,1,1,1,0,1,0,1,1,1,0
86,1.50914293241573,0.272397904542342,AR,2022-10-31,0,1,1,1,1,1,0,0,1,0,1,1
87,1.40668539991222,0.359920806785362,AR,2022-11-01,1,0,1,0,1,1,0,0,1,0,1,1
88,2.74035396317831,0.185932508677821,AR,2022-11-02,0,1,1,0,1,1,0,0,1,0,1,1
89,1.58503119069125,0.1445773632309075,AR,2022-11-03,1,1,1,1,1,1,0,0,1,0,1,1
90,1.24993185420532,0.3434171262308805,AR,2022-11-04,1,1,1,0,1,1,1,0,1,0,1,1
91,1.17500214807082,0.302255855123963,AR,2022-11-05,0,1,1,1,1,1,0,0,1,1,1,1
92,1.34692666278845,0.633646207918215,AR,2022-11-06,0,0,1,1,1,1,0,0,1,0,1,1
93,0.494148966934914,0.0671741159465935,AR,2022-11-07,1,1,1,1,1,1,0,0,1,1,1,1
94,1.20450708098325,0.283269780429924,AR,2022-11-08,1,1,0,1,1,1,0,0,0,0,0,1
95,0.505856856864304,0.173380785658502,AR,2022-11-09,1,1,1,1,1,1,1,0,1,0,1,1
96,1.76817883908537,0.0821987228929095,AR,2022-11-10,1,0,1,0,1,1,1,0,1,0,1,1
97,0.338929070349541,0.0880339309993685,AR,2022-11-11,1,1,1,1,1,1,0,0,1,0,1,1
98,0.124347796201191,0.0943199223095585,AR,2022-11-12,1,1,1,1,1,1,1,1,1,1,1,1
99,NA,NA,AR,2022-11-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100,2.98860477038181,0.399021755392731,AR,2022-11-14,0,0,1,0,1,1,0,0,1,0,1,1
101,0.811733466953641,0.4034868041905805,AR,2022-11-15,0,1,1,1,1,1,0,0,1,1,1,1
102,0.165916539103029,0.124375960641382,AR,2022-11-16,1,1,1,1,1,1,1,1,1,1,1,1
103,1.31885144241451,0.246639409211633,AR,2022-11-17,1,1,1,1,1,1,0,0,1,1,1,1
104,1.0036544228672,0.2632969033118105,AR,2022-11-18,1,1,1,1,1,1,0,0,1,1,1,1
105,0.928819426152829,0.4288163161762925,AR,2022-11-19,1,1,1,1,1,0,1,0,1,0,1,0
106,0.76964247822448,0.3055608599098235,AR,2022-11-20,1,1,1,0,1,1,1,0,1,0,1,1
107,1.67274439660446,0.2485792130755385,AR,2022-11-21,1,0,1,1,1,1,0,0,1,1,1,1
108,4.07040113414588,0.361513858070834,AR,2022-11-22,1,0,0,0,1,1,0,0,0,0,1,1
109,2.05781949244856,0.3716430863350035,AR,2022-11-23,1,0,1,0,1,0,0,0,0,0,1,0
110,0.880757885111376,0.4048024260784705,AR,2022-11-24,1,1,1,1,1,0,1,0,0,0,1,0
111,2.82627015341771,0.294174529810341,AR,2022-11-25,1,0,1,0,1,1,0,0,1,0,1,1
112,2.30540090392634,0.681506058430455,AR,2022-11-26,1,0,0,0,1,0,1,0,0,0,1,0
113,0.702696309185389,0.3803267396677455,AR,2022-11-27,0,1,1,1,1,1,0,0,1,0,0,1
114,3.46769127250257,0.2785743991892695,AR,2022-11-28,1,0,1,1,1,1,0,0,0,0,0,1
115,2.20907067545302,0.2659078571838325,AR,2022-11-29,1,0,1,1,1,1,0,0,1,0,1,1
116,1.48165774583291,0.3075512197495005,AR,2022-11-30,0,1,1,1,1,1,0,0,1,0,0,1
117,1.45544931712208,0.3168229219001905,AR,2022-12-01,1,1,1,1,1,1,1,0,0,0,0,1
118,2.3355663251494,0.261595528040443,AR,2022-12-02,1,0,0,0,1,1,0,0,0,0,0,1
119,0.836062698183795,0.399130504064796,AR,2022-12-03,1,1,0,1,1,1,1,0,0,0,0,1
120,0.290153702381658,0.26622666243621,AR,2022-12-04,1,1,1,1,1,1,1,0,1,0,1,1
121,2.48296438238442,0.330711719252121,AR,2022-12-05,1,0,0,1,1,1,0,0,0,1,1,1
122,3.99268334210318,0.3648509778149795,AR,2022-12-06,0,0,0,1,0,0,0,0,0,0,0,0
123,1.77786643822394,0.2755144579517935,AR,2022-12-07,1,1,1,1,1,1,1,0,1,0,1,1
124,3.54728544179005,0.3669298471142995,AR,2022-12-08,1,1,0,0,1,1,1,1,0,0,0,1
125,1.73835245452028,0.270099477578655,AR,2022-12-09,1,1,0,1,1,1,0,0,0,0,1,1
126,0.654230779172726,0.252589917573282,AR,2022-12-10,1,1,1,1,1,1,1,0,1,0,0,1
127,2.45360861367218,0.331858342566951,AZ,2022-10-30,0,1,1,0,1,0,0,1,1,0,1,0
128,2.48075181231194,0.2931505265452155,AZ,2022-10-31,1,1,1,1,1,1,1,0,1,0,1,1
129,1.92776115097614,0.257529360525392,AZ,2022-11-01,1,1,1,1,1,1,0,1,0,0,1,1
130,3.21722264738825,0.275657258764758,AZ,2022-11-02,1,1,1,0,1,1,0,0,1,0,0,1
131,6.50168560283677,0.370465601709159,AZ,2022-11-03,0,0,1,1,0,1,0,0,0,0,1,1
132,2.34577755699068,0.255582313359745,AZ,2022-11-04,1,1,0,1,1,1,0,0,0,0,0,1
133,4.26919493768494,0.323652907526064,AZ,2022-11-05,1,1,0,0,0,1,0,0,0,0,0,1
134,5.73034601001466,0.2794597981532125,AZ,2022-11-06,1,0,1,0,1,1,0,0,0,0,0,1
135,5.44570242275639,0.280613076022322,AZ,2022-11-07,1,0,1,1,1,0,0,0,0,0,1,0
136,2.84251945467109,0.298437207136476,AZ,2022-11-08,0,1,1,1,1,1,0,0,0,0,0,1
137,3.44211562853908,0.30759826436543253,AZ,2022-11-09,1,1,1,1,1,0,0,0,1,0,0,0
138,2.53756140305271,0.31008425285977,AZ,2022-11-10,1,1,0,1,1,1,0,0,0,0,0,1
139,12.6366988345818,0.379185579563701,AZ,2022-11-11,0,0,0,0,0,1,0,0,0,0,0,1
140,7.65214012712568,0.2936389767168685,AZ,2022-11-12,1,0,1,0,1,1,0,0,0,0,0,1
141,1.89692994560353,0.307343340984322,AZ,2022-11-13,1,1,1,1,1,0,0,1,0,0,1,0
142,5.16479096487407,0.2847599205984215,AZ,2022-11-14,1,0,1,1,1,1,0,0,1,0,0,1
143,6.37662913483229,0.294316427893565,AZ,2022-11-15,1,0,1,0,1,1,1,0,0,0,1,1
144,5.42251284554998,0.3116811076905095,AZ,2022-11-16,0,0,1,0,1,1,0,0,0,0,1,1
145,13.0236429118892,0.307321868350186,AZ,2022-11-17,1,0,1,0,0,1,0,0,0,0,0,1
146,7.99766874904358,0.304886138893564,AZ,2022-11-18,1,0,1,0,1,1,1,0,1,0,0,1
147,1.61123956663884,0.234942014867394,AZ,2022-11-19,1,1,1,1,1,1,0,0,0,0,0,1
148,8.87534101457529,0.3463254741887925,AZ,2022-11-20,1,0,1,0,1,1,1,0,0,0,0,1
149,12.1020964117983,0.2887904308491795,AZ,2022-11-21,1,0,1,0,1,0,0,0,0,0,0,0
150,36.8054149492415,0.3869579424349105,AZ,2022-11-22,1,0,0,0,1,0,0,0,0,0,0,0
151,16.8431251365517,0.334487107019096,AZ,2022-11-23,1,0,1,0,1,1,0,0,0,0,0,1
152,2.09233245056899,0.34492267164913,AZ,2022-11-24,1,1,1,0,1,0,1,0,0,0,1,0
153,12.4389220568496,0.290977925448655,AZ,2022-11-25,1,0,1,0,1,1,1,0,0,0,0,1
154,14.9592665629711,0.353779745144596,AZ,2022-11-26,0,0,1,0,1,0,0,0,0,0,1,0
155,14.5188515187078,0.3069155346649895,AZ,2022-11-27,1,0,1,0,1,1,1,0,0,0,0,1
156,18.7007883472996,0.2863888656049385,AZ,2022-11-28,1,0,1,0,1,0,0,0,0,0,0,0
157,21.2836461179044,0.3598608587735565,AZ,2022-11-29,1,0,1,0,1,0,0,0,0,0,0,0
158,14.3653285973667,0.3413735556159245,AZ,2022-11-30,1,0,1,0,1,1,1,0,0,0,0,1
159,22.8546410230555,0.4159671237911445,AZ,2022-12-01,1,0,0,0,1,0,1,0,0,0,0,0
160,19.7484515340512,0.39034104253086,AZ,2022-12-02,1,0,0,0,1,0,0,0,0,0,0,0
161,5.46605654303045,0.294544449132526,AZ,2022-12-03,1,0,0,0,1,0,0,0,0,0,0,0
162,12.7963129016036,0.3407175116148195,AZ,2022-12-04,1,0,0,0,1,1,0,0,0,0,0,1
163,36.4417518003577,0.3710962743669105,AZ,2022-12-05,1,0,0,0,1,0,1,0,0,0,0,0
164,13.7611844385498,0.321068486277684,AZ,2022-12-06,1,0,0,0,1,1,1,0,0,0,0,1
165,17.9654028177883,0.296803952744249,AZ,2022-12-07,1,0,1,0,1,0,0,0,0,0,1,0
166,3.43649053929038,0.246681681655306,AZ,2022-12-08,1,1,0,0,1,0,1,1,0,0,0,0
167,10.3564371508125,0.308164390591476,AZ,2022-12-09,0,0,1,0,1,0,0,0,0,0,0,0
168,6.72316001832159,0.3397906713383955,AZ,2022-12-10,1,0,0,0,0,1,1,0,0,0,0,1
169,9.10004102586476,0.291362001937267,CA,2022-10-30,0,1,1,0,1,0,0,0,0,0,0,0
170,9.7421433721844,0.289740669375759,CA,2022-10-31,1,1,1,1,1,0,0,0,0,0,0,0
171,7.91788604912816,0.295594678920398,CA,2022-11-01,1,1,1,1,1,0,0,0,0,0,0,0
172,4.05104232722212,0.2924509350384065,CA,2022-11-02,1,1,1,1,1,0,0,0,0,0,0,0
173,8.85140782923521,0.3020451098412165,CA,2022-11-03,1,1,1,1,1,0,1,0,0,0,0,0
174,8.92705138412773,0.2789949111809245,CA,2022-11-04,1,1,1,1,1,0,0,0,0,1,0,0
175,6.47267719274026,0.3059698154989045,CA,2022-11-05,1,1,0,1,1,0,0,0,0,0,0,0
176,5.62637187070551,0.3112379982636035,CA,2022-11-06,1,1,1,1,1,0,0,1,0,0,0,0
177,10.4671163202416,0.3070372287592555,CA,2022-11-07,1,1,1,1,1,0,0,0,0,0,0,0
178,11.5168498972976,0.310361684025502,CA,2022-11-08,1,1,1,1,1,0,1,0,0,0,0,0
179,8.49333504144953,0.2950197948297335,CA,2022-11-09,0,1,1,1,1,0,0,0,0,0,0,1
180,7.52769526941044,0.3128248107068345,CA,2022-11-10,1,1,1,1,1,0,0,0,0,0,0,0
181,7.21073207905333,0.315167988601353,CA,2022-11-11,1,1,1,1,1,0,0,0,0,0,0,0
182,9.67621964224641,0.319098380236312,CA,2022-11-12,1,1,1,1,1,0,0,0,0,0,0,0
183,19.621546794097,0.3155469348303505,CA,2022-11-13,0,0,1,0,0,0,0,0,0,0,0,0
184,15.9180130716097,0.312947338739846,CA,2022-11-14,1,1,0,0,0,0,0,0,0,0,0,0
185,23.0038899617782,0.3153689630613835,CA,2022-11-15,1,0,0,0,0,0,0,0,0,0,0,0
186,39.9939659751296,0.318720340498344,CA,2022-11-16,0,0,1,0,1,0,0,0,0,0,0,0
187,30.6626796761079,0.3161352499647065,CA,2022-11-17,0,0,1,0,1,0,0,0,0,0,0,0
188,27.431303710041,0.31977481772079003,CA,2022-11-18,1,0,1,0,1,0,0,0,0,0,0,0
189,26.7985926105214,0.330433094857648,CA,2022-11-19,1,0,0,0,0,0,0,0,0,0,0,0
190,22.678227420564,0.296868621042183,CA,2022-11-20,1,0,1,0,0,0,0,0,0,0,0,0
191,32.4586907924769,0.3201174453535725,CA,2022-11-21,1,0,1,0,1,0,0,0,0,0,0,0
192,31.5826041414079,0.2986864447871465,CA,2022-11-22,1,0,1,0,1,0,0,0,1,0,0,0
193,27.2403282302736,0.3047715024010755,CA,2022-11-23,1,0,1,0,1,0,0,0,0,0,0,0
194,1.75173875146776,0.2720892225673,CA,2022-11-24,1,0,1,1,1,1,1,0,0,0,0,1
195,25.88145719089,0.276167950268082,CA,2022-11-25,1,0,1,0,1,0,0,0,0,0,0,0
196,42.2747780076764,0.277652590536019,CA,2022-11-26,0,0,1,0,0,0,0,0,0,0,0,0
197,64.0855987219226,0.314163644160958,CA,2022-11-27,0,0,1,0,1,0,0,0,0,0,0,0
198,49.5713698441352,0.2810166703490925,CA,2022-11-28,1,0,1,0,1,0,0,0,0,0,0,0
199,35.2514225682344,0.275860076144447,CA,2022-11-29,1,0,1,0,1,0,0,0,0,0,0,0
200,27.7056558391707,0.270446415113905,CA,2022-11-30,1,0,1,0,1,0,0,0,1,0,0,0
201,35.4574784694679,0.2784814710130275,CA,2022-12-01,1,0,1,0,1,0,0,0,0,0,0,0
202,79.4590482775236,0.3054380298874925,CA,2022-12-02,1,0,0,0,1,0,0,0,0,0,0,0
203,77.7999434164885,0.3070449532535745,CA,2022-12-03,1,0,0,0,0,0,0,0,0,0,0,0
204,37.5556582091926,0.2876373337477435,CA,2022-12-04,1,0,0,0,1,0,0,0,0,0,1,0
205,79.040564962894,0.273427275656677,CA,2022-12-05,1,0,0,0,0,0,1,0,0,0,0,0
206,34.1374623114117,0.2533100648977205,CA,2022-12-06,0,0,0,0,0,0,0,0,0,0,0,0
207,73.9491982797816,0.2784992054398045,CA,2022-12-07,1,0,0,0,0,0,0,0,0,0,0,0
208,50.8263179170064,0.2457573781492845,CA,2022-12-08,0,0,1,0,0,0,0,0,0,0,0,0
209,36.103998105138,0.2261416510978585,CA,2022-12-09,1,0,1,0,0,0,0,0,0,0,0,0
210,89.1274516232257,0.2972827563556745,CA,2022-12-10,0,0,0,0,0,0,0,0,0,0,0,0
211,0.745152839786018,0.200950714684742,CO,2022-10-30,1,1,1,1,1,1,1,0,1,0,1,1
212,2.26027992390994,0.318448244636199,CO,2022-10-31,1,0,1,0,1,1,0,0,1,0,1,1
213,1.42730737423634,0.301071999435776,CO,2022-11-01,1,1,1,1,1,1,0,1,0,0,1,1
214,2.2935315984256,0.346276076396573,CO,2022-11-02,0,0,0,1,1,1,0,0,1,0,1,1
215,1.66603139954745,0.250280074977168,CO,2022-11-03,1,1,1,1,1,1,1,0,0,0,1,1
216,1.34927471178407,0.2956245820519465,CO,2022-11-04,1,1,1,1,1,1,0,0,0,0,1,1
217,2.54406990241833,0.40512160203213,CO,2022-11-05,0,1,1,0,1,0,0,1,1,0,1,0
218,2.44587998215146,0.322864849098851,CO,2022-11-06,0,0,1,1,1,1,1,0,0,0,1,1
219,1.82190024073189,0.2663430793090235,CO,2022-11-07,1,1,1,1,1,1,0,0,0,0,1,1
220,1.91124976741217,0.2999782957485825,CO,2022-11-08,0,1,1,1,1,1,0,0,1,0,1,1
221,1.56699080453446,0.25333148311395,CO,2022-11-09,1,1,1,1,1,1,1,0,1,0,1,1
222,2.46207778443489,0.313273077675409,CO,2022-11-10,1,1,1,0,0,0,0,0,1,0,0,0
223,1.71870789949257,0.3508792097443835,CO,2022-11-11,0,1,1,1,1,1,1,0,1,0,1,1
224,2.35968233752557,0.284987912378189,CO,2022-11-12,0,0,1,1,1,1,0,0,1,0,1,1
225,1.49568651833393,0.380965385557193,CO,2022-11-13,1,1,0,0,1,1,0,0,1,0,1,1
226,1.93012865310146,0.2989913919532165,CO,2022-11-14,0,1,1,1,1,1,0,0,1,0,1,1
227,2.47572324229884,0.335771252334215,CO,2022-11-15,0,1,1,1,1,0,0,0,0,0,1,0
228,2.50606761434914,0.3321027274080935,CO,2022-11-16,0,1,1,0,1,0,0,0,1,0,1,0
229,2.38075828443271,0.269260243819333,CO,2022-11-17,1,0,1,1,1,1,0,0,1,0,1,1
230,4.57163213414984,0.391122123671204,CO,2022-11-18,1,0,1,0,1,1,0,0,0,0,1,1
231,0.62194649449751,0.224642934783829,CO,2022-11-19,1,1,1,1,1,1,1,0,1,0,1,1
232,1.02405617409931,0.0892595343955475,CO,2022-11-20,1,1,1,0,1,1,1,1,1,1,1,1
233,4.11247267151763,0.3288348138294685,CO,2022-11-21,1,0,1,0,1,1,0,0,0,0,1,1
234,2.54089302811838,0.3040638728776295,CO,2022-11-22,1,1,1,0,0,1,0,0,0,0,0,1
235,3.11613116238381,0.145139425788223,CO,2022-11-23,1,1,1,0,1,1,0,0,0,0,0,1
236,0.0889277286112191,0.0585733217205935,CO,2022-11-24,1,1,1,1,1,1,1,0,1,0,1,1
