"","es_score","brier_score","location","target_date","X22F_50_CI","X23A_50_CI","X23B_50_CI","X23C_50_CI","X23D_50_CI","X23E_50_CI","X23F_50_CI","X23G_50_CI","other_50_CI","X22F_95_CI","X23A_95_CI","X23B_95_CI","X23C_95_CI","X23D_95_CI","X23E_95_CI","X23F_95_CI","X23G_95_CI","other_95_CI"
"53",0.522862670655853,0.349083186124943,"AL",2023-07-12,1,0,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1
"54",0.397754126433429,0.290634873359143,"AL",2023-07-13,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1
"55",0.673233778427149,0.478293348900738,"AL",2023-07-14,1,1,1,1,1,0,1,1,1,1,1,0,1,1,0,1,1,1
"56",NA,NA,"AL",2023-07-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57",0.573057635471443,0.376705567976776,"AL",2023-07-16,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"58",0.670965563727387,0.474450366182092,"AL",2023-07-17,1,1,1,1,1,0,1,1,1,1,1,0,1,1,0,1,1,1
"59",NA,NA,"AL",2023-07-18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60",0.380611524609701,0.276470187863389,"AL",2023-07-19,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"61",NA,NA,"AL",2023-07-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62",NA,NA,"AL",2023-07-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63",0.381611218040274,0.272226561586891,"AL",2023-07-22,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"64",0.614926488644669,0.430922679697025,"AL",2023-07-23,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,0,1,1
"65",0.380532130665592,0.270463599296876,"AL",2023-07-24,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1
"66",0.886772656318732,0.421745995462721,"AL",2023-07-25,0,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1,0,1
"67",0.872493684275662,0.451942440597163,"AL",2023-07-26,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,0,1,1
"68",NA,NA,"AL",2023-07-27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69",NA,NA,"AL",2023-07-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70",NA,NA,"AL",2023-07-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71",NA,NA,"AL",2023-07-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72",0.94117872307848,0.471543546556854,"AL",2023-07-31,1,0,1,1,1,0,1,1,1,1,0,0,1,1,0,1,0,1
