"","es_score","brier_score","location","target_date","X21L_50_CI","X22A_50_CI","X22B_50_CI","X22D_50_CI","X22E_50_CI","X22F_50_CI","other_50_CI","X21L_95_CI","X22A_95_CI","X22B_95_CI","X22D_95_CI","X22E_95_CI","X22F_95_CI","other_95_CI"
"83",0.885840727117918,0.794811919423469,"AL",2022-11-25,1,1,1,0,1,1,1,1,0,0,0,0,1,1
"84",NA,NA,"AL",2022-11-26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"85",0.438217421063463,0.397707038368073,"AR",2022-10-16,1,1,1,1,1,1,1,1,0,1,1,1,1,0
"86",1.01311766786776,0.47976058160998,"AR",2022-10-17,1,1,1,1,1,1,1,1,0,0,1,0,1,1
"87",1.33231135422704,0.199660474555191,"AR",2022-10-18,1,1,1,0,1,1,1,1,0,0,0,0,1,1
"88",0.715394619571227,0.735953953059632,"AR",2022-10-19,1,0,1,1,1,1,1,1,0,0,1,1,1,1
"89",0.43515888211402,0.398201891428873,"AR",2022-10-20,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"90",1.46852469333449,0.831818069242633,"AR",2022-10-21,0,1,0,0,1,1,1,0,1,0,0,0,1,1
"91",0.972569686563965,0.0639217399520487,"AR",2022-10-22,1,1,0,1,1,1,1,1,0,0,1,0,1,1
"92",0.276574370337101,0.0652342186347385,"AR",2022-10-23,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"93",1.77375806565672,0.461421378770933,"AR",2022-10-24,1,1,1,1,0,1,1,0,0,0,1,0,1,0
"94",1.84862607174243,0.495431573385377,"AR",2022-10-25,0,1,1,1,1,1,1,0,1,0,0,0,1,0
"95",0.449619631373789,0.400022693457664,"AR",2022-10-26,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"96",0.438807403107225,0.290521121088156,"AR",2022-10-27,1,1,1,1,1,1,1,1,0,1,1,0,1,1
"97",0.305159779470452,0.0720506489396608,"AR",2022-10-28,1,1,1,1,1,1,1,1,0,0,1,1,1,1
"98",0.509355548771507,0.0734634237973972,"AR",2022-10-29,1,1,1,1,1,1,1,1,1,0,1,0,1,1
"99",1.17154852493673,0.776103015412951,"AR",2022-10-30,0,1,0,1,1,1,1,0,0,0,1,0,1,1
"100",1.6772802439358,0.551053280698065,"AR",2022-10-31,1,0,0,1,1,1,1,0,0,1,1,1,1,1
"101",1.67624659962292,0.746742552092406,"AR",2022-11-01,1,1,0,1,0,1,1,1,1,0,1,0,1,1
"102",1.96787254105934,0.361497361509473,"AR",2022-11-02,1,0,1,1,0,1,1,1,0,0,1,0,1,1
"103",1.40222332280888,0.27928438939332,"AR",2022-11-03,1,0,1,0,1,1,1,1,0,0,0,0,1,1
"104",1.56382819624647,0.745867712144111,"AR",2022-11-04,1,1,1,1,0,1,1,1,1,0,1,0,1,1
"105",1.13939752775791,0.599316457037662,"AR",2022-11-05,1,0,1,1,1,1,1,1,0,0,1,1,1,1
"106",1.54342351077622,1.38197540378159,"AR",2022-11-06,1,0,0,1,0,1,1,1,1,0,1,0,1,1
"107",0.34943180102813,0.0871215877019775,"AR",2022-11-07,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"108",1.14748095458255,0.566340846514755,"AR",2022-11-08,1,1,1,0,1,1,1,1,0,0,0,0,1,1
"109",0.622561351646473,0.346027396067588,"AR",2022-11-09,1,1,1,1,1,1,1,1,0,0,0,0,1,1
"110",1.15198278204696,0.0922503531206004,"AR",2022-11-10,1,1,0,1,1,1,1,1,1,1,1,1,1,1
"111",0.195730700253596,0.0940597623501181,"AR",2022-11-11,1,1,1,1,1,1,1,1,0,0,1,1,1,1
"112",0.0593668750684638,0.0959289114540113,"AR",2022-11-12,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"113",NA,NA,"AR",2022-11-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"114",4.73105045066378,0.964686776231765,"AR",2022-11-14,1,1,0,1,0,1,1,1,1,0,0,0,1,1
"115",1.12325878606926,0.925976679625002,"AR",2022-11-15,1,1,0,1,1,1,1,1,0,0,1,0,1,1
"116",0.0654362129825224,0.104145009249092,"AR",2022-11-16,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"117",3.08922727816694,0.564505964086586,"AR",2022-11-17,1,1,1,1,0,1,1,1,0,1,0,0,1,1
"118",0.508274152386297,0.420805724560264,"AR",2022-11-18,1,1,1,1,1,1,1,1,1,0,1,0,1,1
"119",0.923292293552073,0.812866780670058,"AR",2022-11-19,1,1,1,1,1,1,0,1,1,0,1,1,1,0
"120",1.58010709171445,0.883289363254667,"AR",2022-11-20,1,1,0,1,0,1,1,1,1,0,1,0,1,1
"121",0.947806901094532,0.436601424361488,"AR",2022-11-21,1,1,1,1,1,1,1,1,0,0,0,0,1,1
"122",6.88904438689776,1.13954851374122,"AR",2022-11-22,1,1,0,0,0,1,1,1,1,0,0,0,1,1
"123",4.76306871477627,1.03064314300539,"AR",2022-11-23,1,1,0,1,0,1,0,1,0,0,1,0,1,0
"124",1.31920501183428,0.94822862624503,"AR",2022-11-24,1,1,0,1,1,1,0,1,0,0,1,0,1,0
"125",4.79683624566618,1.21362538153068,"AR",2022-11-25,1,1,0,1,0,1,1,1,1,0,0,0,1,1
"126",2.51540018337749,1.44840833428471,"AR",2022-11-26,1,1,0,0,1,1,0,1,1,0,1,1,1,0
"127",0.764936412864597,0.306216465018964,"AZ",2022-10-16,1,1,1,1,1,1,1,1,0,0,0,0,1,1
"128",4.73247523953645,0.244605992760037,"AZ",2022-10-17,1,1,0,1,0,1,1,0,0,0,1,0,1,1
"129",1.50197280234178,0.43425227862984,"AZ",2022-10-18,1,1,1,1,1,1,1,1,1,0,0,1,1,0
"130",3.07367446801347,0.548527629835438,"AZ",2022-10-19,1,0,0,1,0,0,1,1,0,0,0,0,0,1
"131",2.07573085923624,0.500851866780843,"AZ",2022-10-20,1,1,1,1,0,1,1,1,1,0,0,0,1,1
"132",1.32934492355629,0.284839952723666,"AZ",2022-10-21,1,1,0,1,1,1,1,1,1,0,1,0,0,1
"133",0.44093237273268,0.627649588731219,"AZ",2022-10-22,1,1,1,1,1,1,1,1,1,0,1,0,1,1
"134",1.04646806146835,0.26604465010199,"AZ",2022-10-23,1,1,0,1,1,1,1,1,1,0,0,0,1,1
"135",1.59190417101779,0.503723461879958,"AZ",2022-10-24,1,1,1,1,1,1,1,0,1,0,0,0,1,1
"136",2.17063939687266,0.551986482916299,"AZ",2022-10-25,0,1,1,0,1,1,1,0,0,0,1,0,0,1
"137",1.61834593211726,0.473949897825939,"AZ",2022-10-26,1,1,1,0,1,1,1,1,1,0,0,0,1,1
"138",2.91147187927459,0.661849405725737,"AZ",2022-10-27,1,1,0,1,0,1,1,1,0,0,1,0,1,1
