...1,es_score,brier_score,location,target_date,X21L_50_CI,X22A_50_CI,X22B_50_CI,X22D_50_CI,X22E_50_CI,X22F_50_CI,other_50_CI,X21L_95_CI,X22A_95_CI,X22B_95_CI,X22D_95_CI,X22E_95_CI,X22F_95_CI,other_95_CI
81,1.74547842810345,0.27060057489312,AL,2022-11-30,1,1,1,1,1,0,1,1,0,1,0,0,0,1
82,0.860178423475753,0.281157445481415,AL,2022-12-01,1,1,1,1,1,1,1,1,0,0,1,1,1,1
83,0.608416216300161,0.283706573922033,AL,2022-12-02,1,1,1,1,1,1,1,1,0,0,1,0,1,1
84,NA,NA,AL,2022-12-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
85,0.358738230759424,0.03253499977059325,AR,2022-10-23,1,1,1,1,1,1,1,1,1,0,1,0,1,1
86,1.53017106781704,0.2315092525270715,AR,2022-10-24,1,1,1,1,0,1,1,1,1,0,1,0,1,1
87,1.82250738003274,0.249237192776766,AR,2022-10-25,0,1,1,1,1,1,1,0,0,0,1,0,1,1
88,0.424246258333749,0.1967591604667785,AR,2022-10-26,1,1,1,1,1,1,1,1,0,1,1,0,1,1
89,0.486253319023418,0.1431234201073895,AR,2022-10-27,1,1,1,1,1,1,1,1,0,0,1,0,1,1
90,0.379056772017631,0.0367810456504089,AR,2022-10-28,1,1,1,1,1,1,1,1,0,0,1,1,1,1
91,0.591465613848694,0.03767505502071015,AR,2022-10-29,1,1,1,1,1,1,1,1,1,1,1,1,1,1
92,1.08774220563477,0.3858306244076845,AR,2022-10-30,0,1,1,1,1,1,1,0,0,0,1,1,1,1
93,1.30375439876383,0.2742873947371805,AR,2022-10-31,1,1,1,1,1,1,1,1,0,0,1,0,1,1
94,1.44752904583169,0.3764460997313765,AR,2022-11-01,1,1,0,1,0,1,1,1,1,0,1,0,1,1
95,2.02290015861632,0.1765646782579785,AR,2022-11-02,1,1,1,1,0,1,1,1,0,0,0,1,0,1
96,1.81823572966938,0.14307397491518,AR,2022-11-03,1,0,0,0,1,1,1,1,0,0,1,0,1,1
97,1.43950665556198,0.3841110951252185,AR,2022-11-04,1,1,1,1,0,1,1,1,1,0,1,0,0,1
98,0.973956276017232,0.2886961029822435,AR,2022-11-05,1,0,1,1,1,1,1,1,0,1,1,0,1,1
99,1.39571218326327,0.685274579576935,AR,2022-11-06,1,1,0,1,0,1,1,1,0,0,1,0,1,1
100,0.476779655656947,0.04633476585898465,AR,2022-11-07,1,1,1,1,1,1,1,1,1,0,1,0,1,1
101,0.949075335687041,0.280599339358696,AR,2022-11-08,1,1,1,0,1,1,1,1,1,0,0,1,1,1
102,0.675054516117824,0.1802993788845875,AR,2022-11-09,1,1,1,1,1,1,1,1,1,1,1,1,1,1
