"","es_score","brier_score","location","target_date","X22A_50_CI","X22B_50_CI","X22C_50_CI","other_50_CI","X22A_95_CI","X22B_95_CI","X22C_95_CI","other_95_CI"
"93",3.25696800881685,0.155887274671605,"AR",2022-08-01,1,0,1,1,0,0,0,1
"94",3.52706003639994,0.118308605655188,"AR",2022-08-02,0,0,1,1,0,0,0,1
"95",4.83702222469399,0.117589475651474,"AR",2022-08-03,0,0,1,1,1,0,0,0
"96",2.54593123223617,0.323750813692809,"AR",2022-08-04,0,0,1,1,0,0,0,1
"97",0.953731769937422,0.221100495467201,"AR",2022-08-05,1,1,1,0,1,1,1,1
"98",2.20014849834359,0.672289566727444,"AR",2022-08-06,0,0,1,1,0,0,1,1
"99",1.31245809942059,0.143649617855169,"AR",2022-08-07,1,1,1,1,0,0,1,0
"100",1.95317815628075,0.367699577795439,"AR",2022-08-08,1,1,0,1,0,0,0,0
"101",1.02405474925933,0.20846840655258,"AR",2022-08-09,1,1,1,1,1,0,0,0
"102",1.88990451143925,0.299976060175831,"AR",2022-08-10,1,1,0,1,1,1,0,0
"103",1.76183377996707,0.278741023426406,"AR",2022-08-11,1,1,1,0,0,0,0,1
"104",0.76004913743358,0.183026971426081,"AR",2022-08-12,1,1,1,1,0,0,1,1
"105",1.68792968444809,0.400222672484447,"AR",2022-08-13,0,0,1,1,0,0,1,1
"106",0.322634960164811,0.0398646711716259,"AR",2022-08-14,1,1,1,1,1,1,1,1
"107",1.55625716968678,0.270168517079321,"AR",2022-08-15,1,1,1,1,0,0,0,0
"108",4.04663133074373,0.042547482463789,"AR",2022-08-16,0,0,1,1,0,0,1,1
"109",1.93939471395937,0.105276569916768,"AR",2022-08-17,0,0,1,1,0,0,1,1
"110",1.69888413867557,0.14547567781111,"AR",2022-08-18,1,1,1,1,0,0,1,1
"111",1.23407934510749,0.490566197296888,"AR",2022-08-19,1,1,1,0,0,0,0,0
"112",1.90381118811878,0.049383887999775,"AR",2022-08-20,0,0,1,1,1,1,1,1
"113",1.02808033777999,0.3635051138532,"AR",2022-08-21,1,1,1,0,0,0,1,0
"114",1.74763473452727,0.357365092407984,"AR",2022-08-22,1,1,1,1,0,0,1,0
"115",5.06956951690089,0.110391244600917,"AR",2022-08-23,0,0,1,1,0,0,0,0
"116",2.94125388416822,0.238824641937955,"AR",2022-08-24,1,1,1,0,0,0,1,0
"117",1.66625301313073,0.274594232024801,"AR",2022-08-25,1,1,1,1,0,0,1,0
"118",1.98834690666245,0.163042407945396,"AR",2022-08-26,1,1,1,1,0,0,1,1
"119",2.56863337399483,0.122515161804096,"AR",2022-08-27,0,0,1,1,0,0,1,1
"120",1.39375479234421,0.427360344015435,"AR",2022-08-28,1,1,1,1,0,0,1,1
