"","es_score","brier_score","location","target_date","X22F_50_CI","X23A_50_CI","X23B_50_CI","X23D_50_CI","X23E_50_CI","X23F_50_CI","recombinant_50_CI","X23G_50_CI","X23H_50_CI","other_50_CI","X22F_95_CI","X23A_95_CI","X23B_95_CI","X23D_95_CI","X23E_95_CI","X23F_95_CI","recombinant_95_CI","X23G_95_CI","X23H_95_CI","other_95_CI"
"74",1.63828328549058,0.528629317127028,"AL",2023-10-25,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,0,1,1,0,1
"75",0.837079138109072,0.895461990056675,"AL",2023-10-26,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1
"76",NA,NA,"AL",2023-10-27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77",NA,NA,"AL",2023-10-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78",NA,NA,"AL",2023-10-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"79",0.759033068654454,1.10178098655509,"AL",2023-10-30,1,1,1,1,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1
"80",0.442626316584119,0.489778485166427,"AL",2023-10-31,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1
"81",0.435087624920375,0.48305975170367,"AL",2023-11-01,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1
"82",NA,NA,"AL",2023-11-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"83",0.421833362048605,0.573752235977768,"AL",2023-11-03,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1
"84",NA,NA,"AL",2023-11-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"85",NA,NA,"AR",2023-09-24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"86",NA,NA,"AR",2023-09-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"87",0.279054133232668,0.413295425742366,"AR",2023-09-26,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1
"88",0.544113548570541,0.772952670540496,"AR",2023-09-27,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,0,1,1,1,1
"89",0.922351021744234,0.940258672113329,"AR",2023-09-28,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1
"90",1.19462450497736,0.4775741541987,"AR",2023-09-29,1,1,0,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,1,1
"91",NA,NA,"AR",2023-09-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"92",NA,NA,"AR",2023-10-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"93",2.10304114254433,0.389538790203722,"AR",2023-10-02,1,1,0,1,1,1,1,1,1,1,0,0,0,1,0,1,1,1,1,1
"94",1.14181747248284,0.385545631492949,"AR",2023-10-03,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1
"95",1.38607754436199,0.738101452714934,"AR",2023-10-04,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1
"96",1.82066997372079,0.531220468754249,"AR",2023-10-05,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1
"97",0.262405473741611,0.373578874281918,"AR",2023-10-06,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1
"98",0.256783196998093,0.369606396492545,"AR",2023-10-07,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"99",0.253477458644095,0.365648320963203,"AR",2023-10-08,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1
"100",1.05455969892726,0.361708390692714,"AR",2023-10-09,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1
"101",1.05212616868532,0.357790361840829,"AR",2023-10-10,1,1,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1
"102",1.1120253491562,0.45199236363264,"AR",2023-10-11,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1
"103",1.68832386797652,0.802248112736777,"AR",2023-10-12,1,1,0,1,1,0,1,1,1,1,1,0,0,1,0,0,1,1,1,1
"104",1.33488455438354,0.499568520675358,"AR",2023-10-13,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1
"105",NA,NA,"AR",2023-10-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"106",NA,NA,"AR",2023-10-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
