"","es_score","brier_score","location","target_date","X22F_50_CI","X23A_50_CI","X23B_50_CI","X23C_50_CI","X23D_50_CI","recombinant_50_CI","X23E_50_CI","X23F_50_CI","X23G_50_CI","other_50_CI","X22F_95_CI","X23A_95_CI","X23B_95_CI","X23C_95_CI","X23D_95_CI","recombinant_95_CI","X23E_95_CI","X23F_95_CI","X23G_95_CI","other_95_CI"
"130",0.97463589951995,0.553026057323391,"AZ",2023-06-07,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,0,0,1,1
"131",1.46759235340876,0.728469936652752,"AZ",2023-06-08,1,1,1,1,1,1,0,0,1,1,1,0,0,1,1,1,0,0,1,1
"132",1.17365321858913,0.786362251237191,"AZ",2023-06-09,0,1,1,1,1,1,0,1,1,1,0,0,0,1,0,1,0,1,1,1
"133",1.03712545315582,0.884565004768364,"AZ",2023-06-10,1,1,1,0,1,1,1,1,1,1,1,0,1,0,0,1,0,1,1,1
"134",1.0232766826076,0.442455492716631,"AZ",2023-06-11,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1
"135",1.43604561808306,0.709618118221209,"AZ",2023-06-12,1,1,1,1,0,1,1,1,1,1,0,0,0,1,0,1,0,1,1,1
"136",2.26607264925305,0.909496691595033,"AZ",2023-06-13,0,0,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,0,1,1
"137",2.13775051961358,0.584211008860397,"AZ",2023-06-14,1,1,0,1,0,1,1,1,1,1,0,1,0,1,0,1,1,1,1,0
"138",1.35565774113451,1.29056879144586,"AZ",2023-06-15,1,0,1,1,1,1,0,1,1,0,1,0,1,1,0,1,0,1,1,0
"139",0.928168465779229,0.48918049270706,"AZ",2023-06-16,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"140",0.508915084829534,0.656533221689313,"AZ",2023-06-17,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1
"141",6.69468839255187,0.911008486618763,"AZ",2023-06-18,0,0,0,1,0,1,1,1,1,1,0,0,0,1,0,1,1,0,1,1
"142",4.04842184080932,0.821530877652413,"AZ",2023-06-19,0,0,1,1,0,0,1,1,1,1,0,0,0,1,1,0,1,0,1,0
"143",3.47557830711467,0.939198914315469,"AZ",2023-06-20,1,0,0,1,1,1,0,1,1,1,0,0,0,1,1,1,0,1,1,1
"144",1.88201449428093,0.733094174366699,"AZ",2023-06-21,1,1,1,1,1,1,0,1,1,1,0,0,0,1,0,1,0,1,1,1
"145",1.80957522977649,0.820726240968236,"AZ",2023-06-22,1,1,1,1,1,0,1,0,1,1,0,0,0,1,0,0,0,0,1,1
"146",0.262098971235822,0.369061665076625,"AZ",2023-06-23,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"147",1.19886467362404,0.837097158918387,"AZ",2023-06-24,1,1,0,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,1
"148",1.47069762765932,0.747486071478899,"AZ",2023-06-25,1,1,0,1,1,1,1,1,1,1,0,1,0,0,0,1,1,1,1,1
"149",1.89191800124598,0.72921833780633,"AZ",2023-06-26,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1,1,1,0
"150",3.38527047163871,0.685548712857411,"AZ",2023-06-27,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,1,0,0,1,1
"151",1.79599232569889,0.686409439370344,"AZ",2023-06-28,1,1,1,1,1,1,0,1,1,1,1,0,0,1,1,1,0,1,1,1
"152",2.1484585078339,0.750543555976915,"AZ",2023-06-29,1,1,1,0,1,1,1,0,1,1,0,0,0,0,0,1,1,0,1,1
"153",0.98331728057549,0.732182122548051,"AZ",2023-06-30,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,0,1,1,1
"154",1.24150293652709,0.592897689352958,"AZ",2023-07-01,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1
"155",2.2032857342598,0.726491713861363,"AZ",2023-07-02,1,1,0,1,1,1,1,1,1,1,1,0,0,0,0,1,0,1,1,1
"156",3.87910067368646,0.662277746879601,"AZ",2023-07-03,1,0,1,0,1,1,1,1,1,1,0,0,0,0,1,1,0,0,1,1
"157",2.81852950881611,0.691427530436899,"AZ",2023-07-04,1,0,1,1,0,1,1,1,1,0,0,0,0,0,0,1,0,1,1,0
"158",1.51136652865922,0.798820906179761,"AZ",2023-07-05,1,1,1,1,1,1,1,0,1,1,0,1,0,0,1,1,0,0,1,1
"159",1.3007735973481,0.855488464239944,"AZ",2023-07-06,1,1,1,1,0,1,1,0,1,1,1,1,0,1,0,1,0,1,1,1
"160",0.431978108748979,0.624099949454511,"AZ",2023-07-07,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1
"161",1.82373821800954,0.766726556853881,"AZ",2023-07-08,1,1,0,1,1,0,1,1,1,1,0,1,0,1,1,0,0,1,1,1
"162",3.20016171269757,0.770060925244798,"AZ",2023-07-09,0,1,0,1,1,1,1,1,0,1,0,0,0,1,0,1,0,0,0,1
"163",3.15536410951526,0.79340435010224,"AZ",2023-07-10,0,1,1,1,1,1,1,0,0,1,1,0,0,0,1,1,0,0,0,1
"164",4.44020226332527,0.819092927461145,"AZ",2023-07-11,0,0,1,1,1,1,1,0,1,1,0,0,1,0,0,1,0,0,1,1
"165",3.77990292269312,0.805810521522612,"AZ",2023-07-12,1,0,1,1,1,0,1,1,1,1,0,0,0,1,0,0,0,0,1,1
"166",3.86800431710129,0.82003012865271,"AZ",2023-07-13,1,0,0,1,1,1,1,1,1,0,0,0,0,0,1,1,0,0,1,0
"167",0.987121168973162,0.77823590170627,"AZ",2023-07-14,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1
"168",2.39040308983226,0.94155665515374,"AZ",2023-07-15,1,1,1,1,1,1,1,0,1,1,0,1,0,1,0,1,1,0,1,0
"169",2.44663727643427,0.888092696857075,"CA",2023-06-04,1,0,1,1,1,1,0,1,1,1,1,0,0,1,1,1,0,1,1,1
"170",1.47469965136057,0.581803661365591,"CA",2023-06-05,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1
"171",2.04839094515496,0.812133936614368,"CA",2023-06-06,1,1,1,1,1,1,0,0,1,1,1,0,0,1,0,1,0,0,1,1
"172",2.31691559296084,0.823161980450397,"CA",2023-06-07,1,0,0,1,1,1,1,1,1,0,1,0,0,1,1,1,1,0,1,0
"173",1.11080068179651,0.719252135907084,"CA",2023-06-08,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1
"174",3.22851189323243,0.9486109136947,"CA",2023-06-09,0,0,1,1,1,0,1,1,1,1,0,0,1,1,0,0,1,0,1,1
"175",1.23699374264981,1.1891554771469,"CA",2023-06-10,1,1,1,1,1,0,0,1,1,1,1,0,1,1,0,0,0,1,1,1
"176",0.82837930301046,0.691186194569113,"CA",2023-06-11,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,0,1,1,0
"177",1.53027892652023,0.733637780506873,"CA",2023-06-12,1,1,1,1,0,1,1,1,1,0,0,1,1,1,0,1,0,1,0,0
"178",1.77381023114987,0.649090700344902,"CA",2023-06-13,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,0,1,1,1
