...1,es_score,brier_score,location,target_date,X22F_50_CI,X23A_50_CI,X23B_50_CI,X23D_50_CI,X23E_50_CI,X23F_50_CI,recombinant_50_CI,X23H_50_CI,X23G_50_CI,other_50_CI,X22F_95_CI,X23A_95_CI,X23B_95_CI,X23D_95_CI,X23E_95_CI,X23F_95_CI,recombinant_95_CI,X23H_95_CI,X23G_95_CI,other_95_CI
130,1.27415930446567,0.3517969327618285,AZ,2023-10-11,1,1,1,1,1,0,1,0,1,1,1,0,0,1,1,0,1,1,1,1
131,0.514736359017828,0.35938226853698,AZ,2023-10-12,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1
132,1.18421959141422,0.568623800571375,AZ,2023-10-13,0,0,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1
133,1.24915488386426,0.3880901945989305,AZ,2023-10-14,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,1,1,1
134,1.79603232962005,0.406212125993751,AZ,2023-10-15,1,1,1,1,1,1,1,1,0,1,0,1,0,0,1,0,1,1,0,1
135,3.96541527680703,0.357142038763194,AZ,2023-10-16,1,0,0,1,1,0,1,1,1,0,1,1,0,0,0,0,1,1,1,0
136,5.56243431147049,0.365797612252689,AZ,2023-10-17,1,0,1,0,1,0,0,1,1,1,1,0,0,0,0,0,1,1,1,1
137,4.48840013398401,0.3549457818316455,AZ,2023-10-18,1,0,0,1,1,0,1,1,1,1,1,0,0,1,1,0,1,0,1,1
138,2.08517712760584,0.381824231329592,AZ,2023-10-19,0,1,0,1,1,0,1,1,1,1,0,1,0,0,0,0,0,0,0,1
139,1.7662258631855,0.3366941570277095,AZ,2023-10-20,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1
140,2.695824699992,0.3417672919444335,AZ,2023-10-21,1,1,1,0,0,0,1,1,1,1,0,1,0,1,0,0,0,1,1,1
141,3.33017246171645,0.349675561042,AZ,2023-10-22,1,0,1,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,1,1
142,4.04967371038952,0.3800992389333295,AZ,2023-10-23,1,0,1,1,0,1,1,1,1,0,0,0,0,0,0,0,1,0,1,0
143,3.65046539809227,0.320220371314442,AZ,2023-10-24,1,1,1,0,1,0,1,1,1,1,1,0,0,0,0,0,1,1,0,1
144,1.7794469239763,0.3440485789425415,AZ,2023-10-25,1,1,1,1,1,0,0,1,1,1,1,0,0,0,1,0,0,1,1,1
145,0.378285581637004,0.270436802916246,AZ,2023-10-26,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1
146,1.45419340991235,0.3266236825926235,AZ,2023-10-27,1,1,0,1,1,1,1,1,1,1,0,1,0,0,1,0,1,1,0,1
147,2.0022408842255,0.469361466074872,AZ,2023-10-28,1,1,0,1,1,1,1,0,0,1,1,1,0,0,0,1,1,0,0,1
148,4.0041543486382,0.3596790709583835,AZ,2023-10-29,1,1,1,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1
149,5.43387285171651,0.380755846909679,AZ,2023-10-30,1,1,1,0,1,0,1,0,1,1,1,1,0,0,0,0,0,0,1,0
150,2.64354347224475,0.3667097585163825,AZ,2023-10-31,1,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,1
151,1.49058848494086,0.3321174924288595,AZ,2023-11-01,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1
152,3.6691185501883,0.3790424770433825,AZ,2023-11-02,1,0,0,0,1,0,1,1,1,1,1,0,0,0,0,0,1,0,1,1
153,2.13051202742704,0.413591966810001,AZ,2023-11-03,0,0,1,0,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1
154,0.751847872537652,0.375781616077117,AZ,2023-11-04,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1
155,3.80723174247088,0.3850028113518735,AZ,2023-11-05,1,1,1,1,1,0,1,0,1,0,1,0,0,0,0,0,1,1,1,0
156,8.33608340009276,0.371767589238907,AZ,2023-11-06,1,1,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1
157,4.11151664777096,0.34774409711295,AZ,2023-11-07,1,1,1,0,1,0,1,1,1,0,1,0,1,0,0,0,0,1,1,0
158,3.23317708365544,0.3891716611922515,AZ,2023-11-08,0,1,0,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1
159,2.29288558049072,0.3939768041870155,AZ,2023-11-09,1,1,1,1,1,1,1,0,1,0,1,1,1,1,0,0,1,0,1,0
160,1.17067141015613,0.3612639942467345,AZ,2023-11-10,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1
161,1.54042499508969,0.3546400908650255,AZ,2023-11-11,1,1,1,1,1,1,1,0,1,1,1,1,0,0,1,0,0,0,0,1
162,7.30270411626455,0.34956371503316,AZ,2023-11-12,1,0,1,0,0,0,1,1,1,1,1,0,0,0,0,0,1,0,0,1
163,8.76972892758753,0.3514565961135095,AZ,2023-11-13,1,1,0,0,0,0,1,0,1,1,0,1,0,0,0,0,1,0,1,1
164,3.42962858775016,0.387772049519516,AZ,2023-11-14,1,0,0,1,1,1,1,1,1,0,0,0,0,0,1,0,1,0,0,0
165,4.90850235671536,0.357130725154852,AZ,2023-11-15,1,1,0,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,1,0
166,2.11651288621502,0.2693754843687545,AZ,2023-11-16,1,1,1,1,1,0,1,1,1,1,1,0,0,0,1,0,1,1,1,1
167,0.521993834353214,0.3739006409371445,AZ,2023-11-17,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1
168,0.820848941813076,0.3554024545969715,AZ,2023-11-18,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1
169,0.773381615268353,0.30253635465195,CA,2023-10-08,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1
170,2.04334475377034,0.341459136555709,CA,2023-10-09,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,1,1,0,0
171,2.84740053199295,0.386042770376829,CA,2023-10-10,1,1,1,1,0,1,1,1,1,1,1,0,0,0,0,0,1,0,1,1
172,3.2041919494585702,0.3763177841949155,CA,2023-10-11,1,1,0,0,1,1,1,1,0,0,1,0,0,0,0,0,1,1,0,0
173,1.78861885201054,0.334134757693553,CA,2023-10-12,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,1
