...1,es_score,brier_score,location,target_date,X22F_50_CI,X23A_50_CI,X23B_50_CI,X23C_50_CI,X23D_50_CI,X23E_50_CI,X23F_50_CI,recombinant_50_CI,X23G_50_CI,other_50_CI,X22F_95_CI,X23A_95_CI,X23B_95_CI,X23C_95_CI,X23D_95_CI,X23E_95_CI,X23F_95_CI,recombinant_95_CI,X23G_95_CI,other_95_CI
171,1.57429908461464,0.404144337759724,CA,2023-07-11,1,1,1,0,1,1,1,1,1,1,0,0,0,0,1,0,0,1,1,1
172,1.42374415918861,0.392110350523055,CA,2023-07-12,1,1,1,1,1,1,0,1,1,1,1,0,0,1,1,0,0,0,1,1
173,1.63723661561614,0.383791363322784,CA,2023-07-13,0,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,1,1,1
174,1.98071198330374,0.401299060985098,CA,2023-07-14,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1
175,1.24079552591261,0.413589898829843,CA,2023-07-15,1,1,1,1,1,1,0,1,1,1,0,0,0,1,1,1,0,1,1,1
176,1.85060030724412,0.3846099416789985,CA,2023-07-16,1,1,1,1,0,1,1,1,1,1,0,1,0,1,0,0,1,0,1,1
177,1.96433934219101,0.421360176998053,CA,2023-07-17,1,1,1,0,1,1,1,1,0,1,0,0,0,0,0,0,1,1,0,1
178,1.76060594941705,0.4040998379597525,CA,2023-07-18,1,1,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1
179,2.30278332891481,0.3950940282841415,CA,2023-07-19,1,1,1,1,1,0,0,1,1,1,1,1,0,1,1,0,0,0,1,1
180,2.0021751861022,0.4053344471479225,CA,2023-07-20,1,1,1,1,1,1,0,1,1,1,0,0,0,1,0,1,0,1,1,1
181,3.42989502123963,0.4126139443806835,CA,2023-07-21,1,0,0,1,1,1,0,1,1,1,1,0,0,0,0,0,0,1,1,1
182,2.10518193719065,0.404441391633169,CA,2023-07-22,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,0,0,1,1,1
183,1.68400699434964,0.4142969572087375,CA,2023-07-23,1,1,1,1,1,1,0,1,1,1,1,0,0,1,1,1,0,1,1,1
184,4.9028536087493,0.480883502886256,CA,2023-07-24,0,1,0,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1
