...1,es_score,brier_score,location,target_date,X22F_50_CI,X23A_50_CI,X23B_50_CI,X23D_50_CI,X23E_50_CI,X23F_50_CI,recombinant_50_CI,X23G_50_CI,X23H_50_CI,other_50_CI,X22F_95_CI,X23A_95_CI,X23B_95_CI,X23D_95_CI,X23E_95_CI,X23F_95_CI,recombinant_95_CI,X23G_95_CI,X23H_95_CI,other_95_CI
105,0.407374497989206,0.2765618328739365,AR,2023-10-07,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1
106,0.404859319165417,0.2754310048118625,AR,2023-10-08,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1
107,1.52362369755209,0.2742828921357245,AR,2023-10-09,1,1,0,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1
108,1.52534547911853,0.273118730997214,AR,2023-10-10,1,1,0,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,1,1
109,1.68924154104772,0.2833261802789925,AR,2023-10-11,1,1,0,1,1,1,1,1,1,1,1,0,0,1,0,0,1,1,1,1
110,1.22630022067526,0.35430767371266,AR,2023-10-12,1,1,1,1,1,0,1,1,1,1,1,1,0,1,0,0,0,1,1,1
111,1.9934500900995,0.317929744465578,AR,2023-10-13,1,1,0,1,1,0,1,1,1,1,1,1,0,0,0,1,1,1,1,1
112,NA,NA,AR,2023-10-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
113,NA,NA,AR,2023-10-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
114,3.08802248332602,0.301170828322669,AR,2023-10-16,1,1,0,1,1,0,1,1,1,1,0,1,0,0,0,0,1,1,1,1
115,0.687107524551444,0.4973015257462815,AR,2023-10-17,1,1,1,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1
116,NA,NA,AR,2023-10-18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
117,2.12524657728193,0.262141396328269,AR,2023-10-19,1,1,0,1,1,1,1,1,1,1,1,0,0,1,1,0,1,1,1,1
118,0.412802207216997,0.260892809162404,AR,2023-10-20,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1
119,0.402276979332786,0.2596441531480795,AR,2023-10-21,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1
120,NA,NA,AR,2023-10-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
121,2.66644429515408,0.4219405432038035,AR,2023-10-23,1,1,1,1,1,0,1,0,1,1,1,1,0,0,1,1,1,0,0,1
122,0.469488638555073,0.3448633553829615,AR,2023-10-24,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1
123,0.979509017503268,0.507221802811255,AR,2023-10-25,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
124,NA,NA,AR,2023-10-26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
125,0.467285526409367,0.3006623055173355,AR,2023-10-27,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1
126,NA,NA,AR,2023-10-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
127,4.44465852201824,0.3502658702782645,AZ,2023-09-17,1,1,0,0,1,0,1,1,1,1,0,0,0,0,0,0,1,0,1,1
128,3.63893842888692,0.3932794928963605,AZ,2023-09-18,1,1,0,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,1,1
129,2.33998876312869,0.402104987507521,AZ,2023-09-19,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,1
130,1.75347477543003,0.384850658917099,AZ,2023-09-20,1,1,0,1,1,1,1,1,0,1,1,0,0,1,0,1,1,0,1,1
131,1.80465206231262,0.4305458464986525,AZ,2023-09-21,0,1,1,0,1,0,1,1,1,1,0,0,0,0,0,0,1,1,1,1
132,1.80921598441733,0.3250388381816075,AZ,2023-09-22,1,1,1,1,1,0,1,1,1,1,1,0,1,0,1,0,1,1,1,1
133,1.42989560451162,0.4479193405982675,AZ,2023-09-23,0,1,1,1,1,1,1,0,1,1,0,1,0,1,1,1,1,1,1,1
134,1.94725912361628,0.370234144592738,AZ,2023-09-24,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,0,1,1
135,3.46902890669797,0.400196427956885,AZ,2023-09-25,1,1,1,0,1,0,0,1,1,0,1,1,1,0,1,0,0,0,0,0
136,3.24474937750982,0.3920104699149935,AZ,2023-09-26,1,0,0,1,1,1,1,1,0,1,1,0,1,0,0,0,1,0,1,1
137,2.32629853437841,0.3590941732067605,AZ,2023-09-27,1,0,1,1,1,1,1,1,1,1,0,0,0,0,1,0,0,1,1,1
