...1,es_score,brier_score,location,target_date,X22E_50_CI,X22F_50_CI,X23A_50_CI,X23C_50_CI,X23D_50_CI,other_50_CI,X22E_95_CI,X22F_95_CI,X23A_95_CI,X23C_95_CI,X23D_95_CI,other_95_CI
96,0.123325574195483,0.0238749657903727,AR,2023-03-02,1,1,1,1,1,1,1,1,0,1,1,0
97,0.0323014013835344,0.0210249532533872,AR,2023-03-03,1,1,1,1,1,1,1,1,1,1,1,1
98,NA,NA,AR,2023-03-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
99,NA,NA,AR,2023-03-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100,0.685663942818893,0.01426336635647835,AR,2023-03-06,1,1,1,1,1,1,0,1,0,1,1,1
101,0.282004006758172,0.0125135025257758,AR,2023-03-07,1,1,1,1,1,1,1,1,1,1,1,1
102,0.729047350494437,0.1793701723648345,AR,2023-03-08,1,1,1,1,1,0,1,1,0,1,1,0
103,0.117398939470247,0.00962151516810665,AR,2023-03-09,1,1,1,1,1,1,1,1,1,1,1,1
104,0.0959517402104669,0.0084362341921596,AR,2023-03-10,1,1,1,1,1,1,1,1,1,1,1,1
105,1.270656404219,0.90675840209613,AR,2023-03-11,1,1,0,1,0,1,1,1,1,1,0,0
106,NA,NA,AR,2023-03-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
107,0.0107320990050907,0.0057016479975921,AR,2023-03-13,1,1,1,1,1,1,1,1,1,1,1,1
108,0.996836365856109,0.2328067258439355,AR,2023-03-14,1,1,1,0,1,1,1,1,0,0,1,1
109,0.0228543896261602,0.00441166684041037,AR,2023-03-15,1,1,1,1,1,1,1,1,0,1,1,0
110,0.0218884783859433,0.003889117557780845,AR,2023-03-16,1,1,1,1,1,1,1,1,1,1,1,1
111,0.874690266906254,0.181967452670609,AR,2023-03-17,0,1,1,1,1,1,0,1,0,1,1,1
112,1.14869957606126,0.4527725378140985,AR,2023-03-18,0,1,0,1,1,1,0,1,0,1,1,1
113,NA,NA,AR,2023-03-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
114,0.0316550097967964,0.00239799021078631,AR,2023-03-20,1,1,1,1,1,1,1,1,1,1,1,1
115,0.224878020579817,0.0021388170815787,AR,2023-03-21,1,1,1,1,1,1,1,1,0,1,0,1
116,0.784176750683835,0.00191362772136334,AR,2023-03-22,1,1,1,1,1,1,1,0,0,1,0,1
117,0.0134462715568663,0.00171794093560109,AR,2023-03-23,1,1,1,1,1,1,1,1,1,1,1,1
118,0.0102066960724566,0.001547860593709105,AR,2023-03-24,1,1,1,1,1,1,1,1,0,1,1,0
119,NA,NA,AR,2023-03-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
120,1.25988851703189,0.4780902925947045,AR,2023-03-26,1,1,0,0,1,1,1,1,0,0,1,1
121,0.00280031255818242,0.001159654855480825,AR,2023-03-27,1,1,1,1,1,1,1,1,1,1,1,1
122,2.29558020565219,0.3157008257006855,AR,2023-03-28,0,1,0,1,1,1,0,1,0,1,1,1
123,0.178021604736647,9.77914555907705e-4,AR,2023-03-29,1,1,1,1,1,1,1,1,0,1,0,1
124,0.0108113022028148,9.04457436824805e-4,AR,2023-03-30,1,1,1,1,1,1,1,1,1,1,1,1
125,NA,NA,AR,2023-03-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
126,NA,NA,AR,2023-04-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
127,2.6604988022768,0.2818875985186225,AZ,2023-02-19,1,0,0,0,1,0,0,0,0,0,1,0
128,3.06574705149782,0.167796234609256,AZ,2023-02-20,1,0,1,1,1,0,0,0,0,1,1,0
129,1.06037697353234,0.1565764482083675,AZ,2023-02-21,1,1,1,1,1,1,0,0,0,1,1,1
130,1.78411929186109,0.249845070566727,AZ,2023-02-22,0,1,0,1,1,1,0,0,0,1,1,1
131,0.505515889895314,0.0928205694437705,AZ,2023-02-23,1,1,1,1,1,1,1,0,0,1,1,1
132,0.76215526651015,0.1744728413794715,AZ,2023-02-24,1,1,1,1,1,0,0,0,0,1,1,0
133,1.30963075651378,0.2900961620910485,AZ,2023-02-25,1,0,0,1,1,0,1,0,0,1,1,0
134,1.33860627876739,0.1542892148068765,AZ,2023-02-26,1,1,1,1,1,0,0,0,0,1,1,0
135,3.17819079294858,0.1035059881109385,AZ,2023-02-27,0,0,1,1,1,1,1,0,0,1,1,0
136,1.6267562226846,0.079747988801283,AZ,2023-02-28,1,1,0,1,1,1,0,1,1,1,1,0
137,2.22230953265306,0.18869479911608,AZ,2023-03-01,1,1,0,0,1,0,0,0,0,0,1,0
138,1.75430261299707,0.210447327840038,AZ,2023-03-02,1,1,0,0,0,1,0,0,0,0,0,1
139,3.19817469328374,0.3827994868794785,AZ,2023-03-03,1,0,0,1,1,1,0,0,0,1,1,1
140,4.28838404970678,0.42719626891297,AZ,2023-03-04,0,0,0,1,1,0,0,0,0,1,1,1
141,0.987991357989358,0.076372413117206,AZ,2023-03-05,1,1,1,1,1,1,0,1,0,1,1,1
142,1.55722530258284,0.116363611206688,AZ,2023-03-06,1,1,1,1,0,1,0,1,0,1,0,1
143,1.64608489400058,0.056770854435179,AZ,2023-03-07,1,1,0,1,1,1,0,0,0,1,1,0
144,0.705435399140172,0.2165787124781495,AZ,2023-03-08,0,1,1,1,1,1,0,0,0,1,1,1
145,0.209444792738644,0.0077771493250788,AZ,2023-03-09,1,1,1,1,1,1,1,0,0,1,1,1
146,0.145544648770846,0.0074918624324779,AZ,2023-03-10,1,1,1,1,1,1,1,1,1,1,1,1
