...1,es_score,brier_score,location,target_date,X22B_50_CI,X22E_50_CI,X22F_50_CI,X23A_50_CI,X23D_50_CI,other_50_CI,X22B_95_CI,X22E_95_CI,X22F_95_CI,X23A_95_CI,X23D_95_CI,other_95_CI
237,0.148169587606947,0.0074258561469659,CO,2023-03-10,1,1,1,1,1,1,1,1,1,1,1,1
238,0.0127002034486619,0.0068177016259727,CO,2023-03-11,1,1,1,1,1,1,1,1,1,1,1,1
239,0.0373218792933065,0.00626849622851455,CO,2023-03-12,1,1,1,1,1,1,1,1,1,1,1,1
240,0.0379781725828819,0.0057723630122794,CO,2023-03-13,1,1,1,1,1,1,1,0,1,0,1,1
241,0.174608782445385,0.0053240176356531,CO,2023-03-14,1,1,1,1,1,1,1,1,1,1,1,1
242,0.777707719343431,0.004918712298485525,CO,2023-03-15,1,1,1,1,1,1,1,0,1,0,1,1
243,0.519345458993609,0.00455218414338605,CO,2023-03-16,1,1,1,1,1,1,1,1,1,1,1,1
244,0.698224794509578,0.1792689850785775,CO,2023-03-17,1,1,1,1,1,1,1,0,0,1,1,1
245,1.07898788679999,0.4438636069299885,CO,2023-03-18,1,0,1,0,1,1,1,0,1,0,1,1
246,0.660203073114343,0.1510243530283505,CO,2023-03-19,1,1,1,1,1,1,1,0,1,0,1,1
247,0.488455391744749,0.00340302440978149,CO,2023-03-20,1,1,1,1,1,1,1,1,1,1,1,1
248,0.869675949747586,0.1192090877177265,CO,2023-03-21,1,1,1,1,1,0,1,1,1,0,1,0
249,4.74534053920047,0.51631594776955,CO,2023-03-22,1,1,0,0,0,1,1,1,0,0,0,1
250,0.933917982612482,0.1198247425039115,CO,2023-03-23,1,1,1,1,0,1,1,1,1,0,0,1
251,0.158187657107652,0.002630589522506905,CO,2023-03-24,1,1,1,1,1,1,1,1,1,1,1,1
252,0.00650406715566708,0.002480875746979095,CO,2023-03-25,1,1,1,1,1,1,1,1,1,1,1,1
