...1,es_score,brier_score,location,target_date,X21L_50_CI,X22A_50_CI,X22B_50_CI,X22D_50_CI,X22E_50_CI,other_50_CI,X21L_95_CI,X22A_95_CI,X22B_95_CI,X22D_95_CI,X22E_95_CI,other_95_CI
164,15.1881399727373,0.3259774956189925,AZ,2022-11-08,1,1,0,1,0,1,1,0,0,0,0,0
165,20.8450896483265,0.349813685955504,AZ,2022-11-09,0,0,0,0,0,0,0,0,0,0,0,0
166,15.5113711683586,0.345688841593393,AZ,2022-11-10,1,1,0,0,0,1,1,0,0,0,0,0
167,8.24746363761518,0.345178811913637,AZ,2022-11-11,1,0,0,0,0,0,1,1,0,0,0,0
168,2.16463636880031,0.256112004266637,AZ,2022-11-12,1,0,1,1,1,1,1,0,0,1,1,0
169,9.13322442986988,0.1463221171745565,CA,2022-10-02,0,1,0,0,0,1,0,0,0,0,0,1
170,10.0961488066383,0.1335928626008135,CA,2022-10-03,0,0,0,1,0,1,0,0,0,0,0,1
171,7.14440947258771,0.138406129883241,CA,2022-10-04,0,0,0,0,0,0,0,0,0,0,0,0
172,5.99862903177137,0.137032042416803,CA,2022-10-05,0,0,0,1,0,1,0,0,0,0,0,1
173,7.6962667483455,0.173268043209448,CA,2022-10-06,1,0,0,1,0,1,0,0,0,0,0,1
174,9.83394873406132,0.1667093089134315,CA,2022-10-07,0,1,0,1,0,1,0,0,0,0,0,0
175,4.23209508962087,0.1467856938836445,CA,2022-10-08,0,1,0,0,0,1,0,1,0,0,0,1
176,5.12988360317737,0.15686454581498,CA,2022-10-09,1,1,0,0,0,1,1,0,0,0,0,1
177,11.944551258018,0.1377006050566315,CA,2022-10-10,0,1,0,1,0,1,0,0,0,1,0,1
178,15.7448511131744,0.195018093037136,CA,2022-10-11,0,1,0,1,0,1,0,0,0,0,0,0
179,25.1450626181248,0.221673085212949,CA,2022-10-12,0,0,0,1,0,1,0,0,0,0,0,0
180,22.9770958400041,0.216006248206017,CA,2022-10-13,0,0,0,0,0,1,0,0,0,0,0,0
181,30.3075356667076,0.2182320275953905,CA,2022-10-14,1,0,0,0,0,0,0,0,0,0,0,0
182,12.5671932951226,0.1919030124130855,CA,2022-10-15,0,0,0,0,0,1,0,0,0,0,0,1
183,10.0288363019845,0.203569989956635,CA,2022-10-16,0,1,0,1,0,1,0,1,0,0,0,1
184,26.2867306888548,0.223835926735508,CA,2022-10-17,1,1,0,0,0,1,1,0,0,0,0,1
185,31.8820039347095,0.2842833120554675,CA,2022-10-18,0,1,0,0,0,1,0,0,0,0,0,0
186,48.0093890829352,0.292596658756521,CA,2022-10-19,0,1,0,0,0,0,0,1,0,0,0,0
187,18.2085745260507,0.243238812350457,CA,2022-10-20,0,1,0,1,0,1,0,0,0,1,0,1
188,11.0958331760826,0.20514255651134,CA,2022-10-21,1,0,0,1,0,1,1,0,0,1,0,0
189,21.9445405584897,0.282792162546075,CA,2022-10-22,1,0,0,0,0,1,0,0,0,0,0,0
190,13.6718274373552,0.27110000113304,CA,2022-10-23,0,0,0,0,0,0,0,0,0,0,0,0
191,47.9471827577342,0.3311658669106595,CA,2022-10-24,0,0,0,0,0,0,0,0,0,0,0,0
192,31.0941281028423,0.3420569622912535,CA,2022-10-25,1,1,0,1,0,1,0,0,0,0,0,0
193,44.6322035985933,0.324542526098462,CA,2022-10-26,0,1,0,0,0,1,0,0,0,0,0,1
194,46.4442778522341,0.32484469528156,CA,2022-10-27,0,0,0,0,0,1,0,0,0,0,0,0
195,20.9281512789307,0.243775167230895,CA,2022-10-28,0,0,0,0,0,1,0,0,0,0,0,0
196,37.4778762179803,0.291625660850065,CA,2022-10-29,0,0,0,0,0,0,0,0,0,0,0,1
197,41.1410676258146,0.324794317755705,CA,2022-10-30,1,0,0,0,0,0,0,0,0,0,0,0
198,78.7931171343457,0.345932518147718,CA,2022-10-31,1,0,0,0,0,0,0,0,0,1,0,0
199,68.5101541266704,0.3542147125962175,CA,2022-11-01,0,0,0,0,0,0,0,0,0,0,0,1
200,43.7761446567696,0.349017879527012,CA,2022-11-02,1,0,0,0,0,0,0,0,0,0,0,1
201,71.4598878872001,0.3668155761088285,CA,2022-11-03,0,0,0,0,0,0,0,0,0,0,0,0
202,57.5020283707497,0.322912352858602,CA,2022-11-04,1,0,0,1,0,0,0,0,0,0,0,0
203,43.190311250706,0.361145100595648,CA,2022-11-05,1,0,0,0,0,1,0,0,0,0,0,0
204,66.033419813322,0.3863260002859205,CA,2022-11-06,1,0,0,0,0,0,0,0,0,0,0,0
205,108.022390734406,0.3716222571662465,CA,2022-11-07,1,0,0,0,0,0,0,0,0,0,0,0
206,88.0001407203921,0.372693393646247,CA,2022-11-08,1,0,0,1,0,0,1,0,0,0,0,0
207,70.4715678143948,0.3554869125954285,CA,2022-11-09,0,0,0,1,0,0,0,0,0,0,0,0
208,86.6974413301862,0.399501223218884,CA,2022-11-10,0,0,0,0,0,0,0,0,0,0,0,0
209,76.7106813478309,0.3971567203297085,CA,2022-11-11,0,0,0,1,0,0,0,0,0,0,0,0
