...1,es_score,brier_score,location,target_date,X22F_50_CI,X23A_50_CI,X23B_50_CI,X23C_50_CI,X23D_50_CI,X23E_50_CI,X23F_50_CI,recombinant_50_CI,X23G_50_CI,other_50_CI,X22F_95_CI,X23A_95_CI,X23B_95_CI,X23C_95_CI,X23D_95_CI,X23E_95_CI,X23F_95_CI,recombinant_95_CI,X23G_95_CI,other_95_CI
171,1.41951104657976,0.402009299019436,CA,2023-07-11,1,1,1,0,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1
172,1.34157760752005,0.3927380028375685,CA,2023-07-12,1,1,1,1,1,1,0,1,1,1,0,0,0,1,0,0,0,1,1,1
173,1.46317979128953,0.381082927498638,CA,2023-07-13,0,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1
174,2.33877009160961,0.4058053560171515,CA,2023-07-14,1,0,0,1,1,1,1,1,1,1,0,0,0,1,0,0,0,1,1,1
175,1.33408020140432,0.4162527074235225,CA,2023-07-15,1,1,1,1,1,1,0,1,1,1,1,0,0,1,0,0,0,1,1,1
176,1.8206585575684,0.3877819093149615,CA,2023-07-16,1,1,1,1,0,1,1,1,1,1,1,0,0,1,0,0,1,0,1,1
177,2.073318336683,0.4231866050859815,CA,2023-07-17,1,1,1,0,1,1,1,1,0,1,0,0,1,0,0,0,0,1,0,1
178,1.79492419398244,0.4048873746418485,CA,2023-07-18,1,1,1,0,1,1,0,1,1,1,0,1,0,0,0,0,0,1,1,1
179,2.4163394438471,0.3956420117983345,CA,2023-07-19,1,1,1,1,1,0,0,1,1,1,0,0,1,1,1,0,0,1,1,0
180,2.09512727975768,0.407981960464772,CA,2023-07-20,1,1,1,1,1,1,0,1,1,1,0,0,1,1,0,0,0,1,1,0
181,3.81811718621683,0.422035878686308,CA,2023-07-21,1,0,0,1,0,1,0,1,1,1,0,0,0,1,1,0,0,1,1,1
182,2.21793686497524,0.405643122181198,CA,2023-07-22,1,1,0,1,0,1,0,1,1,1,0,1,0,0,0,0,0,1,1,1
183,1.69704687931002,0.4061776891566415,CA,2023-07-23,1,1,1,1,1,1,0,1,1,1,1,0,0,1,0,0,0,1,1,1
184,5.2314901349186,0.482547663702562,CA,2023-07-24,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1
