...1,es_score,brier_score,location,target_date,X22E_50_CI,X22F_50_CI,X23A_50_CI,X23B_50_CI,X23D_50_CI,X23E_50_CI,X23F_50_CI,other_50_CI,X22E_95_CI,X22F_95_CI,X23A_95_CI,X23B_95_CI,X23D_95_CI,X23E_95_CI,X23F_95_CI,other_95_CI
82,NA,NA,AL,2023-06-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
83,NA,NA,AL,2023-06-23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
84,NA,NA,AL,2023-06-24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
85,NA,NA,AR,2023-05-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
86,NA,NA,AR,2023-05-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
87,NA,NA,AR,2023-05-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
88,NA,NA,AR,2023-05-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
89,NA,NA,AR,2023-05-18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
90,NA,NA,AR,2023-05-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
91,NA,NA,AR,2023-05-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
92,NA,NA,AR,2023-05-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
93,NA,NA,AR,2023-05-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
94,0.18882108811959,0.01898984223681355,AR,2023-05-23,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
95,NA,NA,AR,2023-05-24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
96,NA,NA,AR,2023-05-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
97,0.0365937516631014,0.02296088641143745,AR,2023-05-26,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
98,NA,NA,AR,2023-05-27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
99,NA,NA,AR,2023-05-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100,1.03197044542521,0.76044782340615,AR,2023-05-29,1,1,0,0,1,1,1,1,0,1,1,0,1,1,1,1
101,1.02570383885603,0.75326260703872,AR,2023-05-30,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1
102,0.0517133209746874,0.03263472841439305,AR,2023-05-31,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
103,NA,NA,AR,2023-06-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
104,NA,NA,AR,2023-06-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
105,NA,NA,AR,2023-06-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
106,NA,NA,AR,2023-06-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
107,NA,NA,AR,2023-06-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
108,NA,NA,AR,2023-06-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
109,0.0806326447999343,0.0562632911128295,AR,2023-06-07,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1
110,0.0905282789275828,0.060935747093916,AR,2023-06-08,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
111,0.0922574378490446,0.0659802911810375,AR,2023-06-09,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
112,NA,NA,AR,2023-06-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
113,NA,NA,AR,2023-06-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
114,0.331810640705379,0.083397324634511,AR,2023-06-12,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1
115,0.8079728480988,0.63507442851063,AR,2023-06-13,1,1,1,0,1,1,1,1,1,1,0,0,1,1,1,1
116,0.797682153402731,0.62703025060266,AR,2023-06-14,1,1,1,0,1,1,1,1,1,1,0,0,1,1,1,1
117,NA,NA,AR,2023-06-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
118,0.754762327411345,0.612046787252265,AR,2023-06-16,1,1,1,0,1,1,1,1,1,1,0,0,1,1,1,1
119,NA,NA,AR,2023-06-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
120,NA,NA,AR,2023-06-18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
121,0.198825811926134,0.1355038495196615,AR,2023-06-19,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
122,NA,NA,AR,2023-06-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
123,NA,NA,AR,2023-06-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
124,0.234246360385978,0.1604333188310345,AR,2023-06-22,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
125,0.254000335883681,0.1687591288259965,AR,2023-06-23,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1
126,NA,NA,AR,2023-06-24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
127,1.90066802734501,0.4170156596538485,AZ,2023-05-14,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1
128,2.74011600646239,0.2146743798795725,AZ,2023-05-15,1,1,0,1,0,1,1,1,0,0,0,0,0,1,1,1
129,1.41036843859891,0.193647494632451,AZ,2023-05-16,0,1,1,1,1,0,1,1,1,1,0,1,0,0,1,1
130,1.15590898621755,0.180419323895968,AZ,2023-05-17,1,1,1,0,1,1,1,1,0,1,0,0,0,1,1,0
131,1.61432337517853,0.2826025308886185,AZ,2023-05-18,1,1,1,0,1,1,1,1,1,1,0,0,1,1,1,1
132,1.03287255813077,0.72618508832859,AZ,2023-05-19,1,1,0,1,0,1,1,1,1,1,0,1,0,1,1,1
133,2.05032340580545,0.72177377550919,AZ,2023-05-20,1,1,0,1,0,1,1,1,1,1,0,1,0,1,1,1
134,1.0135438368343,0.1944476709309235,AZ,2023-05-21,1,1,1,1,1,1,0,1,1,1,0,1,0,1,0,1
135,1.42114917272778,0.203520218695992,AZ,2023-05-22,1,1,1,0,1,0,1,1,1,0,0,0,0,0,1,0
